,Concept_ID,tt,zh
189,Saat::N,орлык,种子
190,Korn::N,иген,谷粒
191,Korn::N,орлык,谷粒
192,Heu::N,печән,干草
193,Schale::N,кабык,壳
194,Grube::N,баз,坑
195,Grube::N,чокыр,坑
196,Falle::N,тозак,圈套
197,Falle::N,капкын,圈套
198,Schlinge::N,элмәк,活扣
199,Spur::N,эз,踪迹
200,Asche::N,көл,灰烬
201,Dreck::N,пычрак,污垢
202,Eisen::N,тимер,铁
203,Gold::N,алтын,金子
204,Silber::N,көмеш,银
205,Kohle::N,күмер,煤
206,Glas::N,пыяла,玻璃
207,Lehm::N,балчык,粘土
208,Sand::N,ком,沙
209,Mensch::N,адәм,人
210,Mensch::N,инсан,人
211,Mann::N,ир,男子
212,Frau::N,хатын,妇女
213,Kind::N,бала,小孩
214,Junge::N,малай,男孩
215,Mädchen::N,кыз,女孩
216,Familie::N,гаилә,家庭
217,Großvater::N,бабай,祖父
218,Großmutter::N,әби,祖母
219,Eltern::N,ата-ана,父母
220,Vater::N,ата,父亲
221,Mutter::N,ана,母亲
222,Sohn::N,ул,儿子
223,Tochter::N,кыз,女儿
224,Bruder::N,кардәш,兄弟
225,Schwester::N,апа,姐妹
226,Schwester::N,сеңел,姐妹
227,Onkel::N,дәдә,伯父
228,Onkel::N,дәдәй,伯父
229,Tante::N,түти,阿姨
230,Tante::N,тәтәй,阿姨
231,Ehemann::N,ир,丈夫
232,Ehefrau::N,хатын,妻子
233,Freude::N,сөенеч,愉快
234,Gelächter::N,көлү,大笑
235,Gelächter::N,көлеш,大笑
236,Glück::N,бәхет,运气
237,Kummer::N,хәсрәт,苦恼
238,Wunsch::N,теләк,愿望
239,Lust::N,теләк,乐趣
240,Lust::N,теләү,乐趣
241,Geist::N,рух,精神
242,Gedanke::N,уй,思想
243,Gedanke::N,фикер,思想
244,Gedächtnis::N,хәтер,记性
245,Verstand::N,акыл,理智
246,Sinn::N,мәгънә,感觉
247,Grund::N,сәбәп,理由
248,Wahrheit::N,хак,真理
249,Gespräch::N,әңгәмә,谈话
250,Märchen::N,әкият,童话
251,Erzählung::N,хикәя,故事
252,Nachricht::N,хәбәр,消息
253,Neuigkeit::N,яңалык,新闻
254,Name::N,исем,名字
255,Rätsel::N,табышмак,谜语
256,Rede::N,нотык,讲话
257,Sprache::N,тел,语言
258,Stimme::N,тавыш,声音
259,Wort::N,сүз,词
260,Zeichen::N,ишарә,标记
261,Ruf::N,дәшү,呼喊
262,Lärm::N,шау,噪音
263,Laut::N,аваз,响声
264,Ton::N,шалтырату,声音
265,Lied::N,җыр,歌曲
266,Ruhe::N,тынлык,安静
267,Leute::N,халык,人们
268,Volk::N,халык,人民
269,Arbeit::N,эш,劳动
270,Arbeit::N,хезмәт,劳动
271,Gast::N,кунак,客人
272,Geschenk::N,бүләк,礼物
273,Spiel::N,уен,游戏
274,Gesellschaft::N,җәмгыять,陪同
275,Hilfe::N,ярдәм,帮助
276,Hilfe::N,булышлык,帮助
277,Freund::N,дус,朋友
278,Kamerad::N,иптәш,同志
279,Angelegenheit::N,эш,事情
280,Anzahl::N,микъдар,数目
281,Art::N,төр,种类
282,Stück::N,кисәк,块
283,Teil::N,өлеш,部分
284,Hälfte::N,ярым,一半
285,Kreis::N,түгәрәк,圆
286,Kreuz::N,хач,十字架
287,Kreuz::N,тәре,十字架
288,Linie::N,сызык,线条
289,Strich::N,сызык,划
290,Abstand::N,ара,距离
291,Entfernung::N,ераклык,距离
292,Gegend::N,урын,地区
293,Platz::N,бушлык,场所
294,Ort::N,урын,地点
295,Seite::N,як,面
296,Mitte::N,урта,中间
297,Gegenstand::N,нәрсә,物品
298,Sache::N,нәрсә,物
299,Rand::N,чит,边
300,Kante::N,кырый,棱
301,Ecke::N,почмак,角
302,Spitze::N,оч,尖
303,Ende::N,азак,结尾
304,Loch::N,тишек,洞
305,Winkel::N,почмак,角度
306,Muster::N,парча,模型
307,Größe::N,зурлык,大小
308,Länge::N,озынлык,长度
309,Höhe::N,биеклек,高度
310,Gewicht::N,авырлык,重量
311,Menge::N,микъдар,数量
312,Haufen::N,өем,堆
313,Reihe::N,рәт,行
314,Boot::N,каек,小船
315,Boot::N,көймә,小船
316,Ruder::N,ишкәк,奖
317,Schlitten::N,чана,雪橇
318,Ski::N,чаңгы,雪板
319,Lagerfeuer::N,костёр,营火
320,Last::N,йөк,负担
321,Gang::N,йөреш,行走
322,Schritt::N,адым,步伐
323,Norden::N,төньяк,北
324,Süden::N,көньяк,南
325,Westen::N,көнбатыш,西
326,Osten::N,шәрык,东
327,Osten::N,көнчыгыш,东
328,Holz::N,агач,木材
329,Brett::N,такта,木板
330,Platte::N,плитә,平板
331,Stütze::N,таяу,支架
332,Stange::N,колга,杆
333,Stock::N,таяк,棒
334,Stab::N,таяк,棍
335,Rohr::N,торба,管子
336,Haus::N,өй,房屋
337,Haus::N,йорт,房屋
338,Heim::N,гаилә,家
339,Heim::N,нәсел,家
340,Ofen::N,мич,炉子
341,Fußboden::N,идән,地板
342,Tisch::N,өстәл,桌子
343,Stuhl::N,утыргыч,椅子
344,Wiege::N,бишек,摇蓝
345,Bett::N,ятак,床
346,Bett::N,урын-җир,床
347,Regal::N,киштә,架子
348,Regal::N,шүрлек,架子
349,Kiste::N,әрҗә,箱子
350,Fenster::N,тәрәзә,窗户
351,Tür::N,ишек,门
352,Tor::N,капка,大门
353,Zaun::N,койма,篱笆
354,Dach::N,түбә,屋顶
355,Leiter::N,баскыч,梯子
356,Besen::N,себерке,扫帚
357,Spaten::N,көрәк,铁锹
358,Schaufel::N,көрәк,铁锹
359,Gabel::N,чәннечке,叉
360,Löffel::N,кашык,食匙
361,Messer::N,пычак,刀
362,Nagel::N,кадак,钉子
363,Netz::N,челтәр,网
364,Haken::N,ыргак,钩子
365,Griff::N,тотка,把柄
366,Schloss::N,йозак,锁
367,Bild::N,рәсем,图画
368,Bild::N,картина,图画
369,Figur::N,сын,人像
370,Figur::N,фигура,人像
371,Puppe::N,курчак,娃娃
372,Beutel::N,луза,袋子
373,Bündel::N,бәйләм,捆
374,Tasche::N,букча,手提包
375,Eimer::N,чиләк,桶
376,Deckel::N,капкач,盖子
377,Geschirr::N,савыт-саба,餐具
378,Geschirr::N,кашык-аяк,餐具
379,Sack::N,капчык,袋子
380,Tasse::N,чынаяк,杯子
381,Topf::N,чүлмәк,锅
382,Kessel::N,казан,水壶
383,Essen::N,ашау,进餐
384,Nahrung::N,азык,食物
385,Nahrung::N,тәгам,食物
386,Nahrung::N,ашамлык,食物
387,Speise::N,ризык,菜肴
388,Fleisch::N,ит,肉
389,Getreide::N,ашлык,谷物
390,Brei::N,ботка,粥
391,Brot::N,ипи,面包
392,Brot::N,икмәк,面包
393,Scheibe::N,телем,片
394,Fett::N,май,脂肪
395,Butter::N,май,黄油
396,Öl::N,май,油
397,Salz::N,тоз,盐
398,Suppe::N,шулпа,汤
399,Honig::N,бал,蜂蜜
400,Milch::N,сөт,奶
401,Tee::N,чәй,茶
402,Leder::N,күн,皮革
403,Wolle::N,йон,毛线
404,Stoff::N,тукыма,织物
405,Nadel::N,энә,针
406,Faden::N,җеп,线
407,Knopf::N,төймә,纽扣
408,Knoten::N,төен,结
409,Farbe::N,буяу,颜色
410,Kleidung::N,кием,衣服
411,Hemd::N,күлмәк,衬衫
412,Kragen::N,яка,领子
413,Ärmel::N,җиң,袖子
414,Hose::N,чалбар,裤子
415,Gürtel::N,билбау,腰带
416,Mütze::N,бүрек,帽子
417,Schuh::N,башмак,鞋
418,Stiefel::N,итек,靴子
419,Ring::N,балдак,戒指
420,Band::N,тасма,带子
421,Kamm::N,тарак,梳子
422,Spiegel::N,көзге,镜子
423,Riemen::N,каеш,皮带
424,Schnur::N,бау,绳子
425,Leine::N,тезген,皮带
426,Decke::N,юрган,被子
427,Kissen::N,мендәр,软垫
428,Tuch::N,яулык,巾
429,Handtuch::N,сөлгә,手巾
430,Kraft::N,егәр,力
431,Kraft::N,дәрман,力
432,Stärke::N,көч,力量
433,Stärke::N,дәрман,力量
434,Gesundheit::N,саулык,健康
435,Krankheit::N,чир,病
436,Krankheit::N,хаста,病
437,Krankheit::N,сырхау,病
438,Schmerz::N,авырту,痛
439,Wunde::N,яра,伤口
440,Wunde::N,җәрәхәт,伤口
441,Fieber::N,бизгәк,发烧
442,Arznei::N,дару,药
443,Brücke::N,күпер,桥
444,Brunnen::N,кое,井
445,Weide::N,утлавык,牧场
446,Pfad::N,сукмак,小路
447,Weg::N,юл,路
448,Straße::N,урам,街
449,Dorf::N,авыл,村庄
450,Stadt::N,шәһәр,城市
451,Brief::N,хат,信
452,Buch::N,китап,书
453,Buchstabe::N,хәреф,字母
454,Zeitung::N,газет,报纸
455,Zeitung::N,газета,报纸
456,Leben::N,гомер,生命
457,Leben::N,тормыш,生命
458,Leben::N,тереклек,生命
459,Tod::N,үлем,死亡
460,Grab::N,гүр,坟墓
461,Grab::N,кабер,坟墓
462,Kirche::N,чиркәү,教堂
463,Sünde::N,язык,罪
464,Sünde::N,гөнаһ,罪
465,Gott::N,алла,上帝
466,Gott::N,ходай,上帝
467,Arbeiter::N,эшче,工人
468,Chef::N,башлык,上司
469,Meister::N,оста,师傅
470,Arzt::N,врач,医生
471,Arzt::N,табиб,医生
472,Lehrer::N,укытучы,教师
473,Lehrer::N,мөгаллим,教师
474,Geld::N,акча,钱
475,Geschäft::N,эш,交易
476,Laden::N,кибет,商店
477,Laden::N,магазин,商店
478,Preis::N,бәя,价格
479,Preis::N,бәһа,价格
480,Ware::N,товар,商品
481,Nutzen::N,файда,好处
482,Reichtum::N,байлык,财富
483,Welt::N,дөнья,世界
484,Land::N,ил,国家
485,Staat::N,дәүләт,国家
486,König::N,патша,国王
487,Macht::N,хакимият,权力
488,Grenze::N,чик,边界
489,Krieg::N,сугыш,战争
490,Feind::N,дошман,敌人
491,Gewalt::N,көчләү,暴力
492,Kampf::N,көрәш,战斗
493,Bogen[Waffe]::N,җәя,弓
494,Pfeil::N,ук,箭
495,Gewehr::N,мылтык,枪
496,Fehler::N,хата,错误
497,Lüge::N,ялган,谎话
498,Schaden::N,зыян,损失
499,Schaden::N,зарар,损失
500,Unglück::N,бәла,不幸
501,Schuld::N,гаеп,过错
502,Alter::N,яшь,年龄
503,Schluss::N,ахыр,结束
504,Zeit::N,заман,时间
505,Tag::N,көн,天
506,Morgen::N,иртә,早晨
507,Mittag::N,өйлә,中午
508,Abend::N,кич,晚上
509,Nacht::N,төн,夜
510,Woche::N,атна,星期
511,Monat::N,ай,月
512,Jahr::N,ел,年
513,Frühling::N,яз,春天
514,Sommer::N,җәй,夏天
515,Herbst::N,көз,秋天
516,Winter::N,кыш,冬天
517,Januar::N,гыйнвар,一月
518,Februar::N,февраль,二月
519,März::N,март,三月
520,April::N,апрель,四月
521,Mai::N,май,五月
522,Juni::N,июнь,六月
523,Juli::N,июль,七月
524,August::N,август,八月
525,September::N,сентябрь,九月
526,Oktober::N,октябрь,十月
527,November::N,ноябрь,十一月
528,Dezember::N,декабрь,十二月
529,Montag::N,дүшәмбе,星期一
530,Dienstag::N,сишәмбе,星期二
531,Mittwoch::N,чәршәмбе,星期三
532,Donnerstag::N,атнакич,星期四
533,Donnerstag::N,пәнҗешәмбе,星期四
534,Freitag::N,җомга,星期五
535,Samstag::N,шимбә,星期六
536,Sonntag::N,якшәмбе,星期日
537,groß::A,зур,大
538,klein::A,кечкенә,小
539,lang::A,озын,长
540,kurz::A,кыска,短
541,breit::A,киң,宽
542,schmal::A,кысык,细长的
543,dicht::A,куе,密
544,dick[Gegenstand]::A,калын,厚
545,dünn::A,нечкә,薄
546,fein::A,нәзакәтле,细小
547,fest::A,нык,固体
548,flach::A,яссы,平坦
549,flach::A,ялпак,平坦
550,glatt::A,шома,光滑
551,hart::A,каты,硬
552,weich::A,йомшак,软
553,rund::A,түгәрәк,圆
554,spitz::A,очлы,尖
555,scharf::A,үткен,锋利
556,stumpf::A,үтмәс,钝
557,schwer::A,салмак,重
558,schön::A,гүзәл,美丽
559,heiß::A,эссе,烫
560,warm::A,җылы,暖和
561,kalt::A,суык,冷
562,kalt::A,салкын,冷
563,kühl::A,салкынча,凉
564,frisch::A,салкынча,新鲜
565,feucht::A,юеш,潮湿
566,nass::A,дымлы,湿
567,trocken::A,коры,干
568,voll::A,тулы,满
569,leer::A,буш,空
570,offen::A,ачык,敞开
571,geschlossen::A,йомык,关闭
572,sauber::A,пакь,干净
573,sauber::A,чиста,干净
574,schmutzig::A,керле,肮脏
575,schmutzig::A,пычрак,肮脏
576,roh::A,чи,生
577,reif::A,өлгергән,成熟
578,lecker::A,тәмле,好吃
579,süß::A,татлы,甜
580,bitter::A,ачы,苦
581,sauer::A,әче,酸
582,hell::A,якты,亮
583,dunkel::A,кара,阴暗
584,schwarz::A,кара,黑
585,weiß::A,ак,白
586,rot::A,кызыл,红
587,gelb::A,сары,黄
588,blau::A,күк,蓝
589,grün::A,яшел,绿
590,grau::A,соры,灰色
591,bunt::A,чуар,五彩
592,billig::A,арзан,便宜
593,teuer::A,хаклы,贵
594,wertvoll::A,кыйммәтле,贵重
595,blind::A,сукыр,瞎
596,blind::A,күзсез,瞎
597,taub::A,чукрак,聋
598,taub::A,саңгырау,聋
599,kräftig::A,егәрле,强壮
600,stark::A,нык,强壮
601,stark::A,базык,强壮
602,schwach::A,зәгыйфь,弱
603,fett::A,симез,胖
604,schlank::A,нәзек,苗条
605,hübsch::A,чибәр,漂亮
606,böse::A,усал,邪恶
607,dumm::A,акылсыз,笨
608,faul::A,ялкау,懒惰
609,faul::A,иренчәк,懒惰
610,fleißig::A,тырыш,勤奋
611,fleißig::A,тырышучан,勤奋
612,geizig::A,саран,吝啬
613,klug::A,акыллы,聪明
614,geschickt::A,маһир,灵巧
615,lieb::A,сөекле,可爱
616,lustig::A,күңелле,快乐
617,sanft::A,басынкы,柔和
618,hungrig::A,ач,饥饿
619,krank::A,чирле,患病
620,krank::A,сырхау,患病
621,nackt::A,шәрә,裸体
622,traurig::A,ямансу,悲哀
623,lebendig::A,тере,活
624,gut::A,яхшы,好
625,schlecht::A,начар,坏
626,richtig::A,дөрес,正确
627,schlimm::A,әшәкә,糟糕
628,wahr::A,чып-чын,真
629,alt::A,иске,旧
630,neu::A,яңа,新
631,ehemalig::A,элекке,以前
632,alt[Lebewesen]::A,карт,老
633,jung::A,яшь,年轻
634,arm::A,фәкыйрь,贫穷
635,reich::A,бай,富裕
636,bekannt::A,таныш,出名
637,berühmt::A,атаклы,著名
638,fremd::A,ят,陌生
639,verschieden::A,төрле,不同
640,nah::A,якын,近
641,fern::A,ерак,遥远
642,linker::A,сул,左
643,rechter::A,уң,右
644,anderer::A,бүтән,别的
645,erster::A,беренче,第一
646,zweiter::A,икенче,第二
647,dritter::A,өченче,第三
648,letzter::A,ахыргы,最后
649,allein::ADV,ялгыз,单独
650,auf einmal::ADV,бердән,同时
651,zusammen::ADV,бергә,一起
652,lange::ADV,озак,许久
653,plötzlich::ADV,искәрмәстән,忽然
654,sofort::ADV,хәзер,立刻
655,später::ADV,соңрак,以后
656,jetzt::ADV,хәзер,现在
657,heute::ADV,бүген,今天
658,morgen::ADV,иртәгә,明天
659,bald::ADV,тиздән,即将
660,dann::ADV,аннары,然后
661,gestern::ADV,кичә,昨天
662,einst::ADV,берчак,曾经
663,damals::ADV,ул вакытта,当时
664,damals::ADV,ул чакта,当时
665,danach::ADV,да,随后
666,vorher::ADV,элек,事先
667,zuerst::ADV,башта,首先
668,einmal::ADV,бер,一次
669,einmal::ADV,бер мәртәбә,一次
670,manchmal::ADV,кайчакта,有时
671,oft::ADV,еш,时常
672,immer::ADV,һәркайчан,总是
673,niemals::ADV,hичбер вакыт,从未
674,hier::ADV,монда,这里
675,hier::ADV,биредә,这里
676,hierhin::ADV,монда,到这里
677,von hier::ADV,моннан,由此
678,dort::ADV,анда,那里
679,dorthin::ADV,тегеләй,到那里
680,geradeaus::ADV,турыдан-туры,一直往前
681,vorwärts::ADV,алга,向前
682,rückwärts::ADV,кире,向后
683,zurück::ADV,кире,退后
684,unten::ADV,түбәндә,下面
685,hinab::ADV,аска,向下
686,oben::ADV,өстә,上面
687,oben::ADV,югарыда,上面
688,hinauf::ADV,өскә,向上
689,überall::ADV,hәркайда,到处
690,nicht::ADV,түгел,不
691,ein wenig::ADV,бераз,一点儿
692,kaum::ADV,көчкә,几乎不
693,sehr::ADV,бик,很
694,so::ADV,алай,如此
695,noch::ADV,янә,还
696,noch::ADV,тагын,还
697,nur::ADV,фәкать,只
698,schon::ADV,инде,已经
699,wieder::ADV,янә,又
700,wieder::ADV,тагын,又
701,vergebens::ADV,юкка,
702,vor::PRP,алдыннан,在...面前
703,hinter::PRP,арттан,在...背后
