,Concept_ID,az,lbe
0,Auge::N,göz,я
1,Ohr::N,qulaq,вичӏи
2,Nase::N,burun,май
3,Mund::N,ağız,кьацӏ
4,Zahn::N,diş,ккарччи
5,Zunge::N,dil,маз
6,Lippe::N,dodaq,мурччи
7,Wange::N,yanaq,чӏав
8,Gesicht::N,üz,лажин
9,Stirn::N,alın,ненттабакӏ
10,Haar::N,saç,чӏара
11,Schnurrbart::N,bığ,ссирссилтту
12,Bart::N,saqqal,чӏири
13,Kinn::N,çənə,лунттубакӏ
14,Kiefer[Anatomie]::N,çənə,ххинчулул
15,Kehle::N,boğaz,кьакьари
16,Hals::N,boyun,ссурссу
17,Genick::N,ənsə,махъабакӏ
18,Kopf::N,baş,бакӏ
19,Rücken::N,bel,ттиликӏ
20,Bauch::N,qarın,лякьа
21,Nabel::N,göbək,цӏумуккутӏ
22,Busen::N,məmə,ккукку
23,Brust::N,döş,хъазам
24,Schulter::N,çiyin,хъачӏ
25,Arm::N,qol,ка
26,Ellenbogen::N,dirsək,ссюрхъ
27,Hand::N,əl,бартка
28,Handfläche::N,ovuc,хъат
29,Handfläche::N,ovuc,битӏянхъ
30,Finger::N,barmaq,кӏисса
31,Fingernagel::N,barmaq dırnağı,михь
32,Nagel[Anatomie]::N,dırnak,михь
33,Zeh::N,ayaq barmağı,кӏисса
34,Fuß::N,ayaq,чӏанччан
35,Ferse::N,daban,никъа
36,Knie::N,diz,ник
37,Oberschenkel::N,bud,жира
38,Bein::N,qıç,ччан
39,Körper::N,əndam,чурх
40,Haut::N,dəri,бурчу
41,Blut::N,qan,оь
42,Ader::N,damar,тунну
43,Sehne::N,vətər,хьхьа
44,Knochen::N,sümük,ттаркӏ
45,Gehirn::N,beyin,ня
46,Herz::N,ürək,дакӏ
47,Herz::N,ürək,къюкӏ
48,Magen::N,mədə,лякьа
49,Leber::N,qara ciyər,
50,Atem::N,nəfəs,ссихӏ ласаву
51,Atem::N,nəfəs,ссихӏ бигьаву
52,Hunger::N,aclıq,ккаши
53,Träne::N,göz yaşı,макь
54,Geschmack::N,tam,тӏин
55,Geschmack::N,tam,тӏааьн
56,Geschmack::N,ləzzət,тӏин
57,Geschmack::N,ləzzət,тӏааьн
58,Geruch::N,qoxu,кьанкь
59,Schlaf::N,yuxu,шану
60,Traum::N,röya,макӏру
61,Himmel::N,göy,ссав
62,Himmel::N,səma,ссав
63,Sonne::N,günəş,баргъ
64,Mond::N,ay,барз
65,Stern::N,ulduz,цӏуку
66,Luft::N,hava,гьава
67,Wind::N,yel,марч
68,Wind::N,külək,марч
69,Welle::N,dalğa,щатӏи
70,Wasser::N,su,щин
71,Stein::N,daş,чару
72,Boden::N,yer,аьрщи
73,Boden::N,zəmin,аьрщи
74,Erde::N,yer torpaq,аьрщи
75,Staub::N,toz,ххит
76,Rauch::N,tüstü,пуркӏу
77,Funke::N,qığılcım,пиягь
78,Feuer::N,od,цӏу
79,Licht::N,işıq,чани
80,Schatten::N,kölgə,ххют
81,Wetter::N,hava,гьава
82,Nebel::N,duman,шархь ттурлу
83,Wolke::N,bulud,ттурлу
84,Regen::N,yağış,гъарал
85,Regen::N,yağmur,гъарал
86,Schnee::N,qar,марххала
87,Eis::N,buz,микӏ
88,Frost::N,ayaz,дяркъу
89,Frost::N,ayaz,замгьар
90,Kälte::N,soyuq,дяркъу
91,Hitze::N,coşğunluq,кӏиришиву
92,Raureif::N,qırov,сил
93,Raureif::N,qırov,бурса
94,Regenbogen::N,göy qurşağı,ссурул ккуртта
95,Donner::N,göy gurultusu,къув
96,Strömung::N,axın,экьинанаву
97,Tropfen::N,damcı,кӏунтӏ
98,Schaum::N,köpük,хьама
99,Schmutz::N,çamır,кьяркьи
100,See::N,göl,бяр
101,Sumpf::N,bataqlıq,кунцӏа
102,Moor::N,bataqlıq,
103,Wiese::N,çəmən,кьан
104,Wald::N,meşə,вацӏа
105,Hügel::N,təpə,бакӏу
106,Anhöhe::N,təpə,
107,Berg::N,dağ,зунтту
108,Gipfel::N,zirvə,мицӏ
109,Höhle::N,mağara,нух
110,Abhang::N,yamac,сун
111,Quelle::N,bulaq,дайдихьу
112,Quelle::N,bulaq,бакӏ
113,Bach::N,kiçik çay,чӏрир нех
114,Fluss::N,çay,нех
115,Ufer::N,kənar,зума
116,Küste::N,sahil,зумаинхалу
117,Küste::N,sahil,зуманицӏалу
118,Festland::N,materik,кьири
119,Meer::N,dəniz,хьхьири
120,Bucht::N,körfəz,
121,Insel::N,ada,жазира
122,Blume::N,çiçək,тӏутӏи
123,Gras::N,ot,уртту
124,Wurzel::N,kök,мархха
125,Baum::N,ağac,мурхь
126,Stamm::N,gövdə,ттарцӏ
127,Rinde::N,qabıq,ккамара
128,Ast::N,şax,матӏи
129,Zweig::N,budaq,къяртта
130,Blatt::N,yarpaq,чӏапӏи
131,Birke::N,tozağacı,кӏялахӏи
132,Birke::N,tozağacı,кӏялахӏилул мурхь
133,Kiefer[Baum]::N,şam,ттар
134,Kiefer[Baum]::N,şam,ттарлил мурхь
135,Weide[Baum]::N,söyüd,щавщи
136,Tanne::N,küknar,ттарлил мурхь
137,Horn::N,buynuz,хъи
138,Feder::N,tük,лелуххул тӏиму
139,Feder::N,lələk,лелуххул тӏиму
140,Fell::N,xəz,бурчу
141,Flügel::N,qanad,хъа
142,Flügel::N,qanad,ххурупӏайрал тӏиму
143,Klaue::N,pəncə,михь
144,Kralle::N,dırnaq,ххяппа
145,Schwanz::N,quyruq,магъ
146,Ei::N,yumurta,ккунук
147,Nest::N,yuva,кюру
148,Bau::N,yuva,цукъуккутӏ
149,Tier::N,heyvan,хӏайван
150,Herde::N,sürü,газу
151,Kuh::N,inək,оьл
152,Bulle::N,öküz,ниц
153,Pferd::N,at,чу
154,Schaf::N,qoyun,тта
155,Schwein::N,donuz,дунгъуз
156,Hund::N,it,ккаччи
157,Hund::N,köpək,ккаччи
158,Katze::N,pişik,ччиту
159,Bär::N,ayı,цуша
160,Eichhörnchen::N,dələ,бюрхттукку
161,Elch::N,sığın,ниц-бюрин
162,Fuchs::N,tülkü,цулчӏа
163,Fuchs::N,tülkü,куча цулчӏа
164,Hase::N,dovşan,бюрх
165,Maus::N,siçan,кӏулу
166,Wolf::N,qurd,барцӏ
167,Vogel::N,quş,лелуххи
168,Schwarm::N,sürü,гьухъала
169,Huhn::N,toyuq,аьнакӏи
170,Hahn::N,xoruz,ажари
171,Gans::N,qaz,къаз
172,Adler::N,qartal,барзу
173,Adler::N,qaraquş,барзу
174,Ente::N,ördək,урдак
175,Eule::N,bayquş,ису
176,Eule::N,bayquş,ччиккумяв
177,Kranich::N,durna,кьурукь
178,Krähe::N,qarğa,хъатӏу
179,Kuckuck::N,ququ,ччикку
180,Schwan::N,qu quşu,урттил къаз
181,Fisch::N,balıq,чавахъ
182,Barsch::N,tar,
183,Hecht::N,durnabalığı,
184,Schlange[Tier]::N,ilan,шатта
185,Wurm::N,qurd,кьюнукьай шатта
186,Spinne::N,hörümçək,ххялцу
187,Ameise::N,qarışqa,митӏикьукьу
188,Laus::N,bit,
189,Mücke::N,ağcaqanad,мичӏак
190,Fliege::N,milçək,зимиз
191,Schmetterling::N,kəpənək,чӏимучӏали
192,Beere::N,gilə,хӏаллил ахъулсса
193,Apfel::N,alma,гьивч
194,Pilz::N,göbələk,ттуккул иис
195,Zwiebel::N,soğan,лаччул чсмусул бакӏ
196,Saat::N,əkin,гьанна
197,Korn::N,taxıl,къама
198,Heu::N,quru ot,ххулув
199,Schale::N,qabıq,ккиртту
200,Grube::N,çuxur,кӏаланг
201,Falle::N,tələ,къатӏа
202,Falle::N,duzaq,къатӏа
203,Schlinge::N,ilmək,хӏатӏ
204,Spur::N,iz,ша
205,Asche::N,kül,лах
206,Dreck::N,kir,кьяркьи
207,Dreck::N,kir,венп
208,Eisen::N,dəmir,мах
209,Gold::N,altun,муси
210,Silber::N,gümüş,арцу
211,Kohle::N,kömür,кӏалаш
212,Kohle::N,kömür,хъуручӏ
213,Glas::N,şüşə,пюрун
214,Lehm::N,gil,сина аьрщи
215,Lehm::N,palçıq,сина аьрщи
216,Sand::N,qum,къун
217,Mensch::N,adam,инсан
218,Mensch::N,insan,инсан
219,Mann::N,kişi,чув
220,Mann::N,kişi,адимина
221,Frau::N,qadın,щарсса
222,Frau::N,qadın,хъамитайпа
223,Kind::N,uşaq,чӏиви оьрчӏ
224,Junge::N,oğlan,оьрчӏ
225,Junge::N,oğlan,бурхьин оьрчӏ
226,Mädchen::N,qız,душ
227,Familie::N,ailə,кулпат
228,Großvater::N,baba,ттатта
229,Großvater::N,baba,ниттил ппу
230,Großmutter::N,nənə,буттал нину
231,Eltern::N,valideyn,нину-ппу
232,Vater::N,ata,ппу
233,Mutter::N,ana,нину
234,Sohn::N,oğul,арс
235,Tochter::N,qız,душ
236,Bruder::N,qardaş,уссу
237,Schwester::N,bacı,ссу
238,Onkel::N,əmi,буттауссу
239,Onkel::N,dayı,буттауссу
240,Tante::N,bibi,буттал ссу
241,Ehemann::N,ər,лас
242,Ehefrau::N,arvad,щар
243,Ehefrau::N,arvad,щарсса
244,Freude::N,nəşə,шадшиву
245,Freude::N,nəşə,ххаришиву
246,Freude::N,sevinc,шадшиву
247,Freude::N,sevinc,ххаришиву
248,Gelächter::N,gülüş,хъяхъаву
249,Gelächter::N,qəhqəhə,хъяхъаву
250,Glück::N,səadət,талихӏ
251,Glück::N,xoşbəxtlik,талихӏ
252,Kummer::N,qəm,дард
253,Kummer::N,kədər,дард
254,Wunsch::N,arzu,мурад
255,Lust::N,həvəs,гьавас
256,Lust::N,həvəs,ччаву
257,Geist::N,ruh,рухӏ
258,Gedanke::N,fikir,пикри
259,Gedanke::N,düşüncə,пикри
260,Gedächtnis::N,xatir,дакӏний личӏаву
261,Gedächtnis::N,hafizə,дакӏний личӏаву
262,Verstand::N,ağıl,аькьлу
263,Sinn::N,məna,мяъна
264,Grund::N,səbəb,багьана
265,Wahrheit::N,haqq,тӏайламур
266,Wahrheit::N,haqq,хӏакьмур
267,Wahrheit::N,doğruluq,тӏайламур
268,Wahrheit::N,doğruluq,хӏакьмур
269,Gespräch::N,söhbət,ихтилат
270,Gespräch::N,qonuşma,ихтилат
271,Märchen::N,nağıl,магьа
272,Erzählung::N,hekayə,хавар
273,Nachricht::N,xəbər,хавар
274,Neuigkeit::N,xəbər,хавар
275,Neuigkeit::N,yenilik,хавар
276,Name::N,ad,цӏа
277,Rätsel::N,tapmaca,ссигьа
278,Rede::N,nitq,гъалгъа
279,Sprache::N,dil,маз
280,Stimme::N,səs,чӏу
281,Stimme::N,səs,чӏукӏа
282,Wort::N,söz,махъ
283,Wort::N,kəlmə,махъ
284,Zeichen::N,nişan,лишан
285,Ruf::N,çığırtı,
286,Lärm::N,gurultu,чӏу
287,Laut::N,səs,чӏу
288,Ton::N,ton,чӏу
289,Lied::N,mahnı,балай
290,Ruhe::N,sakitlik,дигьалагру
291,Leute::N,xalq,инсантал
292,Volk::N,millət,ил
293,Volk::N,millət,халкь
294,Arbeit::N,iş,заву
295,Arbeit::N,əmək,заву
296,Gast::N,qonaq,хъамаличу
297,Gast::N,müsafir,хъамаличу
298,Geschenk::N,hədiyyə,бухчакарши
299,Geschenk::N,hədiyyə,лажинккакку
300,Spiel::N,oyun,тӏуркӏу
301,Spiel::N,tamaşa,тӏуркӏу
