,Concept_ID,sah,ba
0,Auge::N,харах,күҙ
1,Ohr::N,кулгаах,ҡолаҡ
2,Nase::N,мурун,танау
3,Mund::N,айах,ауыҙ
4,Zahn::N,тиис,теш
5,Zunge::N,тыл,тел
6,Lippe::N,уос,ирен
7,Wange::N,иэдэс,яцаҡтар
8,Gesicht::N,сирэй,бит
9,Stirn::N,сүүс,маңлай
10,Haar::N,баттах,сәс
11,Schnurrbart::N,уос бытыга,мылтыҡ
12,Bart::N,сэҥийэ бытыга,һаҡал
13,Kinn::N,сэҥийэ,эйэк
14,Kiefer[Anatomie]::N,сыҥаах,яңаҡ һөйәге
15,Kehle::N,тамах,тамаҡ
16,Kehle::N,күөмэй,тамаҡ
17,Hals::N,моой,муйын
18,Genick::N,кэтэх,соңҡа
19,Kopf::N,бас,баш
20,Rücken::N,көҕүс,арҡа
21,Bauch::N,ис,ҡорһаҡ
22,Nabel::N,киин,кендек
23,Busen::N,эмиий,күкрәк
24,Brust::N,түөс,түш
25,Schulter::N,сарын,яурын
26,Arm::N,илии,ҡул
27,Ellenbogen::N,тоҕонох,терһәк
28,Hand::N,илии,ҡул
29,Hand::N,илии,ҡул суғы
30,Handfläche::N,ытыс,ус төбө
31,Finger::N,тарбах,бармаҡ
32,Fingernagel::N,тыҥырах,тырнаҡ
33,Nagel[Anatomie]::N,тыҥырах,тырнаҡ
34,Zeh::N,тарбах,бармаҡ
35,Fuß::N,уллуҥах,табан
36,Ferse::N,тилэх,үксә
37,Knie::N,тобук,тубыҡ
38,Knie::N,дьилбэк,тубыҡ
39,Oberschenkel::N,уллук,сандыр
40,Oberschenkel::N,өттүк,сандыр
41,Bein::N,атах,аяҡ
42,Körper::N,бэйэ,тән
43,Haut::N,тирии,тире
44,Blut::N,хаан,ҡан
45,Ader::N,вена,тамыр
46,Ader::N,күөх_тымыр,тамыр
47,Sehne::N,иҥиир,һеңер
48,Sehne::N,иҥиир,тарамыш
49,Knochen::N,уҥуох,һойәк
50,Knochen::N,уҥгуох,һойәк
51,Gehirn::N,мэйии,мейе
52,Herz::N,сүрэх,йорәк
53,Magen::N,куртах,ашҡаҙан
54,Leber::N,быар,бауыр
55,Atem::N,тыын,һулыш
56,Hunger::N,аас,аслыҡ
57,Träne::N,харах уута,күҙ иәше
58,Geschmack::N,амтан,тәм
59,Geruch::N,сыт,еҫ
60,Schlaf::N,утуйуу,йоҡлау
61,Traum::N,түүл,төш
62,Himmel::N,халлаан,күк
63,Sonne::N,күн,ҡояш
64,Mond::N,ый,ай
65,Stern::N,сулус,йондоҙ
66,Luft::N,салгын,һауа
67,Wind::N,тыал,ел
68,Welle::N,долгун,тулҡын
69,Welle::N,балхаан,тулҡын
70,Wasser::N,уу,һыу
71,Stein::N,таас,таш
72,Boden::N,сир,тупраҡ
73,Erde::N,буор,балсҡ
74,Staub::N,быыл,туҙан
75,Rauch::N,буруо,төтөн
76,Funke::N,кыым,осҡон
77,Feuer::N,уот,ут
78,Licht::N,уот,яҡтылыҡ
79,Schatten::N,күлүк,күләгә
80,Wetter::N,күн-дьыл,һауа торошо
81,Nebel::N,туман,төман
82,Wolke::N,былыт,болот
83,Regen::N,самыыр,ямғыр
84,Schnee::N,хаар,ҡар
85,Eis::N,муус,боҙ
86,Frost::N,тымныы,һалҡын
87,Kälte::N,тымныы,һыуыҡ
88,Hitze::N,куйаас,томра
89,Hitze::N,куйаас,эҫелек
90,Raureif::N,кырыа,ҡырау
91,Regenbogen::N,кустук,йәйғор
92,Donner::N,этиҥ,күк күкрәү
93,Strömung::N,сүүрүк,ағым
94,Tropfen::N,таммах,тамсы
95,Tropfen::N,хааппыла,тамсы
96,Schaum::N,күүгэн,күбек
97,Schmutz::N,кир,батҡаҡ
98,See::N,күөл,күл
99,Sumpf::N,бадараан,һаҙлык
100,Moor::N,дьэбэрэ,һаҙ
101,Wiese::N,ходуһа,болон
102,Wald::N,ойуур,урман
103,Hügel::N,булгунньах,түбә
104,Anhöhe::N,үрдэл,түбә
105,Anhöhe::N,үрдэл,ҡалҡыулыҡ
106,Berg::N,хайа,тау
107,Gipfel::N,чыпчаал,түбә
108,Höhle::N,хайа_хаспаҕа,мәмерйә
109,Höhle::N,көҥүс,мәмерйә
110,Abhang::N,эниэ,ипкен
111,Quelle::N,дьүүктэ,шишмә
112,Bach::N,үрүйэ,шишмә
113,Fluss::N,өрүс,йылға
114,Ufer::N,биэрэк,яр
115,Küste::N,кытыл,яр буйы
116,Festland::N,кураанах сир,ҡоро ер
117,Meer::N,муора,диңгез
118,Bucht::N,хомо,бухта
119,Bucht::N,бухта,бухта
120,Insel::N,арыы,үтрау
121,Blume::N,сибэкки,сәскә
122,Gras::N,от,үлән
123,Wurzel::N,силис,тамыр
124,Baum::N,мас,ағас
125,Stamm::N,умнас,олон
126,Stamm::N,умнас,көбәк
127,Rinde::N,хатырык,ҡабыҡ
128,Ast::N,мутук,ботаҡ
129,Zweig::N,лабаа,ботаҡ
130,Zweig::N,лабаа,тармаҡ
131,Blatt::N,сэбирдэх,япраҡ
132,Birke::N,хатыҥ,ҡайын
133,Kiefer[Baum]::N,бэс,ҡарғай
134,Weide[Baum]::N,үөт,тал
135,Weide[Baum]::N,талах,тал
136,Tanne::N,харыйа,шыршы
137,Horn::N,муос,мөғөҙ
138,Feder::N,куорсун,ҡауырһын
139,Fell::N,тирии,тире
140,Flügel::N,кынат,ҡанат
141,Klaue::N,тыҥырах,тырнаҡ
142,Kralle::N,баппаҕай,аяҡ
143,Schwanz::N,кутурук,ҡойроҡ
144,Ei::N,сымыыт,йомортҡа
145,Nest::N,уйа,оя
146,Bau::N,хороон,оң
147,Tier::N,кыыл,жайуан
148,Tier::N,кыыл,йыртҡыс
149,Tier::N,харамай,жайуан
150,Tier::N,харамай,йыртҡыс
151,Herde::N,үөр,көтөү
152,Kuh::N,ынах,һыйыр
153,Bulle::N,оҕус,үгеҙ
154,Pferd::N,сылгы,ат
155,Schaf::N,овца,һарыҡ
156,Schwein::N,сибиинньэ,сусҡа
157,Hund::N,ыт,эт
158,Katze::N,куоска,бесәй
159,Bär::N,эһэ,айыу
160,Eichhörnchen::N,тииҥ,тейен
161,Elch::N,тайах,мышы
162,Fuchs::N,саһыл,төлкө
163,Hase::N,куобах,ҡуян
164,Maus::N,кутуйах,сысҡан
165,Wolf::N,бөрө,бүре
166,Vogel::N,көтөр,ҡош
167,Schwarm::N,бөлөх,көтөү
168,Huhn::N,куурусса,тауыҡ
169,Hahn::N,бөтүүк,әтәс
170,Gans::N,хаас,ҡаҙ
171,Adler::N,хотой,бөркөт
172,Ente::N,кус,өйрәк
173,Eule::N,мэкчиргэ,өкө
174,Eule::N,мэкчиргэ,ябалаҡ
175,Kranich::N,туруйа,торна
176,Krähe::N,тураах,ҡарға
177,Kuckuck::N,кэҕэ,кәкүк
178,Schwan::N,куба,аҡҡош
179,Fisch::N,балык,балыҡ
180,Barsch::N,алыһар,алабуға
181,Hecht::N,сордон,суртан
182,Schlange[Tier]::N,моҕой,йылан
183,Schlange[Tier]::N,эриэн үөн,йылан
184,Wurm::N,үөн,селяүсен
185,Spinne::N,ооҕуй,үрмәксе
186,Ameise::N,кымырдаҕас,ҡырмыҫҡа
187,Laus::N,быт,бет
188,Mücke::N,кумаар,серәкәй
189,Fliege::N,сахсырҕа,себен
190,Schmetterling::N,лыах,күбәләк
191,Schmetterling::N,үрүмэччи,күбәләк
192,Beere::N,отон,еләк
193,Apfel::N,яблоко,алма
194,Pilz::N,тэллэй,бәшмәк
195,Zwiebel::N,луук,һуган
196,Saat::N,сиэмэ,орлоҡ
197,Korn::N,сиэмэ,иген
198,Heu::N,от,бесән
199,Schale::N,хах,ҡабыҡ
200,Grube::N,дьаама,соҡор
201,Falle::N,сохсо,тоҙак
202,Falle::N,сохсо,ҡапҡан
203,Schlinge::N,уктаа,тоҙак
204,Spur::N,суол,әҫер
205,Asche::N,күл,көл
206,Dreck::N,бадараан,батҡаҡ
207,Eisen::N,тимир,тимер
208,Gold::N,көмүс,алтын
209,Gold::N,кыһыл көмүс,алтын
210,Silber::N,көмүс,көмөш
211,Silber::N,үрүҥ көмүс,көмөш
212,Kohle::N,чох,күмер
213,Glas::N,өстүөкүлэ,быяла
214,Lehm::N,туой,балсыҡ
215,Sand::N,кумах,ҡом
216,Mensch::N,киһи,кеше
217,Mann::N,эр,ир
218,Frau::N,дьахтар,ҡатын
219,Kind::N,оҕо,бала
220,Junge::N,уол,малай
221,Mädchen::N,кыыс оҕо,ҡыҙ
222,Mädchen::N,кыыс оҕо,ҡыҙыҡай
223,Familie::N,кэргэн,ғаилә
224,Großvater::N,эһэ,олатай
225,Großmutter::N,эбэ,әбәй
226,Eltern::N,аҕа-ийэ,ата-әсә
227,Vater::N,аҕа,атай
228,Mutter::N,ийэ,әсә
229,Sohn::N,уол,ул
230,Tochter::N,кыыс,ҡыҙ
231,Bruder::N,убай,агай
232,Bruder::N,быраат,агай
233,Schwester::N,аҕас,алай
234,Schwester::N,аҕас,һеңле
235,Schwester::N,балыс,алай
236,Schwester::N,балыс,һеңле
237,Onkel::N,таай,ағай
238,Onkel::N,абаҕа,ағай
239,Tante::N,эдьиий,апай
240,Ehemann::N,эр,ир
241,Ehefrau::N,ойох,ҡатын
242,Freude::N,үөрүү,шатлыҡ
243,Freude::N,үөрүү,ҡыуаныс
244,Gelächter::N,күлүү,көлөү
245,Glück::N,дьол,бәхет
246,Glück::N,соргу,бәхет
247,Kummer::N,кутурҕан,ҡайғы
248,Wunsch::N,баҕарыы,теләк
249,Lust::N,баҕа,әүәҫлек
250,Geist::N,тыын,аң
251,Geist::N,тыын,рух
252,Gedanke::N,санаа,уй
253,Gedanke::N,санаа,фекер
254,Gedächtnis::N,өй,хәтер
255,Verstand::N,өй,аҡыл
256,Sinn::N,суолта,мәғәня
257,Grund::N,төрүөт,сәбәп
258,Wahrheit::N,кырдьык,дөрөҫлөк
259,Gespräch::N,бэсиэдэ,әңгәмә
260,Gespräch::N,кэпсэтии,әңгәмә
261,Märchen::N,остуоруйа,әкиәт
262,Erzählung::N,кэпсээн,хикәйә
263,Nachricht::N,биллэриллии,хәбәр
264,Neuigkeit::N,сонун,яңылыҡ
265,Name::N,аат,исем
266,Rätsel::N,таабырын,йомаҡ
267,Rede::N,этии,телмәр
268,Sprache::N,тыл,тел
269,Sprache::N,тыл,телмәр
270,Stimme::N,куолас,тауыш
271,Wort::N,тыл,һүҙ
272,Zeichen::N,бэлиэ,билдә
273,Ruf::N,ыҥырыы,саҡырыу
274,Lärm::N,айдаан,шаулау
275,Laut::N,тыас,тауыш
276,Ton::N,дорҕоон,яңғырау
277,Lied::N,ырыа,йыр
