,Concept_ID,fa,az
0,Auge::N,چشم,göz
1,Ohr::N,گوش,qulaq
2,Nase::N,بینی,burun
3,Mund::N,دهان,ağız
4,Zahn::N,دندان,diş
5,Zunge::N,زبان,dil
6,Lippe::N,لب,dodaq
7,Wange::N,لپ,yanaq
8,Gesicht::N,رو,üz
9,Gesicht::N,چهره,üz
10,Stirn::N,پیشانی,alın
11,Haar::N,مو,saç
12,Schnurrbart::N,سبیل,bığ
13,Bart::N,ریش,saqqal
14,Kinn::N,چانه,çənə
15,Kiefer[Anatomie]::N,فک,çənə
16,Kiefer[Anatomie]::N,آرواره,çənə
17,Kehle::N,حلق,boğaz
18,Hals::N,گردن,boyun
19,Genick::N,پشت گردن,ənsə
20,Kopf::N,سر,baş
21,Kopf::N,کله,baş
22,Rücken::N,پشت,bel
23,Bauch::N,شکم,qarın
24,Nabel::N,ناف,göbək
25,Busen::N,پستان,məmə
26,Brust::N,سینه,döş
27,Schulter::N,دوش,çiyin
28,Schulter::N,شانه,çiyin
29,Arm::N,بازو,qol
30,Ellenbogen::N,آرنج,dirsək
31,Hand::N,دست,əl
32,Handfläche::N,کف دست,ovuc
33,Finger::N,انگشت,barmaq
34,Fingernagel::N,ناخن دست,barmaq dırnağı
35,Nagel[Anatomie]::N,ناخن,dırnak
36,Zeh::N,انگشت پا,ayaq barmağı
37,Fuß::N,پا,ayaq
38,Ferse::N,پاشنه,daban
39,Knie::N,زانو,diz
40,Oberschenkel::N,ران,bud
41,Bein::N,پا,qıç
42,Bein::N,لنگ,qıç
43,Körper::N,تن,əndam
44,Körper::N,بدن,əndam
45,Haut::N,پوست,dəri
46,Blut::N,خون,qan
47,Ader::N,رگ,damar
48,Sehne::N,زردپی,vətər
49,Knochen::N,استخوان,sümük
50,Gehirn::N,مخ,beyin
51,Gehirn::N,مغز,beyin
52,Herz::N,دل,ürək
53,Herz::N,قلب,ürək
54,Magen::N,معده,mədə
55,Leber::N,کبد,qara ciyər
56,Atem::N,نفس,nəfəs
57,Hunger::N,گرسنگی,aclıq
58,Träne::N,اشک,göz yaşı
59,Geschmack::N,مزه,tam
60,Geschmack::N,مزه,ləzzət
61,Geruch::N,بو,qoxu
62,Schlaf::N,خواب,yuxu
63,Traum::N,رؤیا,röya
64,Himmel::N,فلک,göy
65,Himmel::N,فلک,səma
66,Himmel::N,آسمان,göy
67,Himmel::N,آسمان,səma
68,Sonne::N,آفتاب,günəş
69,Sonne::N,خورشید,günəş
70,Mond::N,ماه,ay
71,Stern::N,ستاره,ulduz
72,Luft::N,هوا,hava
73,Wind::N,باد,yel
74,Wind::N,باد,külək
75,Welle::N,موج,dalğa
76,Wasser::N,آب,su
77,Stein::N,سنگ,daş
78,Boden::N,زمین,yer
79,Boden::N,زمین,zəmin
80,Erde::N,خاک,yer torpaq
81,Erde::N,زمین,yer torpaq
82,Staub::N,گرد,toz
83,Staub::N,غبار,toz
84,Rauch::N,دود,tüstü
85,Funke::N,جرقه,qığılcım
86,Feuer::N,آتش,od
87,Licht::N,نور,işıq
88,Licht::N,روشنی,işıq
89,Schatten::N,سایه,kölgə
90,Wetter::N,هوا,hava
91,Nebel::N,مه,duman
92,Wolke::N,ابر,bulud
93,Regen::N,باران,yağış
94,Regen::N,باران,yağmur
95,Schnee::N,برف,qar
96,Eis::N,یخ,buz
97,Frost::N,یخبندان,ayaz
98,Kälte::N,سرما,soyuq
99,Hitze::N,گرما,coşğunluq
100,Hitze::N,حرارت,coşğunluq
101,Raureif::N,برف ریزه,qırov
102,Regenbogen::N,رنگین‌کمان,göy qurşağı
103,Donner::N,رعد,göy gurultusu
104,Strömung::N,جریان,axın
105,Tropfen::N,قطره,damcı
106,Schaum::N,کف,köpük
107,Schmutz::N,گل,çamır
108,Schmutz::N,کثافت,çamır
109,See::N,دریاچه,göl
110,Sumpf::N,مرداب,bataqlıq
111,Sumpf::N,باتلاق,bataqlıq
112,Moor::N,باتلاق,bataqlıq
113,Wiese::N,چمن,çəmən
114,Wald::N,جنگل,meşə
115,Hügel::N,تل,təpə
116,Hügel::N,تپه,təpə
117,Anhöhe::N,بلندی,təpə
118,Berg::N,کوه,dağ
119,Gipfel::N,قله,zirvə
120,Höhle::N,غار,mağara
121,Abhang::N,سرازیری,yamac
122,Quelle::N,چشمه,bulaq
123,Bach::N,نهر,kiçik çay
124,Fluss::N,رود,çay
125,Ufer::N,ساحل,kənar
126,Ufer::N,کرانه,kənar
127,Küste::N,ساحل,sahil
128,Festland::N,خشکی,materik
129,Meer::N,دریا,dəniz
130,Bucht::N,خلیج,körfəz
131,Insel::N,جزیره,ada
132,Blume::N,گل,çiçək
133,Gras::N,علف,ot
134,Wurzel::N,ریشه,kök
135,Baum::N,درخت,ağac
136,Stamm::N,تنه,gövdə
137,Rinde::N,توژ,qabıq
138,Rinde::N,پوست,qabıq
139,Ast::N,شاخه,şax
140,Zweig::N,شاخه,budaq
141,Blatt::N,برگ,yarpaq
142,Birke::N,غان,tozağacı
143,Kiefer[Baum]::N,کاج,şam
144,Weide[Baum]::N,بید,söyüd
145,Tanne::N,صنوبر,küknar
146,Horn::N,شاخ,buynuz
147,Feder::N,پر,tük
148,Feder::N,پر,lələk
149,Fell::N,خز,xəz
150,Flügel::N,پر,qanad
151,Flügel::N,بال,qanad
152,Klaue::N,چنگ,pəncə
153,Klaue::N,پنجه,pəncə
154,Kralle::N,پنجه,dırnaq
155,Schwanz::N,دم,quyruq
156,Ei::N,تخم,yumurta
157,Nest::N,لانه,yuva
158,Bau::N,بنا,yuva
159,Bau::N,ساختمان,yuva
160,Tier::N,هیوان,heyvan
161,Herde::N,رمه,sürü
162,Kuh::N,گاو,inək
163,Bulle::N,گاو نر,öküz
164,Pferd::N,اسب,at
165,Schaf::N,گوسفند,qoyun
166,Schwein::N,خوک,donuz
167,Hund::N,سگ,it
168,Hund::N,سگ,köpək
169,Katze::N,گربه,pişik
170,Bär::N,خرس,ayı
171,Eichhörnchen::N,سنجاب,dələ
172,Elch::N,گوزن شمالی,sığın
173,Fuchs::N,روباه,tülkü
174,Hase::N,خرگوش,dovşan
175,Maus::N,موش,siçan
176,Wolf::N,گرگ,qurd
177,Vogel::N,پرنده,quş
178,Schwarm::N,دسته,sürü
179,Huhn::N,مرغ,toyuq
180,Hahn::N,خروس,xoruz
181,Gans::N,غاز,qaz
182,Adler::N,عقاب,qartal
183,Adler::N,عقاب,qaraquş
184,Ente::N,اردک,ördək
185,Ente::N,مرغابی,ördək
186,Eule::N,جغد,bayquş
187,Kranich::N,درنا,durna
188,Krähe::N,زاغ,qarğa
189,Krähe::N,کلاغ,qarğa
190,Kuckuck::N,فاخته,ququ
191,Schwan::N,قو,qu quşu
192,Fisch::N,ماهی,balıq
193,Barsch::N,ماهی خاردار,tar
194,Hecht::N,اردک ماهی,durnabalığı
195,Schlange[Tier]::N,مار,ilan
196,Wurm::N,کرم,qurd
197,Spinne::N,عنکبوت,hörümçək
198,Ameise::N,مورچه,qarışqa
199,Laus::N,شپش,bit
200,Mücke::N,پشه,ağcaqanad
201,Fliege::N,مگس,milçək
202,Schmetterling::N,پروانه,kəpənək
203,Beere::N,گیله,gilə
204,Apfel::N,سیب,alma
205,Pilz::N,قارچ,göbələk
206,Zwiebel::N,پیاز,soğan
207,Saat::N,بذر,əkin
208,Korn::N,تخم,taxıl
209,Korn::N,دانه,taxıl
210,Heu::N,علف خشک,quru ot
211,Schale::N,پوست,qabıq
212,Grube::N,گودال,çuxur
213,Falle::N,دام,tələ
214,Falle::N,دام,duzaq
215,Schlinge::N,حلقه,ilmək
216,Spur::N,رد,iz
217,Asche::N,خاکستر,kül
218,Dreck::N,کثافت,kir
219,Eisen::N,آهن,dəmir
220,Gold::N,زر,altun
221,Gold::N,طلا,altun
222,Silber::N,نقره,gümüş
223,Kohle::N,زغال,kömür
224,Glas::N,شیشه,şüşə
225,Lehm::N,گل,gil
226,Lehm::N,گل,palçıq
227,Sand::N,شن,qum
228,Sand::N,ماسه,qum
229,Mensch::N,آدم,adam
230,Mensch::N,آدم,insan
231,Mensch::N,انسان,adam
232,Mensch::N,انسان,insan
233,Mann::N,مرد,kişi
234,Frau::N,زن,qadın
235,Kind::N,بچه,uşaq
236,Kind::N,کودک,uşaq
237,Junge::N,پسر,oğlan
238,Mädchen::N,دختر,qız
239,Familie::N,فامیل,ailə
240,Familie::N,خانواده,ailə
241,Großvater::N,پدربزرگ,baba
242,Großmutter::N,مادر‌بزرگ,nənə
243,Eltern::N,والدین,valideyn
244,Eltern::N,پدر‌و‌مادر,valideyn
245,Vater::N,پدر,ata
246,Mutter::N,مادر,ana
247,Sohn::N,پسر,oğul
248,Tochter::N,دختر,qız
249,Bruder::N,برادر,qardaş
250,Schwester::N,خواهر,bacı
251,Onkel::N,عمو,əmi
252,Onkel::N,عمو,dayı
253,Onkel::N,دایی,əmi
254,Onkel::N,دایی,dayı
255,Tante::N,عمه,bibi
256,Tante::N,خاله,bibi
257,Ehemann::N,همسر,ər
258,Ehefrau::N,همسر,arvad
259,Freude::N,شادی,nəşə
260,Freude::N,شادی,sevinc
261,Gelächter::N,خنده,gülüş
262,Gelächter::N,خنده,qəhqəhə
263,Gelächter::N,قاه‌قاه,gülüş
264,Gelächter::N,قاه‌قاه,qəhqəhə
265,Glück::N,اقبال,səadət
