,Concept_ID,,lt
0,Auge::N,,akis
1,Ohr::N,,ausis
2,Nase::N,,nosis
3,Mund::N,,burna
4,Zahn::N,,dantis
5,Zunge::N,,liežuvis
6,Lippe::N,,lūpa
7,Wange::N,,žandas
8,Wange::N,,skruostas
9,Gesicht::N,,veidas
10,Stirn::N,,kakta
11,Haar::N,,plaukai
12,Schnurrbart::N,,ūsai
13,Bart::N,,barzda
14,Kinn::N,,smakras
15,Kiefer[Anatomie]::N,,žandikaulis
16,Kehle::N,,gerklė
17,Hals::N,,kaklas
18,Genick::N,,sprandas
19,Kopf::N,,galva
20,Rücken::N,,nugara
21,Bauch::N,,pilvas
22,Nabel::N,,bamba
23,Busen::N,,krūtinė
24,Brust::N,,krūtis
25,Schulter::N,,petys
26,Arm::N,,ranka
27,Ellenbogen::N,,alkūnė
28,Hand::N,,ranka
29,Hand::N,,plaštaka
30,Handfläche::N,,delnas
31,Handfläche::N,,plaštaka
32,Finger::N,,pirštas
33,Fingernagel::N,,nagas
34,Nagel[Anatomie]::N,,nagas
35,Zeh::N,,pirštas
36,Fuß::N,,pėda
37,Ferse::N,,kulnas
38,Knie::N,,kelis
39,Oberschenkel::N,,kulšis
40,Oberschenkel::N,,šlaunis
41,Bein::N,,koja
42,Körper::N,,kūnas
43,Haut::N,,oda
44,Blut::N,,kraujas
45,Ader::N,,kraujagyslė
46,Sehne::N,,sausgyslė
47,Knochen::N,,kaulas
48,Gehirn::N,,smegenys
49,Herz::N,,širdis
50,Magen::N,,skrandis
51,Leber::N,,kepenys
52,Atem::N,,kvapas
53,Hunger::N,,badas
54,Hunger::N,,alkis
55,Träne::N,,ašara
56,Geschmack::N,,skonis
57,Geruch::N,,kvapas
58,Schlaf::N,,miegas
59,Traum::N,,sapnas
60,Himmel::N,,dangus
61,Sonne::N,,saulė
62,Mond::N,,mėnulis
63,Stern::N,,žvaigždė
64,Luft::N,,oras
65,Wind::N,,vėjas
66,Welle::N,,banga
67,Welle::N,,vilnis
68,Wasser::N,,vanduo
69,Stein::N,,akmuo
70,Boden::N,,žemė
71,Boden::N,,dugnas
72,Erde::N,,žemė
73,Staub::N,,dulkės
74,Rauch::N,,dūmai
75,Funke::N,,kibirkštis
76,Feuer::N,,ugnis
77,Licht::N,,šviesa
78,Schatten::N,,paūksmė
79,Wetter::N,,oras
80,Nebel::N,,migla
81,Nebel::N,,rūkas
82,Wolke::N,,debesis
83,Regen::N,,lietus
84,Schnee::N,,sniegas
85,Eis::N,,ledas
86,Frost::N,,šalna
87,Kälte::N,,šaltis
88,Hitze::N,,karštis
89,Raureif::N,,šerkšnas
90,Regenbogen::N,,vaivorykštė
91,Donner::N,,perkūnas
92,Donner::N,,griaustinis
93,Strömung::N,,tėkmė
94,Tropfen::N,,lašas
95,Schaum::N,,putos
96,Schmutz::N,,purvas
97,See::N,,ežeras
98,Sumpf::N,,klampynė
99,Sumpf::N,,liūnas
100,Moor::N,,pelkė
101,Wiese::N,,pieva
102,Wald::N,,miškas
103,Hügel::N,,kalva
104,Anhöhe::N,,kauburys
105,Berg::N,,kalnas
