,Concept_ID,te,hi
0,Auge::N,కన్ను,आँख
1,Auge::N,కన్ను,चक्षु
2,Ohr::N,చెవి,कान
3,Ohr::N,చెవి,कर्ण
4,Nase::N,ముక్కు,नाक
5,Nase::N,ముక్కు,नासा
6,Mund::N,నోరు,मुख
7,Mund::N,నోరు,मुँह
8,Zahn::N,పల్లు,दंत
9,Zahn::N,పల్లు,दाँत
10,Zunge::N,నాలుక,जीभ
11,Zunge::N,నాలుక,ज़बान
12,Zunge::N,నాలుక,जिह्वा
13,Lippe::N,పెదవి,ओंठ
14,Lippe::N,పెదవి,होंठ
15,Wange::N,చెంప,गाल
16,Wange::N,చెంప,कपोल
17,Gesicht::N,ముఖము,मुँह
18,Gesicht::N,ముఖము,चेहरा
19,Stirn::N,నుదురు,माथा
20,Stirn::N,నుదురు,मस्तक
21,Haar::N,వెండ్రుక,बाल
22,Schnurrbart::N,మీసము,मूँछें
23,Bart::N,గడ్డము,दाढ़ी
24,Kinn::N,గడ్డము,चिबुक
25,Kiefer[Anatomie]::N,దౌడ,जबड़ा
26,Kehle::N,గొంతు,गला
27,Hals::N,మెడ,गला
28,Hals::N,మెడ,गरदन
29,Genick::N,మూపు,गरदन
30,Genick::N,మూపు,ग्रीवा
31,Kopf::N,తల,सिर
32,Kopf::N,తల,शीर्ष
33,Rücken::N,వెన్ను,पीठ
34,Bauch::N,కడుపు,उदर
35,Nabel::N,బొడ్డు,नाभि
36,Nabel::N,బొడ్డు,ढोंढी
37,Busen::N,స్తనము,कुच
38,Busen::N,స్తనము,स्तन
39,Brust::N,ఱొమ్ము,वक्ष
40,Schulter::N,భుజము,कंधा
41,Schulter::N,భుజము,स्कंध
42,Arm::N,చేయి,बाँह
43,Arm::N,చేయి,बाज़ू
44,Ellenbogen::N,మోచేయి,कुहनी
45,Hand::N,చేయి,हाथ
46,Hand::N,చేయి,हस्त
47,Handfläche::N,అరచేయు,हथेली
48,Finger::N,చేతిప్రేలు,उँगली
49,Finger::N,చేతిప్రేలు,अँगुली
50,Fingernagel::N,గోరు,नख
51,Fingernagel::N,గోరు,नाख़ून
52,Nagel[Anatomie]::N,గోరు,नख
53,Nagel[Anatomie]::N,గోరు,नाख़ून
54,Zeh::N,కాలిప్రేలు,उँगली
55,Zeh::N,కాలిప్రేలు,पाँव की उँगली
56,Fuß::N,అడుగు,चरण
57,Fuß::N,అడుగు,पाँव
58,Ferse::N,మడమ,एड़ी
59,Knie::N,మోకాలు,जानु
60,Knie::N,మోకాలు,घुटना
