,Concept_ID,is,av
0,Auge::N,auga,
1,Ohr::N,eyra,гӏин
2,Nase::N,nef,мегӏер
3,Mund::N,munnur,кӏал
4,Zahn::N,tönn,гӏус
5,Zunge::N,tunga,мацӏ
6,Lippe::N,vör,кӏветӏ
7,Wange::N,kinn,гӏоно
8,Wange::N,vangi,гӏоно
9,Gesicht::N,andlit,гьумер
10,Stirn::N,enni,нодо
11,Haar::N,hár,рас
12,Schnurrbart::N,yfirskegg,михъ
13,Bart::N,skegg,мегеж
14,Kinn::N,haka,нилъу
15,Kiefer[Anatomie]::N,kjálki,чанагъ
16,Kiefer[Anatomie]::N,skoltur,чанагъ
17,Kehle::N,kverk,щекъер
18,Hals::N,háls,габур
19,Genick::N,hnakki,гъванща
20,Kopf::N,höfuð,бетӏер
21,Rücken::N,hryggur,мугъ
22,Bauch::N,kviður,чехь
23,Nabel::N,nafli,цӏину
24,Busen::N,barmur,керен
25,Brust::N,brjóst,керен
26,Schulter::N,öxl,гъажазубетӏер
27,Arm::N,armur,гъеж
28,Ellenbogen::N,olnbogi,гӏункӏрукь
29,Hand::N,hönd,квер
30,Handfläche::N,lófi,огъохъат
31,Handfläche::N,lófi,жанисахъат
32,Finger::N,fingur,килищ
33,Fingernagel::N,fingurnögl,малъ
34,Nagel[Anatomie]::N,nögl,малъ
35,Zeh::N,tá,килищ
36,Fuß::N,fótur,хӏетӏ
37,Fuß::N,fótur,хӏетӏе
38,Ferse::N,hæll,эгъе
39,Knie::N,kné,наку
40,Oberschenkel::N,læri,мачӏ
41,Bein::N,fótleggur,бох
42,Körper::N,búkur,къаркъала
43,Körper::N,líkami,къаркъала
44,Haut::N,húð,тӏом
45,Haut::N,skinn,тӏом
46,Blut::N,blóð,би
47,Ader::N,æð,бидурихь
48,Sehne::N,sin,
49,Knochen::N,bein,ракьа
50,Gehirn::N,heili,гӏадалнах
51,Herz::N,hjarta,ракӏ
52,Magen::N,magi,кванирукъ
53,Leber::N,lifur,тӏул
54,Atem::N,andi,хӏухь
55,Atem::N,andardráttur,хӏухь
56,Hunger::N,hungur,ракъи
57,Träne::N,tár,магӏу
58,Geschmack::N,smekkur,тату
59,Geruch::N,lykt,махӏ
60,Schlaf::N,svefn,макьу
61,Traum::N,draumur,макьу
62,Himmel::N,himinn,зоб
63,Sonne::N,sól,бакъ
64,Mond::N,tungl,моцӏ
65,Stern::N,stjarna,цӏва
66,Luft::N,loft,гьава
67,Wind::N,vindur,гьури
68,Welle::N,alda,карачел
69,Welle::N,bylgja,карачел
70,Wasser::N,vatn,лъим
71,Stein::N,steinn,гьецӏо
72,Boden::N,botn,ракь
73,Erde::N,jörð,ракь
74,Erde::N,jörð,дуниял
75,Staub::N,ryk,хӏур
76,Staub::N,duft,хӏур
77,Rauch::N,reykur,кӏкӏуй
78,Funke::N,neisti,
79,Feuer::N,eldur,цӏа
80,Licht::N,ljós,канлъи
81,Schatten::N,skuggi,рагӏад
82,Wetter::N,veður,гьава-бакъ
83,Nebel::N,þoka,гӏодобнакӏкӏ
84,Wolke::N,ský,накӏкӏ
85,Regen::N,regn,цӏад
86,Schnee::N,snjór,гӏазу
