,Concept_ID,he,kl
0,Auge::N,עין,isi
1,Ohr::N,אזן,siut
2,Nase::N,אף,
3,Nase::N,חטם,
4,Mund::N,פה,paaq
5,Mund::N,פה,qaneq
6,Zahn::N,שן,kigut
7,Zunge::N,לשון,oqaq
8,Lippe::N,שפה,qarloq
9,Wange::N,לחי,ersaq
10,Gesicht::N,פנים,kiinaq
11,Stirn::N,מצח,qaaq
12,Haar::N,שערה,meqqoq
13,Schnurrbart::N,שפם,
14,Bart::N,זקן,umik
15,Kinn::N,סנטר,talloq
16,Kiefer[Anatomie]::N,לסת,alleroq
17,Kehle::N,גרון,malaq
18,Hals::N,צואר,qungaseq
19,Genick::N,ערף,pukusuk
20,Kopf::N,ראש,niaqoq
21,Rücken::N,גב,qimerlut
22,Bauch::N,בטן,naaq
23,Nabel::N,טבור,qalaseq
24,Busen::N,שד,iviangeq
25,Brust::N,חזה,iviangeq
26,Schulter::N,כתף,ersik
27,Schulter::N,כתף,assaqqoq
28,Arm::N,זרוע,taleq
29,Ellenbogen::N,מרפק,ikusik
30,Hand::N,יד,assak
31,Handfläche::N,כף יד,itumak
32,Finger::N,אצבע,inuak
33,Fingernagel::N,צפרן,kikiak
34,Nagel[Anatomie]::N,צפרן,kukik
35,Zeh::N,אצבע,isigak
36,Fuß::N,רגל,
37,Ferse::N,עקב,kimmik
38,Knie::N,ברך,seeqqoq
39,Oberschenkel::N,ירך,uppat
40,Oberschenkel::N,ירך,quttoraq
41,Bein::N,רגל,isigak
42,Körper::N,גוף,timi
43,Haut::N,עור,mattak
44,Blut::N,דם,aak
45,Ader::N,וריד,taqaq
46,Sehne::N,גיד,ujalu
47,Sehne::N,גיד,ujaloq
48,Knochen::N,עצם,saanikut
49,Gehirn::N,מוח,qarasaq
50,Herz::N,לב,uummat
51,Magen::N,קבה,aqajaroq
52,Leber::N,כבד,tinguk
53,Atem::N,נשימה,anerneq
54,Hunger::N,רעב,kaanneq
55,Träne::N,דמעה,qia
56,Träne::N,דמעה,qiak
57,Geschmack::N,טעם,qilanaartuut
58,Geruch::N,ריח,tipi
59,Geruch::N,ריח,tipik
60,Schlaf::N,שנה,
61,Traum::N,חלום,sinnattoq
62,Traum::N,חלום,sinnattugaq
63,Himmel::N,שמים,qilak
64,Sonne::N,שמש,seqineq
65,Mond::N,ירח,qaammat
66,Stern::N,כוכב,ulloriaq
67,Luft::N,אויר,silaannaq
68,Wind::N,רוח,anori
69,Wind::N,רוח,anorsarik
70,Welle::N,גל,aalappaa
71,Wasser::N,מים,imeq
72,Stein::N,אבן,ujarak
73,Boden::N,קרקע,nateq
74,Erde::N,אדמה,issoq
75,Staub::N,אבק,pujualanerit
76,Staub::N,אבק,pujoralanerit
77,Rauch::N,עשן,iseq
78,Rauch::N,עשן,pujoq
79,Funke::N,ניצוץ,illoorneq
80,Feuer::N,אש,inneq
81,Licht::N,אור,qaamaneq
82,Schatten::N,צל,tarraq
83,Wetter::N,מזג אויר,sila
84,Nebel::N,ערפל,pujoq
85,Wolke::N,ענן,nuia
86,Regen::N,גשם,sialuk
87,Schnee::N,שלג,aput
88,Eis::N,קרח,siku
89,Frost::N,צנה,issi
90,Frost::N,צנה,issik
91,Kälte::N,קר,issi
92,Hitze::N,חם,kianneq
93,Hitze::N,חם,kiassuseq
94,Raureif::N,כפור,kaneq
95,Regenbogen::N,קשת,neriusaaq
96,Donner::N,רעם,kalleq
97,Strömung::N,זרימה,
98,Tropfen::N,טפה,kuseriarneq
99,Schaum::N,קצף,qapuk
100,Schmutz::N,לכלוך,minguk
101,See::N,אגם,taseq
102,Sumpf::N,בצה,maqulluk
103,Moor::N,בצה,
104,Wiese::N,מרעה,masarsuk
105,Wald::N,יער,
106,Hügel::N,תל,qattuneq
107,Hügel::N,תל,majuariaq
108,Hügel::N,תל,majorajaaq
109,Hügel::N,תל,qaqqannguaq
110,Anhöhe::N,מעלה,
111,Berg::N,הר,qaqqaq
112,Gipfel::N,פסגה,
