,Concept_ID,no,mn
1148,anzünden::V,tenne på,асаах
1149,anzünden::V,tenne på,ноцоох
1150,aufheben::V,løfte,өргөх
1151,aufheben::V,ta opp,өргөх
1152,zurücklassen::V,slippe tilbake,орхих
1153,zurücklassen::V,slippe tilbake,үлдээх
1154,verlieren::V,miste,гээх
1155,fallen lassen::V,droppe,унагах
1156,fallen lassen::V,la falle,унагах
1157,machen::V,lage,хийх
1158,machen::V,lage,гаргах
1159,machen::V,gjøre,хийх
1160,machen::V,gjøre,гаргах
1161,herstellen::V,fremstille,бүтээх
1162,bauen::V,bygge,барих
1163,reparieren::V,reparere,засах
1164,reparieren::V,reparere,сэлбэх
1165,verbessern::V,rette,засах
1166,verbessern::V,rette,сайжруулах
1167,verbessern::V,forbedre,засах
1168,verbessern::V,forbedre,сайжруулах
1169,ändern::V,forandre,өөрчлөх
1170,graben::V,grave,малтах
1171,beugen::V,bøye,бөгтийлгөх
1172,biegen::V,bøye,матах
1173,biegen::V,bøye,муруйлгах
1174,drehen::V,dreie,эргүүлэх
1175,wenden::V,vende,эргүүлэх
1176,umdrehen::V,snu,хөрвүүлэх
1177,heben::V,heve,өргөх
1178,hochheben::V,løfte,өргөх
1179,ergreifen::V,gripe,атгах
1180,ergreifen::V,få tak i,атгах
1181,halten::V,holde,барих
1182,drücken::V,trykke,дарах
1183,schieben::V,skyve,түлхэх
1184,kratzen::V,klø,хусах
1185,kratzen::V,klø,маажих
1186,kratzen::V,klore,хусах
1187,kratzen::V,klore,маажих
1188,lecken::V,slikke,долоох
1189,beißen::V,bite,зуух
1190,beißen::V,bite,хазах
1191,abreißen::V,rive av,таслах
1192,abschneiden::V,skjære av,тайрах
1193,binden::V,binde,боох
1194,binden::V,binde,хүлэх
1195,stecken::V,stikke,шаах
1196,stecken::V,stikke,шигтгэх
1197,brechen::V,bryte,хугалах
1198,brechen::V,briste,хугалах
1199,klopfen::V,banke,цохих
1200,klopfen::V,banke,тогших
1201,hauen::V,hogge,дэлдэх
1202,kleben::V,klistre,наах
1203,reiben::V,gni,нухах
1204,reiben::V,gni,нидчих
1205,streichen::V,stryke,нялах
1206,streichen::V,stryke,түрхэх
1207,schleifen::V,slipe,билүүдэх
1208,schleifen::V,slipe,гуранздах
1209,schneiden::V,klippe,огтлох
1210,rütteln::V,ruske,холхнулах
1211,schütteln::V,riste,сэгсрэх
1212,schwenken::V,svinge,дэвэх
1213,schwenken::V,svinge,даллах
1214,schütten::V,helle,цутгах
1215,schütten::V,helle,аягалах
1216,füllen::V,fylle,дүүргэх
1217,einwickeln::V,vikle inn,боох
1218,einwickeln::V,vikle inn,ороох
1219,tragen::V,bære,авчрах
1220,schleppen::V,slepe,чирэх
1221,ziehen::V,dra,татах
1222,ziehen::V,trekke,татах
1223,aufbewahren::V,oppbevare,хадгалах
1224,aufbewahren::V,ta vare på,хадгалах
1225,werfen::V,kaste,хаях
1226,werfen::V,kaste,шидэх
1227,fangen::V,fange,барих
1228,packen::V,gripe,шүүрэх
1229,packen::V,gripe tak i,шүүрэх
1230,verstecken::V,gjemme,нуух
1231,teilen::V,dele,хуваах
1232,schicken::V,sende,илгээх
1233,schicken::V,sende,явуулах
1234,bringen::V,bringe,авчрах
1235,bringen::V,bringe,аваачих
1236,hinzufügen::V,tilføye,нэмэх
1237,bekommen::V,få,хүлээн авах
1238,erhalten::V,få,хүлээн авах
1239,nehmen::V,ta,авах
1240,wählen::V,velge,сонгох
1241,auswählen::V,velge ut,шилэх
1242,bewahren::V,bevare,гамнах
1243,behindern::V,hindre,саад хийх
1244,behindern::V,hindre,тотгор болох
1245,behindern::V,forhindre,саад хийх
1246,behindern::V,forhindre,тотгор болох
1247,verderben::V,ødelegge,эвдэх
1248,beschädigen::V,skade,гэмтээх
1249,zerbrechen::V,brekke i stykker,хагалах
1250,zerbrechen::V,brekke i stykker,хага цохих
1251,zerreißen::V,rive i stykker,урах
1252,zerstören::V,ødelegge,эвдэх
1253,zerstören::V,ødelegge,сүйтгэх
1254,verbrennen::V,brenne,шатаах
1255,verbrennen::V,brenne opp,шатаах
1256,geben::V,gi,өгөх
1257,reichen::V,rekke,өгөх
1258,reichen::V,rekke,дамжуулах
1259,schenken::V,forære,бэлэглэх
1260,schenken::V,skjenke,бэлэглэх
1261,versprechen::V,love,амлах
1262,wünschen::V,ønske,ерөөх
1263,loben::V,rose,магтах
1264,loben::V,rose,сайшаах
1265,küssen::V,kysse,озох
1266,küssen::V,kysse,үнсэх
1267,wiegen::V,vogge,бүүвэйлэх
1268,zudecken::V,dekke til,хучих
1269,zudecken::V,dekke til,бүтээх
1270,wecken::V,vekke,сэрээх
1271,zeigen::V,vise,үзүүлэх
1272,führen::V,føre,хөтлөх
1273,lehren::V,lære,заах
1274,unterrichten::V,undervise,сургах
1275,aufziehen::V,oppdra,өсгөх
1276,aufziehen::V,oppdra,хүмүүжүүлэх
1277,leiten::V,lede,удирдах
1278,antreiben::V,drive på,шамдуулах
1279,lassen::V,få til å,-уулах
1280,einladen::V,be,залах
1281,einladen::V,invitere,залах
1282,vereinigen::V,forene,нэгтгэх
1283,vereinigen::V,forene,хамтруулах
1284,besuchen::V,besøke,зочлох
1285,treffen::V,møte,учрах
1286,treffen::V,møte,дайралдах
1287,treffen::V,treffe,учрах
1288,treffen::V,treffe,дайралдах
1289,sich versammeln::V,forsamles,хуралдах
1290,spielen::V,leke,наадах
1291,spielen::V,spille,наадах
1292,singen::V,synge,дуулах
1293,tanzen::V,danse,бүжиглэх
1294,sich trennen::V,skilles,салах
1295,verlassen::V,forlate,хаях
1296,retten::V,redde,гэтэлгэх
1297,bewachen::V,bevokte,сахих
1298,schützen::V,verne,хамгаалах
1299,schützen::V,beskytte,хамгаалах
1300,verteidigen::V,forsvare,хамгаалах
1301,sich schlagen::V,slåss,зодолдох
1302,schießen::V,skyte,харвах
1303,schießen::V,skyte,буу буудах
1304,siegen::V,seire,ялах
1305,ärgern::V,ergre,уурлуулах
1306,ärgern::V,ergre,уур хүргэх
1307,treten::V,sparke,өшиглөх
1308,stechen::V,stikke,хатгах
1309,stoßen::V,støte,ёврох
1310,stoßen::V,støte,нудрах
1311,stehlen::V,stjele,хулгайлах
1312,stören::V,forstyrre,саад болох
1313,belästigen::V,plage,зовоох
1314,belästigen::V,plage,амраахгүй байх
1315,belästigen::V,sjenere,зовоох
1316,belästigen::V,sjenere,амраахгүй байх
1317,verbergen::V,gjemme,нуух
1318,verbergen::V,gjemme,далдлах
1319,täuschen::V,villede,мэхлэх
1320,betrügen::V,bedra,хуурах
1321,töten::V,drepe,алах
1322,wohnen::V,bo,суух
1323,wohnen::V,bo,амьдрах
1324,arbeiten::V,arbeide,ажиллах
1325,arbeiten::V,arbeide,хөдөлмөрлөх
1326,sammeln::V,samle,түүх
1327,sammeln::V,samle,хураах
1328,pflücken::V,plukke,түүх
1329,jagen::V,jage,агнах
1330,jagen::V,jage,гөрөөлөх
1331,fischen::V,fiske,загасчлах
1332,fischen::V,fiske,загас барих
1333,fassen::V,fange,барих
1334,hüten::V,vokte,маллах
1335,hüten::V,vokte,хариулах
1336,treiben::V,drive,туух
1337,anbinden::V,feste,уях
1338,füttern::V,fore,тэжээх
1339,melken::V,melke,саах
1340,hacken::V,hakke,цавчих
1341,gießen::V,helle,услах
1342,reifen::V,modne,боловсрох
1343,zubereiten::V,lage,бэлдэх
1344,zubereiten::V,tilberede,бэлдэх
1345,kochen::V,koke,чанах
1346,backen::V,bake,жигнэх
1347,braten::V,steke,шарах
1348,braten::V,steke,хайрах
1349,umrühren::V,røre om,хутгах
1350,stricken::V,strikke,нэхэх
1351,stricken::V,strikke,сүлжих
1352,nähen::V,sy,оёх
1353,färben::V,farge,будах
1354,reinigen::V,rense,арилгах
1355,reinigen::V,rense,цэвэрлэх
1356,reinigen::V,gjøre ren,арилгах
1357,reinigen::V,gjøre ren,цэвэрлэх
1358,waschen::V,vaske,угаах
1359,abwischen::V,tørke av,арчих
1360,spülen::V,spyle,зайлах
1361,spülen::V,skylle,зайлах
1362,fegen::V,feie,хамах
1363,fegen::V,feie,шүүрдэх
1364,kehren::V,koste,шүүрдэх
1365,kehren::V,koste,туужуудах
1366,baden::V,bade,усанд орох
1367,sich waschen::V,vaske seg,биеэ угаах
1368,ausziehen::V,ta av,тайлах
1369,anziehen::V,ta på,өмсөх
1370,sich anziehen::V,kle på seg,хувцаслах
1371,kämmen::V,gre,самнах
1372,kämmen::V,kjemme,самнах
1373,schmücken::V,pynte,гоёх
1374,schmücken::V,pynte,чимэх
1375,schmücken::V,smykke,гоёх
1376,schmücken::V,smykke,чимэх
1377,sagen::V,si,гэх
1378,sagen::V,si,хэлэх
1379,sprechen::V,snakke,ярих
1380,sprechen::V,snakke,өгүүлэх
1381,reden::V,tale,хэлэх
1382,reden::V,tale,хөөрөлдөх
1383,reden::V,snakke,хэлэх
1384,reden::V,snakke,хөөрөлдөх
1385,sich unterhalten::V,samtale,ярилцах
1386,fragen::V,spørre,асуух
1387,bitten::V,be,гуйх
1388,erzählen::V,fortelle,өгүүлэх
1389,mitteilen::V,meddele,дуулгах
1390,mitteilen::V,meddele,мэдээлэх
1391,nennen::V,kalle,нэрлэх
1392,rufen::V,rope,дуудах
1393,prahlen::V,skryte,бардах
1394,prahlen::V,skryte,сайрхах
1395,übersetzen::V,oversette,орчуулах
1396,denken::V,tenke,санах
1397,glauben::V,tro,итгэх
1398,bemerken::V,bemerke,ажих
1399,bemerken::V,bemerke,ажиглах
1400,bemerken::V,legge merke til,ажих
1401,bemerken::V,legge merke til,ажиглах
1402,erkennen::V,gjenkjenne,таних
1403,begreifen::V,begripe,ойлгох
1404,verstehen::V,forstå,мэдэж авах
1405,verstehen::V,skjønne,мэдэж авах
1406,lernen::V,lære,сурах
1407,wissen::V,vite,мэдэх
1408,sich erinnern an::V,huske på,дурсах
1409,vergessen::V,glemme,мартах
1410,messen::V,måle,хэмжих
1411,zählen::V,telle,тоолох
1412,rechnen::V,regne,тооцоох
1413,lesen::V,lese,унших
