,Concept_ID,tt,uk
0,Auge::N,күз,око
1,Ohr::N,колак,вухо
2,Nase::N,борын,ніс
3,Mund::N,авыз,рот
4,Mund::N,тамак,рот
5,Zahn::N,теш,зуб
6,Zunge::N,тел,язик
7,Lippe::N,ирен,губа
8,Wange::N,яңак,щока
9,Gesicht::N,йөз,обличчя
10,Stirn::N,маңгай,лоб
11,Haar::N,чәч,волосся
12,Schnurrbart::N,мыек,вуса
13,Bart::N,сакал,борода
14,Kinn::N,ияк,підборіддя
15,Kiefer[Anatomie]::N,казналык,щелепа
16,Kehle::N,тамак,горло
17,Hals::N,бугаз,шия
18,Genick::N,җилкә,потилиця
19,Kopf::N,баш,голова
20,Rücken::N,сырт,спина
21,Bauch::N,корсак,живіт
22,Nabel::N,кендек,пупок
23,Busen::N,түш,груди
24,Brust::N,имчәк,груди
25,Brust::N,күкрәк,груди
26,Schulter::N,иңбаш,плече
27,Schulter::N,кулбаш,плече
28,Arm::N,кул,рука
29,Ellenbogen::N,терсәк,лікоть
30,Hand::N,кул,рука
31,Handfläche::N,уч,долоня
32,Finger::N,бармак,палець
33,Fingernagel::N,тырнак,ніготь
34,Nagel[Anatomie]::N,тырнак,ніготь
35,Zeh::N,бармак,палець на нозі
36,Fuß::N,табан,нога
37,Ferse::N,үкчә,п’ятка
38,Knie::N,тез,коліно
39,Oberschenkel::N,бот,стегно
40,Bein::N,аяк,нога
41,Körper::N,тән,тіло
42,Körper::N,җисем,тіло
43,Haut::N,тире,шкіра
44,Blut::N,кан,кров
45,Ader::N,тамыр,вена
46,Sehne::N,сеңер,сухожилля
47,Knochen::N,сөяк,кістка
48,Gehirn::N,ми,мозок
49,Herz::N,йөрәк,серце
50,Magen::N,ашказаны,шлунок
51,Leber::N,бавыр,печінка
52,Atem::N,сулыш,дихання
53,Hunger::N,ачлык,голод
54,Träne::N,яшь,сльоза
55,Geschmack::N,тәм,смак
56,Geschmack::N,зәвык,смак
57,Geruch::N,ис,запах
58,Schlaf::N,йокы,сон
59,Schlaf::N,йокы,сплячка
60,Traum::N,төш,сон
61,Himmel::N,күк,небо
62,Sonne::N,кояш,сонце
63,Mond::N,ай,місяць
64,Stern::N,йолдыз,зірка
65,Luft::N,һава,повітря
66,Wind::N,җил,вітер
67,Welle::N,дулкын,хвиля
68,Wasser::N,су,вода
69,Stein::N,таш,камінь
70,Boden::N,туфрак,ґрунт
71,Erde::N,җир,земля
72,Staub::N,тузан,пил
73,Rauch::N,төтен,дим
74,Funke::N,очкын,іскра
75,Feuer::N,ут,вогонь
76,Licht::N,якты,світло
77,Schatten::N,күләгә,тінь
78,Wetter::N,һава,погода
79,Nebel::N,томан,туман
80,Wolke::N,болыт,хмара
81,Regen::N,яңгыр,дощ
82,Schnee::N,кар,сніг
83,Eis::N,боз,лід
84,Frost::N,суык,мороз
85,Frost::N,салкын,мороз
86,Kälte::N,суык,холод
87,Kälte::N,салкын,холод
88,Hitze::N,эсселек,жар
89,Raureif::N,бәс,іній
90,Raureif::N,сыкы,іній
91,Regenbogen::N,салават күпере,райдуга
92,Donner::N,күкрәү,грім
93,Strömung::N,агыш'агым,струмина
94,Tropfen::N,тамчы,крапля
95,Schaum::N,күбек,піна
96,Schmutz::N,пычрак,бруд
97,See::N,күл,озеро
98,Sumpf::N,саз,драговина
99,Moor::N,торфлык,болото
100,Wiese::N,болын,луг
101,Wiese::N,болын,лука
102,Wald::N,урман,ліс
103,Hügel::N,калку,горб
104,Anhöhe::N,үр,височина
105,Berg::N,тау,гора
106,Gipfel::N,оч,вершина
107,Höhle::N,мәгарә,печера
108,Abhang::N,кабырга,схил
109,Quelle::N,чишмә,джерело
110,Bach::N,елга,струмок
