,Concept_ID,is,cy
0,Auge::N,auga,llygad
1,Ohr::N,eyra,clust
2,Nase::N,nef,trwyn
3,Mund::N,munnur,ceg
4,Zahn::N,tönn,dant
5,Zunge::N,tunga,tafod
6,Lippe::N,vör,gwefus
7,Wange::N,kinn,boch
8,Wange::N,vangi,boch
9,Gesicht::N,andlit,wyneb
10,Stirn::N,enni,talcen
11,Haar::N,hár,blew
12,Schnurrbart::N,yfirskegg,mwstas
13,Bart::N,skegg,barf
14,Kinn::N,haka,gên
15,Kiefer[Anatomie]::N,kjálki,gên
16,Kiefer[Anatomie]::N,skoltur,gên
17,Kehle::N,kverk,gwddf
18,Hals::N,háls,gwddf
19,Genick::N,hnakki,gwar
20,Genick::N,hnakki,gwegil
21,Kopf::N,höfuð,pen
22,Rücken::N,hryggur,cefn
23,Bauch::N,kviður,bol
24,Nabel::N,nafli,bogail
25,Busen::N,barmur,bron
26,Brust::N,brjóst,brest
27,Schulter::N,öxl,ysgwydd
28,Arm::N,armur,braich
29,Ellenbogen::N,olnbogi,penelin
30,Hand::N,hönd,llaw
31,Handfläche::N,lófi,palf
32,Finger::N,fingur,bys
33,Fingernagel::N,fingurnögl,ewin
34,Nagel[Anatomie]::N,nögl,ewin
35,Zeh::N,tá,bys troed
36,Fuß::N,fótur,troed
37,Ferse::N,hæll,sawdl
38,Knie::N,kné,glin
39,Oberschenkel::N,læri,clun
40,Bein::N,fótleggur,coes
41,Körper::N,búkur,corff
42,Körper::N,líkami,corff
43,Haut::N,húð,croen
44,Haut::N,skinn,croen
45,Blut::N,blóð,gwaed
46,Ader::N,æð,gwythïen
47,Sehne::N,sin,gewyn
48,Knochen::N,bein,asgwrn
49,Gehirn::N,heili,ymennydd
50,Herz::N,hjarta,calon
51,Magen::N,magi,cylla
52,Magen::N,magi,stumog
53,Leber::N,lifur,iau
54,Atem::N,andi,anadl
55,Atem::N,andardráttur,anadl
56,Hunger::N,hungur,newyn
57,Träne::N,tár,deigryn
58,Geschmack::N,smekkur,cyflas
59,Geruch::N,lykt,aroglau
60,Schlaf::N,svefn,cwsg
61,Traum::N,draumur,breuddwyd
62,Himmel::N,himinn,awyr
63,Sonne::N,sól,haul
64,Mond::N,tungl,lleuad
65,Stern::N,stjarna,seren
66,Luft::N,loft,awyr
67,Wind::N,vindur,gwynt
68,Welle::N,alda,ton
69,Welle::N,bylgja,ton
70,Wasser::N,vatn,dŵr
71,Stein::N,steinn,carreg
72,Boden::N,botn,llawr
73,Erde::N,jörð,pridd
74,Staub::N,ryk,llwch
75,Staub::N,duft,llwch
76,Rauch::N,reykur,mwg
77,Funke::N,neisti,gwreichioni
78,Feuer::N,eldur,tân
79,Licht::N,ljós,golau
80,Schatten::N,skuggi,cysgod
81,Wetter::N,veður,tywydd
82,Nebel::N,þoka,niwl
83,Wolke::N,ský,cwmwl
84,Regen::N,regn,glaw
85,Schnee::N,snjór,ôd
86,Schnee::N,snjór,eira
87,Eis::N,ís,iâ
88,Frost::N,frost,rhew
89,Kälte::N,kuldi,oerni
90,Kälte::N,kuldi,annwyd
91,Hitze::N,hiti,gwres
92,Raureif::N,hrím,barrug
93,Regenbogen::N,regnbogi,enfys
94,Donner::N,þruma,tyrfau
95,Strömung::N,straumur,cerrynt
96,Tropfen::N,dropi,dafn
97,Tropfen::N,dropi,diferyn
98,Schaum::N,froða,ewyn
99,Schmutz::N,óhreinindi,baw
100,Schmutz::N,óhreinindi,budreddi
101,See::N,stöðuvatn,llyn
102,Sumpf::N,fen,cors
103,Moor::N,mýri,rhos
104,Wiese::N,engi,dôl
105,Wald::N,skógur,coedwig
106,Hügel::N,hæð,bryn
107,Hügel::N,hóll,bryn
108,Anhöhe::N,hæð,bryn
109,Anhöhe::N,hóll,bryn
110,Berg::N,fell,mynydd
111,Berg::N,fjall,mynydd
112,Gipfel::N,tindur,copa
113,Höhle::N,hellir,ogof
114,Abhang::N,hlíð,llethr
115,Abhang::N,brekka,llethr
116,Quelle::N,lind,tarddiad
117,Quelle::N,lind,ffynhonnell
118,Quelle::N,uppspretta,tarddiad
119,Quelle::N,uppspretta,ffynhonnell
120,Bach::N,lækur,nant
121,Bach::N,lækur,afonig
122,Bach::N,lækur,cornant
123,Fluss::N,á,afon
124,Fluss::N,fljót,afon
125,Ufer::N,árbakki,glan
126,Ufer::N,sjávarbakki,glan
127,Küste::N,strönd,traeth
128,Küste::N,strönd,arfordir
129,Festland::N,meginland,tir
130,Meer::N,haf,môr
131,Meer::N,sjór,môr
132,Bucht::N,vík,bae
133,Insel::N,eyja,ynys
134,Blume::N,blóm,blodyn
135,Gras::N,gras,glaswellt
136,Wurzel::N,rót,gwreiddyn
137,Baum::N,tré,coeden
138,Stamm::N,stofn,colfen
139,Stamm::N,stofn,boncyff
140,Rinde::N,börkur,rhisgl
141,Ast::N,grein,cangen
142,Zweig::N,angi,cainc
143,Zweig::N,angi,cangen
144,Zweig::N,kvistur,cainc
145,Zweig::N,kvistur,cangen
146,Blatt::N,blað,deilen
147,Birke::N,birki,bedwen
148,Kiefer[Baum]::N,fura,pinwydden
149,Weide[Baum]::N,víðir,helygen
150,Tanne::N,greni,ffynidwydden
151,Horn::N,horn,corn
152,Feder::N,fjöður,plufyn
153,Fell::N,skinn,ffwr
154,Flügel::N,vængur,adain
155,Klaue::N,kló,crafanc
156,Kralle::N,kló,ewin
157,Schwanz::N,rófa,cwt
158,Schwanz::N,rófa,cynffon
159,Schwanz::N,skott,cwt
160,Schwanz::N,skott,cynffon
161,Ei::N,egg,wy
162,Nest::N,hreiður,nyth
