,Concept_ID,ml,eu
0,Auge::N,കണ്ണ്,begi
1,Ohr::N,ചെവി,belarri
2,Nase::N,മൂക്ക്,sudur
3,Mund::N,വായ,aho
4,Zahn::N,പല്ല്,hortz
5,Zunge::N,നാക്ക്,mihi
6,Lippe::N,ചുണ്ട്,ezpain
7,Wange::N,കവിൾത്തടം,masail
8,Gesicht::N,മുഖം,aurpegi
9,Stirn::N,നെറ്റി,bekoki
10,Haar::N,തലമുടി,ile
11,Haar::N,തലമുടി,bilo
12,Schnurrbart::N,മീശ,bibote
13,Schnurrbart::N,മീശ,sudurpeko
14,Bart::N,താടിരോമം,bizar
15,Kinn::N,താടി,kokots
16,Kiefer[Anatomie]::N,താടിയെല്ല്,masailezur
17,Kehle::N,കണ്ഠനാളം,eztarri
18,Hals::N,കഴുത്ത്,sama
19,Genick::N,പിടലി,garondo
20,Kopf::N,തല,buru
21,Rücken::N,മുതുക്,bizkar
22,Bauch::N,നയറ്,sabel
23,Nabel::N,നാഭി,zilbor
24,Busen::N,സ്തനം,titi
25,Busen::N,സ്തനം,ugatz
26,Brust::N,സ്തനം,bular
27,Schulter::N,തോൾ,besaburu
28,Arm::N,കൈ,beso
29,Ellenbogen::N,കൈമുട്ട്,ukondo
30,Hand::N,കൈ,esku
31,Handfläche::N,ഉള്ളം കൈ,ahur
32,Finger::N,വിരൽ,hatz
33,Fingernagel::N,നഖം,azazkal
34,Nagel[Anatomie]::N,നഖം,azazkal
35,Zeh::N,കാൽവിരൽ,behatz
36,Fuß::N,കാൽപ്പാദം,oin
37,Ferse::N,ഉപ്പൂറ്റി,orpo
38,Ferse::N,ഉപ്പൂറ്റി,oinburu
39,Knie::N,കാൽമുട്ട്,belaun
40,Oberschenkel::N,തുട,izter
41,Bein::N,കാൽ,zango
42,Körper::N,ശരീരം,soin
43,Haut::N,ചർമ്മം,azal
44,Blut::N,രക്തം,odol
45,Ader::N,ഞരമ്പ്,zain
46,Sehne::N,സ്നായു,gihar-zain
47,Knochen::N,അസ്ഥി,hezur
48,Gehirn::N,തലച്ചോറ്,garun
49,Gehirn::N,തലച്ചോറ്,burmuin
50,Herz::N,ഹൃദയം,bihotz
51,Magen::N,വയർ,urdail
52,Leber::N,കരൾ,gibel
53,Atem::N,ശ്വാസം,hats
54,Atem::N,ശ്വാസം,arnasa
55,Hunger::N,വിശപ്പ്,gose
56,Träne::N,കണ്ണീർ,malko
57,Geschmack::N,രുചി,dasta
58,Geruch::N,ഗന്ധം,usain
59,Schlaf::N,ഉറകും,lo
60,Traum::N,സ്വപ്നം,amets
61,Himmel::N,ആകാശം,zeru
62,Sonne::N,സൂര്യൻ,eguzki
63,Mond::N,ചന്ദ്രൻ,ilargi
64,Stern::N,നക്ഷത്രം,izar
65,Luft::N,കാറ്റ്,aire
66,Wind::N,കാറ്റ്,haize
67,Welle::N,തിരമാല,uhin
68,Welle::N,തിരമാല,olatu
69,Wasser::N,വെള്ളം,ur
70,Stein::N,ശില,harri
71,Stein::N,കല്ല്,harri
72,Boden::N,തറ,lur
73,Boden::N,തറ,zoru
74,Boden::N,നിലം,lur
75,Boden::N,നിലം,zoru
76,Erde::N,മണ്ണ്,lur
77,Staub::N,പൊടി,hauts
78,Rauch::N,പുക,ke
79,Funke::N,തീപ്പൊരി,zirta
80,Funke::N,തീപ്പൊരി,txinparta
81,Feuer::N,തീ,su
82,Licht::N,വിളക്ക്,argi
83,Licht::N,സൂര്യപ്രകാശം,argi
84,Schatten::N,തണൽ,itzal
85,Schatten::N,തണൽ,geriza
86,Wetter::N,കാലാവസ്ഥ,eguraldi
87,Nebel::N,മൂടൽമഞ്ഞ്,laino
88,Wolke::N,മേഘം,hodei
89,Regen::N,മഴ,euri
90,Schnee::N,മഞ്ഞ്,elur
91,Eis::N,ഐസ്,horma
92,Frost::N,മൂടൽമഞ്ഞ്,izotzaldi
93,Kälte::N,തണുപ്പ്,hotz
94,Hitze::N,ചൂട്,bero
95,Raureif::N,കോടമഞ്ഞ്,antzigar
96,Regenbogen::N,മഴവില്ല്,ostadar
97,Regenbogen::N,മഴവില്ല്,ortzadar
98,Donner::N,ഇടി,ostots
99,Donner::N,ഇടി,ihurtzuri
100,Strömung::N,പ്രവാഹം,laster
101,Tropfen::N,തുള്ളി,xorta
102,Schaum::N,നുര,bits
103,Schmutz::N,അഴുക്ക്,lohi
104,Schmutz::N,അഴുക്ക്,zikin
105,See::N,തടാകം,laku
106,See::N,തടാകം,aintzira
107,Sumpf::N,ചതുപ്പുനിലം,zingira
108,Moor::N,പാഴ്നിലം,zohikaztegi
109,Wiese::N,പുൽത്തകിടി,larre
110,Wiese::N,പുൽത്തകിടി,belardi
111,Wald::N,വനം,baso
112,Wald::N,വനം,oihan
113,Wald::N,കാട്,baso
114,Wald::N,കാട്,oihan
115,Hügel::N,കുന്ന്,muino
116,Hügel::N,കുന്ന്,pentoka
117,Anhöhe::N,ഉയർന്ന ഭൂമി,garai
118,Anhöhe::N,ഉയർന്ന ഭൂമി,goragune
119,Berg::N,പർവ്വതം,mendi
120,Gipfel::N,ഉച്ചകോടി,gain
121,Gipfel::N,ഉച്ചകോടി,tontor
122,Höhle::N,ഗുഹ,kobazulo
123,Abhang::N,ചരിവ്,aldapa
124,Quelle::N,ഉറവിടം,iturri
125,Quelle::N,ഉറവിടം,iturbegi
126,Bach::N,അരുവി,lats
127,Bach::N,അരുവി,erreka
128,Fluss::N,നദി,ibai
129,Fluss::N,നദി,uhaitz
130,Ufer::N,തീരം,bazter
131,Küste::N,കടൽത്തീരം,itsasalde
132,Festland::N,കര,lehor
133,Meer::N,കടൽ,itsaso
134,Bucht::N,ഉൾക്കടല്,golko
135,Insel::N,ദ്വീപ്,irla
136,Insel::N,ദ്വീപ്,uharte
137,Blume::N,പൂവ്,lili
138,Gras::N,പുല്ല്,belar
139,Wurzel::N,വേര്,zuztar
140,Wurzel::N,വേര്,sustrai
141,Baum::N,മരം,zuhaitz
142,Stamm::N,തായ്ത്തടി,enbor
143,Rinde::N,പട്ട,azal
144,Ast::N,ശാഖ,adar
145,Zweig::N,ശാഖ,abar
146,Blatt::N,ഇല,hosto
147,Birke::N,പൂവരശ്,urki
148,Kiefer[Baum]::N,പൈൻമരം,ler
149,Weide[Baum]::N,വില്ലോ,zume
150,Weide[Baum]::N,വില്ലോ,sahats
151,Tanne::N,ദേവദാരു,izei
152,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,adar
153,Feder::N,തൂവൽ,luma
154,Feder::N,തൂവൽ,hegaki
155,Fell::N,മൃദുരോമം,ile
156,Fell::N,മൃദുരോമം,larru
157,Flügel::N,ചിറക്,hego
158,Klaue::N,നഖം,atzapar
159,Kralle::N,നഖം,erpe
160,Kralle::N,നഖം,atzapar
161,Schwanz::N,വാൽ,isats
