,Concept_ID,kk,ar
0,Auge::N,көз,عين
1,Ohr::N,құлақ,أذن
2,Nase::N,мұрын,أنف
3,Mund::N,ауыз,فم
4,Zahn::N,тіс,سن
5,Zunge::N,тіл,لسان
6,Lippe::N,ерін,شفة
7,Wange::N,ұрт,خد
8,Wange::N,ұрт,وجنة
9,Gesicht::N,бет-аузы,وجه
10,Stirn::N,маңдай,جبين
11,Haar::N,қыл,شعر
12,Schnurrbart::N,мұрт,شارب
13,Bart::N,сақал,لحية
14,Kinn::N,иек,ذقن
15,Kiefer[Anatomie]::N,жақ,فك
16,Kehle::N,алқым,حلق
17,Hals::N,мойын,عنق
18,Hals::N,мойын,رقبة
19,Genick::N,желке,قفا
20,Kopf::N,кәллә,رأس
21,Rücken::N,арқа,ظهر
22,Bauch::N,қарын,بطن
23,Nabel::N,кіндік,سرة
24,Busen::N,омырау,ثدي
25,Brust::N,кеуде,صدر
26,Schulter::N,иық,كتف
27,Arm::N,қол,ذراع
28,Ellenbogen::N,шынтақ,كوع
29,Hand::N,қол,يد
30,Handfläche::N,алақан,كف
31,Finger::N,саусақ,إصبع
32,Fingernagel::N,тырнақ,ظفر
33,Nagel[Anatomie]::N,тырнақ,ظفر
34,Zeh::N,тырнақ,إصبع القدم
35,Zeh::N,тұяқ,إصبع القدم
36,Fuß::N,аяқ-басы,قدم
37,Ferse::N,өкше,كعب
38,Ferse::N,өкшелік,كعب
39,Knie::N,тізе,ركبة
40,Oberschenkel::N,жамбас,فخذ
41,Bein::N,аяқ,ساق
42,Körper::N,дене,جسم
43,Haut::N,тері,بشرة
44,Blut::N,қан,دم
45,Ader::N,көктамыр,عرق
46,Ader::N,күретамыр,عرق
47,Sehne::N,сіңір,طنب
48,Knochen::N,жілік,عظم
49,Gehirn::N,ми,دماغ
50,Herz::N,жүрек,قلب
51,Magen::N,асқазан,معدة
52,Leber::N,бауыр,كبد
53,Atem::N,леп,نفس
54,Hunger::N,ашаршылық,جوع
55,Träne::N,жас,دمعة
56,Geschmack::N,дәм,طعم
57,Geschmack::N,дәм,مذاق
58,Geschmack::N,татым,طعم
59,Geschmack::N,татым,مذاق
60,Geschmack::N,талғам,طعم
61,Geschmack::N,талғам,مذاق
62,Geruch::N,иіс,رائحة
63,Schlaf::N,ұйқы,نوم
64,Schlaf::N,ұйқы,منام
65,Schlaf::N,ұйықтау,نوم
66,Schlaf::N,ұйықтау,منام
67,Traum::N,түс,حلم
68,Himmel::N,аспан,سماء
69,Himmel::N,көқ,سماء
70,Himmel::N,таңдай,سماء
71,Sonne::N,күн,شمس
72,Mond::N,ай,قمر
73,Stern::N,жұлдыз,نجم
74,Stern::N,жұлдыз,كوكب
75,Luft::N,әуе,هواء
76,Wind::N,жел,ريح
77,Welle::N,толқын,موجة
78,Wasser::N,су,ماء
79,Stein::N,тас,حجر
80,Boden::N,қыртыс,تراب
81,Erde::N,топырақ,أرض
82,Staub::N,шаң,غبار
83,Rauch::N,түтін,دخان
84,Funke::N,ұшқын,شرارة
85,Feuer::N,алау,نار
86,Licht::N,шұғыла,نور
87,Licht::N,шұғыла,ضوء
88,Schatten::N,көлеңке,ظل
89,Schatten::N,көлеңке,فيء
90,Wetter::N,ауа райы,جو
91,Wetter::N,ауа райы,طقس
92,Nebel::N,тұман,ضباب
93,Wolke::N,бұлт,غيمة
94,Wolke::N,бұлт,سحابة
95,Regen::N,жаңбыр,مطر
96,Schnee::N,қар,ثلج
97,Eis::N,мұз,جليد
98,Frost::N,суық,صقيع
99,Kälte::N,ызғар,برد
100,Kälte::N,суықтық,برد
101,Hitze::N,аптап,حر
102,Hitze::N,аптап,حرارة
103,Raureif::N,қырау,صقيع
104,Regenbogen::N,кемпірқосақ,قوس قزح
105,Donner::N,күн күркіреу,رعد
106,Strömung::N,ағын,تيار
107,Tropfen::N,тамшы,قطرة
108,Schaum::N,көбік,زبد
109,Schaum::N,көбік,رغوة
110,Schmutz::N,кір,وسخ
111,See::N,көл,بحيرة
112,Sumpf::N,саз,مستنقع
113,Moor::N,саз,مستنقع
114,Wiese::N,шалғын,مرج
115,Wald::N,орман,غابة
116,Hügel::N,төбе,تل
117,Hügel::N,белес,تل
118,Hügel::N,белес-белес,تل
119,Anhöhe::N,дөң,تل
120,Anhöhe::N,адыр,تل
121,Anhöhe::N,қырат,تل
122,Berg::N,тау,جبل
123,Gipfel::N,төбе,قمة
124,Höhle::N,үңгір,كهف
125,Abhang::N,бауыр,منحدر
126,Quelle::N,қайнар,منبع
127,Bach::N,жылға,مجرى
128,Fluss::N,өзен,نهر
129,Ufer::N,жиек,ضفة
130,Küste::N,жиегі,ساحل
131,Küste::N,жағалау,ساحل
132,Festland::N,құрылық,بر
133,Meer::N,теңіз,بحر
134,Bucht::N,шығанақ,خليج
135,Insel::N,арал,جزيرة
136,Blume::N,гүл,زهرة
137,Gras::N,от,حشيش
138,Wurzel::N,түбір,أصل
139,Baum::N,ағаш,شجرة
140,Baum::N,дарақ,شجرة
141,Stamm::N,сояу,جذع
142,Stamm::N,оқпан,جذع
143,Rinde::N,қабық,قشرة
144,Ast::N,бұтақ,فرع
145,Zweig::N,шыбық,غصن
146,Blatt::N,жапырақ,ورقة
147,Birke::N,қайың,قضبان
148,Kiefer[Baum]::N,қарағай,صنوبرة
149,Weide[Baum]::N,тал,صفصاف
150,Tanne::N,шырша,شوح
151,Tanne::N,шырша,تبوب
152,Horn::N,мүйіз,قرن
153,Feder::N,қаламұш,ريشة
154,Fell::N,тері,فرو
155,Flügel::N,қанат,جناح
156,Klaue::N,тырнақ,مخلب
157,Kralle::N,аяқ,مخلب
158,Schwanz::N,құйрық,ذيل
159,Ei::N,жұмыртқа,بيض
160,Nest::N,ұя,عش
161,Bau::N,жатақ,جحر
162,Tier::N,айуан,حيوان
163,Tier::N,жануар,حيوان
164,Herde::N,пада,قطيع
165,Kuh::N,сиыр,بقرة
166,Bulle::N,өгіз,ثور
167,Pferd::N,жылқы,خيل
168,Schaf::N,қой,شاة
169,Schwein::N,шошқа,خنزير
170,Hund::N,ит,كلب
171,Katze::N,мысық,قطة
172,Bär::N,аю,دب
173,Eichhörnchen::N,тиін,سنجاب
174,Elch::N,бұғы,موظ
175,Fuchs::N,түлкі,ثعلب
176,Hase::N,қоян,أرنب
177,Maus::N,қаптесер,فأرة
178,Wolf::N,бөрі,ذئب
179,Wolf::N,қасқыр,ذئب
180,Vogel::N,құс,طير
181,Schwarm::N,топ,سرب
182,Schwarm::N,үйір,سرب
183,Huhn::N,тауық,دجاجة
184,Huhn::N,мекиен,دجاجة
185,Hahn::N,әтеш,ديك
186,Hahn::N,қораз,ديك
187,Gans::N,қаз,وزة
188,Adler::N,бүркіт,نسر
189,Ente::N,үйрек,بطة
190,Eule::N,жапалақ,بوم
191,Kranich::N,тырна,كركي
192,Krähe::N,қарға,غراب
193,Kuckuck::N,көкек,وقواق
194,Schwan::N,аққу,إوز عراقي
195,Fisch::N,балық,سمك
196,Barsch::N,алабұға,فرخ أوربي
197,Hecht::N,шортан,سمك الكراكي
198,Schlange[Tier]::N,жылан,حية
199,Schlange[Tier]::N,жылан,ثعبان
200,Wurm::N,шұбалшаң,دودة
201,Spinne::N,өрмекші,عنكبوت
202,Ameise::N,қүмырска,نملة
203,Laus::N,бит,قملة
204,Mücke::N,маса,ناموسة
205,Fliege::N,шыбын,ذبابة
206,Schmetterling::N,көбелек,فراشة
207,Beere::N,жидек,حبة
208,Apfel::N,алма,تفاح
209,Pilz::N,қозықұйрық,فطر
210,Pilz::N,саңыраукулақ,فطر
211,Zwiebel::N,жуа,بصل
212,Saat::N,тұқым,زرع
213,Korn::N,дән,حبة
214,Heu::N,шөп,دريس
215,Schale::N,қабық,قشرة
216,Schale::N,қабығы,قشرة
217,Grube::N,ор,نقرة
218,Falle::N,дұзақ,فخ
219,Falle::N,дұзақ,مصيدة
220,Falle::N,қақпан,فخ
221,Falle::N,қақпан,مصيدة
222,Schlinge::N,ілмек,عروة
223,Spur::N,із,أثر
224,Asche::N,күл,رماد
225,Dreck::N,былғаныш,قذر
226,Eisen::N,темір,حديد
227,Gold::N,алтын,ذهب
228,Silber::N,күміс,فضة
229,Kohle::N,көмір,فحم
230,Glas::N,шыны,زجاج
231,Lehm::N,балшық,طين
232,Sand::N,құм,رمل
233,Mensch::N,адам,إنسان
234,Mann::N,еркек,رجل
235,Mann::N,ер адам,رجل
236,Frau::N,бике,امرأة
237,Frau::N,қатын,امرأة
238,Kind::N,бала,طفل
239,Kind::N,перзент,طفل
240,Junge::N,бала,ولد
241,Junge::N,ер бала,ولد
242,Mädchen::N,қыз,بنت
243,Familie::N,жанұя,عائلة
244,Großvater::N,ата,جد
245,Großmutter::N,әже,جدة
246,Großmutter::N,әжей,جدة
247,Eltern::N,ата-аналар,أبوان
248,Eltern::N,ата-аналар,والدان
249,Vater::N,әке,أب
250,Mutter::N,ана,أم
251,Sohn::N,ұл,إبن
252,Tochter::N,қызым,بنت
253,Tochter::N,қызым,إبنة
254,Bruder::N,бауырым,أخ
255,Bruder::N,бауырым,شقيق
256,Schwester::N,әпке,أخت
257,Onkel::N,көке,عم
258,Tante::N,тәте,عمة
259,Ehemann::N,ер,زوج
260,Ehefrau::N,зайып,زوجة
261,Freude::N,қуаныш,فرح
262,Freude::N,қуаныш,سرور
263,Freude::N,сүйініш,فرح
264,Freude::N,сүйініш,سرور
265,Freude::N,шат-думан,فرح
266,Freude::N,шат-думан,سرور
267,Freude::N,қуаныштылық,فرح
268,Freude::N,қуаныштылық,سرور
269,Gelächter::N,күлу,قهقهة
270,Glück::N,бақыт,سعادة
271,Glück::N,бақыттылық,سعادة
272,Kummer::N,аза,غم
273,Kummer::N,қайғы,غم
274,Kummer::N,қасырет,غم
275,Wunsch::N,мүдде,منية
276,Lust::N,тәбет,شهوة
277,Lust::N,ынтызар,شهوة
278,Lust::N,құштарлық,شهوة
279,Geist::N,рух,روح
280,Gedanke::N,ой,فكرة
281,Gedächtnis::N,ес,ذاكرة
282,Gedächtnis::N,жады,ذاكرة
283,Gedächtnis::N,ақыл-ес,ذاكرة
284,Verstand::N,ақыл,عقل
285,Verstand::N,парасат,عقل
286,Sinn::N,мән,معنى
287,Sinn::N,маныз,معنى
288,Sinn::N,мағына,معنى
289,Sinn::N,мән-мағына,معنى
290,Grund::N,себеп,سبب
291,Wahrheit::N,рас,حقيقة
292,Gespräch::N,әңгіме,محادثة
293,Märchen::N,ертеп,خرافة
294,Märchen::N,ертек,خرافة
295,Erzählung::N,әңгіме,قصة
296,Erzählung::N,әңгіме,حكاية
297,Nachricht::N,хабар,خبر
298,Neuigkeit::N,жаңалық,خبر جديد
299,Name::N,ат,اسم
300,Name::N,атау,اسم
301,Rätsel::N,жұмбақ,لغز
302,Rede::N,сөз,خطبة
303,Sprache::N,тіл,لغة
