,Concept_ID,ca,be
0,Auge::N,ull,вока
1,Ohr::N,orella,вуха
2,Nase::N,nas,нос
3,Mund::N,boca,рот
4,Zahn::N,dent,зуб
5,Zunge::N,llēngua,язык
6,Lippe::N,llavi,губа
7,Wange::N,galta,шчака
8,Gesicht::N,cara,твар
9,Stirn::N,front,лоб
10,Haar::N,cabēll,волас
11,Haar::N,cabēll,валасы
12,Schnurrbart::N,bigoti,вус
13,Schnurrbart::N,bigoti,вусы
14,Bart::N,barba,барада
15,Kinn::N,mentó,падбародак
16,Kinn::N,barbeta,падбародак
17,Kiefer[Anatomie]::N,queix,сківіца
18,Kiefer[Anatomie]::N,mandíbula,сківіца
19,Kehle::N,gola,горла
20,Kehle::N,gorja,горла
21,Hals::N,coll,шыя
22,Genick::N,nuca,патыліца
23,Kopf::N,cap,галава
24,Rücken::N,esquena,спіна
25,Bauch::N,panxa,жывот
26,Nabel::N,llombrígol,пупок
27,Busen::N,pit,грудзі
28,Busen::N,mama,грудзі
29,Brust::N,pit,грудзі
30,Schulter::N,espatlla,плячо
31,Arm::N,braç,рука
32,Ellenbogen::N,colze,локаць
33,Hand::N,mà,кісць
34,Handfläche::N,palma,далонь
35,Finger::N,dit,палец
36,Fingernagel::N,ungla,ногаць
37,Nagel[Anatomie]::N,ungla,ногаць
38,Zeh::N,dit del peu,палец
39,Fuß::N,peu,нага
40,Ferse::N,taló,пята
41,Ferse::N,taló,пятка
42,Knie::N,genoll,калена
43,Oberschenkel::N,cuixa,бядро
44,Oberschenkel::N,cuixa,сцягно
45,Bein::N,cama,нага
46,Körper::N,cos,цела
47,Haut::N,pell,скура
48,Blut::N,sang,кроў
49,Ader::N,vena,вена
50,Ader::N,vena,сасуд
51,Sehne::N,tendó,жыла
52,Sehne::N,tendó,цеціва
53,Sehne::N,tendó,сухажылле
54,Knochen::N,os,косць
55,Gehirn::N,cervell,мозг
56,Herz::N,cor,сэрца
57,Magen::N,estómac,страўнік
58,Leber::N,fetge,печань
59,Atem::N,alè,дыханне
60,Atem::N,hàlit,дыханне
61,Hunger::N,fam,голад
62,Hunger::N,gana,голад
63,Träne::N,llàgrima,сляза
64,Geschmack::N,gust,смак
65,Geschmack::N,sabor,смак
66,Geruch::N,olor,пах
67,Schlaf::N,son,сон
68,Traum::N,somni,сон
69,Himmel::N,celm,неба
70,Sonne::N,sol,сонца
71,Mond::N,lluna,месяц
72,Stern::N,estel,зорка
73,Stern::N,estrella,зорка
74,Luft::N,aire,паветра
75,Wind::N,vent,вецер
76,Welle::N,ona,хваля
77,Wasser::N,āigua,вада
78,Stein::N,pedra,камень
79,Boden::N,sòl,глеба
80,Erde::N,terra,зямля
81,Staub::N,pols,пыл
82,Rauch::N,fum,дым
83,Funke::N,guspira,іскра
84,Funke::N,centella,іскра
85,Feuer::N,foc,агонь
86,Licht::N,llum,святло
87,Schatten::N,ombra,цень
88,Wetter::N,temps,пагода
89,Wetter::N,temps,надворʼе
90,Nebel::N,boira,туман
91,Wolke::N,núvol,воблака
