,Concept_ID,av,lez
0,Ohr::N,гӏин,яб
1,Nase::N,мегӏер,нер
2,Mund::N,кӏал,сив
3,Zahn::N,гӏус,сас
4,Zahn::N,гӏус,свах
5,Zunge::N,мацӏ,мез
6,Lippe::N,кӏветӏ,пӏуз
7,Wange::N,гӏоно,хъвехъ
8,Gesicht::N,гьумер,ччин
9,Stirn::N,нодо,пел
10,Haar::N,рас,чӏар
11,Schnurrbart::N,михъ,спел
12,Schnurrbart::N,михъ,спелар
13,Bart::N,мегеж,ччуру
14,Kinn::N,нилъу,чене
15,Kiefer[Anatomie]::N,чанагъ,чене
16,Kehle::N,щекъер,туьд
17,Hals::N,габур,гардан
18,Genick::N,гъванща,кьам
19,Kopf::N,бетӏер,кьил
20,Rücken::N,мугъ,далу
21,Bauch::N,чехь,руфун
22,Nabel::N,цӏину,пицӏ
23,Busen::N,керен,мам
24,Brust::N,керен,хур
25,Schulter::N,гъажазубетӏер,къуьн
26,Arm::N,гъеж,гъил
27,Ellenbogen::N,гӏункӏрукь,кьуьнт
28,Hand::N,квер,капаш
29,Handfläche::N,огъохъат,капан юкь
30,Handfläche::N,жанисахъат,капан юкь
31,Finger::N,килищ,тӏуб
32,Fingernagel::N,малъ,кек
33,Nagel[Anatomie]::N,малъ,кек
34,Zeh::N,килищ,кул
35,Fuß::N,хӏетӏ,кӏвач
36,Fuß::N,хӏетӏе,кӏвач
37,Ferse::N,эгъе,дабан
38,Knie::N,наку,мет
39,Oberschenkel::N,мачӏ,
40,Bein::N,бох,кӏвач
41,Körper::N,къаркъала,беден
42,Haut::N,тӏом,хам
43,Blut::N,би,иви
44,Ader::N,бидурихь,дамар
45,Knochen::N,ракьа,кӏараб
46,Gehirn::N,гӏадалнах,мефт
47,Herz::N,ракӏ,рикӏ
48,Magen::N,кванирукъ,хук
49,Leber::N,тӏул,лекь
50,Atem::N,хӏухь,ял
51,Atem::N,хӏухь,нефес
52,Hunger::N,ракъи,каш
53,Träne::N,магӏу,вилин нагъв
54,Geschmack::N,тату,дад
55,Geschmack::N,тату,тӏям
56,Geruch::N,махӏ,ни
57,Schlaf::N,макьу,ахвар
58,Traum::N,макьу,ахвар
59,Himmel::N,зоб,цав
60,Sonne::N,бакъ,рагъ
61,Mond::N,моцӏ,варз
62,Stern::N,цӏва,гъед
63,Luft::N,гьава,гьава
64,Wind::N,гьури,гар
65,Welle::N,карачел,лепе
66,Wasser::N,лъим,яд
67,Stein::N,гьецӏо,къван
68,Boden::N,ракь,накьв
69,Erde::N,ракь,ччил
70,Erde::N,дуниял,ччил
71,Staub::N,хӏур,руг
72,Rauch::N,кӏкӏуй,гум
73,Feuer::N,цӏа,цӏай
74,Licht::N,канлъи,экв
75,Schatten::N,рагӏад,серин
76,Wetter::N,гьава-бакъ,гьава
77,Nebel::N,гӏодобнакӏкӏ,ччилин циф
78,Wolke::N,накӏкӏ,циф
79,Regen::N,цӏад,марф
80,Schnee::N,гӏазу,жив
81,Eis::N,цӏер,мурк
82,Frost::N,замгьари,аяз
83,Kälte::N,квач,мекь
84,Kälte::N,квач,мекьивал
85,Hitze::N,багӏари,зегьем
86,Raureif::N,мартӏ,къирав
87,Regenbogen::N,нур,яргъируш
88,Regenbogen::N,чамбара,яргъируш
89,Donner::N,гъугъай,цавун ван
90,Donner::N,гъугъади,цавун ван
91,Strömung::N,чвахи,
92,Tropfen::N,резел,стӏал
93,Tropfen::N,тӏинкӏ,стӏал
94,Tropfen::N,къатӏра,стӏал
95,Tropfen::N,тӏенкӏел,стӏал
96,Schaum::N,полоп,каф
97,Schmutz::N,чороклъи,чирк
98,Schmutz::N,чороклъи,кьуруш
99,See::N,хӏор,вир
100,Sumpf::N,хьуцӏ,уьлен
101,Wiese::N,мегъ,векь
102,Wiese::N,гӏурдаллъи,векь
103,Wald::N,рохь,там
104,Hügel::N,гохӏ,кӏунтӏ
105,Anhöhe::N,сийитма,тепе
106,Anhöhe::N,сийитма,гьуьндуьрвал
107,Berg::N,мегӏер,дагъ
108,Gipfel::N,тӏогь,кӏукӏ
109,Höhle::N,нохъо,кьветӏ
110,Abhang::N,лабаллъи,гуьне
111,Quelle::N,ицц,чешме
112,Bach::N,лъар,булах
113,Fluss::N,гӏор,вацӏ
114,Ufer::N,рагӏал,къерех
115,Küste::N,рагӏал,къерех
116,Festland::N,ракь,кьурамат
117,Festland::N,ракъдаллъи,кьурамат
118,Meer::N,ралъад,гьуьл
119,Bucht::N,кӏветӏ,бухта
120,Insel::N,чӏинкӏиллъи,остров
121,Blume::N,тӏегь,цуьк
122,Gras::N,хер,хъач
123,Wurzel::N,кьибил,дувул
124,Baum::N,гъветӏ,ттар
125,Stamm::N,рохти,тан
126,Rinde::N,макъар,чкал
127,Ast::N,ноцӏ,тӏур
128,Zweig::N,гӏаркьел,хел
129,Blatt::N,тӏамах,пеш
130,Birke::N,мах,верх
131,Birke::N,махигъветӏ,верх
132,Kiefer[Baum]::N,накӏкӏигъветӏ,шамагъаж
133,Weide[Baum]::N,рицӏцӏ,цӏвелин ттар
134,Weide[Baum]::N,рицӏцӏигъветӏ,цӏвелин ттар
135,Tanne::N,ёлка,ель
136,Horn::N,лълъар,карч
137,Feder::N,хӏули,цӏакул
138,Fell::N,тӏом,хам
139,Fell::N,цӏоко,хам
140,Flügel::N,кваркьи,лув
141,Klaue::N,галъ,къармах
142,Kralle::N,квачӏ,пац
143,Kralle::N,квачӏ,тапас
144,Kralle::N,катиквачӏ,пац
145,Kralle::N,катиквачӏ,тапас
146,Schwanz::N,рачӏ,ттум
147,Ei::N,хоно,кака
148,Nest::N,бусен,муг
149,Bau::N,каратӏ,тӏеквен
150,Tier::N,хӏайван,гьайван
151,Herde::N,рехъен,суьруь
152,Herde::N,рехъед,суьруь
153,Kuh::N,гӏака,ккал
154,Bulle::N,оц,яц
155,Bulle::N,оц,бугъа
156,Pferd::N,чу,балкӏан
157,Schaf::N,чахъу,хеб
158,Schwein::N,болъон,вак
159,Hund::N,гьой,кицӏ
160,Katze::N,кету,кац
161,Bär::N,ци,сев
162,Eichhörnchen::N,гвангва,белка
163,Fuchs::N,цер,сикӏ
164,Hase::N,гӏанкӏ,къуьр
165,Maus::N,гӏункӏкӏ,кьиф
166,Wolf::N,бацӏ,жанавур
167,Vogel::N,хӏинчӏ,луван ничхир
168,Schwarm::N,тӏел,луж
169,Huhn::N,гӏанкӏу,верч
170,Hahn::N,хӏелеко,кӏек
171,Gans::N,хъаз,къаз
172,Adler::N,цӏум,лекь
173,Ente::N,ордек,пӏатӏ
174,Eule::N,беццаруз,тӏиб
175,Kranich::N,къункъра,дурна
176,Krähe::N,гъеду,къаргъа
177,Kuckuck::N,гагу,кукупӏ
178,Schwan::N,хӏанкъва,къугь
179,Fisch::N,ччугӏа,гъед
180,Barsch::N,окунь,окунь
181,Hecht::N,щука,щука
182,Schlange[Tier]::N,борохь,илан
183,Schlange[Tier]::N,борохь,гъуьлягъ
184,Wurm::N,хӏапара,квак
185,Spinne::N,хъанхъра,хуьшрекан
186,Ameise::N,цӏунцӏра,цегв
187,Laus::N,нацӏ,нет
188,Mücke::N,кӏкӏара,ветӏ
189,Fliege::N,тӏутӏ,тӏветӏ
190,Schmetterling::N,кӏалкӏучӏ,чепелукь
191,Apfel::N,гӏеч,ич
192,Pilz::N,гӏурдахӏан,къарникъуз
193,Zwiebel::N,кӏочӏопер,чичӏек
194,Saat::N,хьон,тумар
195,Korn::N,мугь,твар
196,Heu::N,хер,векь
197,Heu::N,хер,векьер
198,Schale::N,хъал,пириш
199,Schale::N,хъал,хъуьруьш
200,Grube::N,гвенд,фур
201,Falle::N,къор,ракьар
202,Falle::N,къотен,ракьар
203,Schlinge::N,кӏичӏ,гьалкъа
204,Spur::N,лъалкӏ,гел
205,Asche::N,рахъу,руьхъ
206,Dreck::N,гъиз,чирк
207,Dreck::N,гъиз,кьуруш
208,Dreck::N,хӏарщ,чирк
209,Dreck::N,хӏарщ,кьуруш
210,Eisen::N,махх,ракь
211,Gold::N,месед,алтун
212,Silber::N,гӏарац,гимиш
213,Kohle::N,тӏурччи,цӏивин
214,Glas::N,цӏер,шуьше
215,Lehm::N,хӏатӏ,ччеб
216,Sand::N,сали,къум
217,Mensch::N,чи,инсан
218,Mann::N,бихьинчи,итим
219,Frau::N,гӏадан,паб
220,Frau::N,гӏадан,дишегьли
221,Kind::N,лъимер,аял
222,Junge::N,вас,гада
223,Mädchen::N,яс,руш
224,Familie::N,хъизан,хзан
225,Familie::N,хъизан,килфет
226,Großvater::N,кӏудада,чӏехи буба
227,Großmutter::N,кӏодо,чӏехи диде
228,Eltern::N,эбел-эмен,диде-буба
229,Vater::N,эмен,буба
230,Mutter::N,эбел,диде
231,Sohn::N,вас,хва
232,Tochter::N,яс,руш
233,Bruder::N,вац,стха
234,Schwester::N,яц,вах
235,Onkel::N,даци,ими
236,Onkel::N,даци,халу
237,Tante::N,ада,эме
238,Tante::N,ада,хала
239,Ehemann::N,рос,гъуьл
240,Ehefrau::N,чӏужу,паб
241,Freude::N,ракӏбохи,шадвал
242,Gelächter::N,релъи,хъвер
243,Glück::N,талихӏ,бахт
244,Glück::N,талихӏ-рохел,бахт
245,Kummer::N,хӏалкъай,дерт
246,Kummer::N,хӏалкъай,хажалат
247,Wunsch::N,къасд,мурад
248,Lust::N,гъира,гьевес
249,Geist::N,чӏанкӏ,руьгь
250,Geist::N,рухӏ-жан,руьгь
251,Gedanke::N,пикру,фикир
252,Verstand::N,лумалъи,акьул
253,Verstand::N,цӏодорлъи,акьул
254,Sinn::N,магӏна,мана
255,Grund::N,багьана,себеб
256,Wahrheit::N,ритӏухълъи,керчек
257,Wahrheit::N,ритӏухълъи,гьакъикъат
258,Gespräch::N,накъит,ихтилат
259,Märchen::N,маргьа,мах
260,Erzählung::N,къиса,кьиса
261,Nachricht::N,хабар,хабар
262,Neuigkeit::N,хабар-гӏазаб,цӏийи хабар
263,Name::N,цӏар,тӏвар
264,Rätsel::N,бицанкӏо,мискӏал
265,Rede::N,речь,рахун
266,Rede::N,калам,рахун
267,Sprache::N,мацӏ,чӏал
268,Stimme::N,гьаракь,ван
269,Wort::N,рагӏи,гаф
270,Zeichen::N,ишара,ишара
271,Zeichen::N,гӏаламат,ишара
272,Ruf::N,ахӏи,эвер
273,Lärm::N,хъуй,ван-сес
274,Lärm::N,хъуди,ван-сес
275,Laut::N,гьаракь,ван
276,Laut::N,гьаракь,сес
277,Laut::N,сас,ван
278,Laut::N,сас,сес
279,Lied::N,кечӏ,мани
280,Ruhe::N,рахӏат,ласвал
281,Ruhe::N,рахӏат,фаракъат
282,Ruhe::N,рахӏат,асайиш
283,Leute::N,гӏадамал,инсанар
284,Volk::N,халкъ,халкь
285,Arbeit::N,хӏалтӏи,кӏвалах
286,Gast::N,гьобол,мугьман
287,Geschenk::N,сайигъат,савкьат
288,Spiel::N,хӏай,къугъун
289,Spiel::N,расанди,къугъун
290,Gesellschaft::N,жамагӏат,жемят
291,Gesellschaft::N,жамагӏат,общество
292,Hilfe::N,кумек,куьмек
293,Freund::N,гьудул,дуст
294,Kamerad::N,гьалмагъ,яр-дуст
295,Angelegenheit::N,къваригӏел,кар
296,Anzahl::N,рикӏкӏен,сан
297,Anzahl::N,рикӏкӏен,кьадар
298,Art::N,жинс,жуьре
299,Stück::N,кесек,кӏус
300,Teil::N,пай,пай
301,Hälfte::N,бащдаб,зур
302,Hälfte::N,бащдаб,зур пай
303,Kreis::N,гор,круг
304,Kreis::N,гор,чкаяр
305,Kreis::N,гор,элкъвей цӏар
306,Kreuz::N,хъанч,хаш
307,Linie::N,мухъ,цӏар
308,Strich::N,хӏучч,цӏар
309,Abstand::N,манзил,ара
310,Entfernung::N,манзил,мензил
311,Gegend::N,рахъ,чка
312,Platz::N,бакӏ,ара
313,Ort::N,бакӏ,чка
314,Seite::N,рахъ,пад
315,Mitte::N,бакьулъбакӏ,юкь
316,Gegenstand::N,жо,затӏ
317,Sache::N,жо,шей
318,Sache::N,жо,затӏ
319,Rand::N,мицӏир,къерех
320,Kante::N,рагӏал,син
321,Kante::N,рагӏа-ракьан,син
322,Ecke::N,цили,пӏипӏ
323,Spitze::N,тӏогь,кӏвенкӏв
324,Ende::N,кӏал,кьил
325,Loch::N,каратӏ,тӏеквен
326,Muster::N,накъиш,гишир
327,Größe::N,кӏодо́лъи,кьадар
328,Länge::N,халалъи,яргъивал
329,Höhe::N,борхалъи,кьакьанвал
330,Gewicht::N,бакӏлъи,заланвал
331,Haufen::N,гъуни,хара
332,Reihe::N,ирга́,жерге
333,Boot::N,раса,луьткве
334,Ruder::N,раххан,кьусу
335,Schlitten::N,чанагъ,гъелерар
336,Ski::N,лыжаби,
337,Lagerfeuer::N,цӏа,цӏай
338,Last::N,бакӏлъи,заланвал
339,Gang::N,хьвади,ериш
340,Gang::N,хьвада-чӏвади,ериш
341,Schritt::N,гали,къадам
342,Norden::N,шимал,кефер
343,Norden::N,шимал,кефер пад
344,Süden::N,юг,кьибле
345,Süden::N,къибла,кьибле
346,Westen::N,гъарб,рагъакӏидай пад
347,Westen::N,магъриб,рагъакӏидай пад
348,Osten::N,шаркъ,рагъэкъечӏдай пад
349,Osten::N,машрикъ,рагъэкъечӏдай пад
350,Holz::N,цӏул,кӏарас
351,Brett::N,хъарщи,кьул
352,Brett::N,хъарщи,тахта
353,Platte::N,къоно,
354,Stange::N,гӏер,юрк
355,Stock::N,тӏил,лаш
356,Stab::N,гӏер,юрк
357,Rohr::N,турба,турба
358,Haus::N,ригь,ужагъ
359,Haus::N,рукъзал,ужагъ
360,Heim::N,рукъ,кӏвал
361,Ofen::N,печь,пич
362,Fußboden::N,чӏабар,кӏвалин ччил
363,Tisch::N,стол,стол
364,Stuhl::N,бакӏу,стул
365,Wiege::N,кини,кьеб
366,Bett::N,кровать,тахт
367,Regal::N,хъарщи,кьацӏ
368,Kiste::N,ящик,ящик
369,Kiste::N,тӏалагъуд,ящик
370,Fenster::N,гордо,дакӏар
371,Tür::N,нуцӏа,рак
372,Tor::N,каву,варар
373,Zaun::N,раци,пару
374,Dach::N,тӏох,къав
375,Leiter::N,мали,гурар
376,Besen::N,жул,таран кул
377,Spaten::N,бел,ппер
378,Schaufel::N,раххан,хекендаз
379,Gabel::N,гӏучӏ,шиш
380,Löffel::N,гъуд,тӏур
381,Messer::N,нус,чукӏул
382,Nagel::N,магӏ,мих
383,Netz::N,гьин,чил
384,Haken::N,гъанцӏа,къармах
385,Griff::N,гӏоркь,ттум
386,Schloss::N,кӏулал,куьлег
387,Bild::N,сурат,шикил
388,Bild::N,сурат,суьрет
389,Puppe::N,нани,нини
390,Beutel::N,таргьа,тагъар
391,Bündel::N,къай,галгам
392,Tasche::N,сумка,чанта
393,Tasche::N,къвачӏа,чанта
394,Eimer::N,ведро,ведре
395,Deckel::N,тӏалъел,кьил
396,Deckel::N,тӏалъел,къалпагъ
397,Deckel::N,дадитӏалъел,кьил
398,Deckel::N,дадитӏалъел,къалпагъ
399,Geschirr::N,цӏарагӏ,къаб-къажах
400,Sack::N,хъап,чувал
401,Sack::N,къандалъо,чувал
402,Tasse::N,чашка,сукӏра
403,Topf::N,хьаг,къажгъан
404,Kessel::N,хьаг,къажгъан
405,Kessel::N,гереги,къажгъан
406,Essen::N,тӏагӏам,тӏуьн
407,Nahrung::N,квен,тӏуьн
408,Speise::N,квен,хуьрек
409,Fleisch::N,гьан,як
410,Getreide::N,бугӏа-ролъ,техил
411,Getreide::N,могьолабл_культураби,техил
412,Brei::N,карщ,хапӏа
413,Brei::N,карщ,хешил
414,Brot::N,чед,фу
415,Scheibe::N,мочӏу,чӏук
416,Fett::N,беэнлъи,ягълу
417,Butter::N,нах,гъери
418,Öl::N,нах,ягълу
419,Salz::N,цӏам,кьел
420,Suppe::N,чурпа,суп
421,Suppe::N,чурпа,шурпа
422,Honig::N,гьоцӏо,вирт
423,Milch::N,рахь,нек
424,Tee::N,чай,чай
425,Leder::N,тӏом,тумаж
426,Wolle::N,квас,йис
427,Stoff::N,ххам,парча
428,Nadel::N,рокӏкӏен,раб
429,Faden::N,кун,гъал
430,Knopf::N,маргъал,дуьгме
431,Knoten::N,гарацӏ,тӏвал
432,Farbe::N,релъен,ранг
433,Kleidung::N,ретӏел,партал
434,Hemd::N,гурде,перем
435,Kragen::N,габур,хев
436,Ärmel::N,къвал,хел
437,Hose::N,тӏажу,шалвар
438,Gürtel::N,рачел,чӏул
439,Mütze::N,тӏагъур,бармак
440,Mütze::N,тӏагъур,бапӏах
441,Stiefel::N,этек,чекме
442,Stiefel::N,чакма,чекме
443,Ring::N,баргъич,тупӏал
444,Band::N,лента,тасма
445,Kamm::N,гьоркьо,регъ
446,Spiegel::N,матӏу,гуьзгуь
447,Riemen::N,рижу,къайиш
448,Decke::N,одея́ло,яргъан
449,Kissen::N,къандалъо,хъуьцуьган
450,Tuch::N,квархьи,шал
451,Handtuch::N,беркӏалрацӏцӏ,дасмал
452,Kraft::N,гуч,гуж
453,Kraft::N,къуват,гуж
454,Stärke::N,хӏалкӏвей,къуват
455,Gesundheit::N,сахлъи́,сагъвал
456,Krankheit::N,унти,тӏал
457,Krankheit::N,щокълъи,тӏал
458,Schmerz::N,унти,тӏал
459,Schmerz::N,унти,тӏарвал
460,Wunde::N,ругъун,хер
461,Fieber::N,цӏа-кан,ифин
462,Arznei::N,дару,дарман
463,Brücke::N,кьо,муьгъ
464,Brunnen::N,гъуй,къуй
465,Weide::N,рицӏцӏ,уьруьш
466,Weide::N,лъичӏирма,уьруьш
467,Weide::N,гӏурдаллъи,уьруьш
468,Weide::N,ри́цӏигъветӏ,уьруьш
469,Weide::N,рицӏцӏигъветӏ,уьруьш
470,Pfad::N,сухъмахъ,рехъ
471,Weg::N,нух,рехъ
472,Straße::N,нух,рехъ
473,Dorf::N,росу,хуьр
474,Stadt::N,шагьар,шегьер
475,Brief::N,кагъат,кагъаз
476,Brief::N,рисалат,кагъаз
477,Buch::N,тӏехь,улуб
478,Buchstabe::N,хӏарп,гьарф
479,Zeitung::N,газет,газета
