,Concept_ID,sv,pt
0,Auge::N,öga,olho
1,Ohr::N,öra,orelha
2,Nase::N,näsa,nariz
3,Mund::N,mun,boca
4,Zahn::N,tand,dente
5,Zunge::N,tunga,língua
6,Lippe::N,läpp,lábio
7,Wange::N,kind,face
8,Gesicht::N,syn,cara
9,Gesicht::N,syn,rosto
10,Gesicht::N,ansikte,cara
11,Gesicht::N,ansikte,rosto
12,Stirn::N,panna,testa
13,Haar::N,hår,cabelo
14,Schnurrbart::N,mustasch,bigode
15,Bart::N,skägg,barba
16,Kinn::N,haka,queixo
17,Kiefer[Anatomie]::N,käke,maxila
18,Kiefer[Anatomie]::N,käke,mandíbula
19,Kehle::N,strupe,garganta
20,Hals::N,hals,colo
21,Hals::N,hals,pescoço
22,Genick::N,nacke,nuca
23,Kopf::N,huvud,cabeça
24,Rücken::N,rygg,dorso
25,Rücken::N,rygg,costas
26,Bauch::N,buk,ventre
27,Bauch::N,buk,barriga
28,Bauch::N,mage,ventre
29,Bauch::N,mage,barriga
30,Nabel::N,navel,umbigo
31,Busen::N,barm,seio
32,Brust::N,bröst,peito
33,Schulter::N,skuldra,ombro
34,Arm::N,arm,braço
35,Ellenbogen::N,armbåge,cotovelo
36,Hand::N,hand,mão
37,Handfläche::N,handflata,palma
38,Handfläche::N,handflata,palma da mão
39,Finger::N,finger,dedo
40,Fingernagel::N,fingernagel,unha
41,Nagel[Anatomie]::N,nagel,unha
42,Zeh::N,tå,dedo do pé
43,Fuß::N,fot,pé
44,Ferse::N,häl,calcanhar
45,Knie::N,knä,joelho
46,Oberschenkel::N,lår,coxa
47,Bein::N,ben,perna
48,Körper::N,kropp,corpo
49,Haut::N,hud,pele
50,Haut::N,skinn,pele
51,Blut::N,blod,sangue
52,Ader::N,åder,veia
53,Sehne::N,sena,tendão
54,Knochen::N,ben,osso
55,Gehirn::N,hjärna,cérebro
56,Herz::N,hjärta,coração
57,Magen::N,mage,estômago
58,Leber::N,lever,fígado
59,Atem::N,anda,fôlego
60,Atem::N,andedräkt,fôlego
61,Hunger::N,svält,fome
62,Hunger::N,hunger,fome
63,Träne::N,tår,lágrima
64,Geschmack::N,smak,gosto
65,Geruch::N,lukt,odor
66,Geruch::N,lukt,cheiro
67,Schlaf::N,sömn,sono
68,Traum::N,dröm,sonho
69,Himmel::N,himmel,céu
70,Sonne::N,sol,sol
71,Mond::N,måne,lua
72,Stern::N,stjärna,estrela
73,Luft::N,luft,ar
74,Wind::N,vind,vento
75,Welle::N,våg,onda
76,Welle::N,bölja,onda
77,Wasser::N,vatten,água
78,Stein::N,sten,pedra
79,Boden::N,mark,solo
80,Erde::N,jord,terra
81,Staub::N,damm,pó
82,Rauch::N,rök,fumo
83,Funke::N,gnista,faísca
84,Funke::N,gnista,centelha
85,Feuer::N,eld,fogo
86,Licht::N,ljus,luz
87,Schatten::N,skugga,sombra
88,Wetter::N,väder,tempo
89,Nebel::N,dimma,nevoeiro
90,Nebel::N,töcken,nevoeiro
91,Wolke::N,sky,nuvem
92,Wolke::N,moln,nuvem
93,Regen::N,regn,chuva
94,Schnee::N,snö,neve
95,Eis::N,is,gelo
96,Frost::N,frost,gelo
97,Frost::N,frost,geada
98,Kälte::N,köld,frio
99,Hitze::N,hetta,ardor
100,Raureif::N,rimfrost,geada
101,Regenbogen::N,regnbåge,arco-iris
102,Donner::N,åska,trovão
103,Donner::N,dunder,trovão
104,Strömung::N,strömning,corrente
105,Tropfen::N,dropper,gota
106,Schaum::N,skum,espuma
107,Schmutz::N,lort,sujidade
108,Schmutz::N,lort,imundície
109,Schmutz::N,smuts,sujidade
110,Schmutz::N,smuts,imundície
111,See::N,sjö,lago
112,Sumpf::N,träsk,charco
113,Sumpf::N,träsk,pântano
114,Moor::N,myr,pântano
115,Moor::N,mosse,pântano
116,Wiese::N,äng,prado
117,Wald::N,skog,bosque
118,Wald::N,skog,floresta
119,Hügel::N,höjd,colina
120,Hügel::N,kulle,colina
121,Anhöhe::N,höjd,alto
122,Anhöhe::N,höjd,outeiro
123,Anhöhe::N,backe,alto
124,Anhöhe::N,backe,outeiro
125,Berg::N,berg,monte
126,Berg::N,berg,montanha
127,Berg::N,fjäll,monte
128,Berg::N,fjäll,montanha
129,Gipfel::N,topp,pico
130,Höhle::N,håla,caverna
131,Höhle::N,grotta,caverna
132,Abhang::N,slänt,encosta
133,Abhang::N,sluttning,encosta
134,Quelle::N,källa,fonte
135,Bach::N,bäck,regato
136,Bach::N,bäck,ribeiro
137,Fluss::N,älv,rio
138,Fluss::N,flod,rio
139,Ufer::N,strand,beira
140,Küste::N,kust,costa
141,Festland::N,fastland,terra firme
142,Meer::N,hav,mar
143,Bucht::N,vik,baía
144,Bucht::N,bukt,baía
145,Insel::N,ö,ilha
146,Blume::N,blomma,flor
147,Blume::N,blomster,flor
148,Gras::N,gräs,erva
149,Wurzel::N,rot,raiz
150,Baum::N,träd,árvore
151,Stamm::N,stam,tronco
152,Rinde::N,bark,casca
153,Ast::N,gren,ramo
154,Zweig::N,kvist,galho
155,Blatt::N,löv,folha
156,Blatt::N,blad,folha
157,Birke::N,björk,bétula
158,Kiefer[Baum]::N,tall,pinheiro
159,Weide[Baum]::N,pil,salgueiro
160,Weide[Baum]::N,vide,salgueiro
161,Tanne::N,gran,abeto
162,Horn::N,horn,corno
163,Horn::N,horn,chifre
164,Feder::N,fjäder,pena
165,Fell::N,fäll,pele
166,Fell::N,skinn,pele
167,Flügel::N,vinge,asa
168,Klaue::N,klöv,pata
169,Kralle::N,klo,unha
170,Kralle::N,klo,garra
171,Schwanz::N,svans,rabo
172,Schwanz::N,svans,cauda
173,Schwanz::N,stjärt,rabo
174,Schwanz::N,stjärt,cauda
175,Ei::N,ägg,ovo
176,Nest::N,rede,ninho
177,Nest::N,näste,ninho
178,Bau::N,bo,toca
179,Bau::N,bo,covil
180,Tier::N,djur,animal
181,Herde::N,flock,rebanho
182,Kuh::N,ko,vaca
183,Bulle::N,tjur,touro
184,Pferd::N,häst,cavalo
185,Schaf::N,får,ovelha
186,Schwein::N,svin,porco
187,Hund::N,hund,cão
188,Katze::N,katt,gata
189,Bär::N,björn,urso
190,Eichhörnchen::N,ekorre,esquilo
191,Elch::N,älg,alce
192,Fuchs::N,räv,raposa
193,Hase::N,hare,lebre
194,Maus::N,mus,rato
195,Wolf::N,varg,lobo
196,Vogel::N,fågel,ave
197,Vogel::N,fågel,pássaro
198,Schwarm::N,svärm,bando
199,Schwarm::N,svärm,enxame
200,Huhn::N,höns,galinha
201,Hahn::N,tupp,galo
202,Gans::N,gås,ganso
203,Adler::N,örn,águia
204,Ente::N,anka,pata
205,Eule::N,uggla,mocho
206,Eule::N,uggla,coruja
207,Kranich::N,trana,grou
208,Krähe::N,kråka,gralha
209,Kuckuck::N,gök,cuco
210,Schwan::N,svan,cisne
211,Fisch::N,fisk,peixe
212,Barsch::N,abborre,perca
213,Hecht::N,gädda,lúcio
214,Schlange[Tier]::N,orm,serpente
215,Wurm::N,mask,verme
216,Spinne::N,spindel,aranha
217,Ameise::N,myra,formiga
218,Laus::N,lus,piolho
219,Mücke::N,mygga,mosquito
220,Fliege::N,fluga,mosca
221,Schmetterling::N,fjäril,borboleta
222,Beere::N,bär,bago
223,Apfel::N,äpple,maçã
224,Pilz::N,svamp,fungo
225,Pilz::N,svamp,cogumelo
226,Zwiebel::N,lök,cebola
227,Saat::N,sådd,sementeira
228,Korn::N,korn,grão
229,Heu::N,hö,feno
230,Schale::N,skal,casca
231,Grube::N,grop,cova
232,Grube::N,grop,fossa
233,Falle::N,fälla,armadilha
234,Schlinge::N,snara,laço
235,Spur::N,spår,pista
236,Spur::N,spår,vestígio
237,Asche::N,aska,cinza
238,Dreck::N,lort,sujidade
239,Eisen::N,järn,ferro
240,Gold::N,guld,ouro
241,Silber::N,silver,prata
242,Kohle::N,kol,carvão
243,Glas::N,glas,vidro
244,Lehm::N,lera,barro
245,Lehm::N,lera,argila
246,Sand::N,sand,areia
247,Mensch::N,människa,homem
248,Mensch::N,människa,pessoa
249,Mann::N,man,homem
250,Frau::N,kvinna,mulher
251,Kind::N,barn,filho
252,Kind::N,barn,criança
253,Junge::N,pojke,rapaz
254,Junge::N,pojke,menino
255,Mädchen::N,flicka,menina
256,Mädchen::N,flicka,rapariga
257,Familie::N,familj,família
258,Großvater::N,morfar,avô
259,Großmutter::N,farmor,avó
260,Eltern::N,föräldrar,pais
261,Vater::N,far,pai
262,Mutter::N,mor,mãe
263,Sohn::N,son,filho
264,Tochter::N,dotter,filha
265,Bruder::N,bror,irmão
266,Schwester::N,syster,irmã
267,Onkel::N,morbror,tio
268,Tante::N,tant,tia
269,Ehemann::N,äkta man,esposo
270,Ehefrau::N,hustru,esposa
271,Freude::N,fröjd,prazer
272,Freude::N,fröjd,alegria
273,Freude::N,glädje,prazer
274,Freude::N,glädje,alegria
275,Gelächter::N,åtlöje,risada
276,Gelächter::N,åtlöje,gargalhada
277,Glück::N,lycka,felicidade
278,Kummer::N,sorg,aflição
279,Kummer::N,sorg,desgosto
280,Wunsch::N,önskan,desejo
281,Lust::N,lust,vontade
282,Geist::N,ande,mente
283,Geist::N,ande,espírito
284,Gedanke::N,tanke,ideia
285,Gedanke::N,tanke,pensamento
286,Gedächtnis::N,minne,memória
287,Verstand::N,förstånd,razão
288,Verstand::N,förstånd,inteligência
289,Sinn::N,mening,sentido
290,Sinn::N,mening,significado
291,Sinn::N,betydelse,sentido
292,Sinn::N,betydelse,significado
293,Grund::N,skäl,causa
294,Grund::N,skäl,motivo
295,Grund::N,grund,causa
296,Grund::N,grund,motivo
297,Wahrheit::N,sanning,verdade
298,Gespräch::N,samtal,conversa
299,Gespräch::N,samtal,conversação
300,Märchen::N,saga,conto
301,Erzählung::N,berättelse,conto
302,Erzählung::N,berättelse,narrativa
303,Nachricht::N,meddelande,mensagem
304,Neuigkeit::N,nyhet,notícia
305,Neuigkeit::N,nyhet,novidade
306,Name::N,namn,nome
307,Rätsel::N,gåta,adivinha
308,Rede::N,tal,oração
309,Rede::N,tal,discurso
310,Sprache::N,språk,língua
311,Stimme::N,stämma,voz
312,Wort::N,ord,palavra
313,Zeichen::N,tecken,marca
314,Ruf::N,rop,grito
315,Ruf::N,rop,chamada
316,Lärm::N,bråk,ruído
317,Lärm::N,bråk,barulho
318,Lärm::N,oväsen,ruído
319,Lärm::N,oväsen,barulho
320,Laut::N,ljud,som
321,Ton::N,ton,tom
322,Lied::N,sång,canção
323,Ruhe::N,ro,calma
324,Ruhe::N,ro,silêncio
325,Ruhe::N,lugn,calma
326,Ruhe::N,lugn,silêncio
327,Leute::N,folk,gente
328,Leute::N,folk,pessoas
329,Volk::N,folk,povo
330,Volk::N,folk,nação
331,Arbeit::N,arbete,trabalho
332,Gast::N,gäst,hóspede
333,Gast::N,gäst,convidado
334,Geschenk::N,gåva,prenda
335,Geschenk::N,gåva,presente
336,Geschenk::N,present,prenda
337,Geschenk::N,present,presente
338,Spiel::N,lek,jogo
339,Spiel::N,spel,jogo
340,Gesellschaft::N,sällskap,companhia
341,Hilfe::N,hjälp,ajuda
342,Hilfe::N,hjälp,socorro
343,Freund::N,vän,amigo
344,Kamerad::N,kamrat,camarada
345,Angelegenheit::N,ärende,assunto
346,Angelegenheit::N,angelägenhet,assunto
347,Anzahl::N,antal,número
348,Anzahl::N,antal,quantidade
349,Art::N,art,tipo
350,Art::N,art,espécie
351,Art::N,slag,tipo
352,Art::N,slag,espécie
353,Stück::N,stycke,pedaço
354,Teil::N,del,peça
355,Teil::N,del,parte
356,Hälfte::N,halva,metade
357,Kreis::N,krets,círculo
358,Kreis::N,cirkel,círculo
359,Kreuz::N,kors,cruz
360,Kreuz::N,kryss,cruz
361,Linie::N,linje,linha
362,Strich::N,streck,traço
363,Abstand::N,avstånd,distância
364,Entfernung::N,avstånd,distância
365,Gegend::N,trakt,área
366,Gegend::N,trakt,região
367,Platz::N,plats,lugar
368,Ort::N,plats,sítio
369,Ort::N,ställe,sítio
370,Seite::N,sida,lado
371,Mitte::N,mitt,meio
372,Gegenstand::N,föremål,objecto
373,Sache::N,sak,coisa
374,Rand::N,rand,bordo
375,Rand::N,rand,margem
376,Kante::N,kant,borda
377,Kante::N,kant,aresta
378,Ecke::N,vrå,esquina
379,Ecke::N,hörn,esquina
380,Spitze::N,spets,ponta
381,Ende::N,ända,cabo
382,Ende::N,ända,extremo
383,Loch::N,hål,furo
384,Loch::N,hål,buraco
385,Winkel::N,vinkel,canto
386,Winkel::N,vinkel,ângulo
387,Muster::N,mönster,padrão
388,Muster::N,mönster,desenho
389,Größe::N,storlek,tamanho
