,Concept_ID,ab,sah
0,Auge::N,ала,харах
1,Ohr::N,алымҳа,кулгаах
2,Nase::N,аҧынҵа,мурун
3,Mund::N,аҧышə,айах
4,Zahn::N,ахаҧыц,тиис
5,Zunge::N,абз,тыл
6,Lippe::N,ақьышə,уос
7,Wange::N,аӡамҩа,иэдэс
8,Gesicht::N,аҿы,сирэй
9,Stirn::N,алахь,сүүс
10,Haar::N,ахəыц,баттах
11,Schnurrbart::N,аҧаҵа,уос бытыга
12,Bart::N,ажакьа,сэҥийэ бытыга
13,Kinn::N,ацламкəыгə,сэҥийэ
14,Kiefer[Anatomie]::N,ацламҳəа,сыҥаах
15,Kehle::N,ахəда,тамах
16,Kehle::N,ахəда,күөмэй
17,Hals::N,ахəда,моой
18,Genick::N,ахəдаџьал,кэтэх
19,Kopf::N,ахы,бас
20,Rücken::N,азқəа,көҕүс
21,Bauch::N,амгəа,ис
22,Nabel::N,аҷапан,киин
23,Busen::N,агəыҧҳəы,эмиий
24,Brust::N,агəышҧы,түөс
25,Schulter::N,ажəҩахыр,сарын
26,Arm::N,амахəар,илии
27,Ellenbogen::N,амашьхəылҵ,тоҕонох
28,Hand::N,анапы,илии
29,Handfläche::N,анапсаргəыҵа,ытыс
30,Finger::N,анацəа,тарбах
31,Fingernagel::N,анапхыц,тыҥырах
32,Nagel[Anatomie]::N,ашьапхыц,тыҥырах
33,Zeh::N,ашьацəа,тарбах
34,Fuß::N,ашьапсыргəыҵа,уллуҥах
35,Ferse::N,ашьхəа,тилэх
36,Knie::N,ашьамхы,тобук
37,Knie::N,ашьамхы,дьилбэк
38,Oberschenkel::N,ауаҭəа,уллук
39,Oberschenkel::N,ауаҭəа,өттүк
40,Bein::N,ашьапы,атах
41,Körper::N,ацəеижь,бэйэ
42,Haut::N,ацəа,тирии
43,Blut::N,ашьа,хаан
44,Ader::N,ада,вена
45,Ader::N,ада,күөх_тымыр
46,Sehne::N,адаш,иҥиир
47,Knochen::N,абаҩ,уҥуох
48,Knochen::N,абаҩ,уҥгуох
49,Gehirn::N,ахшлыбаҩ,мэйии
50,Gehirn::N,ахшыбаҩ,мэйии
51,Herz::N,агəы,сүрэх
52,Magen::N,аца,куртах
53,Magen::N,ацар,куртах
54,Leber::N,агəаҵəа,быар
55,Atem::N,аҧсыҧлагаҩгара,тыын
56,Hunger::N,амла,аас
57,Träne::N,алабжыш,харах уута
58,Geschmack::N,агьама,амтан
59,Geruch::N,афҩы,сыт
60,Schlaf::N,ацəа,утуйуу
61,Traum::N,аҧхыӡ,түүл
62,Himmel::N,ажəҩан,халлаан
63,Sonne::N,амра,күн
64,Mond::N,амза,ый
65,Stern::N,аеҵəа,сулус
66,Luft::N,аҳаир,салгын
67,Wind::N,аҧша,тыал
68,Welle::N,ацəқəырҧа,долгун
69,Welle::N,ацəқəырҧа,балхаан
70,Wasser::N,аӡы,уу
71,Stein::N,ахаҳə,таас
72,Boden::N,адгьыл,сир
73,Erde::N,адгьыл,буор
74,Staub::N,асаба,быыл
75,Rauch::N,алҩа,буруо
76,Funke::N,акəиц,кыым
77,Funke::N,ацҧхь,кыым
78,Feuer::N,амца,уот
79,Licht::N,алашара,уот
80,Schatten::N,ашəшьыра,күлүк
81,Wetter::N,амш,күн-дьыл
82,Nebel::N,анаҟəа,туман
83,Wolke::N,аҧсҭҳəа,былыт
84,Regen::N,ақəа,самыыр
85,Schnee::N,асы,хаар
86,Eis::N,аҵаа,муус
87,Frost::N,аҵаа,тымныы
88,Kälte::N,ахьҭа,тымныы
89,Hitze::N,ашоура,куйаас
90,Raureif::N,аҵааҧшқа,кырыа
91,Regenbogen::N,ацəаҟəа,кустук
92,Donner::N,адыд,этиҥ
93,Strömung::N,аиасра,сүүрүк
94,Strömung::N,амҩасра,сүүрүк
95,Tropfen::N,ацəыкəбар,таммах
96,Tropfen::N,ацəыкəбар,хааппыла
97,Schaum::N,ашəах,күүгэн
98,Schmutz::N,алымт,кир
99,See::N,аӡиа,күөл
100,Sumpf::N,аӡмах,бадараан
101,Wiese::N,адəы,ходуһа
102,Wald::N,абна,ойуур
103,Hügel::N,ахəы,булгунньах
104,Anhöhe::N,аҳаракыра,үрдэл
105,Berg::N,ашьха,хайа
106,Gipfel::N,ацəқəа,чыпчаал
107,Höhle::N,аҳаҧы,хайа_хаспаҕа
108,Höhle::N,аҳаҧы,көҥүс
109,Abhang::N,анаара,эниэ
110,Quelle::N,аҵҵырҭа,дьүүктэ
111,Bach::N,акəараҷҷа,үрүйэ
112,Fluss::N,аӡиас,өрүс
113,Ufer::N,ахықə,биэрэк
114,Küste::N,ахықə,кытыл
115,Festland::N,абарра,кураанах сир
116,Meer::N,амшын,муора
117,Bucht::N,аӡбжьахала,хомо
118,Bucht::N,аӡбжьахала,бухта
119,Insel::N,адгьылбжьаха,арыы
120,Blume::N,ашəҭ,сибэкки
121,Gras::N,аҳасакьын,от
122,Wurzel::N,адац,силис
123,Baum::N,аҵла,мас
124,Stamm::N,ашьапы,умнас
125,Rinde::N,ацəа,хатырык
126,Ast::N,амахə,мутук
127,Ast::N,амахəҭа,мутук
128,Zweig::N,амахə,лабаа
129,Zweig::N,амахəҭа,лабаа
130,Blatt::N,абҕьы,сэбирдэх
131,Birke::N,аҵааҵла,хатыҥ
132,Kiefer[Baum]::N,амза,бэс
133,Weide[Baum]::N,аҧслыш,үөт
134,Weide[Baum]::N,аҧслыш,талах
135,Tanne::N,аҧсаӡ,харыйа
136,Horn::N,атəыҩа,муос
137,Feder::N,ахӡы,куорсун
138,Fell::N,ацəа,тирии
139,Flügel::N,амҵəыжəа,кынат
140,Klaue::N,ашьапхыц,тыҥырах
141,Schwanz::N,аҵыхəа,кутурук
142,Ei::N,акəтаӷь,сымыыт
143,Nest::N,аҭра,уйа
144,Nest::N,аҵысҭра,уйа
145,Bau::N,аҭыҩра,хороон
146,Tier::N,аҧстəы,кыыл
147,Tier::N,аҧстəы,харамай
148,Tier::N,агыгшəыг,кыыл
149,Tier::N,агыгшəыг,харамай
150,Herde::N,агəарҭа,үөр
151,Kuh::N,ажə,ынах
152,Bulle::N,ацə,оҕус
153,Pferd::N,аҽы,сылгы
154,Schaf::N,ауаса,овца
