,Concept_ID,lbe,es
0,Auge::N,я,ojo
1,Ohr::N,вичӏи,oreja
2,Nase::N,май,nariz
3,Mund::N,кьацӏ,boca
4,Zahn::N,ккарччи,diente
5,Zunge::N,маз,lengua
6,Lippe::N,мурччи,labio
7,Wange::N,чӏав,mejilla
8,Gesicht::N,лажин,cara
9,Stirn::N,ненттабакӏ,frente
10,Haar::N,чӏара,cabello
11,Schnurrbart::N,ссирссилтту,bigote
12,Bart::N,чӏири,barba
13,Kinn::N,лунттубакӏ,barbilla
14,Kiefer[Anatomie]::N,ххинчулул,mandíbula
15,Kehle::N,кьакьари,garganta
16,Hals::N,ссурссу,cuello
17,Genick::N,махъабакӏ,nuca
18,Genick::N,махъабакӏ,cerviz
19,Kopf::N,бакӏ,cabeza
20,Rücken::N,ттиликӏ,espalda
21,Bauch::N,лякьа,vientre
22,Nabel::N,цӏумуккутӏ,ombligo
23,Busen::N,ккукку,pecho
24,Brust::N,хъазам,pecho
25,Schulter::N,хъачӏ,hombro
26,Arm::N,ка,brazo
27,Ellenbogen::N,ссюрхъ,codo
28,Hand::N,бартка,mano
29,Handfläche::N,хъат,palma
30,Handfläche::N,битӏянхъ,palma
31,Finger::N,кӏисса,dedo
32,Fingernagel::N,михь,uña
33,Nagel[Anatomie]::N,михь,uña
34,Zeh::N,кӏисса,dedo del pie
35,Fuß::N,чӏанччан,pie
36,Ferse::N,никъа,talón
37,Knie::N,ник,rodilla
38,Oberschenkel::N,жира,muslo
39,Bein::N,ччан,pierna
40,Körper::N,чурх,cuerpo
41,Haut::N,бурчу,piel
42,Blut::N,оь,sangre
43,Ader::N,тунну,vena
44,Sehne::N,хьхьа,tendón
45,Knochen::N,ттаркӏ,hueso
46,Gehirn::N,ня,cerebro
47,Gehirn::N,ня,encéfalo
48,Herz::N,дакӏ,corazón
49,Herz::N,къюкӏ,corazón
50,Magen::N,лякьа,estómago
51,Atem::N,ссихӏ ласаву,aliento
52,Atem::N,ссихӏ бигьаву,aliento
53,Hunger::N,ккаши,hambre
54,Träne::N,макь,lágrima
55,Geschmack::N,тӏин,gusto
56,Geschmack::N,тӏааьн,gusto
57,Geruch::N,кьанкь,olor
58,Schlaf::N,шану,sueño
59,Traum::N,макӏру,sueño
60,Traum::N,макӏру,ensueño
61,Himmel::N,ссав,cielo
62,Sonne::N,баргъ,sol
63,Mond::N,барз,luna
64,Stern::N,цӏуку,estrella
65,Luft::N,гьава,aire
66,Wind::N,марч,viento
67,Welle::N,щатӏи,ola
68,Welle::N,щатӏи,onda
69,Wasser::N,щин,agua
70,Stein::N,чару,piedra
71,Boden::N,аьрщи,suelo
72,Erde::N,аьрщи,tierra
73,Staub::N,ххит,polvo
74,Rauch::N,пуркӏу,humo
75,Funke::N,пиягь,chispa
76,Feuer::N,цӏу,fuego
77,Licht::N,чани,luz
78,Schatten::N,ххют,sombra
79,Wetter::N,гьава,tiempo
80,Nebel::N,шархь ттурлу,niebla
81,Wolke::N,ттурлу,nube
82,Regen::N,гъарал,lluvia
83,Schnee::N,марххала,nieve
84,Eis::N,микӏ,hielo
85,Frost::N,дяркъу,helada
86,Frost::N,замгьар,helada
87,Kälte::N,дяркъу,frío
88,Hitze::N,кӏиришиву,calor
89,Raureif::N,сил,escarcha
90,Raureif::N,бурса,escarcha
