,Concept_ID,pl,en
0,Auge::N,oko,eye
1,Ohr::N,ucho,ear
2,Nase::N,nos,nose
3,Mund::N,usta,mouth
4,Zahn::N,ząb,tooth
5,Zunge::N,język,tongue
6,Lippe::N,warga,lip
7,Wange::N,policzek,cheek
8,Gesicht::N,twarz,face
9,Stirn::N,czoło,forehead
10,Haar::N,włos,hair
11,Haar::N,włosy,hair
12,Schnurrbart::N,wąsy,moustache
13,Bart::N,broda,beard
14,Kinn::N,podbródek,chin
15,Kiefer[Anatomie]::N,czeluść,jaw
16,Kehle::N,gardło,throat
17,Hals::N,szyja,neck
18,Genick::N,kark,nape
19,Kopf::N,głowa,head
20,Rücken::N,plecy,back
21,Rücken::N,plecy,spine
22,Rücken::N,grzbiet,back
23,Rücken::N,grzbiet,spine
24,Bauch::N,brzuch,belly
25,Nabel::N,pępek,navel
26,Busen::N,biust,bosom
27,Brust::N,pierś,chest
28,Brust::N,pierś,breast
29,Schulter::N,bark,shoulder
30,Schulter::N,ramię,shoulder
31,Arm::N,ręka,arm
32,Arm::N,ramię,arm
33,Ellenbogen::N,łokieć,elbow
34,Hand::N,dłoń,hand
35,Handfläche::N,dłoń,palm
36,Finger::N,palec,finger
37,Fingernagel::N,paznokieć,fingernail
38,Nagel[Anatomie]::N,paznokieć,nail
39,Zeh::N,palec,toe
40,Fuß::N,stopa,foot
41,Ferse::N,pięta,heel
42,Knie::N,kolano,knee
43,Oberschenkel::N,udo,thigh
44,Bein::N,noga,leg
45,Körper::N,ciało,body
46,Haut::N,skóra,skin
47,Blut::N,krew,blood
48,Ader::N,żyła,vein
49,Sehne::N,ścięgno,sinew
50,Knochen::N,kość,bone
51,Gehirn::N,mózg,brain
52,Herz::N,serce,heart
53,Magen::N,żołądek,stomach
54,Leber::N,wątroba,liver
55,Atem::N,dech,breath
56,Atem::N,oddech,breath
57,Hunger::N,głód,hunger
58,Träne::N,łza,tear
59,Geschmack::N,smak,flavour
60,Geschmack::N,smak,flavor
61,Geruch::N,woń,odour
62,Geruch::N,woń,odor
63,Geruch::N,zapach,odour
64,Geruch::N,zapach,odor
65,Schlaf::N,sen,sleep
66,Traum::N,sen,dream
67,Himmel::N,niebo,sky
68,Sonne::N,słońce,sun
69,Mond::N,księżyc,moon
70,Stern::N,gwiazda,star
71,Luft::N,powietrze,air
72,Wind::N,wiatr,wind
73,Welle::N,fala,wave
74,Wasser::N,woda,water
75,Stein::N,kamień,stone
76,Boden::N,grunt,soil
77,Boden::N,grunt,ground
78,Erde::N,ziemia,earth
79,Staub::N,pył,dust
80,Staub::N,kurz,dust
81,Rauch::N,dym,smoke
82,Funke::N,iskra,spark
83,Feuer::N,ogień,fire
84,Licht::N,światło,light
85,Schatten::N,cień,shadow
86,Wetter::N,pogoda,weather
87,Nebel::N,mgła,fog
88,Wolke::N,obłok,cloud
89,Wolke::N,chmura,cloud
90,Regen::N,deszcz,rain
91,Schnee::N,śnieg,snow
92,Eis::N,lód,ice
93,Frost::N,mróz,frost
94,Kälte::N,chłód,chill
95,Hitze::N,gorąco,heat
96,Raureif::N,szron,hoarfrost
97,Regenbogen::N,tęcza,rainbow
98,Donner::N,grzmot,thunder
99,Strömung::N,nurt,current
100,Tropfen::N,kropla,drop
101,Schaum::N,piana,foam
102,Schmutz::N,brud,dirt
103,See::N,jezioro,lake
104,Sumpf::N,bagno,swamp
105,Moor::N,bagno,moor
106,Wiese::N,łąka,meadow
107,Wald::N,las,forest
108,Hügel::N,pagórek,hill
109,Anhöhe::N,wzgórze,elevation
110,Berg::N,góra,mountain
111,Gipfel::N,szczyt,summit
112,Gipfel::N,wierzchołek,summit
113,Höhle::N,pieczara,cave
114,Abhang::N,stok,slope
115,Abhang::N,zbocze,slope
116,Quelle::N,zdrój,source
117,Quelle::N,źródło,source
118,Bach::N,potok,brook
119,Bach::N,strumień,brook
120,Fluss::N,rzeka,river
121,Ufer::N,brzeg,shore
122,Küste::N,wybrzeże,coast
123,Festland::N,ląd,land
124,Meer::N,morze,sea
125,Bucht::N,zatoka,cove
126,Insel::N,wyspa,island
127,Blume::N,kwiat,flower
128,Gras::N,trawa,grass
129,Wurzel::N,korzeń,root
130,Baum::N,drzewo,tree
131,Stamm::N,pień,trunk
132,Rinde::N,kora,bark
133,Ast::N,gałąź,limb
134,Zweig::N,gałąź,branch
135,Blatt::N,liść,leaf
136,Birke::N,brzoza,birch
137,Kiefer[Baum]::N,sosna,pine
138,Weide[Baum]::N,wierzba,willow
139,Tanne::N,jodła,fir
140,Horn::N,róg,horn
141,Feder::N,pióro,feather
142,Fell::N,futro,fur
143,Flügel::N,skrzydło,wing
144,Klaue::N,szpon,claw
145,Kralle::N,pazur,claw
146,Schwanz::N,ogon,tail
147,Ei::N,jajko,egg
148,Nest::N,gniazdo,nest
149,Bau::N,nora,lair
150,Tier::N,zwierzę,animal
151,Herde::N,stado,flock
152,Herde::N,trzoda,flock
153,Kuh::N,krowa,cow
154,Bulle::N,byk,bull
155,Pferd::N,koń,horse
156,Schaf::N,owca,sheep
157,Schwein::N,świnia,pig
158,Hund::N,pies,dog
159,Katze::N,kot,cat
160,Katze::N,kotka,cat
161,Bär::N,niedźwiedż,bear
162,Eichhörnchen::N,wiewiórka,squirrel
163,Elch::N,łóś,elk
164,Fuchs::N,lis,fox
165,Hase::N,zając,hare
166,Maus::N,mysz,mouse
167,Wolf::N,wilk,wolf
168,Vogel::N,ptak,bird
169,Schwarm::N,stado,swarm
170,Huhn::N,kura,chicken
171,Hahn::N,kogut,cock
172,Gans::N,gęś,goose
173,Adler::N,orzeł,eagle
174,Ente::N,kaczka,duck
175,Eule::N,sowa,owl
176,Kranich::N,żuraw,crane
177,Krähe::N,wrona,crow
178,Kuckuck::N,kukułka,cuckoo
179,Schwan::N,łabędż,swan
180,Fisch::N,ryba,fish
181,Barsch::N,okoń,perch
182,Hecht::N,szczupak,pike
183,Schlange[Tier]::N,wąż,snake
184,Schlange[Tier]::N,żmija,snake
185,Wurm::N,robak,worm
186,Spinne::N,pająk,spider
187,Ameise::N,mrówka,ant
188,Laus::N,wesz,louse
189,Mücke::N,komar,midge
190,Fliege::N,mucha,fly
191,Schmetterling::N,motyl,butterfly
192,Beere::N,jagoda,berry
193,Apfel::N,jabłko,apple
194,Pilz::N,grzyb,mushroom
195,Zwiebel::N,cebula,onion
196,Saat::N,siew,seed
197,Korn::N,ziarno,grain
198,Heu::N,siano,hay
199,Schale::N,łupina,husk
200,Grube::N,dół,pit
201,Grube::N,jama,pit
202,Falle::N,pułapka,trap
203,Schlinge::N,sidła,noose
204,Spur::N,ślad,track
205,Asche::N,popiół,ashes
206,Dreck::N,brud,filth
207,Eisen::N,żelazo,iron
208,Gold::N,złoto,gold
209,Silber::N,srebro,silver
210,Kohle::N,węgiel,coal
211,Glas::N,szkło,glass
212,Lehm::N,glina,clay
213,Sand::N,piasek,sand
214,Mensch::N,człowiek,human
215,Mann::N,mężczyzna,man
216,Frau::N,kobieta,woman
217,Kind::N,dziecko,child
218,Junge::N,chłopak,boy
219,Junge::N,chłopiec,boy
220,Mädchen::N,dziewczynka,girl
221,Familie::N,rodzina,family
