,Concept_ID,cv,ady
0,Auge::N,куҫ,нэ
1,Ohr::N,хӑлха,тхьакӏу́м
2,Nase::N,сӑмса,пэ
3,Mund::N,ҫӑвар,жэ
4,Zahn::N,шӑл,цэ
5,Zunge::N,чӗлхе,бзэгу
6,Lippe::N,тута,ӏупшӏэ́
7,Wange::N,пит ҫӑмарти,нэкӏу́шъу
8,Gesicht::N,пит,нэ́гу
9,Gesicht::N,пит-куҫ,нэ́гу
10,Stirn::N,ҫамка,натӏэ́
11,Haar::N,ҫӳҫ,шъхьацы́
12,Schnurrbart::N,усси,
13,Bart::N,сухал,жакӏэ́
14,Kinn::N,янах,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,янах,жэпкъы́
16,Kehle::N,пыр,чый
17,Kehle::N,карланкӑ,чый
18,Hals::N,пыр,пшъэ
19,Genick::N,ӗнсе,шъхьэпхэтыку
20,Kopf::N,пуҫ,шъхьэ́
21,Rücken::N,ҫурӑм,кӏыбы́
22,Nabel::N,кӑвапа,
23,Busen::N,кӑкӑр,бгъэ́
24,Brust::N,умӗ,бгъэ́
25,Schulter::N,хул пуҫҫи,блыпкъ
26,Arm::N,алӑ,ӏэ
27,Ellenbogen::N,чавса,ӏэнтэ́гъу
28,Hand::N,алӑ сыппи,ӏэтхьэцу
29,Handfläche::N,ал лаппи,ӏэ́гу
30,Finger::N,пӳрне,ӏэхъуа́мб
31,Fingernagel::N,чӗрне,ӏэбжъа́н
32,Nagel[Anatomie]::N,чӗрне,ӏэбжъа́н
33,Zeh::N,пӳрне,ӏэхъуа́мб
34,Fuß::N,ура лаппи,лъэгу
35,Ferse::N,кӗле,лъэдакъэ
36,Knie::N,чӗркуҫҫи,лъагуа́ндж
37,Oberschenkel::N,пӗҫӗ,ко
38,Bein::N,ура,лъакъо́
39,Körper::N,ӳт,пкъышъол
40,Körper::N,ӳт-пӳ,пкъышъол
41,Haut::N,тир,кӏы́шъу
42,Blut::N,юн,лъы
43,Ader::N,вена,льытф
44,Sehne::N,шӑнӑр,фэ
45,Knochen::N,шӑмӑ,къупшъхьэ́
46,Gehirn::N,миме,куцӏы
47,Herz::N,чӗре,гу
48,Magen::N,хырӑмлӑх,мышкӏу
49,Leber::N,пӗвер,шӏу
50,Atem::N,сывлав,къэщэныр
51,Hunger::N,выҫлӑх,гъаблэ́
52,Träne::N,куҫҫуль,нэпсы
53,Geschmack::N,техӗм,ӏэшӏугъа́кӏ
54,Geruch::N,шӑршӑ,мэ
55,Schlaf::N,ыйхӑ,пчыхьы́пӏ
56,Traum::N,тӗлӗк,пчыхьы́пӏ
57,Himmel::N,пӗлӗт,уашъо́
58,Sonne::N,хӗвел,тыгъэ
59,Mond::N,уйӑх,мазэ
60,Stern::N,ҫӑлтӑр,жъуагъо́
61,Luft::N,сывлӑш,жьы
62,Wind::N,ҫил,жьыбгъэ́
63,Welle::N,хум,ор
64,Welle::N,хум,оры
65,Wasser::N,шыв,псы
66,Wasser::N,шыв-шур,псы
67,Stein::N,чул,мыжъо́
68,Boden::N,тӑпра,чӏ́ыгу
69,Erde::N,ҫӗр,чӏ́ыгу
70,Staub::N,тусан,сап
71,Rauch::N,тӗтӗм,ӏугъо́
72,Funke::N,хӗм,мэшӏуа́ч
73,Feuer::N,вут,машӏо́
74,Feuer::N,ҫулӑм,машӏо́
75,Licht::N,ҫутӑ,нэфы
76,Licht::N,ҫутӑ,нэфын
77,Schatten::N,сулхӑн,жьау́
78,Schatten::N,сулхӑн,ныбжьыкъу
79,Wetter::N,ҫанталӑк,
80,Nebel::N,тӗтре,пща́гъу
81,Wolke::N,пӗлӗт,ошъуапщэ
82,Regen::N,ҫумӑр,ощхы
83,Schnee::N,юр,осы́
84,Eis::N,пӑр,мылы
85,Frost::N,сивӗ,
86,Kälte::N,сивӗ,чъыӏэ́
87,Hitze::N,вӗри,фэба́е
88,Hitze::N,шӑрӑх,фэба́е
89,Raureif::N,пас,
90,Regenbogen::N,асамат кӗперӗ, лэгъупэкъо́пс
91,Donner::N,аслати,шыблэ́
92,Strömung::N,юхӑ,ток
93,Tropfen::N,тумлам,ткӏопс
94,Tropfen::N,тумлам,гъуаткӏу
95,Schaum::N,кӑпӑк,тхъурбэ
96,Schmutz::N,пылчӑк,псынжъы
97,See::N,кӳлӗ,хыку́м
98,See::N,кӳлӗ,псыхъура́й
99,Sumpf::N,шур,орыжъ
100,Sumpf::N,шурлӑх,орыжъ
101,Moor::N,торфлӑ шурлӑх,орыжъ
102,Wiese::N,улӑх,хъупӏэ́
103,Wiese::N,улӑх,мэкъупӏ
104,Wiese::N,ҫаран,хъупӏэ́
105,Wiese::N,ҫаран,мэкъупӏ
106,Wald::N,вӑрман,мэзы́
107,Hügel::N,сӑрт,ӏуашъхь
108,Hügel::N,тӗмеске,ӏуашъхь
109,Anhöhe::N,сӑрт,чӏыӏэтыгъ
110,Berg::N,ту,къушъхьэ́
111,Gipfel::N,тӳпе,шыгу
112,Höhle::N,ҫӗр хӑвӑлӗ,гъочӏэгъ
113,Abhang::N,тӑвайкки,чапэ
114,Quelle::N,ҫӑл куҫ,псынэчэ́чъ
115,Bach::N,пӗчӗк шыв,псышкуашку
116,Fluss::N,юхан шыв,псыхъо́
117,Ufer::N,ҫыран,нэпкъы
118,Küste::N,тинӗс ҫыранӗ,ӏушъо
119,Festland::N,тип ҫӗр,чӏл́ыгу
120,Meer::N,тинӗс,хы
121,Bucht::N,тинӗс кукӑрӗ,хыблыгу
122,Insel::N,утрав,хыгъэхъу́н
123,Blume::N,чечек,къэгъа́гь
124,Gras::N,курӑк,уцы́
125,Wurzel::N,тымар,лъапсэ́
126,Baum::N,йывӑҫ,чъыгы́
127,Stamm::N,вулӑ,пкъы
128,Rinde::N,хуйӑр,пхъашъо́
129,Ast::N,турат,куамэ
130,Zweig::N,турат,къутамэ́
131,Blatt::N,ҫулҫӑ,тхьап
132,Birke::N,хурӑн,пчэн
133,Kiefer[Baum]::N,хыр,сэснэй
134,Weide[Baum]::N,хӑва,пце́л
135,Tanne::N,чӑрӑш,ель
136,Horn::N,мӑйрака,бжъэ
137,Feder::N,тӗк,къамӏы́й
138,Fell::N,ҫӑм,шъо
139,Flügel::N,ҫунат,тамэ́
140,Klaue::N,чӗрне,лъэбжъа́н
141,Kralle::N,ура,лъакъо
142,Schwanz::N,хӳре,кӏэ
143,Ei::N,ҫӑмарта,кӏэнкӏэ́
144,Nest::N,йӑва,набгъо́
145,Bau::N,йӗнӗ,гъу
146,Bau::N,йӗнӗ,бы
147,Tier::N,выльӑх,псэу́шъхь
148,Herde::N,кӗтӳ,ӏэхъогъу
149,Kuh::N,ӗне,чэмы́
150,Bulle::N,вӑкӑр,цу
151,Pferd::N,лаша,шы
152,Schaf::N,сурӑх,мэлы́
153,Schwein::N,сысна,къо
154,Hund::N,йытӑ,бьэ
155,Katze::N,кушак,чэты́у
156,Bär::N,упа,мышъэ́
157,Eichhörnchen::N,пакша,цызэ́
158,Elch::N,пӑши,лось
159,Fuchs::N,тилӗ,баджэ́
160,Hase::N,куян,тхьакӏумкӏы́хь
161,Hase::N,мулкач,тхьакӏумкӏы́хь
162,Maus::N,шӑши,цыгъо́
163,Wolf::N,кашкӑр,тыгъу́жъ
164,Vogel::N,кайӑк,бзы́у
165,Vogel::N,вӗҫен кайӑк,бзы́у
166,Schwarm::N,ушкӑн,отэр
167,Huhn::N,чӑх,чэты́
168,Huhn::N,чӑхӑ,чэты́
169,Hahn::N,автан,атакъэ́
170,Gans::N,хур,къа́з
171,Adler::N,ӑмӑрт кайӑк,
172,Ente::N,кӑвакал,псычэ́т
173,Eule::N,тӑмана,тыгъурыгъу
174,Kranich::N,тӑрна,къэрэ́у
175,Krähe::N,ула курак,къолэ́жъ
176,Kuckuck::N,куккук,куку́у
177,Schwan::N,акӑш,
178,Fisch::N,пулӑ,пцэжъы́й
179,Barsch::N,уланкӑ,тхыкъэц
180,Hecht::N,ҫӑрттан,лэнд
181,Schlange[Tier]::N,ҫӗлен,блэ́
182,Wurm::N,ӑман,хьамлыу
183,Spinne::N,эрешмен,бэдж
184,Ameise::N,кӑткӑ,къамзэ́гу
185,Laus::N,пыйтӑ,цӏэ
186,Mücke::N,вӑрӑм туна,аргъо́й
187,Fliege::N,шӑна,бадзэ́
188,Schmetterling::N,лӗпӗш,хьампӏыра́шъу
189,Beere::N,ҫырла,маткӏо
190,Apfel::N,улма,мыӏэры́с
191,Apfel::N,пан улми,мыӏэры́с
192,Pilz::N,кӑмпа,хьаӏу
193,Zwiebel::N,сухан,бжьыны́
194,Saat::N,вӑрӑ,чылапхъ
195,Korn::N,тӗшӗ,цэ
196,Korn::N,пӗрчӗ,цэ
197,Heu::N,утӑ,мэкъу
198,Schale::N,хупӑ,кӏы́шъу
199,Grube::N,шӑтӑк,машэ́
200,Falle::N,тапӑ,зэраубытырэ́ ӏэмэпсы́м
201,Falle::N,капкӑн,зэраубытырэ́ ӏэмэпсы́м
202,Schlinge::N,йӑлӑ,бзыуубыт
203,Spur::N,йӗр,ужы
204,Spur::N,йӗр,лъэуж
205,Asche::N,кӗл,яжьэ́
206,Dreck::N,пылчӑк,псынжъы
207,Eisen::N,тимӗр,гыучӏы́
208,Eisen::N,тимӗр,къэнджа́л
209,Gold::N,ылтӑн,дышъэ́
210,Silber::N,кӗмӗл,тыжьы́н
211,Kohle::N,кӑмрӑк,шӏомыкӏ
212,Glas::N,кӗленче,апч
213,Lehm::N,тӑм,етӏагъо́
214,Sand::N,хӑйӑр,пшахъо
215,Mensch::N,ҫын,цӏыфы́
216,Mensch::N,этем,цӏыфы́
217,Mann::N,ар,хъулъфы́гъ
218,Frau::N,хӗрарӑм,бӏылъфыгъэ́
219,Kind::N,ача,кӏэлэцӏы́кӏу
220,Junge::N,ача,кӏэлэцӏы́кӏу
221,Junge::N,ар ҫын ача,кӏэлэцӏы́кӏу
222,Mädchen::N,хӗр ача,пшъэшъэжъый
223,Familie::N,ҫемье,быны́
224,Familie::N,ҫемье,уна́гъу
225,Familie::N,кил-йыш,быны́
226,Familie::N,кил-йыш,уна́гъу
227,Großvater::N,кукаҫи,тэтэ́жъ
228,Großmutter::N,кукамай,нэнэ́жъ
229,Eltern::N,аҫа-ама,ны-тыхэ́р
230,Vater::N,атте,ты
231,Mutter::N,анне,ны
232,Sohn::N,ывӑл,къо
233,Tochter::N,хӗр,пхъу
234,Bruder::N,ар тӑван,шы
235,Schwester::N,аппа,шы́пхъу
236,Schwester::N,йӑмӑк,шы́пхъу
237,Onkel::N,мучи,янэ́ш
238,Onkel::N,пичче,янэ́ш
239,Tante::N,аппа,атэшыпхъу
240,Ehemann::N,упӑшка,лӏы
241,Ehefrau::N,арӑм,шъу́з
242,Freude::N,савӑнӑҫ,гушӏуа́гъу
243,Freude::N,хаваслӑх,гушӏуа́гъу
244,Gelächter::N,кулӑ,щхыныр
245,Glück::N,телей,насы́п
246,Glück::N,ӑраскал,насы́п
247,Kummer::N,хурлӑх,тхьамыкӏагъу
248,Wunsch::N,ӗмӗт,шӏонгъоны́гъ
249,Wunsch::N,кӑмӑл,шӏонгъоны́гъ
250,Lust::N,кӑмӑл,шӏонгъоны́гъ
251,Geist::N,чун-чӗм,гу
252,Geist::N,ыр-усал,гу
253,Geist::N,чун хавалӗ,гу
254,Gedanke::N,шухӑш,гупшыс
255,Gedächtnis::N,ас,память
256,Verstand::N,ӑс,акъы́л
257,Verstand::N,ӑс-тӑн,акъы́л
258,Verstand::N,ӑс-хакӑл,акъы́л
259,Sinn::N,тупсӑм,мэхьанэ
260,Sinn::N,пӗлтерӗш,мэхьанэ
261,Grund::N,сӑлтав,ушъхьагъу
262,Wahrheit::N,чӑнлӑх,шъыпкъэ́
263,Gespräch::N,калаҫу,гущыӏ
264,Märchen::N,юмах,пшысэ
265,Erzählung::N,акалав,къэба́р
266,Erzählung::N,каласа пани,къэба́р
267,Nachricht::N,хыпар,къэба́р
268,Neuigkeit::N,ҫӗнӗ хыпар,къэбарыкӏ
269,Name::N,ят,цӏэ
270,Rätsel::N,сутмалли юмах,коджэхь-къоджэшх
271,Rede::N,сӑмах,гущыӏ
272,Sprache::N,чӗлхе,бзэ
273,Stimme::N,сасӑ,макъэ́
274,Wort::N,сӑмах,гущыӏ
275,Zeichen::N,паллӑ,тамы́гъ
276,Ruf::N,йыхрав,джэ макъ
277,Ruf::N,чӗнӳ,джэ макъ
278,Lärm::N,шав,макъэ
279,Laut::N,сасӑ,макъэ
280,Ton::N,сасӑ,
281,Lied::N,юрӑ,орэ́д
282,Ruhe::N,канӑҫлӑх,самбырыныгъ
283,Ruhe::N,лӑпкӑлӑх,самбырыныгъ
284,Leute::N,ҫамрӑксем,цӏыфхэ́р
285,Leute::N,ҫамрӑк ҫынсем,цӏыфхэ́р
286,Volk::N,халӑх,цӏыф лъэпкъ
287,Arbeit::N,ӗҫхӗл,ӏофшӏакӏэ́н
288,Arbeit::N,ӗҫлев,ӏофшӏакӏэ́н
289,Gast::N,хӑна,хьакӏэ́
290,Geschenk::N,парне,шӏухьафтын
291,Geschenk::N,кучченеҫ,шӏухьафтын
292,Spiel::N,вӑйӑ,еоны́р
293,Spiel::N,вӑйӑ,джэгуны́р
294,Spiel::N,вӑйӑ,къегъэӏоны́р
295,Gesellschaft::N,общество,обществ
296,Hilfe::N,пулӑшу,ӏэпыӏэгъу
297,Freund::N,тус,ныбджэгъу
298,Kamerad::N,юлташ,ныбджэгъу
299,Kamerad::N,тус,ныбджэгъу
300,Angelegenheit::N,ӗҫ,ӏофы́
301,Anzahl::N,йыш,пчъагъэ́
302,Anzahl::N,хисеп,пчъагъэ́
303,Art::N,тӗс,изэрэщы́т
304,Art::N,тӗс,лъэпкъ
305,Stück::N,татӑк,такъы́р
306,Teil::N,пай,щыщ
307,Teil::N,пай,ӏахь
308,Hälfte::N,ҫурӑ,ныкъо́
309,Kreis::N,ункӑ,хъура́й
310,Kreis::N,ҫавракӑш,хъура́й
311,Kreuz::N,хӗрес,къащ
312,Linie::N,йӗр,хъахъ
313,Linie::N,йӗр,итхъа́гъ
314,Strich::N,йӗр,хъахъ
315,Strich::N,йӗр,итхъагъ
316,Abstand::N,хушӑ,азыфагу
317,Entfernung::N,хушӑ,чӏыгууанэ
318,Gegend::N,вырӑн,чӏыпӏэ́
319,Platz::N,хутлӑх,азыфагу
320,Ort::N,вырӑн,чӏыпӏэ́
321,Seite::N,ен,лъэны́къу
322,Seite::N,аяк,лъэны́къу
323,Seite::N,айӑк,лъэны́къу
324,Mitte::N,варӑ,гузэ́гу
325,Gegenstand::N,япала,пкъыгъо
326,Sache::N,япала,
327,Rand::N,вӗҫ,цакӏэ́
328,Rand::N,хӗрӗ,цакӏэ́
329,Rand::N,хӗрри,цакӏэ́
330,Kante::N,хайкача,цэгэналъ
331,Kante::N,хысак,цэгэналъ
332,Ecke::N,кӗтес,къогъу
