,Concept_ID,ml,kn
57,Mond::N,ചന്ദ്രൻ,ಚಂದ್ರ
58,Stern::N,നക്ഷത്രം,ಚುಕ್ಕಿ
59,Luft::N,കാറ്റ്,ವಾಯು
60,Wind::N,കാറ്റ്,ಗಾಳಿ
61,Welle::N,തിരമാല,ಅಲೆ
62,Wasser::N,വെള്ളം,ನೀರು
63,Stein::N,ശില,ಕಲ್ಲು
64,Stein::N,കല്ല്,ಕಲ್ಲು
65,Boden::N,തറ,ನೆಲ
66,Boden::N,നിലം,ನೆಲ
67,Erde::N,മണ്ണ്,ಭೂಮಿ
68,Staub::N,പൊടി,ದೂಳು
69,Rauch::N,പുക,ಹೊಗೆ
70,Funke::N,തീപ്പൊരി,ಕಿಡಿ
71,Feuer::N,തീ,ಬೆಂಕಿ
72,Licht::N,വിളക്ക്,ಬೆಳಕು
73,Licht::N,സൂര്യപ്രകാശം,ಬೆಳಕು
74,Schatten::N,തണൽ,ನೆರಳು
75,Wetter::N,കാലാവസ്ഥ,ಹವ
76,Nebel::N,മൂടൽമഞ്ഞ്,ಮಂಜು
77,Wolke::N,മേഘം,ಮೋಡ
78,Regen::N,മഴ,ಮಳೆ
79,Schnee::N,മഞ്ഞ്,ಹಿಮ
80,Eis::N,ഐസ്,ಮಂಜುಗಡ್ಡೆ
81,Frost::N,മൂടൽമഞ്ഞ്,ಮಂಜು
82,Kälte::N,തണുപ്പ്,ಹಿಮ
83,Hitze::N,ചൂട്,ಉಷ್ಣ
84,Raureif::N,കോടമഞ്ഞ്,ಇಬ್ಬನಿ
85,Regenbogen::N,മഴവില്ല്,ಇಂದ್ರಚಾಪ
86,Donner::N,ഇടി,ಗುಡುಗು
87,Strömung::N,പ്രവാഹം,ಪ್ರವಾಹ
88,Tropfen::N,തുള്ളി,ತೊಟ್ಟು
89,Schaum::N,നുര,ನೊರೆ
90,Schmutz::N,അഴുക്ക്,ಕಸ
91,See::N,തടാകം,ಸರೋವರ
