,Concept_ID,lt,fi
0,Auge::N,akis,silmä
1,Ohr::N,ausis,korva
2,Nase::N,nosis,nenä
3,Mund::N,burna,suu
4,Zahn::N,dantis,hammas
5,Zunge::N,liežuvis,kieli
6,Lippe::N,lūpa,huuli
7,Wange::N,žandas,poski
8,Wange::N,skruostas,poski
9,Gesicht::N,veidas,naama
10,Gesicht::N,veidas,kasvot
11,Stirn::N,kakta,otsa
12,Haar::N,plaukai,hius
13,Haar::N,plaukai,tukka
14,Schnurrbart::N,ūsai,viikset
15,Bart::N,barzda,parta
16,Kinn::N,smakras,leuka
17,Kiefer[Anatomie]::N,žandikaulis,leukaluu
18,Kehle::N,gerklė,kurkku
19,Hals::N,kaklas,kaula
20,Genick::N,sprandas,niska
21,Kopf::N,galva,pää
22,Rücken::N,nugara,selkä
23,Bauch::N,pilvas,maha
24,Bauch::N,pilvas,vatsa
25,Nabel::N,bamba,napa
26,Busen::N,krūtinė,rinta
27,Brust::N,krūtis,rinta
28,Schulter::N,petys,olka
29,Schulter::N,petys,hartia
30,Schulter::N,petys,olkapää
31,Arm::N,ranka,käsivarsi
32,Ellenbogen::N,alkūnė,kyynärpää
33,Hand::N,ranka,käsi
34,Hand::N,plaštaka,käsi
35,Handfläche::N,delnas,kämmen
36,Handfläche::N,plaštaka,kämmen
37,Finger::N,pirštas,sormi
38,Fingernagel::N,nagas,kynsi
39,Nagel[Anatomie]::N,nagas,kynsi
40,Zeh::N,pirštas,varvas
41,Fuß::N,pėda,jalka
42,Ferse::N,kulnas,kantapää
43,Knie::N,kelis,polvi
44,Oberschenkel::N,kulšis,reisi
45,Oberschenkel::N,šlaunis,reisi
46,Bein::N,koja,jalka
47,Körper::N,kūnas,keho
48,Körper::N,kūnas,ruumis
49,Haut::N,oda,iho
50,Blut::N,kraujas,veri
51,Ader::N,kraujagyslė,suoni
52,Sehne::N,sausgyslė,jänne
53,Knochen::N,kaulas,luu
54,Gehirn::N,smegenys,aivot
55,Herz::N,širdis,sydän
56,Magen::N,skrandis,maha
57,Magen::N,skrandis,vatsa
58,Leber::N,kepenys,maksa
59,Atem::N,kvapas,henki
60,Atem::N,kvapas,hengitys
61,Hunger::N,badas,nälkä
62,Hunger::N,alkis,nälkä
63,Träne::N,ašara,kyynel
