,Concept_ID,eu,ab
1015,steigen::V,igo,адухара
1016,steigen::V,igo,ацлара
1017,wachsen::V,hazi,азҳара
1018,glänzen::V,distiratu,ацыр-цырра
1019,glänzen::V,distiratu,ацыҩ-цыҩра
1020,glänzen::V,distiratu,аказказра
1021,funkeln::V,izarniatu,ашап-шапра
1022,funkeln::V,izarniatu,ацым-цымра
1023,lärmen::V,zarata atera,ашьҭыбжьгара
1024,lärmen::V,zarata atera,аҕьҕьаҳәа аилалара
1025,läuten::V,jo,аҵəҵəасра
1026,läuten::V,hots egin,аҵəҵəасра
1027,klingeln::V,txirrina jo,аҵəҵəасра
1028,klirren::V,tintin egin,ахьархьарра
1029,klirren::V,tintin egin,архьархьарра
1030,brausen::V,marru egin,аилаҽҽара
1031,brausen::V,marru egin,еилашуера
1032,rauschen::V,fir-fir egin,
1033,klingen::V,soinu egin,агара
1034,klingen::V,soinu egin,ашьҭыбжь гара
1035,bellen::V,zaunkatu,ашра
1036,heulen::V,ulu egin,ауура
1037,heulen::V,uhuri egin,ауура
1038,blasen::V,ufa egin,аҭəҳəара
1039,blasen::V,putz egin,аҭəҳəара
1040,pfeifen::V,txistu egin,ашəшəра
1041,schreien::V,oihu egin,аҳəҳəара
1042,schreien::V,oihu egin,ахəаара
1043,schreien::V,oihu egin,аҟаара
1044,schreien::V,garrasi egin,аҳəҳəара
1045,schreien::V,garrasi egin,ахəаара
1046,schreien::V,garrasi egin,аҟаара
1047,stöhnen::V,intziri egin,ақьра
1048,zittern::V,ikara egin,аҵыс-ҵысра
1049,zittern::V,dar-dar egin,аҵыс-ҵысра
1050,leben::V,bizi izan,аҟазаара
1051,geboren werden::V,jaio,Аира
1052,atmen::V,hats egin,аҕсыҕ лагаҩагара
1053,atmen::V,arnasa egin,аҕсыҕ лагаҩагара
1054,trinken::V,edan,ажəра
1055,essen::V,jan,акрыфара
1056,schlucken::V,irentsi,албаадара
1057,müde werden::V,unatu,ааҕсара
1058,müde werden::V,nekatu,ааҕсара
1059,einschlafen::V,lokartu,ацəара
1060,schlafen::V,lo egin,ацəазаара
1061,aufwachen::V,esnatu,аҿыхара
1062,aufwachen::V,atzarri,аҿыхара
1063,aufstehen::V,jaiki,Агəылҵра
1064,sich erholen::V,atseden egin,аҧсшьара
1065,krank werden::V,gaixotu,ачмазаҩхара
1066,krank sein::V,eri izan,аҳəарҧсарра
1067,krank sein::V,gaixo izan,аҳəарҧсарра
1068,schmerzen::V,min egin,ахьра
1069,husten::V,eztul egin,аимҳәара
1070,genesen::V,osatu,абзиахара
1071,genesen::V,osatu,аӷəӷəахара
1072,sterben::V,hil,аҧсра
1073,sterben::V,zendu,аҧсра
1074,umkommen::V,istripuz hil,аҭахара
1075,sich bewegen::V,higitu,аиҭаҵра
1076,sich rühren::V,zirkin egin,ақəацара
1077,sich erheben::V,zutitu,аҩагылара
1078,sich erheben::V,altxatu,аҩагылара
1079,sich setzen::V,eseri,атəара
1080,sich setzen::V,jesarri,атəара
1081,hinfallen::V,erori,акаҳара
1082,laufen::V,ibili,аныҟəара
1083,schreiten::V,oinkatu,ашьаҿа еихгара
1084,spazierengehen::V,paseatu,анеи-ааира
1085,spazierengehen::V,ostera bat egin,анеи-ааира
1086,eilen::V,lasterkatu,аццакра
1087,sich beeilen::V,lehiatu,аццакра
1088,sausen::V,ziztu bizian joan,аҧырра
1089,sausen::V,ziztu bizian joan,иҭрысны
1090,sausen::V,ziztu bizian joan,ишьҭҟьаны ацара
1091,rennen::V,lasterka egin,аҩра
1092,springen::V,jauzi egin,аҧара
1093,klettern::V,igo,ақəлара
1094,schaukeln::V,zabu egin,аҟəараҟəанҽара
1095,schaukeln::V,zanbulu egin,аҟəараҟəанҽара
1096,kriechen::V,narras egin,аҳəазара
1097,schwimmen::V,igerikatu,аӡсара
1098,schwimmen::V,igeri egin,аӡсара
1099,tauchen::V,murgildu,ахəӡааҵəира
1100,tauchen::V,pulunpatu,ахəӡааҵəира
1101,rudern::V,bogatu,аҵшьра
1102,rudern::V,arraun egin,аҵшьра
1103,fahren::V,joan,акала
1104,fliegen::V,hegaldatu,аҧырра
1105,fliegen::V,hegan egin,аҧырра
1106,gehen::V,joan,аиҭаҵра
1107,weggehen::V,alde egin,ацара
1108,abfahren::V,abiatu,адəықəлара
1109,abfahren::V,abiatu,ацара
1110,anhalten::V,geratu,ааныргылара
1111,anhalten::V,gelditu,ааныргылара
1112,hineingehen::V,sartu,аҭалара
1113,eintreten::V,sartu,аҩналара
1114,kommen::V,etorri,аара
1115,kommen::V,etorri,ааира
1116,ankommen::V,heldu,ааира
1117,ankommen::V,heldu,аара
1118,ankommen::V,heldu,анеира
1119,ankommen::V,iritsi,ааира
1120,ankommen::V,iritsi,аара
1121,ankommen::V,iritsi,анеира
1122,zurückkommen::V,itzuli,азыхынҳəра
1123,bleiben::V,gelditu,аанхара
1124,bleiben::V,gelditu,анхара
1125,bleiben::V,gelditu,аангылара
1126,warten::V,itxaron,азҧшзаара
1127,warten::V,zain egon,азҧшзаара
1128,erwarten::V,iguriki,азҧшра
1129,suchen::V,bilatu,ашьҭазаара
1130,finden::V,idoro,аҧшаара
1131,finden::V,aurkitu,аҧшаара
1132,versuchen::V,saiatu,аҽазкра
1133,versuchen::V,ahalegindu,аҽазкра
1134,vorbereiten::V,gertatu,армазеира
1135,lieben::V,maitatu,абзиабара
1136,lieben::V,maite izan,абзиабара
1137,mögen::V,laket izan,агəаҧхара
1138,mögen::V,atsegin izan,агəаҧхара
1139,lachen::V,irri egin,аччара
1140,lachen::V,barre egin,аччара
1141,rühren::V,hunkitu,арҵəуара
1142,weinen::V,negar egin,аҵəуара
1143,schimpfen::V,erneguka ari izan,ацəҳара
1144,sich ärgern::V,ernegatu,агəаара
1145,sich ärgern::V,haserretu,агəаара
1146,sich fürchten::V,beldur izan,аӡыӡара
1147,fürchten::V,beldur izan,ацəшəара
1148,fliehen::V,ihes egin,абналара
1149,fliehen::V,ihes egin,ацəцара
1150,flüchten::V,ihes egin,абналара
1151,flüchten::V,ihes egin,ацəцара
1152,sehen::V,ikusi,абара
1153,anschauen::V,begietsi,ахəаҧшра
1154,ansehen::V,begiratu,ахəаҧшра
1155,hören::V,aditu,аҳара
1156,zuhören::V,entzun,азыӡырҩра
1157,probieren::V,dastatu,аҧышəара
1158,riechen::V,usnatu,афыҩра
1159,riechen::V,usaindu,афыҩра
1160,fühlen::V,sentitu,анырра
1161,fühlen::V,sentitu,ацәакырра
1162,scheinen::V,iruditu,шәа
1163,scheinen::V,iruditu,аацәырҵа
1164,scheinen::V,begitandu,шәа
1165,scheinen::V,begitandu,аацәырҵа
1166,zu sehen sein::V,azaldu,
1167,vernehmen::V,aditu,аҳара
1168,frieren::V,hotz izan,ашəра
1169,frieren::V,hotz izan,аҵаара
1170,tun::V,egin,аҟаҵара
1171,können::V,ahal izan,алшара
1172,wollen::V,nahi izan,аҭахра
1173,anfangen::V,hasi,алагара
1174,beenden::V,bukatu,алгара
1175,aufhören::V,utzi,аҟəыҵра
1176,gelingen::V,lortu,аура
1177,gelingen::V,lortu,аманшəалахара
1178,gelingen::V,lortu,алҵра
1179,geraten::V,heldu,нзаарын
1180,öffnen::V,ireki,аартра
1181,öffnen::V,zabaldu,аартра
1182,schließen::V,itxi,аркра
1183,stellen::V,ipini,аргылара
1184,setzen::V,jesarri,артəара
1185,legen::V,jarri,ақəҵара
1186,berühren::V,ukitu,акьысра
1187,berühren::V,ukitu,алакьысра
1188,verbinden::V,uztartu,аҿаҳəара
1189,bedecken::V,estali,ақəршəра
1190,aufhängen::V,eseki,акнаҳара
1191,aufhängen::V,eskegi,акнаҳара
1192,anzünden::V,piztu,аркра
1193,aufheben::V,jaso,ашьҭыхра
1194,zurücklassen::V,atzean utzi,аныжьра
1195,verlieren::V,galdu,ацəыӡра
1196,fallen lassen::V,erortzen utzi,ацəкаҳара
1197,machen::V,egin,ачаҧара
1198,herstellen::V,ekoiztu,аиҵдара
1199,bauen::V,eraiki,аргылара
1200,reparieren::V,konpondu,арҽеира
1201,verbessern::V,hobetu,аиҕьтəра
1202,ändern::V,mudatu,аҧсахра
1203,graben::V,aitzurtu,ажра
1204,beugen::V,makurtu,арҟəра
1205,beugen::V,makurtu,архəара
1206,biegen::V,malgutu,арҟəра
1207,biegen::V,malgutu,архəара
1208,biegen::V,makolatu,арҟəра
1209,biegen::V,makolatu,архəара
1210,drehen::V,jiratu,аргьежьра
1211,wenden::V,bihurtu,
1212,umdrehen::V,biratu,аарҳәра
1213,umdrehen::V,alderantzikatu,аарҳәра
1214,heben::V,jaso,аҩахара
1215,heben::V,jaso,араҳара
1216,heben::V,goratu,аҩахара
1217,heben::V,goratu,араҳара
1218,hochheben::V,goratu,ахагалара
1219,hochheben::V,goratu,ашьҭҳəара
1220,hochheben::V,altxatu,ахагалара
1221,hochheben::V,altxatu,ашьҭҳəара
1222,ergreifen::V,oratu,
1223,halten::V,eutsi,акра
1224,drücken::V,sakatu,ақəрӷəӷəара
1225,schieben::V,bultzatu,аҵгəара
1226,schieben::V,bultzatu,агəара
1227,kratzen::V,hatz egin,ацəҟьара
1228,kratzen::V,hazka egin,ацəҟьара
1229,lecken::V,miaztu,арбзара
1230,lecken::V,lamikatu,арбзара
1231,beißen::V,hozka egin,ацҳара
1232,beißen::V,ausiki egin,ацҳара
1233,abreißen::V,kendu,амжəара
1234,abschneiden::V,moztu,ахҵəара
1235,abschneiden::V,moztu,аҿахҵəара
1236,abschneiden::V,pikatu,ахҵəара
1237,abschneiden::V,pikatu,аҿахҵəара
1238,binden::V,lotu,аҿаҳəара
1239,binden::V,estekatu,аҿаҳəара
1240,stecken::V,sartu,алаҵара
1241,brechen::V,apurtu,аҧҵəара
1242,klopfen::V,jo,асра
1243,hauen::V,jo,ақəкшара
1244,kleben::V,itsatsi,аҷабра
1245,reiben::V,igurtzi,арҟəыҷра
1246,streichen::V,igurtzi,ахьшьра
1247,schleifen::V,zorroztu,ахра
1248,schneiden::V,moztu,аҧҟара
1249,rütteln::V,astindu,арҵысра
1250,rütteln::V,inarrosi,арҵысра
1251,schütteln::V,astindu,аршəшəара
1252,schütteln::V,inarrosi,аршəшəара
1253,schwenken::V,zabukatu,аҟьара
1254,schütten::V,isuri,аҭаҭəара
1255,füllen::V,bete,арҭəра
1256,einwickeln::V,bildu,алаҳəара
1257,tragen::V,eroan,аҩагара
1258,tragen::V,eraman,аҩагара
1259,schleppen::V,narrastu,арҳəазара
1260,schleppen::V,herrestatu,арҳəазара
1261,ziehen::V,tira egin,ахара
1262,aufbewahren::V,gorde,аҵəахра
1263,werfen::V,jaurti,аршəра
1264,werfen::V,aurtiki,аршəра
1265,fangen::V,atzeman,акра
1266,packen::V,heldu,анкра
1267,packen::V,heldu,аҵкаара
1268,verstecken::V,ostendu,аҵəахра
1269,verstecken::V,ezkutatu,аҵəахра
1270,teilen::V,zatitu,ашара
1271,schicken::V,bidali,ашьҭра
1272,bringen::V,ekarri,аагара
1273,hinzufügen::V,eratxiki,ацҵара
1274,hinzufügen::V,gaineratu,ацҵара
1275,bekommen::V,jaso,аҧшаара
1276,bekommen::V,jaso,архиара
1277,bekommen::V,jaso,аура
1278,erhalten::V,jaso,аиура
1279,nehmen::V,hartu,агара
1280,wählen::V,hautatu,алҧшаара
1281,wählen::V,aukeratu,алҧшаара
1282,auswählen::V,hautatu,алхра
1283,auswählen::V,aukeratu,алхра
1284,bewahren::V,begiratu,
1285,behindern::V,oztopatu,аҧырхагахара
1286,verderben::V,hondatu,алгара
1287,verderben::V,hondatu,абжьыхра
1288,verderben::V,hondatu,аҧхасҭатəра
1289,beschädigen::V,akastu,аҧхасҭатəра
1290,zerbrechen::V,apurtu,аҧҽра
1291,zerreißen::V,zarratatu,аҧжəара
