,Concept_ID,it,hu
0,Auge::N,occhio,szem
1,Ohr::N,orecchio,fül
2,Nase::N,naso,orr
3,Mund::N,bocca,száj
4,Zahn::N,dente,fog
5,Zunge::N,lingua,nyelv
6,Lippe::N,labbro,ajak
7,Wange::N,guancia,orca
8,Gesicht::N,viso,arc
9,Gesicht::N,faccia,arc
10,Stirn::N,fronte,homlok
11,Haar::N,capello,haj
12,Schnurrbart::N,baffi,bajusz
13,Schnurrbart::N,mustacchi,bajusz
14,Bart::N,barba,szakáll
15,Kinn::N,mento,áll
16,Kiefer[Anatomie]::N,mascella,állkapocs
17,Kehle::N,gola,gége
18,Kehle::N,gola,torok
19,Hals::N,collo,nyak
20,Genick::N,nuca,tarkó
21,Kopf::N,capo,fő
22,Kopf::N,capo,fej
23,Kopf::N,testa,fő
24,Kopf::N,testa,fej
25,Rücken::N,dorso,hát
26,Rücken::N,schiena,hát
27,Bauch::N,ventre,has
28,Nabel::N,ombelico,köldök
29,Busen::N,seno,mell
30,Busen::N,seno,kebel
31,Brust::N,petto,mell
32,Schulter::N,spalla,váll
33,Arm::N,braccio,kar
34,Ellenbogen::N,gomito,könyök
35,Hand::N,mano,kéz
36,Handfläche::N,palma,tenyér
37,Finger::N,dito,ujj
38,Fingernagel::N,unghia,köröm
39,Nagel[Anatomie]::N,unghia,köröm
40,Zeh::N,dito del piede,lábujj
41,Fuß::N,piede,láb
42,Ferse::N,tallone,sarok
43,Ferse::N,calcagno,sarok
44,Knie::N,ginocchio,térd
45,Oberschenkel::N,fèmore,comb
46,Bein::N,gamba,láb
47,Bein::N,gamba,lábszár
48,Körper::N,corpo,test
49,Haut::N,pelle,bőr
50,Blut::N,sangue,vér
51,Ader::N,vena,ér
52,Sehne::N,tèndine,ín
53,Knochen::N,osso,csont
54,Gehirn::N,cervello,agy
55,Gehirn::N,cervello,agyvelő
56,Herz::N,cuore,szív
57,Magen::N,stòmaco,gyomor
58,Leber::N,fegato,máj
59,Atem::N,fiato,lehelet
60,Atem::N,fiato,lélegzet
61,Atem::N,respiro,lehelet
62,Atem::N,respiro,lélegzet
63,Hunger::N,fame,éhség
64,Träne::N,làcrima,könny
65,Geschmack::N,gusto,íz
66,Geschmack::N,sapore,íz
67,Geruch::N,odore,szag
68,Schlaf::N,sonno,álom
69,Schlaf::N,sonno,alvás
70,Traum::N,sogno,álom
71,Himmel::N,cielo,ég
72,Himmel::N,cielo,menny
73,Sonne::N,sole,nap
74,Mond::N,luna,hold
75,Stern::N,stella,csillag
76,Luft::N,aria,levegő
77,Wind::N,vento,szél
78,Welle::N,onda,hullám
79,Wasser::N,acqua,víz
80,Stein::N,sasso,kő
81,Stein::N,pietra,kő
82,Boden::N,suolo,föld
83,Boden::N,suolo,talaj
84,Boden::N,terreno,föld
85,Boden::N,terreno,talaj
86,Erde::N,terra,föld
87,Staub::N,polvere,por
88,Rauch::N,fumo,füst
89,Funke::N,scintilla,szikra
90,Feuer::N,fuoco,tűz
91,Licht::N,luce,fény
92,Schatten::N,ombra,árnyék
93,Wetter::N,tempo,idő
94,Wetter::N,tempo,időjárás
