,Concept_ID,nl,ga
0,Auge::N,oog,súil
1,Ohr::N,oor,cluas
2,Nase::N,neus,soc
3,Mund::N,mond,béal
4,Zahn::N,tand,fiacail
5,Zunge::N,tong,teanga
6,Lippe::N,lip,liopa
7,Wange::N,wang,grua
8,Wange::N,wang,leiceann
9,Gesicht::N,gelaat,éadan
10,Gesicht::N,gelaat,aghaidh
11,Gesicht::N,gezicht,éadan
12,Gesicht::N,gezicht,aghaidh
13,Stirn::N,voorhoofd,baithis
14,Stirn::N,voorhoofd,clár éadain
15,Haar::N,haar,gruaig
16,Schnurrbart::N,snor,croiméal
17,Bart::N,baard,féasóg
18,Kinn::N,kin,smig
19,Kiefer[Anatomie]::N,kaak,giall
20,Kehle::N,keel,scornach
21,Kehle::N,strot,scornach
22,Hals::N,hals,muinéal
23,Genick::N,nek,baic
24,Kopf::N,hoofd,ceann
25,Rücken::N,rug,droim
26,Bauch::N,buik,bolg
27,Nabel::N,navel,imleacán
28,Busen::N,boezem,cíoch
29,Brust::N,borst,brollach
30,Schulter::N,schouder,gualainn
31,Arm::N,arm,lámh
32,Ellenbogen::N,elleboog,uillinn
33,Hand::N,hand,lámh
34,Handfläche::N,handpalm,bos
35,Finger::N,vinger,méar
36,Fingernagel::N,nagel,ionga
37,Nagel[Anatomie]::N,nagel,ionga
38,Zeh::N,teen,ladhar
39,Fuß::N,voet,cos
40,Fuß::N,voet,troigh
41,Ferse::N,hak,sáil
42,Ferse::N,hiel,sáil
43,Knie::N,knie,glúin
44,Oberschenkel::N,dij,ceathrú
45,Bein::N,been,cos
46,Körper::N,lichaam,corp
47,Körper::N,lichaam,colainn
48,Haut::N,huid,cneas
49,Haut::N,huid,craiceann
50,Blut::N,bloed,fuil
51,Ader::N,ader,
52,Sehne::N,pees,teannán
53,Sehne::N,pees,féitheog
54,Knochen::N,bot,cnámh
55,Knochen::N,been,cnámh
56,Knochen::N,knook,cnámh
57,Gehirn::N,hersenen,inchinn
58,Herz::N,hart,croí
59,Magen::N,maag,bolg
60,Magen::N,maag,goile
61,Leber::N,lever,ae
62,Atem::N,adem,anáil
63,Hunger::N,honger,ocras
64,Träne::N,traan,deoir
65,Geschmack::N,smaak,blas
66,Geruch::N,geur,boladh
67,Schlaf::N,slaap,suan
68,Schlaf::N,slaap,codladh
69,Traum::N,droom,taibhreamh
70,Himmel::N,hemel,spéir
71,Sonne::N,zon,grian
72,Mond::N,maan,ré
73,Mond::N,maan,gealach
74,Stern::N,ster,rinn
75,Stern::N,ster,réalta
76,Luft::N,lucht,aer
77,Wind::N,wind,gaoth
78,Welle::N,golf,tonn
79,Wasser::N,water,uisce
80,Stein::N,steen,cloch
81,Boden::N,grond,talamh
82,Erde::N,aarde,cré
83,Erde::N,aarde,ithir
84,Staub::N,stof,dusta
85,Staub::N,stof,deannach
86,Rauch::N,rook,toit
87,Rauch::N,rook,deatach
88,Funke::N,vonk,drithle
89,Feuer::N,vuur,tine
90,Licht::N,licht,solas
91,Schatten::N,schaduw,scáth
92,Wetter::N,weer,aimsir
93,Nebel::N,mist,ceo
94,Nebel::N,nevel,ceo
95,Wolke::N,wolk,néal
96,Wolke::N,wolk,scamall
97,Regen::N,regen,báisteach
98,Regen::N,regen,fearthainn
99,Schnee::N,sneeuw,sneachta
100,Eis::N,ijs,oighear
101,Frost::N,vorst,sioc
102,Kälte::N,kou,fuacht
103,Kälte::N,koude,fuacht
104,Hitze::N,hitte,teas
105,Hitze::N,hitte,teocht
106,Raureif::N,rijp,sioc bán
107,Regenbogen::N,regenboog,stua ceatha
108,Regenbogen::N,regenboog,bogha báistí
109,Donner::N,donder,toirneach
110,Strömung::N,stroming,sruth
111,Tropfen::N,druppel,deoir
112,Schaum::N,schuim,cúr
113,Schmutz::N,vuil,salachar
114,See::N,meer,loch
115,Sumpf::N,moeras,portach
116,Moor::N,veen,caorán
117,Moor::N,veen,móinteán
118,Wiese::N,wei,cluain
119,Wiese::N,wei,móinéar
120,Wiese::N,weide,cluain
121,Wiese::N,weide,móinéar
122,Wald::N,bos,coill
123,Wald::N,bos,foraois
124,Hügel::N,heuvel,ard
125,Anhöhe::N,hoogte,ard
126,Anhöhe::N,hoogte,ardán
127,Berg::N,berg,sliabh
128,Gipfel::N,top,barr
129,Gipfel::N,top,mullach
130,Höhle::N,hol,uaimh
131,Höhle::N,hol,pluais
132,Abhang::N,helling,fána
133,Quelle::N,bron,foinse
134,Bach::N,beek,sruthán
135,Fluss::N,stroom,abhainn
136,Ufer::N,wal,bruach
137,Ufer::N,oever,bruach
138,Küste::N,kust,cósta
139,Küste::N,kust,cladach
140,Festland::N,vasteland,míntír
141,Meer::N,zee,muir
142,Meer::N,zee,farraige
143,Bucht::N,baai,bá
144,Bucht::N,baai,cuan
145,Bucht::N,inham,bá
146,Bucht::N,inham,cuan
147,Insel::N,eiland,inis
148,Insel::N,eiland,oileán
149,Blume::N,bloem,bláth
150,Gras::N,gras,féar
151,Wurzel::N,wortel,rúta
152,Wurzel::N,wortel,fréamh
153,Baum::N,boom,crann
154,Stamm::N,stam,stoc
155,Stamm::N,stam,tamhan
156,Rinde::N,schors,coirt
157,Rinde::N,schors,craiceann
158,Ast::N,tak,géag
159,Zweig::N,twijg,géag
160,Zweig::N,twijg,craobh
161,Blatt::N,blad,duille
162,Blatt::N,blad,duilleog
163,Birke::N,berk,beith
164,Birke::N,berk,crann beithe
165,Kiefer[Baum]::N,den,péine
166,Weide[Baum]::N,wilg,saileach
167,Tanne::N,spar,giúis
168,Horn::N,hoorn,adharc
169,Feder::N,veer,cleite
170,Feder::N,pluim,cleite
171,Fell::N,vel,clúmh
172,Flügel::N,vleugel,eite
173,Flügel::N,vleugel,sciathán
174,Klaue::N,klauw,crúb
175,Klaue::N,klauw,crobh
176,Kralle::N,klauw,crobh
177,Schwanz::N,staart,eireaball
178,Ei::N,ei,ubh
179,Nest::N,nest,nead
180,Bau::N,hol,brocais
181,Tier::N,dier,ainmhí
182,Tier::N,dier,beithíoch
183,Herde::N,kudde,tréad
184,Kuh::N,koe,bó
185,Bulle::N,stier,tarbh
186,Pferd::N,paard,each
187,Pferd::N,paard,capall
188,Schaf::N,schaap,caora
189,Schwein::N,varken,muc
190,Hund::N,hond,madra
191,Katze::N,kat,cat
192,Bär::N,beer,béar
193,Eichhörnchen::N,eekhoorntje,iora
194,Elch::N,eland,eilc
195,Fuchs::N,vos,sionnach
196,Fuchs::N,vos,madra rua
197,Hase::N,haas,giorria
198,Maus::N,muis,luch
199,Wolf::N,wolf,mac tíre
200,Vogel::N,vogel,éan
201,Schwarm::N,zwerm,saithe
202,Huhn::N,kip,cearc
203,Huhn::N,hoen,cearc
204,Hahn::N,haan,coileach
205,Gans::N,gans,gé
206,Adler::N,arend,iolar
207,Ente::N,eend,lacha
208,Eule::N,uil,ulchabhán
209,Kranich::N,kraanvogel,grús
210,Krähe::N,kraai,caróg
211,Krähe::N,kraai,préachán
212,Kuckuck::N,koekoek,cuach
213,Schwan::N,zwaan,eala
214,Fisch::N,vis,iasc
215,Barsch::N,baars,péirse
216,Hecht::N,snoek,liús
217,Schlange[Tier]::N,slang,nathair
218,Wurm::N,worm,péist
219,Spinne::N,spin,damhán alla
220,Ameise::N,mier,seangán
221,Laus::N,luis,míol
222,Mücke::N,mug,muiscít
223,Mücke::N,mug,corrmhíol
224,Fliege::N,vlieg,cuil
225,Fliege::N,vlieg,cuileog
226,Schmetterling::N,vlinder,féileacán
227,Beere::N,bes,caor
228,Apfel::N,appel,úll
229,Pilz::N,paddestoel,beacán
230,Pilz::N,paddestoel,muisiriún
231,Zwiebel::N,ui,oinniún
232,Saat::N,zaad,síol
233,Korn::N,graan,gráinne
234,Korn::N,korrel,gráinne
235,Heu::N,hooi,féar
236,Schale::N,schil,scaimh
237,Grube::N,kuil,poll
238,Falle::N,val,gaiste
239,Schlinge::N,strop,sealán
240,Spur::N,spoor,rian
241,Asche::N,as,luaith
242,Dreck::N,drek,salachar
243,Eisen::N,ijzer,iarann
244,Gold::N,goud,ór
245,Silber::N,zilver,airgead
246,Kohle::N,kool,gual
247,Glas::N,glas,gloine
248,Lehm::N,klei,cré
249,Sand::N,zand,gaineamh
250,Mensch::N,mens,duine
251,Mann::N,man,fear
252,Frau::N,vrouw,bean
253,Kind::N,kind,gasúr
254,Kind::N,kind,páiste
255,Junge::N,jongen,buachaill
256,Mädchen::N,meisje,cailín
257,Familie::N,gezin,teaghlach
258,Familie::N,gezin,comhluadar
259,Familie::N,familie,teaghlach
260,Familie::N,familie,comhluadar
261,Großvater::N,grootvader,seanathair
262,Großmutter::N,grootmoeder,seanmháthair
263,Eltern::N,ouders,tuismitheoirí
264,Vater::N,vader,athair
265,Mutter::N,moeder,máthair
266,Sohn::N,zoon,mac
267,Tochter::N,dochter,iníon
268,Bruder::N,broer,deartháir
269,Bruder::N,broeder,deartháir
270,Schwester::N,zus,deirfiúr
271,Schwester::N,zuster,deirfiúr
272,Onkel::N,oom,uncail
273,Tante::N,tante,aintín
274,Ehemann::N,echtgenoot,fear céile
275,Ehefrau::N,echtgenote,bean chéile
276,Freude::N,vreugde,áthas
277,Gelächter::N,gelach,gáire
278,Glück::N,geluk,séan
279,Glück::N,geluk,sonas
280,Kummer::N,verdriet,brón
281,Kummer::N,verdriet,buairt
282,Wunsch::N,wens,guí
283,Wunsch::N,wens,achainí
284,Wunsch::N,verlangen,guí
285,Wunsch::N,verlangen,achainí
286,Lust::N,zin,fonn
287,Lust::N,lust,fonn
288,Geist::N,geest,meon
289,Geist::N,geest,spiorad
290,Gedanke::N,gedachte,smaoineamh
291,Gedächtnis::N,geheugen,cuimhne
292,Verstand::N,verstand,ciall
293,Verstand::N,verstand,intinn
294,Sinn::N,betekenis,brí
295,Sinn::N,betekenis,ciall
296,Grund::N,reden,fáth
297,Wahrheit::N,waarheid,fírinne
298,Gespräch::N,gesprek,comhrá
299,Märchen::N,sprookje,scéal
300,Erzählung::N,verhaal,scéal
301,Nachricht::N,tijding,teachtaireacht
302,Neuigkeit::N,nieuws,scéala
303,Neuigkeit::N,nieuwtje,scéala
304,Name::N,naam,ainm
305,Rätsel::N,raadsel,tomhas
306,Rede::N,rede,óráid
307,Rede::N,rede,aitheasc
308,Sprache::N,taal,teanga
309,Stimme::N,stem,guth
310,Wort::N,woord,focal
311,Zeichen::N,teken,comhartha
312,Ruf::N,roep,glaoch
313,Lärm::N,lawaai,torann
314,Laut::N,klank,fuaim
315,Laut::N,geluid,fuaim
316,Ton::N,toon,ton
317,Ton::N,klank,ton
318,Lied::N,lied,amhrán
319,Ruhe::N,rust,suaimhneas
320,Ruhe::N,stilte,suaimhneas
321,Leute::N,lui,muintir
322,Leute::N,mensen,muintir
323,Volk::N,volk,pobal
324,Arbeit::N,werk,obair
325,Arbeit::N,arbeid,obair
326,Gast::N,gast,aoi
327,Geschenk::N,cadeau,féirín
328,Geschenk::N,cadeau,bronntanas
329,Geschenk::N,geschenk,féirín
330,Geschenk::N,geschenk,bronntanas
331,Spiel::N,spel,cluiche
332,Gesellschaft::N,gezelschap,comhluadar
333,Hilfe::N,hulp,cúnamh
334,Hilfe::N,hulp,cabhair
335,Freund::N,vriend,cara
336,Kamerad::N,maat,comrádaí
337,Kamerad::N,metgezel,comrádaí
338,Angelegenheit::N,zaak,ábhar
339,Angelegenheit::N,aangelegenheid,ábhar
340,Anzahl::N,tal,líon
341,Anzahl::N,aantal,líon
342,Art::N,slag,sórt
343,Art::N,slag,saghas
344,Art::N,soort,sórt
345,Art::N,soort,saghas
346,Stück::N,stuk,píosa
347,Teil::N,deel,cuid
348,Teil::N,deel,páirt
349,Hälfte::N,helft,leath
350,Kreis::N,kring,ciorcal
351,Kreis::N,cirkel,ciorcal
352,Kreuz::N,kruis,cros
353,Linie::N,lijn,líne
354,Strich::N,haal,stríoc
355,Strich::N,streep,stríoc
356,Abstand::N,afstand,achar
357,Entfernung::N,afstand,fad
358,Gegend::N,streek,ceantar
359,Platz::N,ruimte,áit
360,Platz::N,ruimte,spás
361,Ort::N,oord,áit
362,Ort::N,plaats,áit
363,Seite::N,zij,taobh
364,Seite::N,kant,taobh
365,Seite::N,zijde,taobh
366,Mitte::N,midden,lár
367,Gegenstand::N,voorwerp,ball
368,Gegenstand::N,voorwerp,ábhar
369,Sache::N,zaak,ní
370,Sache::N,zaak,rud
371,Rand::N,rand,imeall
372,Rand::N,rand,ciumhais
373,Rand::N,boord,imeall
374,Rand::N,boord,ciumhais
375,Kante::N,kant,corr
376,Kante::N,kant,colbha
377,Ecke::N,hoek,coirnéal
378,Spitze::N,punt,gob
379,Spitze::N,punt,barr
380,Spitze::N,spits,gob
381,Spitze::N,spits,barr
382,Ende::N,einde,ceann
383,Ende::N,einde,foirceann
384,Ende::N,uiteinde,ceann
385,Ende::N,uiteinde,foirceann
386,Loch::N,gat,poll
387,Winkel::N,hoek,cúinne
388,Winkel::N,hoek,uillinn
389,Muster::N,dessin,patrún
390,Muster::N,patroon,patrún
391,Größe::N,grootte,méid
392,Größe::N,grootte,toise
393,Länge::N,lengte,fad
394,Höhe::N,hoogte,airde
395,Gewicht::N,gewicht,meáchan
396,Menge::N,hoeveelheid,méid
397,Haufen::N,hoop,cnap
398,Reihe::N,rij,líne
399,Reihe::N,rij,sraith
400,Reihe::N,reeks,líne
401,Reihe::N,reeks,sraith
402,Boot::N,boot,bád
403,Ruder::N,roeiriem,rámh
404,Ruder::N,roeiriem,maide rámha
405,Schlitten::N,slee,carr sleamhnáin
406,Schlitten::N,slede,carr sleamhnáin
407,Ski::N,ski,scí
408,Lagerfeuer::N,kampvuur,tine champa
409,Last::N,last,ualach
410,Last::N,vracht,ualach
411,Gang::N,wandeling,siúlóid
412,Schritt::N,stap,céim
413,Schritt::N,stap,coiscéim
414,Schritt::N,schrede,céim
415,Schritt::N,schrede,coiscéim
416,Norden::N,noorden,tuaisceart
417,Süden::N,zuiden,deisceart
418,Westen::N,westen,iarthar
419,Osten::N,oosten,oirthear
420,Holz::N,hout,adhmad
421,Brett::N,plank,clár
422,Platte::N,plaat,leac
423,Stütze::N,stut,taca
424,Stütze::N,steun,taca
425,Stange::N,stang,polla
426,Stange::N,stang,cuaille
427,Stock::N,stok,bata
428,Stock::N,stok,maide
429,Stab::N,staf,maide
430,Stab::N,staf,bachall
431,Rohr::N,pijp,píopa
432,Haus::N,huis,teach
433,Heim::N,tehuis,baile
434,Ofen::N,kachel,sornóg
435,Fußboden::N,vloer,urlár
436,Tisch::N,tafel,bord
437,Tisch::N,tafel,tábla
438,Stuhl::N,stoel,cathaoir
439,Wiege::N,wieg,cliabhán
440,Bett::N,bed,leaba
441,Regal::N,rek,seilf
442,Kiste::N,kist,bosca
443,Fenster::N,raam,fuinneoig
444,Fenster::N,venster,fuinneoig
445,Tür::N,deur,doras
446,Tor::N,poort,geata
447,Zaun::N,omheining,fál
448,Zaun::N,omheining,claí
449,Dach::N,dak,díon
450,Leiter::N,ladder,dréimire
451,Besen::N,bezem,scuab
452,Spaten::N,schop,spád
453,Spaten::N,schop,rámhainn
454,Schaufel::N,schep,sluasaid
455,Gabel::N,vork,forc
456,Gabel::N,vork,gabhlóg
457,Löffel::N,lepel,spúnóg
458,Messer::N,mes,scian
459,Nagel::N,spijker,tairne
460,Netz::N,net,líon
461,Netz::N,net,eangach
462,Haken::N,haak,croch
463,Griff::N,handvat,cos
464,Griff::N,handvat,hanla
465,Schloss::N,slot,glas
466,Bild::N,beeld,pictiúr
467,Figur::N,figuur,fíor
468,Puppe::N,pop,bábóg
469,Beutel::N,zak,mála
470,Beutel::N,zak,mealbhóg
471,Beutel::N,buidel,mála
472,Beutel::N,buidel,mealbhóg
473,Bündel::N,pak,beart
474,Bündel::N,bundel,beart
475,Tasche::N,tas,mála
476,Eimer::N,emmer,buicéad
477,Deckel::N,deksel,clár
478,Deckel::N,deksel,claibín
479,Geschirr::N,vaatwerk,soithí
480,Geschirr::N,vaatwerk,gréithe
481,Sack::N,zak,sac
482,Sack::N,zak,mála
483,Tasse::N,kop,cupán
484,Topf::N,pan,pota
485,Kessel::N,ketel,citeal
486,Essen::N,eten,béile
