,Concept_ID,lt,xal
0,Auge::N,akis,нүдн
1,Ohr::N,ausis,чикн
2,Nase::N,nosis,хамр
3,Mund::N,burna,амн
4,Zahn::N,dantis,шүдн
5,Zunge::N,liežuvis,келн
6,Lippe::N,lūpa,урл
7,Wange::N,žandas,халх
8,Wange::N,skruostas,халх
9,Gesicht::N,veidas,нүр
10,Stirn::N,kakta,маңна
11,Haar::N,plaukai,үсн
12,Schnurrbart::N,ūsai,сахл
13,Bart::N,barzda,сахл
14,Bart::N,barzda,өргнә сахл
15,Kinn::N,smakras,өргн
16,Kiefer[Anatomie]::N,žandikaulis,өргн
17,Kehle::N,gerklė,хол
18,Hals::N,kaklas,күзүн
19,Genick::N,sprandas,гиҗг
20,Kopf::N,galva,толһа
21,Rücken::N,nugara,нурһн
22,Bauch::N,pilvas,гесн
23,Nabel::N,bamba,киисн
24,Busen::N,krūtinė,көкн
25,Brust::N,krūtis,чееҗ
26,Schulter::N,petys,ээм
27,Arm::N,ranka,һар
28,Ellenbogen::N,alkūnė,тоха
29,Hand::N,ranka,баһлцг
30,Hand::N,plaštaka,баһлцг
31,Handfläche::N,delnas,альхн
32,Handfläche::N,plaštaka,альхн
33,Finger::N,pirštas,хурһн
34,Finger::N,pirštas,һарин хурһн
35,Fingernagel::N,nagas,хумсн
36,Nagel[Anatomie]::N,nagas,хумсн
37,Zeh::N,pirštas,хурһн
38,Zeh::N,pirštas,көлин хурһн
39,Fuß::N,pėda,тавг
40,Ferse::N,kulnas,өскә
41,Knie::N,kelis,өвдг
42,Oberschenkel::N,kulšis,һуй
43,Oberschenkel::N,šlaunis,һуй
44,Bein::N,koja,көл
45,Körper::N,kūnas,махмуд
46,Haut::N,oda,арсн
47,Blut::N,kraujas,цусн
48,Ader::N,kraujagyslė,судцн
49,Sehne::N,sausgyslė,шүрүсн
50,Knochen::N,kaulas,ясн
51,Gehirn::N,smegenys,экн
52,Herz::N,širdis,зүркн
53,Magen::N,skrandis,гесн
54,Leber::N,kepenys,элкн
55,Atem::N,kvapas,әмсхл
56,Hunger::N,badas,харһнлһн
57,Hunger::N,alkis,харһнлһн
58,Träne::N,ašara,нульмсн
59,Geschmack::N,skonis,амтн
60,Geruch::N,kvapas,үнр
61,Schlaf::N,miegas,нөр
62,Traum::N,sapnas,зүүдн
63,Himmel::N,dangus,теңгр
64,Sonne::N,saulė,нарн
65,Mond::N,mėnulis,сар
66,Stern::N,žvaigždė,одн
67,Luft::N,oras,аһар
68,Wind::N,vėjas,салькн
69,Welle::N,banga,дольган
70,Welle::N,vilnis,дольган
71,Wasser::N,vanduo,усн
72,Stein::N,akmuo,чолун
73,Boden::N,žemė,Һазр
74,Boden::N,dugnas,Һазр
75,Erde::N,žemė,Һазр
76,Staub::N,dulkės,тоосн
77,Rauch::N,dūmai,утан
78,Funke::N,kibirkštis,очн
79,Feuer::N,ugnis,һал
80,Licht::N,šviesa,герл
81,Schatten::N,paūksmė,сүүдр
82,Wetter::N,oras,теңгр
83,Nebel::N,migla,будн
84,Nebel::N,rūkas,будн
