,Concept_ID,ps,xal
0,Auge::N,سترګه,нүдн
1,Ohr::N,غوږ,чикн
2,Nase::N,پوزه,хамр
3,Mund::N,خوله,амн
4,Zahn::N,غاښ,шүдн
5,Zunge::N,جبه,келн
6,Lippe::N,شونډه,урл
7,Wange::N,باړخو,халх
8,Gesicht::N,مخ,нүр
9,Stirn::N,تندی,маңна
10,Stirn::N,وچولی,маңна
11,Haar::N,وېښته,үсн
12,Schnurrbart::N,برېت,сахл
13,Bart::N,ږیره,сахл
14,Bart::N,ږیره,өргнә сахл
15,Kinn::N,زنه,өргн
16,Kiefer[Anatomie]::N,جامه,өргн
17,Kehle::N,غاړه,хол
18,Hals::N,غاړه,күзүн
19,Genick::N,ورمېږ,гиҗг
20,Kopf::N,سر,толһа
21,Rücken::N,شا,нурһн
22,Bauch::N,نس,гесн
23,Bauch::N,ګېډه,гесн
24,Nabel::N,نوم,киисн
25,Busen::N,تی,көкн
26,Brust::N,سینه,чееҗ
27,Schulter::N,اوږه,ээм
28,Arm::N,لاس,һар
29,Ellenbogen::N,څنګل,тоха
30,Hand::N,لاس,баһлцг
31,Handfläche::N,ورغوی,альхн
32,Finger::N,ګوته,хурһн
33,Finger::N,ګوته,һарин хурһн
34,Fingernagel::N,نوک,хумсн
35,Nagel[Anatomie]::N,نوک,хумсн
36,Zeh::N,ګوته,хурһн
37,Zeh::N,ګوته,көлин хурһн
38,Fuß::N,پښه,тавг
39,Ferse::N,پونده,өскә
40,Knie::N,زنګون,өвдг
41,Oberschenkel::N,پتون,һуй
42,Bein::N,پښه,көл
43,Körper::N,ځان,махмуд
44,Haut::N,پوټکی,арсн
45,Blut::N,وینه,цусн
46,Ader::N,رګ,судцн
47,Sehne::N,پله,шүрүсн
48,Knochen::N,هډوکی,ясн
49,Gehirn::N,ماغزه,экн
50,Herz::N,زړه,зүркн
51,Magen::N,معده,гесн
52,Leber::N,ينه,элкн
53,Leber::N,ځیګر,элкн
54,Atem::N,نفس,әмсхл
55,Hunger::N,ولږه,харһнлһн
56,Träne::N,اوښکه,нульмсн
57,Geschmack::N,مزه,амтн
58,Geschmack::N,خوند,амтн
59,Geruch::N,بوی,үнр
60,Schlaf::N,خوب,нөр
61,Traum::N,خوب,зүүдн
62,Himmel::N,اسمان,теңгр
63,Sonne::N,لمر,нарн
64,Mond::N,سپوږمۍ,сар
65,Stern::N,ستوری,одн
66,Luft::N,هوا,аһар
67,Wind::N,ورښ,салькн
