,Concept_ID,ru,is
0,Auge::N,глаз,auga
1,Ohr::N,ухо,eyra
2,Nase::N,нос,nef
3,Mund::N,рот,munnur
4,Zahn::N,зуб,tönn
5,Zunge::N,язык,tunga
6,Lippe::N,губа,vör
7,Wange::N,щека,kinn
8,Wange::N,щека,vangi
9,Gesicht::N,лицо,andlit
10,Stirn::N,лоб,enni
11,Haar::N,волос,hár
12,Haar::N,волосы,hár
13,Schnurrbart::N,ус,yfirskegg
14,Schnurrbart::N,усы,yfirskegg
15,Bart::N,борода,skegg
16,Kinn::N,подбородок,haka
17,Kiefer[Anatomie]::N,челюсть,kjálki
18,Kiefer[Anatomie]::N,челюсть,skoltur
19,Kehle::N,горло,kverk
20,Hals::N,шея,háls
21,Genick::N,затылок,hnakki
22,Kopf::N,голова,höfuð
23,Rücken::N,спина,hryggur
24,Bauch::N,живот,kviður
25,Nabel::N,пупок,nafli
26,Busen::N,женская грудь,barmur
27,Brust::N,грудь,brjóst
28,Schulter::N,плечо,öxl
29,Arm::N,рука,armur
30,Ellenbogen::N,локоть,olnbogi
31,Hand::N,кисть,hönd
32,Handfläche::N,ладонь,lófi
33,Finger::N,палец,fingur
34,Fingernagel::N,ноготь,fingurnögl
35,Nagel[Anatomie]::N,ноготь,nögl
36,Zeh::N,палец,tá
37,Fuß::N,ступня,fótur
38,Ferse::N,пята,hæll
39,Ferse::N,пятка,hæll
40,Knie::N,колено,kné
41,Oberschenkel::N,бедро,læri
42,Bein::N,нога,fótleggur
43,Körper::N,тело,búkur
44,Körper::N,тело,líkami
45,Haut::N,кожа,húð
46,Haut::N,кожа,skinn
47,Blut::N,кровь,blóð
48,Ader::N,вена,æð
49,Ader::N,сосуд,æð
50,Sehne::N,жила,sin
51,Sehne::N,тетива,sin
52,Sehne::N,сухожилие,sin
53,Knochen::N,кость,bein
54,Gehirn::N,мозг,heili
55,Herz::N,сердце,hjarta
56,Magen::N,желудок,magi
57,Leber::N,печень,lifur
58,Atem::N,дух,andi
59,Atem::N,дух,andardráttur
60,Atem::N,дыхание,andi
61,Atem::N,дыхание,andardráttur
62,Hunger::N,голод,hungur
63,Träne::N,слеза,tár
64,Geschmack::N,вкус,smekkur
65,Geruch::N,запах,lykt
66,Schlaf::N,сон,svefn
67,Traum::N,сновидение,draumur
68,Himmel::N,небо,himinn
69,Sonne::N,солнце,sól
70,Mond::N,луна,tungl
71,Stern::N,звезда,stjarna
72,Luft::N,воздух,loft
73,Wind::N,ветер,vindur
74,Welle::N,волна,alda
75,Welle::N,волна,bylgja
76,Wasser::N,вода,vatn
77,Stein::N,камень,steinn
78,Boden::N,почва,botn
79,Erde::N,земля,jörð
80,Staub::N,пыль,ryk
81,Staub::N,пыль,duft
82,Rauch::N,дым,reykur
83,Funke::N,искра,neisti
84,Feuer::N,огонь,eldur
85,Licht::N,свет,ljós
86,Schatten::N,тень,skuggi
87,Wetter::N,погода,veður
88,Nebel::N,туман,þoka
89,Wolke::N,облако,ský
90,Regen::N,дождь,regn
91,Schnee::N,снег,snjór
92,Eis::N,лед,ís
93,Frost::N,мороз,frost
94,Kälte::N,холод,kuldi
95,Hitze::N,жара,hiti
96,Raureif::N,иней,hrím
97,Regenbogen::N,радуга,regnbogi
98,Donner::N,гром,þruma
99,Strömung::N,течение,straumur
100,Tropfen::N,капля,dropi
101,Schaum::N,пена,froða
102,Schmutz::N,грязь,óhreinindi
103,See::N,озеро,stöðuvatn
104,Sumpf::N,топь,fen
105,Moor::N,болото,mýri
106,Wiese::N,луг,engi
107,Wald::N,лес,skógur
108,Hügel::N,холм,hæð
109,Hügel::N,холм,hóll
110,Anhöhe::N,возвышенность,hæð
111,Anhöhe::N,возвышенность,hóll
112,Berg::N,гора,fell
113,Berg::N,гора,fjall
114,Gipfel::N,вершина,tindur
115,Höhle::N,пещера,hellir
116,Abhang::N,склон,hlíð
117,Abhang::N,склон,brekka
118,Quelle::N,источник,lind
119,Quelle::N,источник,uppspretta
120,Bach::N,ручей,lækur
121,Fluss::N,река,á
122,Fluss::N,река,fljót
123,Ufer::N,берег,árbakki
124,Ufer::N,берег,sjávarbakki
125,Küste::N,побережье,strönd
126,Festland::N,суша,meginland
127,Meer::N,море,haf
128,Meer::N,море,sjór
129,Bucht::N,бухта,vík
130,Insel::N,остров,eyja
131,Blume::N,цветок,blóm
132,Gras::N,трава,gras
133,Wurzel::N,корень,rót
134,Baum::N,дерево,tré
135,Stamm::N,ствол,stofn
136,Rinde::N,кора,börkur
137,Ast::N,сук,grein
138,Zweig::N,ветвь,angi
139,Zweig::N,ветвь,kvistur
140,Blatt::N,лист,blað
141,Birke::N,береза,birki
142,Kiefer[Baum]::N,сосна,fura
143,Weide[Baum]::N,ива,víðir
144,Tanne::N,ель,greni
145,Horn::N,рог,horn
146,Feder::N,перо,fjöður
147,Fell::N,шкура,skinn
148,Flügel::N,крыло,vængur
149,Klaue::N,коготь,kló
150,Kralle::N,лапа,kló
151,Schwanz::N,хвост,rófa
152,Schwanz::N,хвост,skott
153,Ei::N,яйцо,egg
154,Nest::N,гнездо,hreiður
155,Bau::N,нора,greni
156,Bau::N,нора,bæli
157,Tier::N,животное,dýr
158,Herde::N,стадо,hjörð
159,Kuh::N,корова,kýr
160,Bulle::N,бык,boli
161,Pferd::N,лошадь,hestur
162,Schaf::N,овца,kind
163,Schwein::N,свинья,svín
164,Hund::N,собака,hundur
165,Katze::N,кошка,köttur
166,Bär::N,медведь,björn
167,Eichhörnchen::N,белка,íkorni
168,Elch::N,лось,elgur
169,Fuchs::N,лиса,refur
170,Hase::N,заяц,héri
171,Maus::N,мышь,mús
172,Wolf::N,волк,úlfur
173,Vogel::N,птица,fugl
174,Schwarm::N,стая,sægur
175,Huhn::N,курица,hæna
176,Hahn::N,петух,hani
177,Gans::N,гусь,gæs
178,Adler::N,орел,örn
179,Ente::N,утка,önd
180,Eule::N,сова,uggla
181,Kranich::N,журавль,trana
182,Krähe::N,ворона,kráka
183,Kuckuck::N,кукушка,gaukur
184,Schwan::N,лебедь,svanur
185,Fisch::N,рыба,fiskur
186,Barsch::N,окунь,aborri
187,Hecht::N,щука,gedda
188,Schlange[Tier]::N,змея,naðra
189,Wurm::N,червяк,ormur
190,Spinne::N,паук,kónguló
191,Ameise::N,муравей,maur
192,Laus::N,вошь,lús
193,Mücke::N,комар,mý
194,Mücke::N,комар,mýfluga
195,Fliege::N,муха,fluga
196,Schmetterling::N,бабочка,fiðrildi
197,Beere::N,ягода,ber
198,Apfel::N,яблоко,epli
199,Pilz::N,гриб,sveppur
200,Zwiebel::N,луковица,laukur
201,Saat::N,семя,fræ
202,Saat::N,семя,útsæði
203,Korn::N,зерно,korn
204,Heu::N,сено,hey
205,Schale::N,шелуха,hýði
206,Grube::N,яма,gryfja
207,Falle::N,ловушка,gildra
208,Schlinge::N,силок,snara
209,Spur::N,след,spor
210,Asche::N,зола,aska
211,Asche::N,пепел,aska
212,Dreck::N,грязь,óþverri
213,Eisen::N,железо,járn
214,Gold::N,золото,gull
215,Silber::N,серебро,silfur
216,Kohle::N,уголь,kol
217,Glas::N,стекло,gler
218,Lehm::N,глина,leir
219,Sand::N,песок,sandur
220,Mensch::N,человек,maður
221,Mensch::N,человек,manneskja
222,Mann::N,мужчина,maður
223,Mann::N,мужчина,karlmaður
224,Frau::N,женщина,kona
225,Kind::N,ребенок,barn
226,Kind::N,ребенок,krakki
227,Junge::N,мальчик,drengur
228,Mädchen::N,девочка,stelpa
229,Familie::N,семья,fjölskylda
230,Großvater::N,дедушка,afi
231,Großmutter::N,бабушка,amma
232,Eltern::N,родители,foreldrar
233,Vater::N,отец,faðir
234,Mutter::N,мать,móðir
235,Sohn::N,сын,sonur
236,Tochter::N,дочь,dóttir
237,Bruder::N,брат,bróðir
238,Schwester::N,сестра,systir
239,Onkel::N,дядя,föðurbróðir
240,Tante::N,тетя,frænka
241,Tante::N,тетя,móðursystir
242,Ehemann::N,муж,eiginmaður
243,Ehefrau::N,жена,eiginkona
244,Freude::N,радость,gleði
245,Gelächter::N,смех,hlátur
246,Glück::N,счастье,gæfa
247,Kummer::N,горе,sorg
248,Wunsch::N,желание,ósk
249,Lust::N,влечение,fýsn
250,Lust::N,влечение,löngun
251,Geist::N,дух,andi
252,Gedanke::N,мысль,hugsun
253,Gedächtnis::N,память,minni
254,Verstand::N,ум,vit
255,Sinn::N,смысл,merking
256,Grund::N,повод,ástæða
257,Wahrheit::N,правда,sannleikur
258,Gespräch::N,беседа,samtal
259,Märchen::N,сказка,ævintýri
260,Erzählung::N,рассказ,saga
261,Nachricht::N,сообщение,frétt
262,Neuigkeit::N,новость,frétt
263,Name::N,имя,nafn
264,Rätsel::N,загадка,gáta
265,Rede::N,речь,ræða
266,Sprache::N,язык,mál
267,Sprache::N,язык,tungumál
268,Stimme::N,голос,rödd
269,Wort::N,слово,orð
270,Zeichen::N,знак,tákn
271,Zeichen::N,знак,merki
272,Ruf::N,зов,kall
273,Lärm::N,шум,hávaði
274,Laut::N,звук,hljóð
275,Ton::N,звучание,tónn
276,Lied::N,песня,ljóð
277,Lied::N,песня,söngur
278,Ruhe::N,покой,ró
279,Ruhe::N,покой,kyrrð
280,Leute::N,люди,fólk
281,Volk::N,народ,þjóð
282,Arbeit::N,работа,vinna
283,Gast::N,гость,gestur
284,Geschenk::N,подарок,gjöf
285,Spiel::N,игра,leikur
286,Gesellschaft::N,общество,selskapur
287,Hilfe::N,помощь,hjálp
288,Freund::N,друг,vinur
289,Kamerad::N,приятель,félagi
290,Angelegenheit::N,дело,mál
291,Angelegenheit::N,дело,málefni
292,Anzahl::N,количество,tala
293,Anzahl::N,количество,fjöldi
294,Art::N,вид,tegund
295,Stück::N,кусок,biti
296,Stück::N,кусок,stykki
297,Teil::N,часть,hluti
298,Teil::N,часть,partur
299,Hälfte::N,половина,helmingur
300,Kreis::N,круг,hringur
301,Kreuz::N,крест,kross
302,Kreuz::N,крест,krossmark
303,Linie::N,линия,lína
304,Strich::N,черта,strik
305,Abstand::N,промежуток,millibil
306,Entfernung::N,расстояние,fjarlægð
307,Gegend::N,местность,hérað
308,Platz::N,пространство,pláss
309,Ort::N,место,staður
310,Seite::N,сторона,hlið
311,Mitte::N,середина,miðja
312,Gegenstand::N,предмет,hlutur
313,Sache::N,вещь,mál
314,Rand::N,край,brún
315,Kante::N,ребро,rönd
316,Ecke::N,угол,horn
317,Spitze::N,кончик,oddur
318,Ende::N,конец,endi
319,Loch::N,дыра,gat
320,Loch::N,дыра,hola
321,Winkel::N,угол,skot
322,Winkel::N,угол,krókur
323,Muster::N,узор,munstur
324,Größe::N,размер,stærð
325,Länge::N,длина,lengd
326,Höhe::N,высота,hæð
327,Gewicht::N,вес,vigt
328,Gewicht::N,вес,þyngd
329,Menge::N,количество,magn
330,Haufen::N,куча,hrúga
331,Haufen::N,куча,haugur
332,Reihe::N,ряд,röð
333,Boot::N,лодка,bátur
334,Ruder::N,весло,ár
335,Schlitten::N,сани,sleði
336,Ski::N,лыжа,skíði
337,Lagerfeuer::N,костер,varðeldur
338,Last::N,тяжесть,byrði
339,Last::N,тяжесть,farmur
340,Gang::N,ход,ganga
341,Schritt::N,шаг,skref
342,Norden::N,север,norður
343,Süden::N,юг,suður
344,Westen::N,запад,vestur
345,Osten::N,восток,austur
346,Holz::N,древесина,viður
