,Concept_ID,ta,uz
0,Auge::N,கண்,ko'z
1,Ohr::N,காது,quloq
2,Nase::N,மூக்கு,burun
3,Mund::N,வாய்,og'iz
4,Zahn::N,பல்,tish
5,Zunge::N,நாக்கு,til
6,Lippe::N,உதடு,dudoq
7,Wange::N,கன்னம்,bet
8,Gesicht::N,முகம்,yuz
9,Stirn::N,முன்னெற்றி,manglay
10,Haar::N,முடி,soch
11,Schnurrbart::N,மீசை,mo'ylov
12,Bart::N,தாடி,soqol
13,Kinn::N,கீழதாடை,ängak
14,Kiefer[Anatomie]::N,தாடை,iyak
15,Kehle::N,தொண்டை,bo'g'iz
16,Hals::N,கழுத்து,bo'yin
17,Genick::N,கழுத்து,gardan
18,Kopf::N,தலை,bosh
19,Rücken::N,முதுகு,orqa
20,Bauch::N,வயிறு,qorin
21,Nabel::N,தொப்புள்,kindik
22,Busen::N,மார்பகம்,ämchak
23,Brust::N, மார்பு,ko'krak
24,Schulter::N,தோள்பட்டை,elka
25,Arm::N,கரம்,bilak
26,Ellenbogen::N,முழங்கை,tirsak
27,Hand::N,கை,qo'l
28,Handfläche::N,உள்ளங்கை,kaft
29,Finger::N,விரல்,barmoq
30,Fingernagel::N,விரல் நகம்,tirnoq
31,Nagel[Anatomie]::N,நகம்,tirnoq
32,Zeh::N,கால்விரல்,oyoq barmog'i
33,Fuß::N,கால்,oyoq
34,Ferse::N,குதிகால்,tovon
35,Knie::N,முழங்கால்,tiz
36,Oberschenkel::N,தொடை,son
37,Bein::N,கால்,oyoq
38,Körper::N,உடல்,badna
39,Haut::N,சருமம்,teri
40,Blut::N,இரத்தம்,qon
41,Ader::N,நாளம்,qon tomir
42,Sehne::N,தசைநார்,tomir
43,Knochen::N,எலுமபு,suyak
44,Gehirn::N,மூனை,miya
45,Herz::N,இதயம,qalb
46,Magen::N,வயிறு,oshqozon
47,Leber::N,கல்லீரல்,bag'ir
48,Atem::N,மூச்சு,dam
49,Hunger::N,பசி,ochlik
50,Träne::N,கண்ணீர்,yosh
51,Geschmack::N,நறுமணம்,tam
52,Geruch::N,துர்நாற்றம்,jid
53,Schlaf::N,தூக்கம்,uyqu
54,Traum::N,கனவு,tush
55,Himmel::N,வானம்,osmon
56,Sonne::N,சூரியன்,quyosh
57,Mond::N,சந்திரன்,oy
58,Stern::N,நட்சத்திரம்,yulduz
59,Luft::N,காறறு,havo
60,Wind::N,காற்று,el
61,Welle::N,அலை,to'lqin
62,Wasser::N,நீர்,suv
63,Stein::N,கல்,tosh
64,Boden::N,தரை,tuproq
65,Erde::N,மண்,er
66,Staub::N,தூசி,chang
67,Rauch::N,புகை,tutun
68,Funke::N,தீப்பொறி,yalt
69,Feuer::N,தீ,o't
70,Licht::N,வெளிச்சம்,yorug'
71,Schatten::N,நிழல்,soya
72,Wetter::N,வானிலை,havo
73,Nebel::N,பனிமூட்டம்,tuman
74,Wolke::N,மேகம்,bulut
75,Regen::N,மழை,yomg'ir
76,Schnee::N,உறைபனி,qor
77,Eis::N,பனிக்கட்டி,muz
78,Frost::N,உறைபனி,ajoz
79,Kälte::N,குளிர்ந்த,ajoz
80,Hitze::N,சூடு,issiq
81,Raureif::N,உறைபனி வெண்திரை,qirov
82,Regenbogen::N,வானவில்,kamalak
83,Donner::N,இடி,guldur
84,Strömung::N,நீரோட்டம்,oqim
85,Tropfen::N,துளி,tomchi
86,Schaum::N,நுரை,ko'pik
87,Schmutz::N,அழுக்கு,gard
88,See::N,ஏரி,ko'l
89,Sumpf::N,சதுப்பு நிலம்,botqoq
90,Moor::N,முட்புதற்காடு,qir-adir
91,Wiese::N,பசும் புல்தரை,o'tzor
92,Wald::N,காடு,o'rmon
93,Hügel::N,குன்று,tepa
94,Anhöhe::N,பதுக்கை,adir
95,Berg::N,மலை,tog'
96,Gipfel::N,உச்சி மாநாடு,cho'qqi
97,Höhle::N,குகை,kavak
98,Abhang::N,சரிவு,to'sh
99,Quelle::N,மூலம்,buloq
100,Bach::N,ஓடை,o'zan
101,Fluss::N,ஆறு,daryo
102,Ufer::N,நீர்க்கரை,sohil
103,Küste::N,கடற்கரை,qirg'oq
104,Festland::N,நிலம்,materik
105,Meer::N,கடல்,dengiz
106,Bucht::N,சிறுகுடா,qo'ltiq
107,Insel::N,தீவு,orol
108,Blume::N,பூ,gul
109,Gras::N,புல்தரை,sabza
110,Wurzel::N,வேர்,tub
111,Wurzel::N,வேர்,tomir
112,Baum::N,மரம்,daraxt
113,Stamm::N,அடிமரம்,o'simta
114,Rinde::N,பட்டை,qobiq
115,Rinde::N,மரப்பட்டை,qobiq
116,Ast::N,கினை,shox
117,Zweig::N,குச்சி,butoq
118,Blatt::N,இலை,barg
119,Birke::N,பிர்ச் மரம்,qayin
120,Kiefer[Baum]::N,தேவதாரு மரம்,qarag'ay
121,Weide[Baum]::N,மர வகைகளுள் ஒன்று,shum
122,Tanne::N,சாதிக்கய்,archa
123,Horn::N,கொம்பு,mugiz
124,Feder::N,இறகு,par
125,Fell::N,மென்முடி,mo'yna
126,Flügel::N,இறக்கை,qanot
127,Klaue::N,நகம்,tirnoq
128,Kralle::N,நகம்,tirnoq
129,Schwanz::N,வால்,quyruq
130,Ei::N,முட்டை,tuxum
131,Nest::N,கூடு,oshyon
132,Bau::N,குகை,o'pqon
133,Tier::N,விலங்கு,hayvon
134,Herde::N,கூட்டம்,gala
135,Kuh::N,பசு,inak
136,Bulle::N,காளை,ho'kiz
137,Pferd::N,குதிரை,ot
138,Schaf::N,செம்மறிஆடு,qo'y
139,Schwein::N,பன்றி,cho'chqa
140,Hund::N,நாய்,it
141,Katze::N,பூனை,mushuk
142,Bär::N,கரடி,ayiq
143,Eichhörnchen::N,அணில்,tiyin
144,Elch::N,கடம்பை,los
145,Fuchs::N,நரி,tulki
146,Hase::N,முயல்,kuyon
147,Maus::N,எலி,sichqon
148,Wolf::N,ஓநாய்,bo'ri
149,Vogel::N,பறவை,qush
150,Schwarm::N,தொகுதி,to'da
151,Huhn::N,கோழிக்குஞசு,tovuq
152,Hahn::N,சேவல்,xo'roz
153,Gans::N,பெண் வாத்து,g'oz
154,Adler::N,பருநது,burgut
155,Ente::N,வாத்து,o'rdak
156,Eule::N,ஆந்தை,boyo'g'li
157,Kranich::N,நாரை,turna
158,Krähe::N,காகம்,qarg'a
159,Kuckuck::N,குயில்,kakku
160,Schwan::N,அன்னம்,oqkush
161,Fisch::N,மீன்,baliq
162,Barsch::N,பேர்ச்,olabug'a
163,Hecht::N,கோலாச்சி மீன்,cho'rtan
164,Schlange[Tier]::N,பாம்பு,ilon
165,Wurm::N,புழு,qurt
166,Spinne::N,சிலந்தி,o'rgimchak
167,Ameise::N,எறும்பு,chumoli
168,Laus::N,பேன்,bit
169,Mücke::N,கொசுவினப்பூச்சி,chivin
170,Fliege::N,ஈ,pashsha
171,Schmetterling::N,வண்ணத்துப்பூச்சி,kapalak
172,Beere::N,சதைப்பழம்,meva
173,Apfel::N,ஆப்பிள பழம்,olma
174,Pilz::N,காளான்,qo'ziqorin
175,Zwiebel::N,வெங்காயம்,piyoz
176,Saat::N,விதை,äkin
177,Korn::N,தானியம்,zarra
178,Heu::N,வைக்கோல்,xashak
179,Schale::N,தோல்,po'choq
180,Grube::N,குழி,co'ra
181,Falle::N,பொறி,qopqon
182,Schlinge::N,கண்ணி,sirtmoq
183,Spur::N,சுவடு,iz
184,Asche::N,சாம்பல்,kul
185,Dreck::N,அழுக்கு,kir
186,Eisen::N,இரும்பு,temir
187,Gold::N,தங்கம்,tilla
188,Silber::N,வெள்ளி,kumush
189,Kohle::N,நிலக்கரி,ko'mir
190,Glas::N,கண்ணாடி,oyna
191,Lehm::N,களிமண்,loy
192,Sand::N,மணல்,qum
193,Mensch::N,மனிதர்கள்,odam
194,Mann::N,மனிதன்,ärkak
195,Frau::N,பெண்,ayol
196,Kind::N,குழந்தை,bola
197,Kind::N,குழந்தை,kichkintoy
198,Junge::N,பையன்,bola
199,Mädchen::N,சிறுமி,qiz
200,Familie::N,குடும்பம்,oila
201,Großvater::N,தாத்தா,buva
202,Großvater::N,தாத்தா,katta ota
203,Großmutter::N,பாட்டி,buvi
204,Großmutter::N,பாட்டி,katta oyi
205,Eltern::N,பெற்றோர்,ota-ona
206,Vater::N,தந்தை,ota
207,Mutter::N,தாய்,ona
208,Sohn::N,மகன்,o'g'il
209,Tochter::N,மகள்,qiz
