,Concept_ID,uz,uz
0,Auge::N,ko'z,ko'z
1,Ohr::N,quloq,quloq
2,Nase::N,burun,burun
3,Mund::N,og'iz,og'iz
4,Zahn::N,tish,tish
5,Zunge::N,til,til
6,Lippe::N,dudoq,dudoq
7,Wange::N,bet,bet
8,Gesicht::N,yuz,yuz
9,Stirn::N,manglay,manglay
10,Haar::N,soch,soch
11,Schnurrbart::N,mo'ylov,mo'ylov
12,Bart::N,soqol,soqol
13,Kinn::N,ängak,ängak
14,Kiefer[Anatomie]::N,iyak,iyak
15,Kehle::N,bo'g'iz,bo'g'iz
16,Hals::N,bo'yin,bo'yin
17,Genick::N,gardan,gardan
18,Kopf::N,bosh,bosh
19,Rücken::N,orqa,orqa
20,Bauch::N,qorin,qorin
21,Nabel::N,kindik,kindik
22,Busen::N,ämchak,ämchak
23,Brust::N,ko'krak,ko'krak
24,Schulter::N,elka,elka
25,Arm::N,bilak,bilak
26,Ellenbogen::N,tirsak,tirsak
27,Hand::N,qo'l,qo'l
28,Handfläche::N,kaft,kaft
29,Finger::N,barmoq,barmoq
30,Fingernagel::N,tirnoq,tirnoq
31,Nagel[Anatomie]::N,tirnoq,tirnoq
32,Zeh::N,oyoq barmog'i,oyoq barmog'i
33,Fuß::N,oyoq,oyoq
34,Ferse::N,tovon,tovon
35,Knie::N,tiz,tiz
36,Oberschenkel::N,son,son
37,Bein::N,oyoq,oyoq
38,Körper::N,badna,badna
39,Haut::N,teri,teri
40,Blut::N,qon,qon
41,Ader::N,qon tomir,qon tomir
42,Sehne::N,tomir,tomir
43,Knochen::N,suyak,suyak
44,Gehirn::N,miya,miya
45,Herz::N,qalb,qalb
46,Magen::N,oshqozon,oshqozon
47,Leber::N,bag'ir,bag'ir
48,Atem::N,dam,dam
49,Hunger::N,ochlik,ochlik
50,Träne::N,yosh,yosh
51,Geschmack::N,tam,tam
52,Geruch::N,jid,jid
53,Schlaf::N,uyqu,uyqu
54,Traum::N,tush,tush
55,Himmel::N,osmon,osmon
56,Sonne::N,quyosh,quyosh
57,Mond::N,oy,oy
58,Stern::N,yulduz,yulduz
59,Luft::N,havo,havo
60,Wind::N,el,el
61,Welle::N,to'lqin,to'lqin
62,Wasser::N,suv,suv
63,Stein::N,tosh,tosh
64,Boden::N,tuproq,tuproq
65,Erde::N,er,er
66,Staub::N,chang,chang
67,Rauch::N,tutun,tutun
68,Funke::N,yalt,yalt
69,Feuer::N,o't,o't
70,Licht::N,yorug',yorug'
71,Schatten::N,soya,soya
72,Wetter::N,havo,havo
73,Nebel::N,tuman,tuman
74,Wolke::N,bulut,bulut
75,Regen::N,yomg'ir,yomg'ir
76,Schnee::N,qor,qor
77,Eis::N,muz,muz
78,Frost::N,ajoz,ajoz
79,Kälte::N,ajoz,ajoz
80,Hitze::N,issiq,issiq
81,Raureif::N,qirov,qirov
82,Regenbogen::N,kamalak,kamalak
83,Donner::N,guldur,guldur
84,Strömung::N,oqim,oqim
85,Tropfen::N,tomchi,tomchi
86,Schaum::N,ko'pik,ko'pik
87,Schmutz::N,gard,gard
88,See::N,ko'l,ko'l
89,Sumpf::N,botqoq,botqoq
90,Moor::N,qir-adir,qir-adir
91,Wiese::N,o'tzor,o'tzor
92,Wald::N,o'rmon,o'rmon
93,Hügel::N,tepa,tepa
94,Anhöhe::N,adir,adir
95,Berg::N,tog',tog'
96,Gipfel::N,cho'qqi,cho'qqi
97,Höhle::N,kavak,kavak
98,Abhang::N,to'sh,to'sh
99,Quelle::N,buloq,buloq
100,Bach::N,o'zan,o'zan
101,Fluss::N,daryo,daryo
102,Ufer::N,sohil,sohil
103,Küste::N,qirg'oq,qirg'oq
104,Festland::N,materik,materik
105,Meer::N,dengiz,dengiz
106,Bucht::N,qo'ltiq,qo'ltiq
107,Insel::N,orol,orol
108,Blume::N,gul,gul
109,Gras::N,sabza,sabza
110,Wurzel::N,tub,tub
111,Wurzel::N,tub,tomir
112,Wurzel::N,tomir,tub
113,Wurzel::N,tomir,tomir
114,Baum::N,daraxt,daraxt
115,Stamm::N,o'simta,o'simta
116,Rinde::N,qobiq,qobiq
117,Ast::N,shox,shox
118,Zweig::N,butoq,butoq
119,Blatt::N,barg,barg
120,Birke::N,qayin,qayin
121,Kiefer[Baum]::N,qarag'ay,qarag'ay
122,Weide[Baum]::N,shum,shum
123,Tanne::N,archa,archa
124,Horn::N,mugiz,mugiz
125,Feder::N,par,par
126,Fell::N,mo'yna,mo'yna
127,Flügel::N,qanot,qanot
128,Klaue::N,tirnoq,tirnoq
129,Kralle::N,tirnoq,tirnoq
130,Schwanz::N,quyruq,quyruq
131,Ei::N,tuxum,tuxum
132,Nest::N,oshyon,oshyon
133,Bau::N,o'pqon,o'pqon
134,Tier::N,hayvon,hayvon
135,Herde::N,gala,gala
136,Kuh::N,inak,inak
137,Bulle::N,ho'kiz,ho'kiz
138,Pferd::N,ot,ot
139,Schaf::N,qo'y,qo'y
140,Schwein::N,cho'chqa,cho'chqa
141,Hund::N,it,it
142,Katze::N,mushuk,mushuk
143,Bär::N,ayiq,ayiq
144,Eichhörnchen::N,tiyin,tiyin
145,Elch::N,los,los
146,Fuchs::N,tulki,tulki
147,Hase::N,kuyon,kuyon
148,Maus::N,sichqon,sichqon
149,Wolf::N,bo'ri,bo'ri
