,Concept_ID,ar,lv
0,Auge::N,عين,син
1,Auge::N,عين,acs
2,Ohr::N,أذن,пель
3,Ohr::N,أذن,auss
4,Nase::N,أنف,ныр
5,Nase::N,أنف,deguns
6,Mund::N,فم,вом
7,Mund::N,فم,mute
8,Zahn::N,سن,пинь
9,Zahn::N,سن,zobs
10,Zunge::N,لسان,кыв
11,Zunge::N,لسان,mēle
12,Lippe::N,شفة,вом дор
13,Lippe::N,شفة,lūpa
14,Wange::N,خد,бан
15,Wange::N,خد,vaigs
16,Wange::N,وجنة,бан
17,Wange::N,وجنة,vaigs
18,Gesicht::N,وجه,чужӧм
19,Gesicht::N,وجه,seja
20,Gesicht::N,وجه,ģīmis
21,Stirn::N,جبين,плеш
22,Stirn::N,جبين,кымӧс
23,Stirn::N,جبين,piere
24,Haar::N,شعر,си
25,Haar::N,شعر,юрси
26,Haar::N,شعر,mats
27,Schnurrbart::N,شارب,ус
28,Schnurrbart::N,شارب,пыртсим
29,Schnurrbart::N,شارب,ūsas
30,Bart::N,لحية,тош
31,Bart::N,لحية,bārda
32,Kinn::N,ذقن,тшӧка
33,Kinn::N,ذقن,zods
34,Kinn::N,ذقن,smakrs
35,Kiefer[Anatomie]::N,فك,черлы
36,Kiefer[Anatomie]::N,فك,алака лы
37,Kiefer[Anatomie]::N,فك,вомкӧтш лы
38,Kiefer[Anatomie]::N,فك,žoklis
39,Kehle::N,حلق,голя
40,Kehle::N,حلق,rīkle
41,Hals::N,عنق,сьылі
42,Hals::N,عنق,kakls
43,Hals::N,رقبة,сьылі
44,Hals::N,رقبة,kakls
45,Genick::N,قفا,юрбӧр
46,Genick::N,قفا,балябӧж
47,Genick::N,قفا,sprands
48,Kopf::N,رأس,юр
49,Kopf::N,رأس,galva
50,Rücken::N,ظهر,мыш
51,Rücken::N,ظهر,mugura
52,Bauch::N,بطن,рушку
53,Bauch::N,بطن,vēders
54,Nabel::N,سرة,гӧг
55,Nabel::N,سرة,naba
56,Busen::N,ثدي,морӧс
57,Busen::N,ثدي,krūts
58,Brust::N,صدر,морӧс
59,Brust::N,صدر,krūts
60,Schulter::N,كتف,пельпом
61,Schulter::N,كتف,plecs
62,Arm::N,ذراع,ки
63,Arm::N,ذراع,roka
64,Arm::N,ذراع,delms
65,Ellenbogen::N,كوع,гырддза
66,Ellenbogen::N,كوع,elkonis
67,Hand::N,يد,ки
68,Hand::N,يد,roka
69,Hand::N,يد,plauksta
70,Handfläche::N,كف,ки пыдӧс
71,Handfläche::N,كف,delna
72,Handfläche::N,كف,plauksta
73,Finger::N,إصبع,чунь
74,Finger::N,إصبع,pirksts
75,Fingernagel::N,ظفر,гыж
76,Fingernagel::N,ظفر,nags
77,Nagel[Anatomie]::N,ظفر,гыж
78,Nagel[Anatomie]::N,ظفر,nags
79,Zeh::N,إصبع القدم,кок чунь
80,Zeh::N,إصبع القدم,pirksts
81,Fuß::N,قدم,кок
82,Fuß::N,قدم,kāja
83,Ferse::N,كعب,кокбӧр
84,Ferse::N,كعب,papēdis
85,Knie::N,ركبة,пидзӧс
86,Knie::N,ركبة,celis
87,Oberschenkel::N,فخذ,лядьвей
88,Oberschenkel::N,فخذ,бек
89,Oberschenkel::N,فخذ,ciska
90,Oberschenkel::N,فخذ,augšstilbs
91,Bein::N,ساق,кок
92,Bein::N,ساق,kāja
93,Körper::N,جسم,туша
94,Körper::N,جسم,вывтыр
95,Körper::N,جسم,miesa
96,Körper::N,جسم,ķermenis
97,Haut::N,بشرة,ку
98,Haut::N,بشرة,āda
99,Blut::N,دم,вир
100,Blut::N,دم,asins
101,Ader::N,عرق,сӧн
102,Ader::N,عرق,asinsvads
103,Sehne::N,طنب,вез
104,Sehne::N,طنب,dzīsla
105,Knochen::N,عظم,лы
106,Knochen::N,عظم,kauls
107,Gehirn::N,دماغ,вем
108,Gehirn::N,دماغ,smadzenes
109,Herz::N,قلب,сьӧлӧм
110,Herz::N,قلب,sirds
111,Magen::N,معدة,кынӧм
112,Magen::N,معدة,kuņģis
113,Leber::N,كبد,мус
114,Leber::N,كبد,aknas
115,Atem::N,نفس,лов
116,Atem::N,نفس,elpa
117,Hunger::N,جوع,тшыг
118,Hunger::N,جوع,bads
119,Hunger::N,جوع,izsalkums
120,Träne::N,دمعة,синва
121,Träne::N,دمعة,asara
122,Geschmack::N,طعم,кӧр
123,Geschmack::N,طعم,чӧсмӧс
124,Geschmack::N,طعم,garša
125,Geschmack::N,مذاق,кӧр
126,Geschmack::N,مذاق,чӧсмӧс
127,Geschmack::N,مذاق,garša
128,Geruch::N,رائحة,зын
129,Geruch::N,رائحة,дук
130,Geruch::N,رائحة,smaka
131,Schlaf::N,نوم,узьӧм
132,Schlaf::N,نوم,miegs
133,Schlaf::N,منام,узьӧм
134,Schlaf::N,منام,miegs
135,Traum::N,حلم,вӧт
136,Traum::N,حلم,вӧтасьӧм
137,Traum::N,حلم,sapnis
138,Himmel::N,سماء,енэж
139,Himmel::N,سماء,debess
140,Sonne::N,شمس,шонді
