,Concept_ID,pt,eu
0,Auge::N,olho,begi
1,Ohr::N,orelha,belarri
2,Nase::N,nariz,sudur
3,Mund::N,boca,aho
4,Zahn::N,dente,hortz
5,Zunge::N,língua,mihi
6,Lippe::N,lábio,ezpain
7,Wange::N,face,masail
8,Gesicht::N,cara,aurpegi
9,Gesicht::N,rosto,aurpegi
10,Stirn::N,testa,bekoki
11,Haar::N,cabelo,ile
12,Haar::N,cabelo,bilo
13,Schnurrbart::N,bigode,bibote
14,Schnurrbart::N,bigode,sudurpeko
15,Bart::N,barba,bizar
16,Kinn::N,queixo,kokots
17,Kiefer[Anatomie]::N,maxila,masailezur
18,Kiefer[Anatomie]::N,mandíbula,masailezur
19,Kehle::N,garganta,eztarri
20,Hals::N,colo,sama
21,Hals::N,pescoço,sama
22,Genick::N,nuca,garondo
23,Kopf::N,cabeça,buru
24,Rücken::N,dorso,bizkar
25,Rücken::N,costas,bizkar
26,Bauch::N,ventre,sabel
27,Bauch::N,barriga,sabel
28,Nabel::N,umbigo,zilbor
29,Busen::N,seio,titi
30,Busen::N,seio,ugatz
31,Brust::N,peito,bular
32,Schulter::N,ombro,besaburu
33,Arm::N,braço,beso
34,Ellenbogen::N,cotovelo,ukondo
35,Hand::N,mão,esku
36,Handfläche::N,palma,ahur
37,Handfläche::N,palma da mão,ahur
38,Finger::N,dedo,hatz
39,Fingernagel::N,unha,azazkal
40,Nagel[Anatomie]::N,unha,azazkal
41,Zeh::N,dedo do pé,behatz
42,Fuß::N,pé,oin
43,Ferse::N,calcanhar,orpo
44,Ferse::N,calcanhar,oinburu
45,Knie::N,joelho,belaun
46,Oberschenkel::N,coxa,izter
47,Bein::N,perna,zango
48,Körper::N,corpo,soin
49,Haut::N,pele,azal
50,Blut::N,sangue,odol
51,Ader::N,veia,zain
52,Sehne::N,tendão,gihar-zain
53,Knochen::N,osso,hezur
54,Gehirn::N,cérebro,garun
55,Gehirn::N,cérebro,burmuin
56,Herz::N,coração,bihotz
57,Magen::N,estômago,urdail
58,Leber::N,fígado,gibel
59,Atem::N,fôlego,hats
60,Atem::N,fôlego,arnasa
61,Hunger::N,fome,gose
62,Träne::N,lágrima,malko
63,Geschmack::N,gosto,dasta
64,Geruch::N,odor,usain
65,Geruch::N,cheiro,usain
66,Schlaf::N,sono,lo
67,Traum::N,sonho,amets
68,Himmel::N,céu,zeru
69,Sonne::N,sol,eguzki
70,Mond::N,lua,ilargi
71,Stern::N,estrela,izar
72,Luft::N,ar,aire
73,Wind::N,vento,haize
74,Welle::N,onda,uhin
75,Welle::N,onda,olatu
76,Wasser::N,água,ur
77,Stein::N,pedra,harri
78,Boden::N,solo,lur
79,Boden::N,solo,zoru
80,Erde::N,terra,lur
81,Staub::N,pó,hauts
82,Rauch::N,fumo,ke
83,Funke::N,faísca,zirta
84,Funke::N,faísca,txinparta
85,Funke::N,centelha,zirta
86,Funke::N,centelha,txinparta
