,Concept_ID,ko,kl
0,Auge::N,눈,isi
1,Ohr::N,귀,siut
2,Nase::N,코,
3,Mund::N,입,paaq
4,Mund::N,입,qaneq
5,Zahn::N,이,kigut
6,Zunge::N,혀,oqaq
7,Lippe::N,입술,qarloq
8,Wange::N,뺨,ersaq
9,Gesicht::N,얼굴,kiinaq
10,Stirn::N,이마,qaaq
11,Haar::N,털,meqqoq
12,Schnurrbart::N,윗수몀,
13,Schnurrbart::N,코밑수염,
14,Bart::N,수엄,umik
15,Kinn::N,아래턱,talloq
16,Kiefer[Anatomie]::N,턱,alleroq
17,Kehle::N,인후,malaq
18,Hals::N,목,qungaseq
19,Genick::N,먹덜이,pukusuk
20,Kopf::N,머리,niaqoq
21,Rücken::N,든,qimerlut
22,Bauch::N,배,naaq
23,Nabel::N,배꼽,qalaseq
24,Busen::N,가슴속,iviangeq
25,Brust::N,가슴,iviangeq
26,Schulter::N,어깨,ersik
27,Schulter::N,어깨,assaqqoq
28,Arm::N,팔,taleq
29,Ellenbogen::N,팔쿰치,ikusik
30,Hand::N,손,assak
31,Handfläche::N,손바닥,itumak
32,Finger::N,속가락,inuak
33,Fingernagel::N,손톱,kikiak
34,Nagel[Anatomie]::N,손톱,kukik
35,Zeh::N,발가락,isigak
36,Fuß::N,발,
37,Ferse::N,발꿈치,kimmik
38,Knie::N,무릎,seeqqoq
39,Oberschenkel::N,허벅다리,uppat
40,Oberschenkel::N,허벅다리,quttoraq
41,Bein::N,다리,isigak
42,Körper::N,구간,timi
43,Haut::N,살갗,mattak
44,Blut::N,피,aak
45,Ader::N,정맥,taqaq
46,Sehne::N,현,ujalu
47,Sehne::N,현,ujaloq
48,Knochen::N,뼈,saanikut
49,Gehirn::N,뇌,qarasaq
50,Gehirn::N,뇌수,qarasaq
51,Herz::N,염통,uummat
52,Magen::N,위,aqajaroq
53,Leber::N,간,tinguk
54,Atem::N,기식,anerneq
55,Hunger::N,공복,kaanneq
56,Träne::N,눈물,qia
57,Träne::N,눈물,qiak
58,Geschmack::N,기호,qilanaartuut
59,Geruch::N,냄새,tipi
60,Geruch::N,냄새,tipik
61,Schlaf::N,수면,
62,Traum::N,쿰,sinnattoq
63,Traum::N,쿰,sinnattugaq
64,Himmel::N,하늘,qilak
65,Sonne::N,해,seqineq
66,Mond::N,달,qaammat
67,Stern::N,별,ulloriaq
68,Luft::N,동준,silaannaq
69,Luft::N,가스채,silaannaq
70,Wind::N,바람,anori
71,Wind::N,바람,anorsarik
72,Welle::N,물결,aalappaa
73,Wasser::N,물,imeq
74,Stein::N,돌,ujarak
75,Boden::N,바닥,nateq
76,Erde::N,흙,issoq
77,Staub::N,먼지,pujualanerit
78,Staub::N,먼지,pujoralanerit
79,Rauch::N,연기,iseq
80,Rauch::N,연기,pujoq
81,Funke::N,불티,illoorneq
82,Feuer::N,불,inneq
83,Licht::N,불,qaamaneq
84,Schatten::N,어스레함,tarraq
85,Wetter::N,기상,sila
86,Nebel::N,안개,pujoq
87,Wolke::N,구름,nuia
88,Regen::N,비,sialuk
89,Schnee::N,눈,aput
90,Eis::N,얼음,siku
91,Frost::N,혹한,issi
92,Frost::N,혹한,issik
93,Kälte::N,추위,issi
94,Kälte::N,차가움,issi
95,Hitze::N,고온,kianneq
96,Hitze::N,고온,kiassuseq
97,Hitze::N,더위,kianneq
98,Hitze::N,더위,kiassuseq
99,Regenbogen::N,무지개,neriusaaq
100,Donner::N,뇌명,kalleq
101,Strömung::N,유동,
102,Tropfen::N,물방울,kuseriarneq
103,Schaum::N,포말,qapuk
104,Schmutz::N,때,minguk
105,See::N,호수,taseq
106,Sumpf::N,습지,maqulluk
107,Moor::N,저습지,
108,Wiese::N,목초지,masarsuk
109,Wald::N,숲,
110,Hügel::N,언덕,qattuneq
111,Hügel::N,언덕,majuariaq
112,Hügel::N,언덕,majorajaaq
113,Hügel::N,언덕,qaqqannguaq
114,Anhöhe::N,언덕,
115,Berg::N,산,qaqqaq
116,Gipfel::N,졀졍,
117,Höhle::N,공동,qaarusuk
118,Abhang::N,몰매,ippik
119,Abhang::N,몰매,sivinganeq
120,Abhang::N,몰매,sivingajaaq
121,Abhang::N,몰매,kussangajaaq
122,Quelle::N,근원,
123,Bach::N,내,kuunnguaq
124,Fluss::N,강,kuuk
125,Ufer::N,강변,sissap sinaa
126,Ufer::N,바닷가,sissap sinaa
127,Küste::N,해변,sineriak
128,Küste::N,해변가,sineriak
129,Festland::N,본토,
130,Meer::N,바다,imaq
131,Bucht::N,협만,ikeq
132,Bucht::N,협만,kangerluk
133,Bucht::N,협만,kangerliumaneq
134,Insel::N,섬,qeqertaq
135,Blume::N,꽃,naasoq
136,Gras::N,풀,ivigaq
137,Wurzel::N,뿌리,niulutaq
138,Baum::N,나무,orpik
139,Stamm::N,대,kanaartaq
140,Rinde::N,나무껍질,ameraq
141,Ast::N,가지,avalequt
142,Zweig::N,가지,avalequt
143,Blatt::N,잎,pilutaq
144,Birke::N,자작나무,patitsit
145,Kiefer[Baum]::N,소나무,
146,Weide[Baum]::N,쉬양버들,palleq
