,Concept_ID,cs,cs
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,pusa,pusa
4,Zahn::N,zub,zub
5,Zunge::N,jazyk,jazyk
6,Lippe::N,ret,ret
7,Wange::N,tvář,tvář
8,Gesicht::N,obličej,obličej
9,Stirn::N,čelo,čelo
10,Haar::N,vlas,vlas
11,Haar::N,vlas,vlasy
12,Haar::N,vlasy,vlas
13,Haar::N,vlasy,vlasy
14,Schnurrbart::N,kníry,kníry
15,Bart::N,vousy,vousy
16,Kinn::N,brada,brada
17,Kiefer[Anatomie]::N,čelist,čelist
18,Kehle::N,hrdlo,hrdlo
19,Hals::N,krk,krk
20,Genick::N,týl,týl
21,Kopf::N,hlava,hlava
22,Rücken::N,záda,záda
23,Rücken::N,záda,hřbet
24,Rücken::N,hřbet,záda
25,Rücken::N,hřbet,hřbet
26,Bauch::N,břicho,břicho
27,Nabel::N,pupek,pupek
28,Busen::N,ňadra,ňadra
29,Brust::N,prsa,prsa
30,Schulter::N,plece,plece
31,Schulter::N,plece,rameno
32,Schulter::N,rameno,plece
33,Schulter::N,rameno,rameno
34,Arm::N,ruka,ruka
35,Ellenbogen::N,loket,loket
36,Hand::N,ruka,ruka
37,Handfläche::N,dlaň,dlaň
38,Finger::N,prst,prst
39,Fingernagel::N,nehet,nehet
40,Nagel[Anatomie]::N,nehet,nehet
41,Zeh::N,prst u nohy,prst u nohy
42,Fuß::N,noha,noha
43,Ferse::N,pata,pata
44,Knie::N,koleno,koleno
45,Oberschenkel::N,stehno,stehno
46,Bein::N,noha,noha
47,Körper::N,tělo,tělo
48,Haut::N,kůže,kůže
49,Blut::N,krev,krev
50,Ader::N,céva,céva
51,Sehne::N,šlacha,šlacha
52,Knochen::N,kost,kost
53,Gehirn::N,mozek,mozek
54,Herz::N,srdce,srdce
55,Magen::N,žaludek,žaludek
56,Leber::N,játra,játra
57,Atem::N,dech,dech
58,Hunger::N,hlad,hlad
59,Träne::N,slza,slza
60,Geschmack::N,vkus,vkus
61,Geruch::N,vůně,vůně
62,Geruch::N,vůně,zápach
63,Geruch::N,zápach,vůně
64,Geruch::N,zápach,zápach
65,Schlaf::N,spánek,spánek
66,Traum::N,sen,sen
67,Himmel::N,nebe,nebe
68,Sonne::N,slunce,slunce
69,Mond::N,měsíc,měsíc
70,Stern::N,hvězda,hvězda
71,Luft::N,vzduch,vzduch
72,Wind::N,vítr,vítr
73,Welle::N,vlna,vlna
74,Wasser::N,voda,voda
75,Stein::N,kámen,kámen
76,Boden::N,půda,půda
77,Erde::N,země,země
78,Staub::N,prach,prach
79,Rauch::N,dým,dým
80,Rauch::N,dým,kouř
81,Rauch::N,kouř,dým
82,Rauch::N,kouř,kouř
83,Funke::N,jiskra,jiskra
84,Feuer::N,oheň,oheň
85,Licht::N,světlo,světlo
86,Schatten::N,stín,stín
87,Wetter::N,počasí,počasí
88,Nebel::N,mlha,mlha
89,Wolke::N,mrak,mrak
90,Wolke::N,mrak,oblak
91,Wolke::N,oblak,mrak
92,Wolke::N,oblak,oblak
93,Regen::N,déšť,déšť
94,Schnee::N,sníh,sníh
95,Eis::N,led,led
96,Frost::N,mráz,mráz
97,Kälte::N,chlad,chlad
98,Hitze::N,horko,horko
99,Raureif::N,jinovatka,jinovatka
100,Regenbogen::N,duha,duha
101,Donner::N,hrom,hrom
102,Strömung::N,proudění,proudění
103,Tropfen::N,kapka,kapka
104,Schaum::N,pěna,pěna
105,Schmutz::N,špína,špína
106,See::N,jezero,jezero
107,Sumpf::N,močál,močál
108,Sumpf::N,močál,bažina
109,Sumpf::N,bažina,močál
110,Sumpf::N,bažina,bažina
111,Moor::N,bažina,bažina
112,Moor::N,bažina,slatina
113,Moor::N,slatina,bažina
114,Moor::N,slatina,slatina
115,Wiese::N,louka,louka
116,Wald::N,les,les
117,Hügel::N,kopec,kopec
118,Anhöhe::N,pahorek,pahorek
119,Berg::N,hora,hora
120,Gipfel::N,vrchol,vrchol
121,Höhle::N,jeskyně,jeskyně
122,Abhang::N,svah,svah
123,Abhang::N,svah,stráň
124,Abhang::N,stráň,svah
125,Abhang::N,stráň,stráň
126,Quelle::N,pramen,pramen
127,Bach::N,potok,potok
128,Fluss::N,řeka,řeka
129,Ufer::N,břeh,břeh
130,Küste::N,pobřeží,pobřeží
131,Festland::N,souš,souš
132,Festland::N,souš,pevnina
133,Festland::N,pevnina,souš
134,Festland::N,pevnina,pevnina
135,Meer::N,moře,moře
136,Bucht::N,záliv,záliv
137,Bucht::N,záliv,zátoka
138,Bucht::N,zátoka,záliv
139,Bucht::N,zátoka,zátoka
140,Insel::N,ostrov,ostrov
141,Blume::N,květina,květina
142,Gras::N,tráva,tráva
143,Wurzel::N,kořen,kořen
144,Baum::N,strom,strom
145,Stamm::N,kmen,kmen
146,Rinde::N,kůra,kůra
147,Ast::N,větev,větev
148,Zweig::N,větev,větev
149,Blatt::N,lupen,lupen
150,Birke::N,bříza,bříza
151,Kiefer[Baum]::N,sosna,sosna
152,Kiefer[Baum]::N,sosna,borovice
153,Kiefer[Baum]::N,borovice,sosna
154,Kiefer[Baum]::N,borovice,borovice
155,Weide[Baum]::N,vrba,vrba
156,Tanne::N,jedle,jedle
157,Horn::N,roh,roh
158,Feder::N,pero,pero
159,Fell::N,srst,srst
160,Flügel::N,křídlo,křídlo
161,Klaue::N,dráp,dráp
162,Klaue::N,dráp,pazneht
163,Klaue::N,pazneht,dráp
164,Klaue::N,pazneht,pazneht
165,Kralle::N,dráp,dráp
166,Schwanz::N,ocas,ocas
167,Ei::N,vejce,vejce
168,Nest::N,hnízdo,hnízdo
169,Bau::N,nora,nora
170,Tier::N,zvíře,zvíře
171,Herde::N,stádo,stádo
172,Kuh::N,kráva,kráva
173,Bulle::N,býk,býk
174,Pferd::N,kůň,kůň
175,Schaf::N,ovce,ovce
176,Schwein::N,vepř,vepř
177,Schwein::N,vepř,prase
178,Schwein::N,prase,vepř
179,Schwein::N,prase,prase
180,Hund::N,pes,pes
181,Katze::N,kočka,kočka
182,Bär::N,medvěd,medvěd
183,Eichhörnchen::N,veverka,veverka
184,Elch::N,los,los
185,Fuchs::N,liška,liška
186,Hase::N,zajíc,zajíc
187,Maus::N,myš,myš
188,Wolf::N,vlk,vlk
189,Vogel::N,pták,pták
190,Schwarm::N,roj,roj
191,Schwarm::N,roj,hejno
192,Schwarm::N,hejno,roj
193,Schwarm::N,hejno,hejno
194,Huhn::N,kuře,kuře
195,Huhn::N,kuře,slepice
196,Huhn::N,slepice,kuře
197,Huhn::N,slepice,slepice
198,Hahn::N,kohout,kohout
199,Gans::N,husa,husa
200,Adler::N,orel,orel
