,Concept_ID,es,lbe
0,Auge::N,ojo,я
1,Ohr::N,oreja,вичӏи
2,Nase::N,nariz,май
3,Mund::N,boca,кьацӏ
4,Zahn::N,diente,ккарччи
5,Zunge::N,lengua,маз
6,Lippe::N,labio,мурччи
7,Wange::N,mejilla,чӏав
8,Gesicht::N,cara,лажин
9,Stirn::N,frente,ненттабакӏ
10,Haar::N,cabello,чӏара
11,Schnurrbart::N,bigote,ссирссилтту
12,Bart::N,barba,чӏири
13,Kinn::N,barbilla,лунттубакӏ
14,Kiefer[Anatomie]::N,mandíbula,ххинчулул
15,Kehle::N,garganta,кьакьари
16,Hals::N,cuello,ссурссу
17,Genick::N,nuca,махъабакӏ
18,Genick::N,cerviz,махъабакӏ
19,Kopf::N,cabeza,бакӏ
20,Rücken::N,espalda,ттиликӏ
21,Bauch::N,vientre,лякьа
22,Nabel::N,ombligo,цӏумуккутӏ
23,Busen::N,pecho,ккукку
24,Brust::N,pecho,хъазам
25,Schulter::N,hombro,хъачӏ
26,Arm::N,brazo,ка
27,Ellenbogen::N,codo,ссюрхъ
28,Hand::N,mano,бартка
29,Handfläche::N,palma,хъат
30,Handfläche::N,palma,битӏянхъ
31,Finger::N,dedo,кӏисса
32,Fingernagel::N,uña,михь
33,Nagel[Anatomie]::N,uña,михь
34,Zeh::N,dedo del pie,кӏисса
35,Fuß::N,pie,чӏанччан
36,Ferse::N,talón,никъа
37,Knie::N,rodilla,ник
38,Oberschenkel::N,muslo,жира
39,Bein::N,pierna,ччан
40,Körper::N,cuerpo,чурх
41,Haut::N,piel,бурчу
42,Blut::N,sangre,оь
43,Ader::N,vena,тунну
44,Sehne::N,tendón,хьхьа
45,Knochen::N,hueso,ттаркӏ
46,Gehirn::N,cerebro,ня
47,Gehirn::N,encéfalo,ня
48,Herz::N,corazón,дакӏ
49,Herz::N,corazón,къюкӏ
50,Magen::N,estómago,лякьа
51,Leber::N,hígado,
52,Atem::N,aliento,ссихӏ ласаву
53,Atem::N,aliento,ссихӏ бигьаву
54,Hunger::N,hambre,ккаши
55,Träne::N,lágrima,макь
56,Geschmack::N,gusto,тӏин
57,Geschmack::N,gusto,тӏааьн
58,Geruch::N,olor,кьанкь
59,Schlaf::N,sueño,шану
60,Traum::N,sueño,макӏру
61,Traum::N,ensueño,макӏру
62,Himmel::N,cielo,ссав
63,Sonne::N,sol,баргъ
64,Mond::N,luna,барз
65,Stern::N,estrella,цӏуку
66,Luft::N,aire,гьава
67,Wind::N,viento,марч
68,Welle::N,ola,щатӏи
69,Welle::N,onda,щатӏи
70,Wasser::N,agua,щин
71,Stein::N,piedra,чару
72,Boden::N,suelo,аьрщи
73,Erde::N,tierra,аьрщи
74,Staub::N,polvo,ххит
75,Rauch::N,humo,пуркӏу
76,Funke::N,chispa,пиягь
77,Feuer::N,fuego,цӏу
78,Licht::N,luz,чани
79,Schatten::N,sombra,ххют
80,Wetter::N,tiempo,гьава
81,Nebel::N,niebla,шархь ттурлу
82,Wolke::N,nube,ттурлу
83,Regen::N,lluvia,гъарал
84,Schnee::N,nieve,марххала
85,Eis::N,hielo,микӏ
86,Frost::N,helada,дяркъу
87,Frost::N,helada,замгьар
88,Kälte::N,frío,дяркъу
89,Hitze::N,calor,кӏиришиву
90,Raureif::N,escarcha,сил
91,Raureif::N,escarcha,бурса
92,Regenbogen::N,arco iris,ссурул ккуртта
93,Donner::N,trueno,къув
94,Strömung::N,corriente,экьинанаву
95,Tropfen::N,gota,кӏунтӏ
96,Schaum::N,espuma,хьама
97,Schmutz::N,suciedad,кьяркьи
98,See::N,lago,бяр
