,Concept_ID,hy,ga
0,Auge::N,աչք,súil
1,Ohr::N,ականջ,cluas
2,Nase::N,քիթ,soc
3,Mund::N,բերան,béal
4,Zahn::N,ատամ,fiacail
5,Zunge::N,լեզու,teanga
6,Lippe::N,շրթունք,liopa
7,Wange::N,այտ,grua
8,Wange::N,այտ,leiceann
9,Wange::N,թուշ,grua
10,Wange::N,թուշ,leiceann
11,Gesicht::N,դեմք,éadan
12,Gesicht::N,դեմք,aghaidh
13,Stirn::N,ճակատ,baithis
14,Stirn::N,ճակատ,clár éadain
15,Haar::N,մազ,gruaig
16,Schnurrbart::N,բեղ,croiméal
17,Bart::N,մորուք,féasóg
18,Kinn::N,կզակ,smig
19,Kiefer[Anatomie]::N,ծնոտ,giall
20,Kehle::N,կոկորդ,scornach
21,Hals::N,վիզ,muinéal
22,Hals::N,պարանոց,muinéal
23,Genick::N,ծոծրակ,baic
24,Kopf::N,գլուխ,ceann
25,Rücken::N,մեջք,droim
26,Bauch::N,փոր,bolg
27,Bauch::N,որովայն,bolg
28,Nabel::N,պորտ,imleacán
29,Busen::N,ծոց,cíoch
30,Brust::N,կուրծք,brollach
31,Schulter::N,ուս,gualainn
32,Arm::N,թեւ,lámh
33,Arm::N,բազուկ,lámh
34,Ellenbogen::N,արմունկ,uillinn
35,Hand::N,ձեռք,lámh
36,Handfläche::N,ափ,bos
37,Finger::N,մատ,méar
38,Fingernagel::N,եղունգ,ionga
39,Nagel[Anatomie]::N,եղունգ,ionga
40,Zeh::N,ոտքի մատ,ladhar
41,Fuß::N,ոտք,cos
42,Fuß::N,ոտք,troigh
43,Ferse::N,գարշապար,sáil
44,Knie::N,ծունկ,glúin
45,Oberschenkel::N,ազդր,ceathrú
46,Bein::N,ոտք,cos
47,Körper::N,մարմին,corp
48,Körper::N,մարմին,colainn
49,Haut::N,մաշկ,cneas
50,Haut::N,մաշկ,craiceann
51,Blut::N,արյուն,fuil
52,Ader::N,երակ,
53,Sehne::N,ջիղ,teannán
54,Sehne::N,ջիղ,féitheog
55,Sehne::N,ձգտան,teannán
56,Sehne::N,ձգտան,féitheog
57,Knochen::N,ոսկոր,cnámh
58,Gehirn::N,խելք,inchinn
59,Herz::N,սիրտ,croí
60,Magen::N,ստամոքս,bolg
61,Magen::N,ստամոքս,goile
62,Leber::N,լյարդ,ae
63,Atem::N,շունչ,anáil
64,Hunger::N,քաղց,ocras
65,Träne::N,արտասուք,deoir
66,Geschmack::N,համ,blas
67,Geschmack::N,բուրմունք,blas
68,Geruch::N,հոտ,boladh
69,Geruch::N,բուրում,boladh
70,Schlaf::N,քուն,suan
71,Schlaf::N,քուն,codladh
72,Traum::N,երազ,taibhreamh
73,Himmel::N,երկինք,spéir
74,Sonne::N,արեւ,grian
75,Mond::N,լուսին,ré
76,Mond::N,լուսին,gealach
77,Stern::N,աստղ,rinn
78,Stern::N,աստղ,réalta
79,Luft::N,օդ,aer
80,Wind::N,քամի,gaoth
81,Welle::N,ալիք,tonn
82,Wasser::N,ջուր,uisce
83,Stein::N,քար,cloch
84,Boden::N,գետին,talamh
85,Erde::N,հող,cré
86,Erde::N,հող,ithir
87,Staub::N,փոշի,dusta
88,Staub::N,փոշի,deannach
89,Rauch::N,ծուխ,toit
90,Rauch::N,ծուխ,deatach
91,Funke::N,կայծ,drithle
92,Feuer::N,կրակ,tine
93,Feuer::N,հրդեհ,tine
