,Concept_ID,mhr,mn
0,Auge::N,шинча́,нүд
1,Ohr::N,пы́лыш,чих
2,Nase::N,нер,хамар
3,Mund::N,умша́,ам
4,Zahn::N,пӱй,шүд
5,Zunge::N,йы́лме,хэл
6,Lippe::N,тӱ́рвӧ,уруул
7,Wange::N,шӱ́ргӧ,хацар
8,Gesicht::N,чури́й,царай
9,Gesicht::N,чури́й,нүүр
10,Stirn::N,саҥга́,дух
11,Haar::N,ӱп,үс
12,Schnurrbart::N,ӧ́рыш,дээд сахал
13,Schnurrbart::N,ӧ́рыш,живэр сахал
14,Bart::N,понда́ш,сахал
15,Kinn::N,оҥыла́ш,эрүү
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,эрүү
17,Kiefer[Anatomie]::N,пӱйората́,эрүү
18,Kehle::N,лога́р,хоолой
19,Hals::N,шӱй,хүзүү
20,Genick::N,шӱйло́дыш,шил
21,Genick::N,шӱйло́дыш,хүзүү
22,Kopf::N,вуй,толгой
23,Rücken::N,туп,ар
24,Rücken::N,туп,нуруу
25,Bauch::N,мӱ́шкыр,хэвлий
26,Bauch::N,мӱ́шкыр,гэдэс
27,Nabel::N,кы́лымде,хүйс
28,Busen::N,чы́зе,хөх
29,Brust::N,оҥ,цээж
30,Schulter::N,ва́че,мөр
31,Schulter::N,ва́че,бугалга
32,Arm::N,кид,гар
33,Ellenbogen::N,кынерву́й,тохой
34,Hand::N,кид,гар
35,Hand::N,кид,алга
36,Hand::N,копа́,гар
37,Hand::N,копа́,алга
38,Handfläche::N,со́во,алга
39,Finger::N,парня́,хуруу
40,Fingernagel::N,кидкӱ́ч,хурууны хумс
41,Fingernagel::N,парнягӱ́ч,хурууны хумс
42,Nagel[Anatomie]::N,кӱч,хумс
43,Zeh::N,йолварня́,хуруу
44,Fuß::N,йол,хөл
45,Fuß::N,йолкопа́,хөл
46,Ferse::N,тага́н,өсгий
47,Knie::N,пулву́й,өвдөг
48,Oberschenkel::N,э́рде,гуя
49,Bein::N,йол,хөл
50,Körper::N,кап,бие
51,Haut::N,кова́ште,арьс
52,Blut::N,вӱр,цус
53,Ader::N,шӧн,судас
54,Sehne::N,шӧн,бүлх
55,Sehne::N,шӧн,шандас
56,Sehne::N,кӱсе́н,бүлх
57,Sehne::N,кӱсе́н,шандас
58,Knochen::N,лу,яс
59,Gehirn::N,вем,тархи
60,Gehirn::N,вуйве́м,тархи
61,Herz::N,шӱм,зүрх
62,Magen::N,пага́р,ходоод
63,Leber::N,мокш,элэг
64,Atem::N,шӱ́лыш,амьсгаа
65,Hunger::N,шужыма́ш,өлсгөлөн
66,Träne::N,шинчавӱ́д,нулимс
67,Geschmack::N,там,амт
68,Geruch::N,пуш,үнэр
69,Schlaf::N,о́мо,нойр
70,Traum::N,йӱдо́мо,зүүд
71,Himmel::N,кава́,тэнгэр
72,Himmel::N,кава́,огторгуй
73,Sonne::N,ке́че,нар
74,Mond::N,ты́лзе,сар
75,Stern::N,шӱ́дыр,од
76,Luft::N,юж,агаар
77,Wind::N,марде́ж,салхи
78,Welle::N,то́лкын,долгио
79,Welle::N,то́лкын,давалгаа
80,Wasser::N,вӱд,ус
81,Stein::N,кӱ,чулуу
82,Boden::N,рок,хөрс
83,Erde::N,мла́нде,газар
84,Erde::N,мла́нде,шороо
85,Staub::N,пура́к,тоос
86,Rauch::N,шикш,утаа
87,Funke::N,сеске́м,оч
88,Funke::N,тулйы́п,оч
89,Feuer::N,тул,гал
90,Licht::N,со́то,гэрэл
91,Licht::N,со́то,гэгээ
92,Schatten::N,ӱ́мыл,сүүдэр
93,Wetter::N,иге́че,тэнгэр
94,Wetter::N,иге́че,цаг уур
95,Nebel::N,тӱтыра́,будан
96,Wolke::N,пыл,үүл
97,Regen::N,йӱр,бороо
98,Schnee::N,лум,цас
99,Eis::N,ий,мөс
100,Frost::N,чатлама́,хүйт
101,Kälte::N,йӱ́штӧ,хүйт
102,Hitze::N,шо́кшо,халуун
103,Raureif::N,пӧрш,цан
104,Raureif::N,пӧрш,хяруу
105,Raureif::N,по́кшым,цан
106,Raureif::N,по́кшым,хяруу
107,Regenbogen::N,шонанпы́л,солонго
108,Donner::N,кӱ́дырчӧ,тэнгэрийн дуу
109,Strömung::N,йо́гын,урсгал
