,Concept_ID,os,tt
0,Auge::N,цӕст,күз
1,Ohr::N,хъус,колак
2,Nase::N,фындз,борын
3,Mund::N,дзых,авыз
4,Mund::N,дзых,тамак
5,Zahn::N,дӕндаг,теш
6,Zunge::N,ӕвзаг,тел
7,Lippe::N,был,ирен
8,Wange::N,рус,яңак
9,Wange::N,уадул,яңак
10,Wange::N,ӕхсӕрфарс,яңак
11,Gesicht::N,цӕсгом,йөз
12,Stirn::N,ных,маңгай
13,Haar::N,хил,чәч
14,Schnurrbart::N,рихи,мыек
15,Bart::N,зачъе,сакал
16,Kinn::N,роцъо,ияк
17,Kiefer[Anatomie]::N,ӕфсӕр,казналык
18,Kehle::N,хъуыр,тамак
19,Hals::N,къубал,бугаз
20,Genick::N,къӕбут,җилкә
21,Kopf::N,сӕр,баш
22,Rücken::N,фӕсонтӕ,сырт
23,Bauch::N,гуыбын,корсак
24,Nabel::N,бикъ,кендек
25,Busen::N,дзидзи,түш
26,Brust::N,риу,имчәк
27,Brust::N,риу,күкрәк
28,Schulter::N,уӕхск,иңбаш
29,Schulter::N,уӕхск,кулбаш
30,Arm::N,цонг,кул
31,Ellenbogen::N,рæмбын,терсәк
32,Hand::N,къух,кул
33,Handfläche::N,армытъӕпӕн,уч
34,Finger::N,ӕнруылдз,бармак
35,Fingernagel::N,ных,тырнак
36,Nagel[Anatomie]::N,ных,тырнак
37,Zeh::N,къух,бармак
38,Fuß::N,фад,табан
39,Ferse::N,зӕвӕт,үкчә
40,Knie::N,уӕраг,тез
41,Oberschenkel::N,агъд,бот
42,Bein::N,зӕнг,аяк
43,Körper::N,буар,тән
44,Körper::N,буар,җисем
45,Haut::N,царм,тире
46,Blut::N,туг,кан
47,Ader::N,дадзин,тамыр
48,Ader::N,тугдадзин,тамыр
49,Sehne::N,хъиутæ,сеңер
50,Sehne::N,нуар,сеңер
51,Knochen::N,стӕг,сөяк
52,Gehirn::N,магъз,ми
53,Herz::N,зӕрдӕ,йөрәк
