,Concept_ID,sl,fa
0,Auge::N,okó,چشم
1,Ohr::N,uhó,گوش
2,Nase::N,nós,بینی
3,Mund::N,ústa,دهان
4,Zahn::N,zób,دندان
5,Zunge::N,jêzik,زبان
6,Lippe::N,ústnica,لب
7,Wange::N,líce,لپ
8,Gesicht::N,oblíčje,رو
9,Gesicht::N,oblíčje,چهره
10,Stirn::N,čêlo,پیشانی
11,Haar::N,lás,مو
12,Schnurrbart::N,bŕki,سبیل
13,Bart::N,bráda,ریش
14,Kinn::N,bráda,چانه
15,Kiefer[Anatomie]::N,čeljúst,فک
16,Kiefer[Anatomie]::N,čeljúst,آرواره
17,Kehle::N,gŕlo,حلق
18,Hals::N,vrát,گردن
19,Genick::N,zatílnik,پشت گردن
20,Kopf::N,gláva,سر
21,Kopf::N,gláva,کله
22,Rücken::N,hrbèt,پشت
23,Bauch::N,trébuh,شکم
24,Nabel::N,pópek,ناف
25,Busen::N,nédrja,پستان
26,Brust::N,pŕsi,سینه
27,Schulter::N,ráma,دوش
28,Schulter::N,ráma,شانه
29,Schulter::N,plêče,دوش
30,Schulter::N,plêče,شانه
31,Arm::N,rôka,بازو
32,Ellenbogen::N,komólec,آرنج
33,Hand::N,rôka,دست
34,Handfläche::N,dlán,کف دست
35,Finger::N,pŕst,انگشت
36,Fingernagel::N,nóht na rôki,ناخن دست
37,Nagel[Anatomie]::N,nóht,ناخن
38,Zeh::N,pŕst na nôgi,انگشت پا
39,Fuß::N,nôga,پا
40,Ferse::N,pêta,پاشنه
41,Knie::N,koléno,زانو
42,Oberschenkel::N,stêgno,ران
43,Bein::N,nôga,پا
44,Bein::N,nôga,لنگ
45,Körper::N,teló,تن
46,Körper::N,teló,بدن
47,Haut::N,kóža,پوست
48,Blut::N,krí,خون
49,Ader::N,žíla,رگ
50,Sehne::N,kíta,زردپی
51,Knochen::N,kóst,استخوان
52,Gehirn::N,možgáni,مخ
53,Gehirn::N,možgáni,مغز
54,Herz::N,srcé,دل
55,Herz::N,srcé,قلب
56,Magen::N,želódec,معده
57,Leber::N,jétra,کبد
58,Atem::N,díh,نفس
59,Hunger::N,glád,گرسنگی
60,Träne::N,sólza,اشک
61,Geschmack::N,okús,مزه
62,Geruch::N,vónj,بو
63,Schlaf::N,sèn,خواب
64,Schlaf::N,spánec,خواب
65,Traum::N,sánje,رؤیا
66,Himmel::N,nebó,فلک
67,Himmel::N,nebó,آسمان
68,Sonne::N,sónce,آفتاب
69,Sonne::N,sónce,خورشید
70,Mond::N,lúna,ماه
71,Mond::N,mésec,ماه
72,Stern::N,zvézda,ستاره
73,Luft::N,zràk,هوا
74,Wind::N,véter,باد
75,Welle::N,vál,موج
76,Wasser::N,vôda,آب
77,Stein::N,kámen,سنگ
78,Boden::N,tlà,زمین
79,Erde::N,pŕst,خاک
80,Erde::N,pŕst,زمین
81,Erde::N,zêmlja,خاک
82,Erde::N,zêmlja,زمین
83,Staub::N,práh,گرد
84,Staub::N,práh,غبار
85,Rauch::N,dìm,دود
86,Funke::N,ískra,جرقه
87,Feuer::N,ôgenj,آتش
88,Licht::N,lúč,نور
89,Licht::N,lúč,روشنی
90,Schatten::N,sénca,سایه
91,Wetter::N,vrême,هوا
92,Nebel::N,meglà,مه
93,Wolke::N,oblák,ابر
94,Regen::N,dèž,باران
95,Schnee::N,snég,برف
96,Eis::N,léd,یخ
97,Frost::N,zmrzál,یخبندان
98,Kälte::N,mràz,سرما
99,Hitze::N,pripéka,گرما
100,Hitze::N,pripéka,حرارت
101,Raureif::N,ívje,برف ریزه
102,Raureif::N,slána,برف ریزه
103,Regenbogen::N,mávrica,رنگین‌کمان
104,Donner::N,gròm,رعد
105,Strömung::N,strúja,جریان
106,Tropfen::N,káplja,قطره
107,Schaum::N,péna,کف
108,Schmutz::N,nesnága,گل
109,Schmutz::N,nesnága,کثافت
110,See::N,jézero,دریاچه
111,Sumpf::N,močvírje,مرداب
112,Sumpf::N,močvírje,باتلاق
113,Moor::N,bárje,باتلاق
114,Wiese::N,trávnik,چمن
115,Wald::N,lés,جنگل
116,Wald::N,gòzd,جنگل
117,Hügel::N,brég,تل
118,Hügel::N,brég,تپه
119,Hügel::N,goríca,تل
120,Hügel::N,goríca,تپه
121,Anhöhe::N,gríč,بلندی
122,Anhöhe::N,višína,بلندی
123,Berg::N,gôra,کوه
124,Berg::N,planína,کوه
125,Gipfel::N,vŕh,قله
126,Höhle::N,jáma,غار
127,Höhle::N,votlína,غار
128,Abhang::N,pobóčje,سرازیری
129,Quelle::N,izvír,چشمه
130,Bach::N,pôtok,نهر
131,Fluss::N,réka,رود
132,Ufer::N,brég,ساحل
133,Ufer::N,brég,کرانه
