,Concept_ID,kl,en
0,Auge::N,isi,eye
1,Ohr::N,siut,ear
2,Mund::N,paaq,mouth
3,Mund::N,qaneq,mouth
4,Zahn::N,kigut,tooth
5,Zunge::N,oqaq,tongue
6,Lippe::N,qarloq,lip
7,Wange::N,ersaq,cheek
8,Gesicht::N,kiinaq,face
9,Stirn::N,qaaq,forehead
10,Haar::N,meqqoq,hair
11,Bart::N,umik,beard
12,Kinn::N,talloq,chin
13,Kiefer[Anatomie]::N,alleroq,jaw
14,Kehle::N,malaq,throat
15,Hals::N,qungaseq,neck
16,Genick::N,pukusuk,nape
17,Kopf::N,niaqoq,head
18,Rücken::N,qimerlut,back
19,Rücken::N,qimerlut,spine
20,Bauch::N,naaq,belly
21,Nabel::N,qalaseq,navel
22,Busen::N,iviangeq,bosom
23,Brust::N,iviangeq,chest
24,Brust::N,iviangeq,breast
25,Schulter::N,ersik,shoulder
26,Schulter::N,assaqqoq,shoulder
27,Arm::N,taleq,arm
28,Ellenbogen::N,ikusik,elbow
29,Hand::N,assak,hand
30,Handfläche::N,itumak,palm
31,Finger::N,inuak,finger
32,Fingernagel::N,kikiak,fingernail
33,Nagel[Anatomie]::N,kukik,nail
34,Zeh::N,isigak,toe
35,Ferse::N,kimmik,heel
36,Knie::N,seeqqoq,knee
37,Oberschenkel::N,uppat,thigh
38,Oberschenkel::N,quttoraq,thigh
39,Bein::N,isigak,leg
40,Körper::N,timi,body
41,Haut::N,mattak,skin
42,Blut::N,aak,blood
43,Ader::N,taqaq,vein
44,Sehne::N,ujalu,sinew
45,Sehne::N,ujaloq,sinew
46,Knochen::N,saanikut,bone
47,Gehirn::N,qarasaq,brain
48,Herz::N,uummat,heart
49,Magen::N,aqajaroq,stomach
50,Leber::N,tinguk,liver
51,Atem::N,anerneq,breath
52,Hunger::N,kaanneq,hunger
53,Träne::N,qia,tear
54,Träne::N,qiak,tear
55,Geschmack::N,qilanaartuut,flavour
56,Geschmack::N,qilanaartuut,flavor
57,Geruch::N,tipi,odour
58,Geruch::N,tipi,odor
59,Geruch::N,tipik,odour
60,Geruch::N,tipik,odor
61,Traum::N,sinnattoq,dream
62,Traum::N,sinnattugaq,dream
63,Himmel::N,qilak,sky
64,Sonne::N,seqineq,sun
65,Mond::N,qaammat,moon
66,Stern::N,ulloriaq,star
67,Luft::N,silaannaq,air
68,Wind::N,anori,wind
69,Wind::N,anorsarik,wind
70,Welle::N,aalappaa,wave
71,Wasser::N,imeq,water
72,Stein::N,ujarak,stone
73,Boden::N,nateq,soil
74,Boden::N,nateq,ground
75,Erde::N,issoq,earth
76,Staub::N,pujualanerit,dust
77,Staub::N,pujoralanerit,dust
78,Rauch::N,iseq,smoke
79,Rauch::N,pujoq,smoke
80,Funke::N,illoorneq,spark
81,Feuer::N,inneq,fire
82,Licht::N,qaamaneq,light
83,Schatten::N,tarraq,shadow
84,Wetter::N,sila,weather
85,Nebel::N,pujoq,fog
86,Wolke::N,nuia,cloud
87,Regen::N,sialuk,rain
88,Schnee::N,aput,snow
89,Eis::N,siku,ice
90,Frost::N,issi,frost
91,Frost::N,issik,frost
92,Kälte::N,issi,chill
93,Hitze::N,kianneq,heat
94,Hitze::N,kiassuseq,heat
95,Raureif::N,kaneq,hoarfrost
96,Regenbogen::N,neriusaaq,rainbow
97,Donner::N,kalleq,thunder
98,Tropfen::N,kuseriarneq,drop
99,Schaum::N,qapuk,foam
100,Schmutz::N,minguk,dirt
101,See::N,taseq,lake
102,Sumpf::N,maqulluk,swamp
103,Wiese::N,masarsuk,meadow
104,Hügel::N,qattuneq,hill
105,Hügel::N,majuariaq,hill
106,Hügel::N,majorajaaq,hill
107,Hügel::N,qaqqannguaq,hill
108,Berg::N,qaqqaq,mountain
109,Höhle::N,qaarusuk,cave
110,Abhang::N,ippik,slope
111,Abhang::N,sivinganeq,slope
112,Abhang::N,sivingajaaq,slope
113,Abhang::N,kussangajaaq,slope
114,Bach::N,kuunnguaq,brook
115,Fluss::N,kuuk,river
116,Ufer::N,sissap sinaa,shore
117,Küste::N,sineriak,coast
118,Meer::N,imaq,sea
119,Bucht::N,ikeq,cove
120,Bucht::N,kangerluk,cove
121,Bucht::N,kangerliumaneq,cove
122,Insel::N,qeqertaq,island
123,Blume::N,naasoq,flower
124,Gras::N,ivigaq,grass
125,Wurzel::N,niulutaq,root
126,Baum::N,orpik,tree
127,Stamm::N,kanaartaq,trunk
128,Rinde::N,ameraq,bark
129,Ast::N,avalequt,limb
130,Zweig::N,avalequt,branch
131,Blatt::N,pilutaq,leaf
132,Birke::N,patitsit,birch
133,Weide[Baum]::N,palleq,willow
134,Tanne::N,orsuerneq,fir
135,Horn::N,nassuk,horn
136,Feder::N,suluk,feather
137,Fell::N,ameq,fur
138,Flügel::N,suluk,wing
139,Flügel::N,isaroq,wing
140,Klaue::N,kukik,claw
141,Kralle::N,kukik,claw
142,Schwanz::N,pamioq,tail
143,Schwanz::N,paperuusaq,tail
144,Ei::N,mannik,egg
145,Nest::N,ullut,nest
146,Bau::N,ini,lair
147,Tier::N,uumasoq,animal
148,Herde::N,unguukkat,flock
149,Kuh::N,ussik,cow
150,Bulle::N,angukulak,bull
151,Bulle::N,anguteralak,bull
152,Bulle::N,angutikulooq,bull
153,Schaf::N,sava,sheep
154,Schwein::N,puuluki,pig
155,Hund::N,qimmeq,dog
156,Katze::N,puisaaq,cat
157,Bär::N,allaq,bear
158,Eichhörnchen::N,sissinnguaq,squirrel
159,Fuchs::N,terianniaq,fox
160,Hase::N,ukaleq,hare
161,Maus::N,teriannguaq,mouse
162,Wolf::N,amaroq,wolf
163,Vogel::N,timmiaq,bird
164,Huhn::N,kukkukooq,chicken
165,Huhn::N,marloraaqaaq,chicken
166,Hahn::N,kiasiusaq,cock
167,Gans::N,nerleq,goose
168,Adler::N,nattoralik,eagle
169,Eule::N,uppik,owl
170,Kranich::N,qorlorfik,crane
171,Krähe::N,tuluatsiaq,crow
172,Kuckuck::N,kukkooq,cuckoo
173,Schwan::N,qussuk,swan
174,Fisch::N,aalisagaq,fish
175,Schlange[Tier]::N,pulateriarsuk,snake
176,Schlange[Tier]::N,pulateriaarsuk,snake
177,Spinne::N,aasiaq,spider
178,Spinne::N,nissavaarsuk,spider
179,Ameise::N,uniaaluk,ant
180,Laus::N,kumak,louse
181,Mücke::N,ippernaq,midge
182,Fliege::N,ippernaq,fly
183,Schmetterling::N,paluaq,butterfly
184,Schmetterling::N,pakkaluaq,butterfly
185,Schmetterling::N,utsuppaluaq,butterfly
186,Schmetterling::N,taqaleqisaaq,butterfly
187,Beere::N,paarmaq,berry
188,Beere::N,paarngaq,berry
189,Apfel::N,iipili,apple
190,Pilz::N,anngiusaq,mushroom
191,Zwiebel::N,uanitsoq,onion
192,Saat::N,naatsiiassaq,seed
193,Korn::N,maannineq,grain
194,Schale::N,niutsivik,husk
195,Schale::N,ilulissaq qaartussaq,husk
196,Grube::N,itersaq,pit
197,Falle::N,pualavoq,trap
198,Schlinge::N,orseq,noose
199,Schlinge::N,norloq,noose
200,Spur::N,tumaa,track
201,Asche::N,arsat,ashes
202,Dreck::N,minguk,filth
203,Eisen::N,savimineq,iron
204,Eisen::N,saffiugassaq,iron
205,Gold::N,kuulti,gold
206,Silber::N,siilviuvoq,silver
207,Kohle::N,aamarsuit aamaruutissat,coal
208,Glas::N,igalaaq,glass
209,Glas::N,imertarfik,glass
210,Glas::N,igalaamineq,glass
211,Lehm::N,marraq,clay
212,Sand::N,sioqqat,sand
213,Mensch::N,inuk,human
214,Mensch::N,silamiu,human
215,Mann::N,angut,man
216,Frau::N,arnaq,woman
217,Kind::N,meeraq,child
218,Junge::N,nukappiaraq,boy
219,Mädchen::N,arnannguaq,girl
220,Familie::N,ilaqutakka,family
221,Familie::N,ilaqutariit,family
222,Großvater::N,aatak,grandfather
223,Großmutter::N,aanaq,grandmother
224,Eltern::N,angajoqqaat,parents
225,Vater::N,ataata,father
226,Vater::N,ataataq,father
227,Mutter::N,anaana,mother
228,Sohn::N,erneq,son
229,Tochter::N,panik,daughter
230,Bruder::N,ani,brother
231,Bruder::N,aqqaluk,brother
232,Bruder::N,qatanngut,brother
233,Schwester::N,naja,sister
234,Schwester::N,aleqa,sister
235,Schwester::N,qatanngut,sister
236,Onkel::N,akkak,uncle
237,Tante::N,aja,aunt
238,Tante::N,ajak,aunt
239,Tante::N,atsak,aunt
240,Ehemann::N,ui,husband
241,Ehefrau::N,nuliaq,wife
242,Freude::N,tipaatsussuseq,joy
243,Gelächter::N,illaq,laughter
244,Glück::N,usornaat,happiness
245,Glück::N,usornarsuseq,happiness
