,Concept_ID,is,br
188,Fliege::N,fluga,kelienenn
189,Schmetterling::N,fiðrildi,balafenn
190,Beere::N,ber,hog
191,Apfel::N,epli,aval
192,Pilz::N,sveppur,kabell-touseg
193,Zwiebel::N,laukur,ognonenn
194,Saat::N,fræ,had
195,Saat::N,útsæði,had
196,Korn::N,korn,ed
197,Heu::N,hey,foenn
198,Schale::N,hýði,peliadur
199,Grube::N,gryfja,
200,Falle::N,gildra,pech
201,Schlinge::N,snara,krouglas
202,Spur::N,spor,
203,Asche::N,aska,ludu
204,Dreck::N,óþverri,fank
205,Eisen::N,járn,houarn
206,Gold::N,gull,aour
207,Silber::N,silfur,arc'hant
208,Kohle::N,kol,glaou
209,Glas::N,gler,gwer
210,Lehm::N,leir,
211,Sand::N,sandur,traezh
212,Mensch::N,maður,den
213,Mensch::N,manneskja,den
214,Mann::N,maður,den
215,Mann::N,karlmaður,den
216,Frau::N,kona,maouez
217,Kind::N,barn,bugel
218,Kind::N,krakki,bugel
219,Junge::N,drengur,paotr
220,Mädchen::N,stelpa,plac'h
221,Familie::N,fjölskylda,familh
222,Großvater::N,afi,tad-kozh
223,Großmutter::N,amma,mamm-gozh
224,Eltern::N,foreldrar,kerent
225,Vater::N,faðir,tad
226,Mutter::N,móðir,mamm
227,Sohn::N,sonur,mab
228,Tochter::N,dóttir,merc'h
229,Bruder::N,bróðir,breur
230,Schwester::N,systir,c'hoar
231,Onkel::N,föðurbróðir,eontr
232,Tante::N,frænka,moereb
233,Tante::N,móðursystir,moereb
234,Ehemann::N,eiginmaður,gwaz
235,Ehefrau::N,eiginkona,gwreg
236,Freude::N,gleði,levenez
237,Gelächter::N,hlátur,c'hoarzherezh
238,Glück::N,gæfa,chañs
239,Kummer::N,sorg,doan
240,Wunsch::N,ósk,c'hoant
241,Lust::N,fýsn,c'hoant
242,Lust::N,löngun,c'hoant
243,Geist::N,andi,spered
244,Gedanke::N,hugsun,soñj
245,Gedächtnis::N,minni,eñvor
246,Verstand::N,vit,skiant
247,Sinn::N,merking,ster
248,Grund::N,ástæða,kaoz
249,Wahrheit::N,sannleikur,gwirionez
250,Gespräch::N,samtal,kaozeadenn
251,Märchen::N,ævintýri,kaoz korriganez
252,Erzählung::N,saga,kontadenn
253,Nachricht::N,frétt,keloù
254,Neuigkeit::N,frétt,kelaouenn
255,Name::N,nafn,anv
256,Rätsel::N,gáta,divinatez
257,Rede::N,ræða,diskour
258,Sprache::N,mál,yezh
259,Sprache::N,tungumál,yezh
260,Stimme::N,rödd,mouezh
261,Wort::N,orð,ger
262,Zeichen::N,tákn,sin
263,Zeichen::N,merki,sin
264,Ruf::N,kall,galv
265,Lärm::N,hávaði,trouz
266,Laut::N,hljóð,
267,Ton::N,tónn,ton
268,Lied::N,ljóð,kanaouenn
269,Lied::N,söngur,kanaouenn
270,Ruhe::N,ró,sioulded
271,Ruhe::N,kyrrð,sioulded
272,Leute::N,fólk,tud
273,Volk::N,þjóð,pobl
274,Arbeit::N,vinna,labour
275,Gast::N,gestur,kouviad
276,Geschenk::N,gjöf,prof
277,Spiel::N,leikur,c'hoari
278,Gesellschaft::N,selskapur,kompagnunezh
279,Gesellschaft::N,selskapur,kavandad
280,Hilfe::N,hjálp,sikour
281,Freund::N,vinur,mignon
282,Kamerad::N,félagi,kamarad
283,Angelegenheit::N,mál,afer
284,Angelegenheit::N,málefni,afer
285,Anzahl::N,tala,niver
286,Anzahl::N,fjöldi,niver
287,Art::N,tegund,sort
288,Stück::N,biti,tamm
289,Stück::N,stykki,tamm
290,Teil::N,hluti,pezh
291,Teil::N,partur,pezh
292,Hälfte::N,helmingur,hanterenn
293,Kreis::N,hringur,kelc'h
294,Kreuz::N,kross,kroaz
295,Kreuz::N,krossmark,kroaz
296,Linie::N,lína,linenn
297,Strich::N,strik,tenn
298,Abstand::N,millibil,distok
299,Entfernung::N,fjarlægð,keid
300,Entfernung::N,fjarlægð,kehid
301,Gegend::N,hérað,korn-bro
302,Platz::N,pláss,plasenn
303,Ort::N,staður,lec'h
304,Seite::N,hlið,tu
305,Mitte::N,miðja,kreiz
306,Gegenstand::N,hlutur,tra
307,Sache::N,mál,tra
308,Rand::N,brún,kantenn
309,Kante::N,rönd,kantenn
310,Ecke::N,horn,korn
311,Spitze::N,oddur,begell
312,Ende::N,endi,dibenn
313,Loch::N,gat,toull
314,Loch::N,hola,toull
315,Winkel::N,skot,
316,Winkel::N,krókur,
317,Muster::N,munstur,tresadenn
318,Größe::N,stærð,ment
319,Länge::N,lengd,hirder
320,Höhe::N,hæð,uhelder
321,Gewicht::N,vigt,pouez
322,Gewicht::N,þyngd,pouez
323,Menge::N,magn,bern
324,Haufen::N,hrúga,bern
325,Haufen::N,haugur,bern
326,Reihe::N,röð,steud
327,Boot::N,bátur,bag
328,Ruder::N,ár,roeñv
329,Schlitten::N,sleði,trainell
330,Ski::N,skíði,ski
331,Lagerfeuer::N,varðeldur,
332,Last::N,byrði,karg
333,Last::N,farmur,karg
334,Gang::N,ganga,kerzh
335,Schritt::N,skref,paz
336,Norden::N,norður,norzh
337,Norden::N,norður,hanternoz
338,Süden::N,suður,su
339,Süden::N,suður,kreisteiz
340,Westen::N,vestur,kuzh-heol
341,Osten::N,austur,reter
342,Osten::N,austur,sav-heol
343,Holz::N,viður,koad
344,Brett::N,fjöl,plankenn
345,Platte::N,flötur,plakenn
346,Stütze::N,stoð,harp
347,Stange::N,stöng,sparl
348,Stock::N,prik,bazh
349,Stock::N,stafur,bazh
350,Stab::N,prik,bazh
351,Stab::N,stafur,bazh
352,Rohr::N,rör,tub
353,Rohr::N,rör,korz
354,Rohr::N,pípa,tub
355,Rohr::N,pípa,korz
356,Haus::N,hús,ti
357,Heim::N,heimili,kêr
358,Ofen::N,ofn,forn
359,Fußboden::N,gólf,plañchod
360,Tisch::N,borð,taol
361,Stuhl::N,stóll,kador
362,Wiege::N,vagga,kavell
363,Bett::N,rúm,gwele
364,Bett::N,hvíla,gwele
365,Regal::N,hilla,estajerenn
366,Kiste::N,kassi,kased
367,Fenster::N,gluggi,prenestr
368,Tür::N,dyr,dor
369,Tür::N,hurð,dor
370,Tor::N,hlið,portal
371,Zaun::N,girðing,sklotur
372,Zaun::N,limgarður,sklotur
373,Dach::N,þak,toenn
374,Leiter::N,stigi,skeul
375,Besen::N,sópur,skubell
376,Spaten::N,spaði,pal
377,Schaufel::N,skófla,pal
378,Gabel::N,gaffall,fourchetez
379,Löffel::N,skeið,loa
