,Concept_ID,ka,av
0,Auge::N,თვალი,
1,Ohr::N,ყური,гӏин
2,Nase::N,ცხვირი,мегӏер
3,Mund::N,პირი,кӏал
4,Zahn::N,კბილი,гӏус
5,Zunge::N,ენა,мацӏ
6,Lippe::N,ბაგე,кӏветӏ
7,Wange::N,ლოყა,гӏоно
8,Gesicht::N,სახე,гьумер
9,Stirn::N,შუბლი,нодо
10,Haar::N,თმა,рас
11,Schnurrbart::N,ულვაში,михъ
12,Bart::N,წვერი,мегеж
13,Kinn::N,ნიკაპი,нилъу
14,Kiefer[Anatomie]::N,ყბა,чанагъ
15,Kehle::N,ყელი,щекъер
16,Hals::N,ყელი,габур
17,Hals::N,კისერი,габур
18,Genick::N,კეფა,гъванща
19,Kopf::N,თავი,бетӏер
20,Rücken::N,ზურგი,мугъ
21,Bauch::N,მუცელი,чехь
22,Nabel::N,ჭიპი,цӏину
23,Busen::N,ძუძუ,керен
24,Brust::N,მკერდი,керен
25,Schulter::N,მხარი,гъажазубетӏер
26,Schulter::N,მკლავი,гъажазубетӏер
27,Arm::N,ხელი,гъеж
28,Ellenbogen::N,იდაყვი,гӏункӏрукь
29,Hand::N,ხელი,квер
30,Handfläche::N,ნები,огъохъат
31,Handfläche::N,ნები,жанисахъат
32,Handfläche::N,ხელისგული,огъохъат
33,Handfläche::N,ხელისგული,жанисахъат
34,Finger::N,თითი,килищ
35,Fingernagel::N,ფრჩხილი,малъ
36,Nagel[Anatomie]::N,ფრჩხილი,малъ
37,Zeh::N,ფეხის თითი,килищ
38,Fuß::N,ტერფი,хӏетӏ
39,Fuß::N,ტერფი,хӏетӏе
40,Fuß::N,ფეხისგული,хӏетӏ
41,Fuß::N,ფეხისგული,хӏетӏе
42,Ferse::N,ქუსლი,эгъе
43,Knie::N,მუხლი,наку
44,Oberschenkel::N,ბარძაყი,мачӏ
45,Bein::N,ფეხი,бох
46,Körper::N,ტანი,къаркъала
47,Körper::N,სხეული,къаркъала
48,Haut::N,კანი,тӏом
49,Blut::N,სისხლი,би
50,Ader::N,ძარღვი,бидурихь
51,Sehne::N,მყესი,
52,Knochen::N,ძვალი,ракьа
53,Gehirn::N,ტვინი,гӏадалнах
54,Herz::N,გული,ракӏ
55,Magen::N,კუჭი,кванирукъ
56,Leber::N,ღვიძლი,тӏул
57,Atem::N,სუნთქვა,хӏухь
58,Hunger::N,შიმშილი,ракъи
59,Träne::N,ცრემლი,магӏу
60,Geschmack::N,გემო,тату
61,Geruch::N,სუნი,махӏ
62,Schlaf::N,ძილი,макьу
63,Traum::N,სიზმარი,макьу
64,Himmel::N,ცა,зоб
65,Sonne::N,მზე,бакъ
66,Mond::N,მთვარე,моцӏ
67,Stern::N,ვარსკვლავი,цӏва
68,Luft::N,ჰაერი,гьава
69,Wind::N,ქარი,гьури
70,Welle::N,ტალღა,карачел
71,Wasser::N,წყალი,лъим
72,Stein::N,ქვა,гьецӏо
73,Boden::N,მიწა,ракь
74,Erde::N,ნიადაგი,ракь
75,Erde::N,ნიადაგი,дуниял
76,Staub::N,მტვერი,хӏур
77,Rauch::N,ბოლი,кӏкӏуй
78,Rauch::N,კვამლი,кӏкӏуй
79,Funke::N,ნაკვესი,
80,Feuer::N,ცეცხლი,цӏа
81,Licht::N,შუქი,канлъи
82,Licht::N,სინათლე,канлъи
83,Schatten::N,ლანდი,рагӏад
84,Schatten::N,ჩრდილი,рагӏад
85,Wetter::N,ამინდი,гьава-бакъ
86,Nebel::N,ნისლი,гӏодобнакӏкӏ
87,Wolke::N,ღრუბელი,накӏкӏ
88,Regen::N,წვიმა,цӏад
89,Schnee::N,თოვლი,гӏазу
90,Eis::N,თოში,цӏер
91,Eis::N,ყინული,цӏер
92,Frost::N,ყინვა,замгьари
93,Kälte::N,სიცივე,квач
94,Hitze::N,სიცხე,багӏари
95,Raureif::N,ჭირხლი,мартӏ
96,Raureif::N,თრთვილი,мартӏ
97,Regenbogen::N,ცისარტყელა,нур
98,Regenbogen::N,ცისარტყელა,чамбара
99,Donner::N,ქუხილი,гъугъай
100,Donner::N,ქუხილი,гъугъади
101,Strömung::N,დინება,чвахи
102,Tropfen::N,წვეთი,резел
103,Tropfen::N,წვეთი,тӏинкӏ
