,Concept_ID,te,lez
0,Auge::N,కన్ను,вил
1,Ohr::N,చెవి,яб
2,Nase::N,ముక్కు,нер
3,Mund::N,నోరు,сив
4,Zahn::N,పల్లు,сас
5,Zahn::N,పల్లు,свах
6,Zunge::N,నాలుక,мез
7,Lippe::N,పెదవి,пӏуз
8,Wange::N,చెంప,хъвехъ
9,Gesicht::N,ముఖము,ччин
10,Stirn::N,నుదురు,пел
11,Haar::N,వెండ్రుక,чӏар
12,Schnurrbart::N,మీసము,спел
13,Schnurrbart::N,మీసము,спелар
14,Bart::N,గడ్డము,ччуру
15,Kinn::N,గడ్డము,чене
16,Kiefer[Anatomie]::N,దౌడ,чене
17,Kehle::N,గొంతు,туьд
18,Hals::N,మెడ,гардан
19,Genick::N,మూపు,кьам
20,Kopf::N,తల,кьил
21,Rücken::N,వెన్ను,далу
22,Bauch::N,కడుపు,руфун
23,Nabel::N,బొడ్డు,пицӏ
24,Busen::N,స్తనము,мам
25,Brust::N,ఱొమ్ము,хур
26,Schulter::N,భుజము,къуьн
27,Arm::N,చేయి,гъил
28,Ellenbogen::N,మోచేయి,кьуьнт
29,Hand::N,చేయి,капаш
30,Handfläche::N,అరచేయు,капан юкь
31,Finger::N,చేతిప్రేలు,тӏуб
32,Fingernagel::N,గోరు,кек
33,Nagel[Anatomie]::N,గోరు,кек
34,Zeh::N,కాలిప్రేలు,кул
35,Fuß::N,అడుగు,кӏвач
36,Ferse::N,మడమ,дабан
37,Knie::N,మోకాలు,мет
38,Oberschenkel::N,తొడ,
39,Bein::N,కాలు,кӏвач
40,Körper::N,కాయము,беден
41,Haut::N,చర్మము,хам
42,Blut::N,రక్తము,иви
43,Ader::N,సిర,дамар
44,Sehne::N,స్నాయువు,кьуру дамар
45,Knochen::N,ఎముక,кӏараб
46,Gehirn::N,మెదడు,мефт
47,Herz::N,హృదయము,рикӏ
48,Magen::N,కడుపు,хук
49,Leber::N,కాలేయము,лекь
50,Atem::N,ఉపిరి,ял
51,Atem::N,ఉపిరి,нефес
52,Hunger::N,ఆకలి,каш
53,Träne::N,కన్నీటిచుక్క,вилин нагъв
54,Geschmack::N,రుచి,дад
55,Geschmack::N,రుచి,тӏям
56,Geruch::N,వాసన,ни
57,Schlaf::N,నిద్ర,ахвар
58,Traum::N,కల,ахвар
59,Himmel::N,ఆకాశము,цав
60,Sonne::N,సూర్యుడు,рагъ
61,Mond::N,చంద్రుడు,варз
62,Stern::N,నక్షత్రము,гъед
63,Luft::N,గాలి,гьава
64,Wind::N,వీచుచున్నగాలి,гар
65,Welle::N,అల,лепе
66,Wasser::N,నీరు,яд
67,Stein::N,ఱాయి,къван
68,Boden::N,నేల,накьв
69,Erde::N,మన్ను,ччил
70,Staub::N,దుమ్ము,руг
71,Rauch::N,పొగ,гум
72,Funke::N,అగ్నికణము,цӏелхем
73,Feuer::N,అగ్ని,цӏай
74,Licht::N,కాంతి,экв
75,Schatten::N,నీడ,серин
76,Wetter::N,వాతావరణ స్థితి,гьава
77,Nebel::N,పొగమంచు,ччилин циф
78,Wolke::N,మేఘము,циф
79,Regen::N,వాన,марф
80,Schnee::N,హిమము,жив
81,Eis::N,మంచుగడ్డ,мурк
82,Frost::N,పేరిన మంచు,аяз
83,Kälte::N,చలి,мекь
84,Kälte::N,చలి,мекьивал
85,Hitze::N,వేడిమి,зегьем
86,Raureif::N,మంచు,къирав
87,Regenbogen::N,ఇంద్రధనుస్సు,яргъируш
88,Donner::N,ఉరుము,цавун ван
89,Strömung::N,ప్రవాహము,
90,Tropfen::N,చుక్క,стӏал
91,Schaum::N,నురుగు,каф
92,Schmutz::N,మైల,чирк
93,Schmutz::N,మైల,кьуруш
94,See::N,సరస్సు,вир
95,Sumpf::N,చిత్తడినేల,уьлен
96,Moor::N,చిత్తడినేల,
97,Wiese::N,పచ్చిక బయలు,векь
98,Wald::N,అడవి,там
99,Hügel::N,చివ్నకొండ,кӏунтӏ
100,Anhöhe::N,కొండ,тепе
101,Anhöhe::N,కొండ,гьуьндуьрвал
102,Berg::N,పర్వతము,дагъ
103,Gipfel::N,శిఖరము,кӏукӏ
104,Höhle::N,గుహ,кьветӏ
105,Abhang::N,ఏటవాలు,гуьне
106,Quelle::N,మూలము,чешме
107,Bach::N,కాలువ,булах
108,Fluss::N,నది,вацӏ
109,Ufer::N,తీరము,къерех
110,Küste::N,తీరము,къерех
111,Festland::N,భూమి,кьурамат
112,Meer::N,సముద్రము,гьуьл
113,Bucht::N,మరుగు,бухта
114,Insel::N,దీవి,остров
115,Blume::N,పుష్పము,цуьк
116,Gras::N,పచ్చగడ్డి,хъач
117,Wurzel::N,వేరు,дувул
118,Baum::N,చెట్టు,ттар
119,Stamm::N,చెట్టుబోదె,тан
120,Rinde::N,చెట్టుపట్ట,чкал
121,Ast::N,కొమ్మ,тӏур
122,Zweig::N,చివుకు,хел
123,Blatt::N,ఆకు,пеш
