,Concept_ID,lez,lv
0,Auge::N,вил,син
1,Auge::N,вил,acs
2,Ohr::N,яб,пель
3,Ohr::N,яб,auss
4,Nase::N,нер,ныр
5,Nase::N,нер,deguns
6,Mund::N,сив,вом
7,Mund::N,сив,mute
8,Zahn::N,сас,пинь
9,Zahn::N,сас,zobs
10,Zahn::N,свах,пинь
11,Zahn::N,свах,zobs
12,Zunge::N,мез,кыв
13,Zunge::N,мез,mēle
14,Lippe::N,пӏуз,вом дор
15,Lippe::N,пӏуз,lūpa
16,Wange::N,хъвехъ,бан
17,Wange::N,хъвехъ,vaigs
18,Gesicht::N,ччин,чужӧм
19,Gesicht::N,ччин,seja
20,Gesicht::N,ччин,ģīmis
21,Stirn::N,пел,плеш
22,Stirn::N,пел,кымӧс
23,Stirn::N,пел,piere
24,Haar::N,чӏар,си
25,Haar::N,чӏар,юрси
26,Haar::N,чӏар,mats
27,Schnurrbart::N,спел,ус
28,Schnurrbart::N,спел,пыртсим
29,Schnurrbart::N,спел,ūsas
30,Schnurrbart::N,спелар,ус
31,Schnurrbart::N,спелар,пыртсим
32,Schnurrbart::N,спелар,ūsas
33,Bart::N,ччуру,тош
34,Bart::N,ччуру,bārda
35,Kinn::N,чене,тшӧка
36,Kinn::N,чене,zods
37,Kinn::N,чене,smakrs
38,Kiefer[Anatomie]::N,чене,черлы
39,Kiefer[Anatomie]::N,чене,алака лы
40,Kiefer[Anatomie]::N,чене,вомкӧтш лы
41,Kiefer[Anatomie]::N,чене,žoklis
42,Kehle::N,туьд,голя
43,Kehle::N,туьд,rīkle
44,Hals::N,гардан,сьылі
45,Hals::N,гардан,kakls
46,Genick::N,кьам,юрбӧр
47,Genick::N,кьам,балябӧж
48,Genick::N,кьам,sprands
49,Kopf::N,кьил,юр
50,Kopf::N,кьил,galva
51,Rücken::N,далу,мыш
52,Rücken::N,далу,mugura
53,Bauch::N,руфун,рушку
54,Bauch::N,руфун,vēders
55,Nabel::N,пицӏ,гӧг
56,Nabel::N,пицӏ,naba
57,Busen::N,мам,морӧс
58,Busen::N,мам,krūts
59,Brust::N,хур,морӧс
60,Brust::N,хур,krūts
61,Schulter::N,къуьн,пельпом
62,Schulter::N,къуьн,plecs
63,Arm::N,гъил,ки
64,Arm::N,гъил,roka
65,Arm::N,гъил,delms
66,Ellenbogen::N,кьуьнт,гырддза
67,Ellenbogen::N,кьуьнт,elkonis
68,Hand::N,капаш,ки
69,Hand::N,капаш,roka
70,Hand::N,капаш,plauksta
71,Handfläche::N,капан юкь,ки пыдӧс
72,Handfläche::N,капан юкь,delna
73,Handfläche::N,капан юкь,plauksta
74,Finger::N,тӏуб,чунь
75,Finger::N,тӏуб,pirksts
76,Fingernagel::N,кек,гыж
77,Fingernagel::N,кек,nags
78,Nagel[Anatomie]::N,кек,гыж
79,Nagel[Anatomie]::N,кек,nags
80,Zeh::N,кул,кок чунь
81,Zeh::N,кул,pirksts
82,Fuß::N,кӏвач,кок
83,Fuß::N,кӏвач,kāja
84,Ferse::N,дабан,кокбӧр
85,Ferse::N,дабан,papēdis
86,Knie::N,мет,пидзӧс
87,Knie::N,мет,celis
88,Bein::N,кӏвач,кок
89,Bein::N,кӏвач,kāja
90,Körper::N,беден,туша
91,Körper::N,беден,вывтыр
92,Körper::N,беден,miesa
93,Körper::N,беден,ķermenis
94,Haut::N,хам,ку
95,Haut::N,хам,āda
96,Blut::N,иви,вир
97,Blut::N,иви,asins
98,Ader::N,дамар,сӧн
99,Ader::N,дамар,asinsvads
100,Sehne::N,кьуру дамар,вез
101,Sehne::N,кьуру дамар,dzīsla
102,Knochen::N,кӏараб,лы
103,Knochen::N,кӏараб,kauls
104,Gehirn::N,мефт,вем
105,Gehirn::N,мефт,smadzenes
106,Herz::N,рикӏ,сьӧлӧм
107,Herz::N,рикӏ,sirds
108,Magen::N,хук,кынӧм
109,Magen::N,хук,kuņģis
110,Leber::N,лекь,мус
111,Leber::N,лекь,aknas
112,Atem::N,ял,лов
113,Atem::N,ял,elpa
114,Atem::N,нефес,лов
115,Atem::N,нефес,elpa
116,Hunger::N,каш,тшыг
117,Hunger::N,каш,bads
118,Hunger::N,каш,izsalkums
119,Träne::N,вилин нагъв,синва
120,Träne::N,вилин нагъв,asara
121,Geschmack::N,дад,кӧр
122,Geschmack::N,дад,чӧсмӧс
123,Geschmack::N,дад,garša
124,Geschmack::N,тӏям,кӧр
125,Geschmack::N,тӏям,чӧсмӧс
126,Geschmack::N,тӏям,garša
127,Geruch::N,ни,зын
128,Geruch::N,ни,дук
129,Geruch::N,ни,smaka
130,Schlaf::N,ахвар,узьӧм
131,Schlaf::N,ахвар,miegs
132,Traum::N,ахвар,вӧт
133,Traum::N,ахвар,вӧтасьӧм
134,Traum::N,ахвар,sapnis
135,Himmel::N,цав,енэж
136,Himmel::N,цав,debess
137,Sonne::N,рагъ,шонді
138,Sonne::N,рагъ,saule
139,Mond::N,варз,тӧлысь
140,Mond::N,варз,mēness
141,Stern::N,гъед,кодзув
142,Stern::N,гъед,zvaigzne
143,Luft::N,гьава,сынӧд
144,Luft::N,гьава,gaiss
145,Wind::N,гар,тӧв
146,Wind::N,гар,vējš
147,Welle::N,лепе,гы
148,Welle::N,лепе,vilnis
149,Wasser::N,яд,ва
150,Wasser::N,яд,ūdens
151,Stein::N,къван,из
