,Concept_ID,se,ce
0,Auge::N,tjelmie,бӏаьрг
1,Auge::N,tjalmme,бӏаьрг
2,Auge::N,čalbmi,бӏаьрг
3,Auge::N,čalme,бӏаьрг
4,Auge::N,čâ´lmm,бӏаьрг
5,Auge::N,ча̄лльм,бӏаьрг
6,Ohr::N,bieljie,лерг
7,Ohr::N,biellje,лерг
8,Ohr::N,beallji,лерг
9,Ohr::N,pelji,лерг
10,Ohr::N,pe´llj,лерг
11,Ohr::N,пе̄лльй,лерг
12,Nase::N,njuenie,мара
13,Nase::N,njunnje,мара
14,Nase::N,njunni,мара
15,Nase::N,njuṇe,мара
16,Nase::N,njuu´nn,мара
17,Nase::N,нюннҍ,мара
18,Mund::N,njaelmie,бага
19,Mund::N,njálmme,бага
20,Mund::N,njálbmi,бага
21,Mund::N,njälmi,бага
22,Mund::N,njä´lmm,бага
23,Mund::N,ня̄лльм,бага
24,Zahn::N,baenie,церг
25,Zahn::N,bádne,церг
26,Zahn::N,bátni,церг
27,Zahn::N,pääṇi,церг
28,Zahn::N,pää´nn,церг
29,Zahn::N,па̄ннҍ,церг
30,Zunge::N,njoektjeme,мотт
31,Zunge::N,njuovtjav,мотт
32,Zunge::N,njuovčča,мотт
33,Zunge::N,njuovčâ,мотт
34,Zunge::N,njuhččâm,мотт
35,Zunge::N,нюхчем,мотт
36,Lippe::N,bangseme,балда
37,Lippe::N,njálmmerabdda,балда
38,Lippe::N,bavssa,балда
39,Lippe::N,poovsâ,балда
40,Lippe::N,põõus,балда
41,Lippe::N,пэ̄кс,балда
42,Wange::N,skiehrie,бесни
43,Wange::N,nierra,бесни
44,Wange::N,muohtu,бесни
45,Wange::N,nieṛâ,бесни
46,Wange::N,njiõrr,бесни
47,Wange::N,нӣрр,бесни
48,Gesicht::N,ååredæjja,юьхь
49,Gesicht::N,muohto,юьхь
50,Gesicht::N,muođut,юьхь
51,Gesicht::N,ámadadju,юьхь
52,Gesicht::N,muáđuh,юьхь
53,Gesicht::N,muâđ,юьхь
54,Gesicht::N,ка̄ссв,юьхь
55,Stirn::N,gaalloe,хьаж
56,Stirn::N,gállo,хьаж
57,Stirn::N,gállu,хьаж
58,Stirn::N,kállu,хьаж
59,Stirn::N,käll,хьаж
60,Stirn::N,вуэххьц,хьаж
61,Haar::N,voepte,мас
62,Haar::N,vuoppta,мас
63,Haar::N,vuokta,мас
64,Haar::N,vuop'tâ,мас
65,Haar::N,vuõpt,мас
66,Haar::N,вӯппт,мас
67,Schnurrbart::N,bijjie-skaavtjoe,мекх
68,Schnurrbart::N,njunjevuolskávttjá,мекх
69,Schnurrbart::N,seamu,мекх
70,Schnurrbart::N,siämu,мекх
71,Schnurrbart::N,ää´bben,мекх
72,Schnurrbart::N,о̄а̄бпан,мекх
73,Bart::N,skaavtja,маж
74,Bart::N,skaavtjoe,маж
75,Bart::N,skávttjá,маж
76,Bart::N,seamu,маж
77,Bart::N,siämu,маж
78,Bart::N,seäm,маж
79,Bart::N,ся̄м,маж
80,Kinn::N,gaejpie,чӏениг
81,Kinn::N,gájbbe,чӏениг
82,Kinn::N,gáibi,чӏениг
83,Kinn::N,käibi,чӏениг
84,Kinn::N,käi´bb,чӏениг
85,Kinn::N,ка̄ййп,чӏениг
86,Kiefer[Anatomie]::N,gaejpie,мочхал
87,Kiefer[Anatomie]::N,oalol,мочхал
88,Kiefer[Anatomie]::N,oaloldákte,мочхал
89,Kiefer[Anatomie]::N,gáibi,мочхал
90,Kiefer[Anatomie]::N,uá'lultähti,мочхал
