,Concept_ID,hy,kl
0,Auge::N,աչք,isi
1,Ohr::N,ականջ,siut
2,Nase::N,քիթ,
3,Mund::N,բերան,paaq
4,Mund::N,բերան,qaneq
5,Zahn::N,ատամ,kigut
6,Zunge::N,լեզու,oqaq
7,Lippe::N,շրթունք,qarloq
8,Wange::N,այտ,ersaq
9,Wange::N,թուշ,ersaq
10,Gesicht::N,դեմք,kiinaq
11,Stirn::N,ճակատ,qaaq
12,Haar::N,մազ,meqqoq
13,Schnurrbart::N,բեղ,
14,Bart::N,մորուք,umik
15,Kinn::N,կզակ,talloq
16,Kiefer[Anatomie]::N,ծնոտ,alleroq
17,Kehle::N,կոկորդ,malaq
18,Hals::N,վիզ,qungaseq
19,Hals::N,պարանոց,qungaseq
20,Genick::N,ծոծրակ,pukusuk
21,Kopf::N,գլուխ,niaqoq
22,Rücken::N,մեջք,qimerlut
23,Bauch::N,փոր,naaq
24,Bauch::N,որովայն,naaq
25,Nabel::N,պորտ,qalaseq
26,Busen::N,ծոց,iviangeq
27,Brust::N,կուրծք,iviangeq
28,Schulter::N,ուս,ersik
29,Schulter::N,ուս,assaqqoq
30,Arm::N,թեւ,taleq
31,Arm::N,բազուկ,taleq
32,Ellenbogen::N,արմունկ,ikusik
33,Hand::N,ձեռք,assak
34,Handfläche::N,ափ,itumak
35,Finger::N,մատ,inuak
36,Fingernagel::N,եղունգ,kikiak
37,Nagel[Anatomie]::N,եղունգ,kukik
38,Zeh::N,ոտքի մատ,isigak
39,Fuß::N,ոտք,
40,Ferse::N,գարշապար,kimmik
41,Knie::N,ծունկ,seeqqoq
42,Oberschenkel::N,ազդր,uppat
43,Oberschenkel::N,ազդր,quttoraq
44,Bein::N,ոտք,isigak
45,Körper::N,մարմին,timi
46,Haut::N,մաշկ,mattak
47,Blut::N,արյուն,aak
48,Ader::N,երակ,taqaq
49,Sehne::N,ջիղ,ujalu
50,Sehne::N,ջիղ,ujaloq
51,Sehne::N,ձգտան,ujalu
52,Sehne::N,ձգտան,ujaloq
53,Knochen::N,ոսկոր,saanikut
54,Gehirn::N,խելք,qarasaq
55,Herz::N,սիրտ,uummat
56,Magen::N,ստամոքս,aqajaroq
57,Leber::N,լյարդ,tinguk
58,Atem::N,շունչ,anerneq
59,Hunger::N,քաղց,kaanneq
60,Träne::N,արտասուք,qia
61,Träne::N,արտասուք,qiak
62,Geschmack::N,համ,qilanaartuut
63,Geschmack::N,բուրմունք,qilanaartuut
64,Geruch::N,հոտ,tipi
65,Geruch::N,հոտ,tipik
66,Geruch::N,բուրում,tipi
67,Geruch::N,բուրում,tipik
68,Schlaf::N,քուն,
69,Traum::N,երազ,sinnattoq
70,Traum::N,երազ,sinnattugaq
71,Himmel::N,երկինք,qilak
72,Sonne::N,արեւ,seqineq
73,Mond::N,լուսին,qaammat
74,Stern::N,աստղ,ulloriaq
75,Luft::N,օդ,silaannaq
76,Wind::N,քամի,anori
77,Wind::N,քամի,anorsarik
78,Welle::N,ալիք,aalappaa
79,Wasser::N,ջուր,imeq
80,Stein::N,քար,ujarak
81,Boden::N,գետին,nateq
82,Erde::N,հող,issoq
83,Staub::N,փոշի,pujualanerit
84,Staub::N,փոշի,pujoralanerit
85,Rauch::N,ծուխ,iseq
86,Rauch::N,ծուխ,pujoq
87,Funke::N,կայծ,illoorneq
88,Feuer::N,կրակ,inneq
89,Feuer::N,հրդեհ,inneq
90,Licht::N,լույս,qaamaneq
91,Schatten::N,ստվեր,tarraq
92,Wetter::N,եղանակ,sila
93,Nebel::N,մեգ,pujoq
94,Nebel::N,մառախուղ,pujoq
95,Wolke::N,ամպ,nuia
96,Regen::N,անձրև,sialuk
97,Schnee::N,ձյուն,aput
98,Eis::N,սառույց,siku
99,Frost::N,սառնամանիք,issi
100,Frost::N,սառնամանիք,issik
101,Kälte::N,դող,issi
102,Hitze::N,շոգ,kianneq
103,Hitze::N,շոգ,kiassuseq
104,Raureif::N,ցօղեղեամ,kaneq
105,Regenbogen::N,ծիածան,neriusaaq
106,Donner::N,որոտ,kalleq
107,Strömung::N,հոսանք,
108,Tropfen::N,կաթիլ,kuseriarneq
109,Schaum::N,փրփուր,qapuk
110,Schmutz::N,կեղտ,minguk
111,See::N,լիճ,taseq
112,Sumpf::N,ճահիճ,maqulluk
113,Moor::N,ճահիճ,
114,Wiese::N,մարգագետին,masarsuk
115,Wald::N,անտառ,
116,Hügel::N,բլուր,qattuneq
117,Hügel::N,բլուր,majuariaq
118,Hügel::N,բլուր,majorajaaq
119,Hügel::N,բլուր,qaqqannguaq
120,Anhöhe::N,բարձունք,
121,Berg::N,լեռ,qaqqaq
122,Gipfel::N,գագաթ,
123,Gipfel::N,կատար,
124,Höhle::N,քարայր,qaarusuk
125,Abhang::N,լանջ,ippik
126,Abhang::N,լանջ,sivinganeq
127,Abhang::N,լանջ,sivingajaaq
128,Abhang::N,լանջ,kussangajaaq
129,Abhang::N,զառիվայր,ippik
130,Abhang::N,զառիվայր,sivinganeq
131,Abhang::N,զառիվայր,sivingajaaq
132,Abhang::N,զառիվայր,kussangajaaq
133,Quelle::N,աղբյուր,
134,Bach::N,վտակ,kuunnguaq
135,Fluss::N,գետ,kuuk
136,Ufer::N,ծովափ,sissap sinaa
137,Küste::N,ափ,sineriak
138,Küste::N,ծովափ,sineriak
139,Festland::N,ցամաք,
140,Meer::N,ծով,imaq
141,Bucht::N,հաչիւն,ikeq
142,Bucht::N,հաչիւն,kangerluk
143,Bucht::N,հաչիւն,kangerliumaneq
144,Insel::N,վղզի,qeqertaq
145,Blume::N,ծաղիկ,naasoq
146,Gras::N,խոտ,ivigaq
147,Wurzel::N,արմատ,niulutaq
148,Baum::N,ծառ,orpik
149,Stamm::N,իրան,kanaartaq
150,Rinde::N,կեղեւ,ameraq
151,Rinde::N,հաչոց,ameraq
152,Ast::N,ճյուղ,avalequt
153,Zweig::N,ճյուղ,avalequt
154,Blatt::N,տերեւ,pilutaq
155,Birke::N,ցարասի,patitsit
156,Kiefer[Baum]::N,սոճի,
157,Weide[Baum]::N,ուռենի,palleq
158,Tanne::N,եղեւին,orsuerneq
159,Feder::N,փետուր,suluk
160,Fell::N,մորթի,ameq
161,Flügel::N,թեւ,suluk
162,Flügel::N,թեւ,isaroq
163,Klaue::N,չանչ,kukik
164,Kralle::N,ճանկ,kukik
165,Schwanz::N,պոչ,pamioq
166,Schwanz::N,պոչ,paperuusaq
167,Ei::N,ձու,mannik
168,Nest::N,բույն,ullut
169,Bau::N,որջ,ini
170,Bau::N,բայոց,ini
171,Tier::N,կենդանի,uumasoq
172,Herde::N,հոտ,unguukkat
173,Kuh::N,կով,ussik
174,Bulle::N,ցուլ,angukulak
175,Bulle::N,ցուլ,anguteralak
176,Bulle::N,ցուլ,angutikulooq
177,Pferd::N,ձի,
178,Schaf::N,ոչխար,sava
179,Schwein::N,խոզ,puuluki
180,Hund::N,շուն,qimmeq
181,Katze::N,կատու,puisaaq
182,Bär::N,արջ,allaq
183,Eichhörnchen::N,սկյուռ,sissinnguaq
184,Elch::N,հիւսիսային եղջերու,
185,Fuchs::N,աղվես,terianniaq
186,Hase::N,նապաստակ,ukaleq
187,Maus::N,մուկ,teriannguaq
188,Wolf::N,գայլ,amaroq
189,Vogel::N,թռչուն,timmiaq
190,Schwarm::N,երամ,
191,Huhn::N,հավ,kukkukooq
192,Huhn::N,հավ,marloraaqaaq
193,Hahn::N,աքաղաղ,kiasiusaq
194,Gans::N,սագ,nerleq
195,Adler::N,արծիվ,nattoralik
196,Ente::N,բադ,
197,Eule::N,բու,uppik
198,Kranich::N,կռունկ,qorlorfik
199,Krähe::N,ագռավ,tuluatsiaq
200,Kuckuck::N,կուկու,kukkooq
201,Schwan::N,կարապ,qussuk
202,Fisch::N,ձուկ,aalisagaq
203,Barsch::N,պերկես,
204,Hecht::N,գայլաձուկ,
205,Schlange[Tier]::N,օձ,pulateriarsuk
206,Schlange[Tier]::N,օձ,pulateriaarsuk
207,Wurm::N,որդ,
208,Wurm::N,ճիճու,
209,Spinne::N,սարդ,aasiaq
210,Spinne::N,սարդ,nissavaarsuk
211,Ameise::N,միջյուն,uniaaluk
212,Laus::N,ոջիլ,kumak
213,Mücke::N,մժղուկ,ippernaq
214,Fliege::N,ճանճ,ippernaq
215,Schmetterling::N,թիթեռ,paluaq
216,Schmetterling::N,թիթեռ,pakkaluaq
217,Schmetterling::N,թիթեռ,utsuppaluaq
218,Schmetterling::N,թիթեռ,taqaleqisaaq
219,Beere::N,հատապտուղ,paarmaq
220,Beere::N,հատապտուղ,paarngaq
221,Apfel::N,խնձոր,iipili
222,Pilz::N,սունկ,anngiusaq
223,Zwiebel::N,սոխ,uanitsoq
224,Saat::N,սերմ,naatsiiassaq
225,Korn::N,հատիկ,maannineq
226,Heu::N,խոտ,
227,Schale::N,կեղեւ,niutsivik
228,Schale::N,կեղեւ,ilulissaq qaartussaq
229,Grube::N,փոս,itersaq
230,Falle::N,ծուղակ,pualavoq
231,Schlinge::N,խեղդան,orseq
232,Schlinge::N,խեղդան,norloq
233,Spur::N,հետք,tumaa
234,Asche::N,մոխիր,arsat
235,Dreck::N,աղտ,minguk
236,Eisen::N,երկաթ,savimineq
237,Eisen::N,երկաթ,saffiugassaq
238,Gold::N,ոսկի,kuulti
239,Silber::N,արծաթ,siilviuvoq
240,Kohle::N,քարածուխ,aamarsuit aamaruutissat
241,Glas::N,ապակի,igalaaq
242,Glas::N,ապակի,imertarfik
243,Glas::N,ապակի,igalaamineq
244,Lehm::N,կավ,marraq
245,Sand::N,ավազ,sioqqat
246,Mensch::N,մարդ,inuk
247,Mensch::N,մարդ,silamiu
248,Mann::N,մարդ,angut
249,Mann::N,տղամարդ,angut
250,Frau::N,կին,arnaq
251,Kind::N,զավակ,meeraq
252,Junge::N,տղա,nukappiaraq
253,Mädchen::N,աղջիկ,arnannguaq
254,Familie::N,ընտանիք,ilaqutakka
255,Familie::N,ընտանիք,ilaqutariit
256,Großvater::N,պապ,aatak
257,Großmutter::N,տատ,aanaq
258,Eltern::N,ծնողներ,angajoqqaat
259,Vater::N,հայր,ataata
260,Vater::N,հայր,ataataq
261,Mutter::N,մայր,anaana
262,Sohn::N,որդի,erneq
263,Tochter::N,աղջիկ,panik
264,Tochter::N,դուստր,panik
265,Bruder::N,եղբայր,ani
266,Bruder::N,եղբայր,aqqaluk
267,Bruder::N,եղբայր,qatanngut
268,Schwester::N,քույր,naja
269,Schwester::N,քույր,aleqa
270,Schwester::N,քույր,qatanngut
271,Onkel::N,քեռի,akkak
272,Onkel::N,հորեղբայր,akkak
273,Tante::N,մորաքույր,aja
274,Tante::N,մորաքույր,ajak
275,Tante::N,մորաքույր,atsak
276,Ehemann::N,մարդ,ui
277,Ehemann::N,ամուսին,ui
278,Ehefrau::N,կին ամուսին,nuliaq
279,Freude::N,ուրախություն,tipaatsussuseq
280,Gelächter::N,ծիծաղ,illaq
281,Glück::N,երջանկություն,usornaat
282,Glück::N,երջանկություն,usornarsuseq
283,Kummer::N,վիշտ,
284,Wunsch::N,ցանկություն,kissaat
285,Lust::N,փափագ,illigussuseq
286,Lust::N,փափագ,piummaseq
287,Lust::N,իղձ,illigussuseq
288,Lust::N,իղձ,piummaseq
289,Geist::N,ոգի,anerneq
290,Geist::N,ոգի,toornaq
291,Gedanke::N,միտք,isumassaq
292,Gedächtnis::N,հիշողություն,eqqaamannissuseq
293,Verstand::N,խելք,isuma
294,Verstand::N,խելք,sianissut
