,Concept_ID,be,fa
0,Auge::N,вока,چشم
1,Ohr::N,вуха,گوش
2,Nase::N,нос,بینی
3,Mund::N,рот,دهان
4,Zahn::N,зуб,دندان
5,Zunge::N,язык,زبان
6,Lippe::N,губа,لب
7,Wange::N,шчака,لپ
8,Gesicht::N,твар,رو
9,Gesicht::N,твар,چهره
10,Stirn::N,лоб,پیشانی
11,Haar::N,волас,مو
12,Haar::N,валасы,مو
13,Schnurrbart::N,вус,سبیل
14,Schnurrbart::N,вусы,سبیل
15,Bart::N,барада,ریش
16,Kinn::N,падбародак,چانه
17,Kiefer[Anatomie]::N,сківіца,فک
18,Kiefer[Anatomie]::N,сківіца,آرواره
19,Kehle::N,горла,حلق
20,Hals::N,шыя,گردن
21,Genick::N,патыліца,پشت گردن
22,Kopf::N,галава,سر
23,Kopf::N,галава,کله
24,Rücken::N,спіна,پشت
25,Bauch::N,жывот,شکم
26,Nabel::N,пупок,ناف
27,Busen::N,грудзі,پستان
28,Brust::N,грудзі,سینه
29,Schulter::N,плячо,دوش
30,Schulter::N,плячо,شانه
31,Arm::N,рука,بازو
32,Ellenbogen::N,локаць,آرنج
33,Hand::N,кісць,دست
34,Handfläche::N,далонь,کف دست
35,Finger::N,палец,انگشت
36,Fingernagel::N,ногаць,ناخن دست
37,Nagel[Anatomie]::N,ногаць,ناخن
38,Zeh::N,палец,انگشت پا
39,Fuß::N,нага,پا
40,Ferse::N,пята,پاشنه
41,Ferse::N,пятка,پاشنه
42,Knie::N,калена,زانو
43,Oberschenkel::N,бядро,ران
44,Oberschenkel::N,сцягно,ران
45,Bein::N,нага,پا
46,Bein::N,нага,لنگ
47,Körper::N,цела,تن
48,Körper::N,цела,بدن
49,Haut::N,скура,پوست
50,Blut::N,кроў,خون
51,Ader::N,вена,رگ
52,Ader::N,сасуд,رگ
53,Sehne::N,жыла,زردپی
54,Sehne::N,цеціва,زردپی
55,Sehne::N,сухажылле,زردپی
56,Knochen::N,косць,استخوان
57,Gehirn::N,мозг,مخ
58,Gehirn::N,мозг,مغز
59,Herz::N,сэрца,دل
60,Herz::N,сэрца,قلب
61,Magen::N,страўнік,معده
62,Leber::N,печань,کبد
63,Atem::N,дыханне,نفس
64,Hunger::N,голад,گرسنگی
65,Träne::N,сляза,اشک
66,Geschmack::N,смак,مزه
67,Geruch::N,пах,بو
68,Schlaf::N,сон,خواب
69,Traum::N,сон,رؤیا
70,Himmel::N,неба,فلک
71,Himmel::N,неба,آسمان
72,Sonne::N,сонца,آفتاب
73,Sonne::N,сонца,خورشید
74,Mond::N,месяц,ماه
75,Stern::N,зорка,ستاره
76,Luft::N,паветра,هوا
77,Wind::N,вецер,باد
78,Welle::N,хваля,موج
79,Wasser::N,вада,آب
80,Stein::N,камень,سنگ
81,Boden::N,глеба,زمین
82,Erde::N,зямля,خاک
83,Erde::N,зямля,زمین
84,Staub::N,пыл,گرد
85,Staub::N,пыл,غبار
86,Rauch::N,дым,دود
87,Funke::N,іскра,جرقه
88,Feuer::N,агонь,آتش
89,Licht::N,святло,نور
90,Licht::N,святло,روشنی
91,Schatten::N,цень,سایه
92,Wetter::N,пагода,هوا
93,Wetter::N,надворʼе,هوا
94,Nebel::N,туман,مه
95,Wolke::N,воблака,ابر
96,Regen::N,дождж,باران
97,Schnee::N,снег,برف
98,Eis::N,лёд,یخ
99,Frost::N,мароз,یخبندان
100,Kälte::N,холад,سرما
101,Hitze::N,спёка,گرما
102,Hitze::N,спёка,حرارت
103,Raureif::N,іней,برف ریزه
104,Regenbogen::N,вясёлка,رنگین‌کمان
105,Donner::N,гром,رعد
106,Strömung::N,цячэнне,جریان
107,Tropfen::N,кропля,قطره
108,Schaum::N,пена,کف
109,Schmutz::N,гразь,گل
110,Schmutz::N,гразь,کثافت
111,See::N,возера,دریاچه
112,Sumpf::N,багна,مرداب
113,Sumpf::N,багна,باتلاق
114,Moor::N,балота,باتلاق
115,Wiese::N,луг,چمن
116,Wald::N,лес,جنگل
117,Hügel::N,узгорак,تل
118,Hügel::N,узгорак,تپه
119,Anhöhe::N,узвышша,بلندی
120,Berg::N,гара,کوه
121,Gipfel::N,вяршыня,قله
122,Höhle::N,пячора,غار
123,Abhang::N,схіл,سرازیری
124,Quelle::N,крыніца,چشمه
125,Bach::N,ручай,نهر
126,Fluss::N,рака,رود
127,Ufer::N,бераг,ساحل
128,Ufer::N,бераг,کرانه
129,Küste::N,узбярэжжа,ساحل
130,Festland::N,суша,خشکی
131,Meer::N,мора,دریا
132,Bucht::N,бухта,خلیج
133,Insel::N,востраў,جزیره
134,Blume::N,кветка,گل
135,Gras::N,трава,علف
136,Wurzel::N,корань,ریشه
137,Baum::N,дрэва,درخت
138,Stamm::N,ствол,تنه
139,Rinde::N,кара,توژ
140,Rinde::N,кара,پوست
141,Ast::N,сук,شاخه
142,Zweig::N,галіна,شاخه
143,Blatt::N,ліст,برگ
144,Birke::N,бяроза,غان
145,Kiefer[Baum]::N,хвоя,کاج
146,Kiefer[Baum]::N,сасна,کاج
147,Weide[Baum]::N,вярба,بید
148,Tanne::N,яліна,صنوبر
149,Horn::N,рог,شاخ
150,Feder::N,пяро,پر
151,Fell::N,шкура,خز
152,Flügel::N,крыло,پر
153,Flügel::N,крыло,بال
154,Klaue::N,кіпцюр,چنگ
155,Klaue::N,кіпцюр,پنجه
156,Kralle::N,лапа,پنجه
157,Schwanz::N,хвост,دم
158,Ei::N,яйка,تخم
159,Nest::N,гняздо,لانه
160,Bau::N,нара,بنا
161,Bau::N,нара,ساختمان
162,Tier::N,жывёла,هیوان
163,Herde::N,статак,رمه
164,Kuh::N,карова,گاو
165,Bulle::N,бык,گاو نر
166,Pferd::N,конь,اسب
167,Schaf::N,авечка,گوسفند
168,Schwein::N,свіння,خوک
169,Hund::N,сабака,سگ
170,Katze::N,кошка,گربه
171,Bär::N,мядзведзь,خرس
172,Eichhörnchen::N,вавёрка,سنجاب
173,Elch::N,лось,گوزن شمالی
174,Fuchs::N,ліса,روباه
175,Hase::N,заяц,خرگوش
176,Maus::N,мыш,موش
177,Wolf::N,воўк,گرگ
178,Vogel::N,птах,پرنده
179,Vogel::N,птушка,پرنده
180,Schwarm::N,чарада,دسته
181,Huhn::N,курыца,مرغ
182,Hahn::N,певень,خروس
183,Gans::N,гусь,غاز
184,Adler::N,арол,عقاب
185,Ente::N,качка,اردک
186,Ente::N,качка,مرغابی
187,Eule::N,сава,جغد
188,Kranich::N,жораў,درنا
189,Kranich::N,журавель,درنا
190,Krähe::N,варона,زاغ
191,Krähe::N,варона,کلاغ
192,Kuckuck::N,зязюля,فاخته
193,Schwan::N,лебедзь,قو
194,Fisch::N,рыба,ماهی
195,Barsch::N,акунь,ماهی خاردار
196,Hecht::N,шчупак,اردک ماهی
197,Schlange[Tier]::N,змяя,مار
198,Wurm::N,чарвяк,کرم
199,Spinne::N,павук,عنکبوت
200,Ameise::N,мурашка,مورچه
201,Laus::N,вош,شپش
202,Mücke::N,камар,پشه
203,Fliege::N,муха,مگس
204,Schmetterling::N,матыль,پروانه
205,Beere::N,ягада,گیله
206,Apfel::N,яблык,سیب
207,Pilz::N,грыб,قارچ
208,Zwiebel::N,цыбуля,پیاز
209,Saat::N,семя,بذر
210,Korn::N,зерне,تخم
211,Korn::N,зерне,دانه
212,Heu::N,сена,علف خشک
213,Schale::N,шалупінне,پوست
214,Grube::N,яма,گودال
215,Falle::N,пастка,دام
216,Schlinge::N,сіло,حلقه
217,Spur::N,след,رد
218,Asche::N,попел,خاکستر
219,Dreck::N,бруд,کثافت
220,Eisen::N,жалеза,آهن
221,Gold::N,золата,زر
222,Gold::N,золата,طلا
223,Silber::N,сребра,نقره
224,Kohle::N,вугаль,زغال
225,Glas::N,шкло,شیشه
226,Lehm::N,гліна,گل
227,Sand::N,пясок,شن
228,Sand::N,пясок,ماسه
229,Mensch::N,чалавек,آدم
230,Mensch::N,чалавек,انسان
231,Mann::N,мужчына,مرد
232,Frau::N,жанчына,زن
233,Kind::N,дзіця,بچه
234,Kind::N,дзіця,کودک
235,Junge::N,хлопчык,پسر
236,Mädchen::N,дзяўчынка,دختر
237,Familie::N,сямʼя,فامیل
238,Familie::N,сямʼя,خانواده
239,Großvater::N,дзядуля,پدربزرگ
240,Großmutter::N,бабуля,مادر‌بزرگ
241,Eltern::N,бацькі,والدین
242,Eltern::N,бацькі,پدر‌و‌مادر
243,Vater::N,бацька,پدر
244,Mutter::N,маці,مادر
245,Sohn::N,сын,پسر
246,Tochter::N,дачка,دختر
247,Bruder::N,брат,برادر
248,Schwester::N,сястра,خواهر
249,Onkel::N,дзядзька,عمو
250,Onkel::N,дзядзька,دایی
251,Tante::N,цётка,عمه
252,Tante::N,цётка,خاله
253,Ehemann::N,муж,همسر
254,Ehefrau::N,жонка,همسر
255,Freude::N,радасць,شادی
256,Gelächter::N,смех,خنده
257,Gelächter::N,смех,قاه‌قاه
258,Glück::N,шчасце,اقبال
259,Kummer::N,гора,غم
260,Kummer::N,гора,غصه
261,Wunsch::N,жаданне,آرزو
262,Lust::N,цяга,هوس
263,Geist::N,дух,روح
264,Gedanke::N,думка,فکر
265,Gedächtnis::N,памяць,حافظه
266,Verstand::N,розум,هوش
267,Sinn::N,сэнс,معنا
268,Sinn::N,сэнс,مفهوم
269,Grund::N,зачэпка,سبب
270,Grund::N,зачэпка,دلیل
271,Wahrheit::N,праўда,حقیقت
272,Gespräch::N,размова,صحبت
273,Gespräch::N,размова,گفتگو
274,Märchen::N,казка,قصه
275,Märchen::N,казка,افسانه
276,Erzählung::N,расказ,داستان
277,Erzählung::N,апавяданне,داستان
278,Nachricht::N,вестка,خبر
279,Nachricht::N,паведамленне,خبر
280,Neuigkeit::N,навіна,خبر تازه
281,Name::N,імя,اسم
282,Rätsel::N,загадка,معما
283,Rede::N,прамова,سخن
284,Sprache::N,мова,زبان
285,Stimme::N,голас,صدا
286,Wort::N,слова,کلمه
287,Zeichen::N,знак,نشان
288,Zeichen::N,знак,علامت
289,Ruf::N,кліч,صدا
290,Lärm::N,шум,هیاهو
291,Laut::N,гук,صدا
292,Ton::N,гучанне,آهنگ
293,Lied::N,песня,آواز
294,Lied::N,песня,ترانه
295,Ruhe::N,спакой,آرامش
296,Leute::N,людзі,مردم
297,Volk::N,народ,خلق
298,Arbeit::N,праца,کار
299,Arbeit::N,работа,کار
300,Gast::N,госць,مهمان
301,Geschenk::N,падарунак,هدیه
302,Spiel::N,гульня,بازی
