,Concept_ID,it,ru
0,Auge::N,occhio,глаз
1,Ohr::N,orecchio,ухо
2,Nase::N,naso,нос
3,Mund::N,bocca,рот
4,Zahn::N,dente,зуб
5,Zunge::N,lingua,язык
6,Lippe::N,labbro,губа
7,Wange::N,guancia,щека
8,Gesicht::N,viso,лицо
9,Gesicht::N,faccia,лицо
10,Stirn::N,fronte,лоб
11,Haar::N,capello,волос
12,Haar::N,capello,волосы
13,Schnurrbart::N,baffi,ус
14,Schnurrbart::N,baffi,усы
15,Schnurrbart::N,mustacchi,ус
16,Schnurrbart::N,mustacchi,усы
17,Bart::N,barba,борода
18,Kinn::N,mento,подбородок
19,Kiefer[Anatomie]::N,mascella,челюсть
20,Kehle::N,gola,горло
21,Hals::N,collo,шея
22,Genick::N,nuca,затылок
23,Kopf::N,capo,голова
24,Kopf::N,testa,голова
25,Rücken::N,dorso,спина
26,Rücken::N,schiena,спина
27,Bauch::N,ventre,живот
28,Nabel::N,ombelico,пупок
29,Busen::N,seno,женская грудь
30,Brust::N,petto,грудь
31,Schulter::N,spalla,плечо
32,Arm::N,braccio,рука
33,Ellenbogen::N,gomito,локоть
34,Hand::N,mano,кисть
35,Handfläche::N,palma,ладонь
36,Finger::N,dito,палец
37,Fingernagel::N,unghia,ноготь
38,Nagel[Anatomie]::N,unghia,ноготь
39,Zeh::N,dito del piede,палец
40,Fuß::N,piede,ступня
41,Ferse::N,tallone,пята
42,Ferse::N,tallone,пятка
43,Ferse::N,calcagno,пята
44,Ferse::N,calcagno,пятка
45,Knie::N,ginocchio,колено
46,Oberschenkel::N,fèmore,бедро
47,Bein::N,gamba,нога
48,Körper::N,corpo,тело
49,Haut::N,pelle,кожа
50,Blut::N,sangue,кровь
51,Ader::N,vena,вена
52,Ader::N,vena,сосуд
53,Sehne::N,tèndine,жила
54,Sehne::N,tèndine,тетива
55,Sehne::N,tèndine,сухожилие
56,Knochen::N,osso,кость
57,Gehirn::N,cervello,мозг
58,Herz::N,cuore,сердце
59,Magen::N,stòmaco,желудок
60,Leber::N,fegato,печень
61,Atem::N,fiato,дух
62,Atem::N,fiato,дыхание
63,Atem::N,respiro,дух
64,Atem::N,respiro,дыхание
65,Hunger::N,fame,голод
66,Träne::N,làcrima,слеза
67,Geschmack::N,gusto,вкус
68,Geschmack::N,sapore,вкус
69,Geruch::N,odore,запах
70,Schlaf::N,sonno,сон
71,Traum::N,sogno,сновидение
72,Himmel::N,cielo,небо
73,Sonne::N,sole,солнце
74,Mond::N,luna,луна
75,Stern::N,stella,звезда
76,Luft::N,aria,воздух
77,Wind::N,vento,ветер
78,Welle::N,onda,волна
79,Wasser::N,acqua,вода
80,Stein::N,sasso,камень
81,Stein::N,pietra,камень
82,Boden::N,suolo,почва
83,Boden::N,terreno,почва
84,Erde::N,terra,земля
85,Staub::N,polvere,пыль
86,Rauch::N,fumo,дым
87,Funke::N,scintilla,искра
88,Feuer::N,fuoco,огонь
89,Licht::N,luce,свет
90,Schatten::N,ombra,тень
91,Wetter::N,tempo,погода
92,Nebel::N,nebbia,туман
93,Wolke::N,nube,облако
94,Wolke::N,nùvola,облако
95,Regen::N,pioggia,дождь
96,Schnee::N,neve,снег
97,Eis::N,ghiaccio,лед
98,Frost::N,gelo,мороз
99,Kälte::N,freddo,холод
100,Hitze::N,caldo,жара
101,Hitze::N,calura,жара
102,Raureif::N,brina,иней
103,Regenbogen::N,arcobaleno,радуга
104,Donner::N,tuono,гром
105,Strömung::N,corrente,течение
106,Tropfen::N,goccia,капля
107,Schaum::N,spuma,пена
108,Schaum::N,schiuma,пена
109,Schmutz::N,sudiciume,грязь
110,See::N,lago,озеро
111,Sumpf::N,palude,топь
112,Moor::N,torbiera,болото
113,Wiese::N,prato,луг
114,Wald::N,bosco,лес
115,Wald::N,foresta,лес
116,Hügel::N,colle,холм
117,Hügel::N,collina,холм
118,Anhöhe::N,altura,возвышенность
119,Berg::N,monte,гора
120,Berg::N,montagna,гора
121,Gipfel::N,cima,вершина
122,Höhle::N,grotta,пещера
123,Höhle::N,caverna,пещера
124,Abhang::N,pendìo,склон
125,Quelle::N,sorgente,источник
126,Bach::N,ruscello,ручей
127,Fluss::N,fiume,река
128,Ufer::N,riva,берег
129,Küste::N,costa,побережье
130,Festland::N,terraferma,суша
131,Meer::N,mare,море
132,Bucht::N,cala,бухта
133,Insel::N,ìsola,остров
134,Blume::N,fiore,цветок
135,Gras::N,erba,трава
136,Wurzel::N,radice,корень
137,Baum::N,àlbero,дерево
138,Stamm::N,tronco,ствол
139,Rinde::N,corteccia,кора
140,Ast::N,ramo,сук
141,Zweig::N,ramo,ветвь
142,Blatt::N,foglia,лист
143,Birke::N,betulla,береза
144,Kiefer[Baum]::N,pino,сосна
145,Weide[Baum]::N,sàlice,ива
146,Tanne::N,abete,ель
147,Horn::N,corno,рог
148,Feder::N,penna,перо
149,Fell::N,manto,шкура
150,Fell::N,pelame,шкура
151,Flügel::N,ala,крыло
152,Klaue::N,grinfia,коготь
153,Kralle::N,unghia,лапа
154,Kralle::N,artiglio,лапа
155,Schwanz::N,coda,хвост
156,Ei::N,uovo,яйцо
157,Nest::N,nido,гнездо
158,Bau::N,covo,нора
159,Tier::N,bestia,животное
160,Tier::N,animale,животное
161,Herde::N,gregge,стадо
162,Kuh::N,vacca,корова
163,Bulle::N,toro,бык
164,Pferd::N,cavallo,лошадь
165,Schaf::N,pècora,овца
166,Schwein::N,porco,свинья
167,Schwein::N,maiale,свинья
168,Hund::N,cane,собака
169,Katze::N,gatta,кошка
170,Bär::N,orso,медведь
171,Eichhörnchen::N,scoiàttolo,белка
172,Elch::N,alce,лось
173,Fuchs::N,volpe,лиса
174,Hase::N,lepre,заяц
175,Maus::N,topo,мышь
176,Maus::N,sorcio,мышь
177,Wolf::N,lupo,волк
178,Vogel::N,uccello,птица
179,Schwarm::N,stormo,стая
180,Huhn::N,gallina,курица
181,Hahn::N,gallo,петух
182,Gans::N,oca,гусь
183,Adler::N,àquila,орел
184,Ente::N,ànatra,утка
185,Eule::N,gufo,сова
186,Eule::N,civetta,сова
187,Kranich::N,gru,журавль
188,Krähe::N,cornacchia,ворона
189,Kuckuck::N,cuccù,кукушка
190,Kuckuck::N,cùculo,кукушка
191,Schwan::N,cigno,лебедь
192,Fisch::N,pesce,рыба
193,Barsch::N,pèrsico,окунь
194,Hecht::N,luccio,щука
195,Schlange[Tier]::N,serpente,змея
196,Wurm::N,baco,червяк
197,Wurm::N,verme,червяк
198,Spinne::N,ragno,паук
199,Ameise::N,formica,муравей
200,Laus::N,pidocchio,вошь
201,Mücke::N,zanzara,комар
202,Fliege::N,mosca,муха
203,Schmetterling::N,farfalla,бабочка
204,Beere::N,bacca,ягода
205,Apfel::N,mela,яблоко
206,Pilz::N,fungo,гриб
207,Zwiebel::N,cipolla,луковица
208,Saat::N,semente,семя
209,Korn::N,grano,зерно
210,Heu::N,fieno,сено
211,Schale::N,buccia,шелуха
212,Grube::N,cava,яма
213,Grube::N,fossa,яма
214,Falle::N,tràppola,ловушка
215,Schlinge::N,laccio,силок
216,Spur::N,traccia,след
217,Asche::N,cenere,зола
218,Asche::N,cenere,пепел
219,Dreck::N,fango,грязь
220,Eisen::N,ferro,железо
221,Gold::N,oro,золото
222,Silber::N,argento,серебро
223,Kohle::N,carbone,уголь
224,Glas::N,vetro,стекло
225,Lehm::N,argilla,глина
226,Sand::N,arena,песок
227,Sand::N,sabbia,песок
228,Mensch::N,uomo,человек
229,Mensch::N,èssere umano,человек
230,Mann::N,uomo,мужчина
231,Frau::N,donna,женщина
232,Kind::N,bambino,ребенок
233,Junge::N,ragazzo,мальчик
234,Mädchen::N,ragazza,девочка
235,Familie::N,famiglia,семья
236,Großvater::N,nonno,дедушка
237,Großmutter::N,nonna,бабушка
238,Eltern::N,genitori,родители
239,Vater::N,padre,отец
240,Mutter::N,madre,мать
241,Sohn::N,figlio,сын
242,Tochter::N,figlia,дочь
243,Bruder::N,fratello,брат
244,Schwester::N,sorella,сестра
245,Onkel::N,zio,дядя
246,Tante::N,zia,тетя
247,Ehemann::N,marito,муж
248,Ehefrau::N,moglie,жена
249,Freude::N,gioia,радость
250,Freude::N,piacere,радость
251,Gelächter::N,risata,смех
252,Glück::N,felicità,счастье
253,Kummer::N,afflizione,горе
254,Wunsch::N,desiderio,желание
255,Lust::N,voglia,влечение
256,Geist::N,mente,дух
257,Geist::N,spìrito,дух
258,Gedanke::N,idea,мысль
259,Gedanke::N,pensiero,мысль
260,Gedächtnis::N,memoria,память
261,Verstand::N,intelletto,ум
262,Sinn::N,senso,смысл
263,Sinn::N,significato,смысл
264,Grund::N,causa,повод
265,Grund::N,motivo,повод
266,Grund::N,ragione,повод
267,Wahrheit::N,verità,правда
268,Gespräch::N,discorso,беседа
269,Gespräch::N,conversazione,беседа
270,Märchen::N,fiaba,сказка
271,Märchen::N,fàvola,сказка
272,Erzählung::N,racconto,рассказ
273,Erzählung::N,narrazione,рассказ
274,Nachricht::N,messaggio,сообщение
275,Neuigkeit::N,notizia,новость
276,Name::N,nome,имя
277,Rätsel::N,indovinello,загадка
278,Rede::N,discorso,речь
279,Sprache::N,lingua,язык
280,Sprache::N,linguaggio,язык
281,Stimme::N,voce,голос
282,Wort::N,parola,слово
283,Zeichen::N,segno,знак
284,Zeichen::N,segnale,знак
285,Ruf::N,chiamata,зов
286,Lärm::N,chiasso,шум
287,Lärm::N,strèpito,шум
288,Laut::N,suono,звук
289,Ton::N,tono,звучание
290,Lied::N,canto,песня
291,Lied::N,canzone,песня
292,Ruhe::N,calma,покой
293,Ruhe::N,tranquillità,покой
294,Leute::N,gente,люди
