,Concept_ID,sah,en
0,Auge::N,харах,eye
1,Ohr::N,кулгаах,ear
2,Nase::N,мурун,nose
3,Mund::N,айах,mouth
4,Zahn::N,тиис,tooth
5,Zunge::N,тыл,tongue
6,Lippe::N,уос,lip
7,Wange::N,иэдэс,cheek
8,Gesicht::N,сирэй,face
9,Stirn::N,сүүс,forehead
10,Haar::N,баттах,hair
11,Schnurrbart::N,уос бытыга,moustache
12,Bart::N,сэҥийэ бытыга,beard
13,Kinn::N,сэҥийэ,chin
14,Kiefer[Anatomie]::N,сыҥаах,jaw
15,Kehle::N,тамах,throat
16,Kehle::N,күөмэй,throat
17,Hals::N,моой,neck
18,Genick::N,кэтэх,nape
19,Kopf::N,бас,head
20,Rücken::N,көҕүс,back
21,Rücken::N,көҕүс,spine
22,Bauch::N,ис,belly
23,Nabel::N,киин,navel
24,Busen::N,эмиий,bosom
25,Brust::N,түөс,chest
26,Brust::N,түөс,breast
27,Schulter::N,сарын,shoulder
28,Arm::N,илии,arm
29,Ellenbogen::N,тоҕонох,elbow
30,Hand::N,илии,hand
31,Handfläche::N,ытыс,palm
32,Finger::N,тарбах,finger
33,Fingernagel::N,тыҥырах,fingernail
34,Nagel[Anatomie]::N,тыҥырах,nail
35,Zeh::N,тарбах,toe
36,Fuß::N,уллуҥах,foot
37,Ferse::N,тилэх,heel
38,Knie::N,тобук,knee
39,Knie::N,дьилбэк,knee
40,Oberschenkel::N,уллук,thigh
41,Oberschenkel::N,өттүк,thigh
42,Bein::N,атах,leg
43,Körper::N,бэйэ,body
44,Haut::N,тирии,skin
45,Blut::N,хаан,blood
46,Ader::N,вена,vein
47,Ader::N,күөх_тымыр,vein
48,Sehne::N,иҥиир,sinew
49,Knochen::N,уҥуох,bone
50,Knochen::N,уҥгуох,bone
51,Gehirn::N,мэйии,brain
52,Herz::N,сүрэх,heart
53,Magen::N,куртах,stomach
54,Leber::N,быар,liver
55,Atem::N,тыын,breath
56,Hunger::N,аас,hunger
57,Träne::N,харах уута,tear
58,Geschmack::N,амтан,flavour
59,Geschmack::N,амтан,flavor
60,Geruch::N,сыт,odour
61,Geruch::N,сыт,odor
62,Schlaf::N,утуйуу,sleep
63,Traum::N,түүл,dream
64,Himmel::N,халлаан,sky
65,Sonne::N,күн,sun
66,Mond::N,ый,moon
67,Stern::N,сулус,star
68,Luft::N,салгын,air
69,Wind::N,тыал,wind
70,Welle::N,долгун,wave
71,Welle::N,балхаан,wave
72,Wasser::N,уу,water
73,Stein::N,таас,stone
74,Boden::N,сир,soil
75,Boden::N,сир,ground
76,Erde::N,буор,earth
77,Staub::N,быыл,dust
78,Rauch::N,буруо,smoke
79,Funke::N,кыым,spark
80,Feuer::N,уот,fire
81,Licht::N,уот,light
82,Schatten::N,күлүк,shadow
83,Wetter::N,күн-дьыл,weather
84,Nebel::N,туман,fog
85,Wolke::N,былыт,cloud
86,Regen::N,самыыр,rain
87,Schnee::N,хаар,snow
88,Eis::N,муус,ice
89,Frost::N,тымныы,frost
90,Kälte::N,тымныы,chill
91,Hitze::N,куйаас,heat
92,Raureif::N,кырыа,hoarfrost
93,Regenbogen::N,кустук,rainbow
94,Donner::N,этиҥ,thunder
95,Strömung::N,сүүрүк,current
96,Tropfen::N,таммах,drop
97,Tropfen::N,хааппыла,drop
98,Schaum::N,күүгэн,foam
99,Schmutz::N,кир,dirt
100,See::N,күөл,lake
101,Sumpf::N,бадараан,swamp
102,Moor::N,дьэбэрэ,moor
103,Wiese::N,ходуһа,meadow
104,Wald::N,ойуур,forest
105,Hügel::N,булгунньах,hill
106,Anhöhe::N,үрдэл,elevation
107,Berg::N,хайа,mountain
