,Concept_ID,mn,ab
0,Auge::N,нүд,ала
1,Ohr::N,чих,алымҳа
2,Nase::N,хамар,аҧынҵа
3,Mund::N,ам,аҧышə
4,Zahn::N,шүд,ахаҧыц
5,Zunge::N,хэл,абз
6,Lippe::N,уруул,ақьышə
7,Wange::N,хацар,аӡамҩа
8,Gesicht::N,царай,аҿы
9,Gesicht::N,нүүр,аҿы
10,Stirn::N,дух,алахь
11,Haar::N,үс,ахəыц
12,Schnurrbart::N,дээд сахал,аҧаҵа
13,Schnurrbart::N,живэр сахал,аҧаҵа
14,Bart::N,сахал,ажакьа
15,Kinn::N,эрүү,ацламкəыгə
16,Kiefer[Anatomie]::N,эрүү,ацламҳəа
17,Kehle::N,хоолой,ахəда
18,Hals::N,хүзүү,ахəда
19,Genick::N,шил,ахəдаџьал
20,Genick::N,хүзүү,ахəдаџьал
21,Kopf::N,толгой,ахы
22,Rücken::N,ар,азқəа
23,Rücken::N,нуруу,азқəа
24,Bauch::N,хэвлий,амгəа
25,Bauch::N,гэдэс,амгəа
26,Nabel::N,хүйс,аҷапан
27,Busen::N,хөх,агəыҧҳəы
28,Brust::N,цээж,агəышҧы
29,Schulter::N,мөр,ажəҩахыр
30,Schulter::N,бугалга,ажəҩахыр
31,Arm::N,гар,амахəар
32,Ellenbogen::N,тохой,амашьхəылҵ
33,Hand::N,гар,анапы
34,Hand::N,алга,анапы
35,Handfläche::N,алга,анапсаргəыҵа
36,Finger::N,хуруу,анацəа
37,Fingernagel::N,хурууны хумс,анапхыц
38,Nagel[Anatomie]::N,хумс,ашьапхыц
39,Zeh::N,хуруу,ашьацəа
40,Fuß::N,хөл,ашьапсыргəыҵа
41,Ferse::N,өсгий,ашьхəа
42,Knie::N,өвдөг,ашьамхы
43,Oberschenkel::N,гуя,ауаҭəа
44,Bein::N,хөл,ашьапы
45,Körper::N,бие,ацəеижь
46,Haut::N,арьс,ацəа
47,Blut::N,цус,ашьа
48,Ader::N,судас,ада
49,Sehne::N,бүлх,адаш
50,Sehne::N,шандас,адаш
51,Knochen::N,яс,абаҩ
52,Gehirn::N,тархи,ахшлыбаҩ
53,Gehirn::N,тархи,ахшыбаҩ
54,Herz::N,зүрх,агəы
55,Magen::N,ходоод,аца
56,Magen::N,ходоод,ацар
57,Leber::N,элэг,агəаҵəа
58,Atem::N,амьсгаа,аҧсыҧлагаҩгара
59,Hunger::N,өлсгөлөн,амла
60,Träne::N,нулимс,алабжыш
61,Geschmack::N,амт,агьама
62,Geruch::N,үнэр,афҩы
63,Schlaf::N,нойр,ацəа
64,Traum::N,зүүд,аҧхыӡ
65,Himmel::N,тэнгэр,ажəҩан
66,Himmel::N,огторгуй,ажəҩан
67,Sonne::N,нар,амра
68,Mond::N,сар,амза
69,Stern::N,од,аеҵəа
70,Luft::N,агаар,аҳаир
71,Wind::N,салхи,аҧша
72,Welle::N,долгио,ацəқəырҧа
73,Welle::N,давалгаа,ацəқəырҧа
74,Wasser::N,ус,аӡы
75,Stein::N,чулуу,ахаҳə
76,Boden::N,хөрс,адгьыл
77,Erde::N,газар,адгьыл
78,Erde::N,шороо,адгьыл
79,Staub::N,тоос,асаба
80,Rauch::N,утаа,алҩа
81,Funke::N,оч,акəиц
82,Funke::N,оч,ацҧхь
83,Feuer::N,гал,амца
84,Licht::N,гэрэл,алашара
85,Licht::N,гэгээ,алашара
86,Schatten::N,сүүдэр,ашəшьыра
87,Wetter::N,тэнгэр,амш
88,Wetter::N,цаг уур,амш
89,Nebel::N,будан,анаҟəа
90,Wolke::N,үүл,аҧсҭҳəа
91,Regen::N,бороо,ақəа
92,Schnee::N,цас,асы
93,Eis::N,мөс,аҵаа
94,Frost::N,хүйт,аҵаа
95,Kälte::N,хүйт,ахьҭа
96,Hitze::N,халуун,ашоура
97,Raureif::N,цан,аҵааҧшқа
98,Raureif::N,хяруу,аҵааҧшқа
99,Regenbogen::N,солонго,ацəаҟəа
100,Donner::N,тэнгэрийн дуу,адыд
101,Strömung::N,урсгал,аиасра
102,Strömung::N,урсгал,амҩасра
103,Tropfen::N,дусал,ацəыкəбар
104,Schaum::N,хөөс,ашəах
105,Schmutz::N,хир,алымт
106,Schmutz::N,шавхай,алымт
107,See::N,нуур,аӡиа
108,Sumpf::N,намаг,аӡмах
109,Sumpf::N,балчиг,аӡмах
110,Moor::N,хүлрийн намаг,
111,Wiese::N,нуга,адəы
112,Wald::N,ой,абна
113,Hügel::N,болдог,ахəы
114,Anhöhe::N,гүвээ,аҳаракыра
115,Berg::N,уул,ашьха
116,Gipfel::N,орой,ацəқəа
117,Gipfel::N,оргил,ацəқəа
118,Höhle::N,агуй,аҳаҧы
119,Abhang::N,хүр,анаара
120,Quelle::N,булаг,аҵҵырҭа
121,Bach::N,горхи,акəараҷҷа
122,Fluss::N,гол,аӡиас
123,Fluss::N,мөрөн,аӡиас
124,Ufer::N,эрэг,ахықə
125,Küste::N,эрэг,ахықə
126,Festland::N,хуурай газар,абарра
127,Meer::N,далай,амшын
128,Meer::N,тэнгис,амшын
129,Bucht::N,булан,аӡбжьахала
130,Bucht::N,далайн тохой,аӡбжьахала
131,Insel::N,арал,адгьылбжьаха
132,Blume::N,цэцэг,ашəҭ
133,Gras::N,өвс,аҳасакьын
134,Gras::N,ногоо,аҳасакьын
135,Wurzel::N,үндэс,адац
136,Baum::N,мод,аҵла
137,Stamm::N,иш,ашьапы
138,Stamm::N,гуалин,ашьапы
139,Rinde::N,холтос,ацəа
140,Ast::N,гишүү,амахə
141,Ast::N,гишүү,амахəҭа
142,Zweig::N,салаа,амахə
143,Zweig::N,салаа,амахəҭа
144,Blatt::N,навч,абҕьы
145,Birke::N,хус,аҵааҵла
146,Kiefer[Baum]::N,нарс,амза
147,Weide[Baum]::N,уд,аҧслыш
148,Weide[Baum]::N,бургас,аҧслыш
149,Tanne::N,гачуур,аҧсаӡ
150,Horn::N,эвэр,атəыҩа
151,Feder::N,өд,ахӡы
152,Fell::N,арьс,ацəа
153,Flügel::N,жигүүр,амҵəыжəа
154,Flügel::N,далавч,амҵəыжəа
155,Klaue::N,савар,ашьапхыц
156,Klaue::N,хумс,ашьапхыц
157,Kralle::N,савар,
158,Schwanz::N,сүүл,аҵыхəа
159,Ei::N,өндөг,акəтаӷь
160,Nest::N,үүр,аҭра
161,Nest::N,үүр,аҵысҭра
162,Bau::N,нүх,аҭыҩра
163,Bau::N,элүү,аҭыҩра
164,Tier::N,амьтан,аҧстəы
165,Tier::N,амьтан,агыгшəыг
166,Tier::N,адгуус,аҧстəы
167,Tier::N,адгуус,агыгшəыг
168,Herde::N,сүрэг,агəарҭа
169,Kuh::N,үнээ,ажə
170,Bulle::N,бух,ацə
171,Pferd::N,морь,аҽы
172,Pferd::N,адуу,аҽы
173,Schaf::N,хонь,ауаса
174,Schwein::N,гахай,аҳəа
175,Hund::N,нохой,ала
176,Katze::N,муур,ацгəы
177,Katze::N,мигуй,ацгəы
178,Bär::N,баавгай,амшə
179,Eichhörnchen::N,хэрэм,аеш
180,Elch::N,хандгай,аҽаҩа
181,Fuchs::N,үнэг,абгахəыҷы
182,Hase::N,туулай,ажьа
