,Concept_ID,is,ca
0,Auge::N,auga,ull
1,Ohr::N,eyra,orella
2,Nase::N,nef,nas
3,Mund::N,munnur,boca
4,Zahn::N,tönn,dent
5,Zunge::N,tunga,llēngua
6,Lippe::N,vör,llavi
7,Wange::N,kinn,galta
8,Wange::N,vangi,galta
9,Gesicht::N,andlit,cara
10,Stirn::N,enni,front
11,Haar::N,hár,cabēll
12,Schnurrbart::N,yfirskegg,bigoti
13,Bart::N,skegg,barba
14,Kinn::N,haka,mentó
15,Kinn::N,haka,barbeta
16,Kiefer[Anatomie]::N,kjálki,queix
17,Kiefer[Anatomie]::N,kjálki,mandíbula
18,Kiefer[Anatomie]::N,skoltur,queix
19,Kiefer[Anatomie]::N,skoltur,mandíbula
20,Kehle::N,kverk,gola
21,Kehle::N,kverk,gorja
22,Hals::N,háls,coll
23,Genick::N,hnakki,nuca
24,Kopf::N,höfuð,cap
25,Rücken::N,hryggur,esquena
26,Bauch::N,kviður,panxa
27,Nabel::N,nafli,llombrígol
28,Busen::N,barmur,pit
29,Busen::N,barmur,mama
30,Brust::N,brjóst,pit
31,Schulter::N,öxl,espatlla
32,Arm::N,armur,braç
33,Ellenbogen::N,olnbogi,colze
34,Hand::N,hönd,mà
35,Handfläche::N,lófi,palma
36,Finger::N,fingur,dit
37,Fingernagel::N,fingurnögl,ungla
38,Nagel[Anatomie]::N,nögl,ungla
39,Zeh::N,tá,dit del peu
40,Fuß::N,fótur,peu
41,Ferse::N,hæll,taló
42,Knie::N,kné,genoll
43,Oberschenkel::N,læri,cuixa
44,Bein::N,fótleggur,cama
45,Körper::N,búkur,cos
46,Körper::N,líkami,cos
47,Haut::N,húð,pell
48,Haut::N,skinn,pell
49,Blut::N,blóð,sang
50,Ader::N,æð,vena
51,Sehne::N,sin,tendó
52,Knochen::N,bein,os
53,Gehirn::N,heili,cervell
54,Herz::N,hjarta,cor
55,Magen::N,magi,estómac
56,Leber::N,lifur,fetge
57,Atem::N,andi,alè
58,Atem::N,andi,hàlit
59,Atem::N,andardráttur,alè
60,Atem::N,andardráttur,hàlit
61,Hunger::N,hungur,fam
62,Hunger::N,hungur,gana
63,Träne::N,tár,llàgrima
64,Geschmack::N,smekkur,gust
65,Geschmack::N,smekkur,sabor
66,Geruch::N,lykt,olor
67,Schlaf::N,svefn,son
68,Traum::N,draumur,somni
69,Himmel::N,himinn,celm
70,Sonne::N,sól,sol
71,Mond::N,tungl,lluna
72,Stern::N,stjarna,estel
73,Stern::N,stjarna,estrella
74,Luft::N,loft,aire
75,Wind::N,vindur,vent
76,Welle::N,alda,ona
77,Welle::N,bylgja,ona
78,Wasser::N,vatn,āigua
79,Stein::N,steinn,pedra
80,Boden::N,botn,sòl
81,Erde::N,jörð,terra
82,Staub::N,ryk,pols
83,Staub::N,duft,pols
84,Rauch::N,reykur,fum
85,Funke::N,neisti,guspira
86,Funke::N,neisti,centella
87,Feuer::N,eldur,foc
88,Licht::N,ljós,llum
89,Schatten::N,skuggi,ombra
90,Wetter::N,veður,temps
91,Nebel::N,þoka,boira
92,Wolke::N,ský,núvol
93,Regen::N,regn,pluja
94,Schnee::N,snjór,neu
95,Eis::N,ís,gel
96,Eis::N,ís,glaç
97,Frost::N,frost,glaçada
98,Kälte::N,kuldi,fred
99,Hitze::N,hiti,calor
100,Raureif::N,hrím,gebre
101,Regenbogen::N,regnbogi,arc iris
102,Donner::N,þruma,tro
103,Strömung::N,straumur,corrent
104,Tropfen::N,dropi,gota
105,Schaum::N,froða,escuma
106,Schmutz::N,óhreinindi,brutícia
107,See::N,stöðuvatn,llac
108,Sumpf::N,fen,pantà
109,Moor::N,mýri,pantà
110,Wiese::N,engi,prat
111,Wiese::N,engi,prada
112,Wald::N,skógur,bosc
113,Hügel::N,hæð,puig
114,Hügel::N,hæð,pujol
115,Hügel::N,hóll,puig
116,Hügel::N,hóll,pujol
117,Anhöhe::N,hæð,turó
118,Anhöhe::N,hóll,turó
119,Berg::N,fell,muntanya
120,Berg::N,fjall,muntanya
121,Gipfel::N,tindur,cim
122,Höhle::N,hellir,cova
123,Abhang::N,hlíð,coster
124,Abhang::N,brekka,coster
125,Quelle::N,lind,font
126,Quelle::N,uppspretta,font
127,Bach::N,lækur,riera
128,Fluss::N,á,riu
129,Fluss::N,fljót,riu
130,Ufer::N,árbakki,riba
131,Ufer::N,sjávarbakki,riba
132,Küste::N,strönd,costa
133,Festland::N,meginland,terra ferma
134,Meer::N,haf,mar
135,Meer::N,sjór,mar
136,Bucht::N,vík,cala
137,Bucht::N,vík,badia
138,Insel::N,eyja,illa
139,Blume::N,blóm,flor
140,Gras::N,gras,herba
141,Wurzel::N,rót,rel
