,Concept_ID,lbe,az
0,Auge::N,я,göz
1,Ohr::N,вичӏи,qulaq
2,Nase::N,май,burun
3,Mund::N,кьацӏ,ağız
4,Zahn::N,ккарччи,diş
5,Zunge::N,маз,dil
6,Lippe::N,мурччи,dodaq
7,Wange::N,чӏав,yanaq
8,Gesicht::N,лажин,üz
9,Stirn::N,ненттабакӏ,alın
10,Haar::N,чӏара,saç
11,Schnurrbart::N,ссирссилтту,bığ
12,Bart::N,чӏири,saqqal
13,Kinn::N,лунттубакӏ,çənə
14,Kiefer[Anatomie]::N,ххинчулул,çənə
15,Kehle::N,кьакьари,boğaz
16,Hals::N,ссурссу,boyun
17,Genick::N,махъабакӏ,ənsə
18,Kopf::N,бакӏ,baş
19,Rücken::N,ттиликӏ,bel
20,Bauch::N,лякьа,qarın
21,Nabel::N,цӏумуккутӏ,göbək
22,Busen::N,ккукку,məmə
23,Brust::N,хъазам,döş
24,Schulter::N,хъачӏ,çiyin
25,Arm::N,ка,qol
26,Ellenbogen::N,ссюрхъ,dirsək
27,Hand::N,бартка,əl
28,Handfläche::N,хъат,ovuc
29,Handfläche::N,битӏянхъ,ovuc
30,Finger::N,кӏисса,barmaq
31,Fingernagel::N,михь,barmaq dırnağı
32,Nagel[Anatomie]::N,михь,dırnak
33,Zeh::N,кӏисса,ayaq barmağı
34,Fuß::N,чӏанччан,ayaq
35,Ferse::N,никъа,daban
36,Knie::N,ник,diz
37,Oberschenkel::N,жира,bud
38,Bein::N,ччан,qıç
39,Körper::N,чурх,əndam
40,Haut::N,бурчу,dəri
41,Blut::N,оь,qan
42,Ader::N,тунну,damar
43,Sehne::N,хьхьа,vətər
44,Knochen::N,ттаркӏ,sümük
45,Gehirn::N,ня,beyin
46,Herz::N,дакӏ,ürək
47,Herz::N,къюкӏ,ürək
48,Magen::N,лякьа,mədə
49,Atem::N,ссихӏ ласаву,nəfəs
50,Atem::N,ссихӏ бигьаву,nəfəs
51,Hunger::N,ккаши,aclıq
52,Träne::N,макь,göz yaşı
53,Geschmack::N,тӏин,tam
54,Geschmack::N,тӏин,ləzzət
55,Geschmack::N,тӏааьн,tam
56,Geschmack::N,тӏааьн,ləzzət
57,Geruch::N,кьанкь,qoxu
58,Schlaf::N,шану,yuxu
59,Traum::N,макӏру,röya
60,Himmel::N,ссав,göy
61,Himmel::N,ссав,səma
62,Sonne::N,баргъ,günəş
63,Mond::N,барз,ay
64,Stern::N,цӏуку,ulduz
65,Luft::N,гьава,hava
66,Wind::N,марч,yel
67,Wind::N,марч,külək
68,Welle::N,щатӏи,dalğa
69,Wasser::N,щин,su
70,Stein::N,чару,daş
71,Boden::N,аьрщи,yer
72,Boden::N,аьрщи,zəmin
73,Erde::N,аьрщи,yer torpaq
74,Staub::N,ххит,toz
75,Rauch::N,пуркӏу,tüstü
76,Funke::N,пиягь,qığılcım
77,Feuer::N,цӏу,od
78,Licht::N,чани,işıq
79,Schatten::N,ххют,kölgə
80,Wetter::N,гьава,hava
81,Nebel::N,шархь ттурлу,duman
82,Wolke::N,ттурлу,bulud
83,Regen::N,гъарал,yağış
84,Regen::N,гъарал,yağmur
85,Schnee::N,марххала,qar
86,Eis::N,микӏ,buz
87,Frost::N,дяркъу,ayaz
88,Frost::N,замгьар,ayaz
89,Kälte::N,дяркъу,soyuq
90,Hitze::N,кӏиришиву,coşğunluq
91,Raureif::N,сил,qırov
92,Raureif::N,бурса,qırov
93,Regenbogen::N,ссурул ккуртта,göy qurşağı
94,Donner::N,къув,göy gurultusu
95,Strömung::N,экьинанаву,axın
96,Tropfen::N,кӏунтӏ,damcı
97,Schaum::N,хьама,köpük
98,Schmutz::N,кьяркьи,çamır
99,See::N,бяр,göl
100,Sumpf::N,кунцӏа,bataqlıq
101,Wiese::N,кьан,çəmən
102,Wald::N,вацӏа,meşə
103,Hügel::N,бакӏу,təpə
104,Berg::N,зунтту,dağ
105,Gipfel::N,мицӏ,zirvə
106,Höhle::N,нух,mağara
107,Abhang::N,сун,yamac
108,Quelle::N,дайдихьу,bulaq
109,Quelle::N,бакӏ,bulaq
110,Bach::N,чӏрир нех,kiçik çay
111,Fluss::N,нех,çay
112,Ufer::N,зума,kənar
113,Küste::N,зумаинхалу,sahil
114,Küste::N,зуманицӏалу,sahil
115,Festland::N,кьири,materik
116,Meer::N,хьхьири,dəniz
117,Insel::N,жазира,ada
118,Blume::N,тӏутӏи,çiçək
119,Gras::N,уртту,ot
120,Wurzel::N,мархха,kök
121,Baum::N,мурхь,ağac
122,Stamm::N,ттарцӏ,gövdə
123,Rinde::N,ккамара,qabıq
124,Ast::N,матӏи,şax
125,Zweig::N,къяртта,budaq
126,Blatt::N,чӏапӏи,yarpaq
127,Birke::N,кӏялахӏи,tozağacı
128,Birke::N,кӏялахӏилул мурхь,tozağacı
129,Kiefer[Baum]::N,ттар,şam
130,Kiefer[Baum]::N,ттарлил мурхь,şam
131,Weide[Baum]::N,щавщи,söyüd
132,Tanne::N,ттарлил мурхь,küknar
133,Horn::N,хъи,buynuz
134,Feder::N,лелуххул тӏиму,tük
135,Feder::N,лелуххул тӏиму,lələk
136,Fell::N,бурчу,xəz
137,Flügel::N,хъа,qanad
138,Flügel::N,ххурупӏайрал тӏиму,qanad
139,Klaue::N,михь,pəncə
140,Kralle::N,ххяппа,dırnaq
141,Schwanz::N,магъ,quyruq
142,Ei::N,ккунук,yumurta
143,Nest::N,кюру,yuva
144,Bau::N,цукъуккутӏ,yuva
145,Tier::N,хӏайван,heyvan
146,Herde::N,газу,sürü
147,Kuh::N,оьл,inək
148,Bulle::N,ниц,öküz
149,Pferd::N,чу,at
150,Schaf::N,тта,qoyun
151,Schwein::N,дунгъуз,donuz
152,Hund::N,ккаччи,it
153,Hund::N,ккаччи,köpək
154,Katze::N,ччиту,pişik
155,Bär::N,цуша,ayı
156,Eichhörnchen::N,бюрхттукку,dələ
157,Elch::N,ниц-бюрин,sığın
158,Fuchs::N,цулчӏа,tülkü
159,Fuchs::N,куча цулчӏа,tülkü
160,Hase::N,бюрх,dovşan
161,Maus::N,кӏулу,siçan
162,Wolf::N,барцӏ,qurd
163,Vogel::N,лелуххи,quş
164,Schwarm::N,гьухъала,sürü
165,Huhn::N,аьнакӏи,toyuq
166,Hahn::N,ажари,xoruz
