,Concept_ID,sah,ga
0,Auge::N,харах,súil
1,Ohr::N,кулгаах,cluas
2,Nase::N,мурун,soc
3,Mund::N,айах,béal
4,Zahn::N,тиис,fiacail
5,Zunge::N,тыл,teanga
6,Lippe::N,уос,liopa
7,Wange::N,иэдэс,grua
8,Wange::N,иэдэс,leiceann
9,Gesicht::N,сирэй,éadan
10,Gesicht::N,сирэй,aghaidh
11,Stirn::N,сүүс,baithis
12,Stirn::N,сүүс,clár éadain
13,Haar::N,баттах,gruaig
14,Schnurrbart::N,уос бытыга,croiméal
15,Bart::N,сэҥийэ бытыга,féasóg
16,Kinn::N,сэҥийэ,smig
17,Kiefer[Anatomie]::N,сыҥаах,giall
18,Kehle::N,тамах,scornach
19,Kehle::N,күөмэй,scornach
20,Hals::N,моой,muinéal
21,Genick::N,кэтэх,baic
22,Kopf::N,бас,ceann
23,Rücken::N,көҕүс,droim
24,Bauch::N,ис,bolg
25,Nabel::N,киин,imleacán
26,Busen::N,эмиий,cíoch
27,Brust::N,түөс,brollach
28,Schulter::N,сарын,gualainn
29,Arm::N,илии,lámh
30,Ellenbogen::N,тоҕонох,uillinn
31,Hand::N,илии,lámh
32,Handfläche::N,ытыс,bos
33,Finger::N,тарбах,méar
34,Fingernagel::N,тыҥырах,ionga
35,Nagel[Anatomie]::N,тыҥырах,ionga
36,Zeh::N,тарбах,ladhar
37,Fuß::N,уллуҥах,cos
38,Fuß::N,уллуҥах,troigh
39,Ferse::N,тилэх,sáil
40,Knie::N,тобук,glúin
41,Knie::N,дьилбэк,glúin
42,Oberschenkel::N,уллук,ceathrú
43,Oberschenkel::N,өттүк,ceathrú
44,Bein::N,атах,cos
45,Körper::N,бэйэ,corp
46,Körper::N,бэйэ,colainn
47,Haut::N,тирии,cneas
48,Haut::N,тирии,craiceann
49,Blut::N,хаан,fuil
50,Ader::N,вена,
51,Ader::N,күөх_тымыр,
52,Sehne::N,иҥиир,teannán
53,Sehne::N,иҥиир,féitheog
54,Knochen::N,уҥуох,cnámh
55,Knochen::N,уҥгуох,cnámh
56,Gehirn::N,мэйии,inchinn
57,Herz::N,сүрэх,croí
58,Magen::N,куртах,bolg
59,Magen::N,куртах,goile
60,Leber::N,быар,ae
61,Atem::N,тыын,anáil
62,Hunger::N,аас,ocras
63,Träne::N,харах уута,deoir
64,Geschmack::N,амтан,blas
65,Geruch::N,сыт,boladh
66,Schlaf::N,утуйуу,suan
67,Schlaf::N,утуйуу,codladh
68,Traum::N,түүл,taibhreamh
69,Himmel::N,халлаан,spéir
70,Sonne::N,күн,grian
71,Mond::N,ый,ré
72,Mond::N,ый,gealach
73,Stern::N,сулус,rinn
74,Stern::N,сулус,réalta
75,Luft::N,салгын,aer
76,Wind::N,тыал,gaoth
77,Welle::N,долгун,tonn
78,Welle::N,балхаан,tonn
79,Wasser::N,уу,uisce
80,Stein::N,таас,cloch
81,Boden::N,сир,talamh
82,Erde::N,буор,cré
83,Erde::N,буор,ithir
84,Staub::N,быыл,dusta
85,Staub::N,быыл,deannach
86,Rauch::N,буруо,toit
87,Rauch::N,буруо,deatach
88,Funke::N,кыым,drithle
89,Feuer::N,уот,tine
90,Licht::N,уот,solas
91,Schatten::N,күлүк,scáth
92,Wetter::N,күн-дьыл,aimsir
93,Nebel::N,туман,ceo
94,Wolke::N,былыт,néal
95,Wolke::N,былыт,scamall
96,Regen::N,самыыр,báisteach
97,Regen::N,самыыр,fearthainn
98,Schnee::N,хаар,sneachta
99,Eis::N,муус,oighear
100,Frost::N,тымныы,sioc
101,Kälte::N,тымныы,fuacht
102,Hitze::N,куйаас,teas
103,Hitze::N,куйаас,teocht
104,Raureif::N,кырыа,sioc bán
105,Regenbogen::N,кустук,stua ceatha
106,Regenbogen::N,кустук,bogha báistí
107,Donner::N,этиҥ,toirneach
108,Strömung::N,сүүрүк,sruth
109,Tropfen::N,таммах,deoir
110,Tropfen::N,хааппыла,deoir
111,Schaum::N,күүгэн,cúr
112,Schmutz::N,кир,salachar
113,See::N,күөл,loch
114,Sumpf::N,бадараан,portach
115,Moor::N,дьэбэрэ,caorán
116,Moor::N,дьэбэрэ,móinteán
117,Wiese::N,ходуһа,cluain
118,Wiese::N,ходуһа,móinéar
119,Wald::N,ойуур,coill
120,Wald::N,ойуур,foraois
121,Hügel::N,булгунньах,ard
122,Anhöhe::N,үрдэл,ard
123,Anhöhe::N,үрдэл,ardán
124,Berg::N,хайа,sliabh
125,Gipfel::N,чыпчаал,barr
126,Gipfel::N,чыпчаал,mullach
127,Höhle::N,хайа_хаспаҕа,uaimh
128,Höhle::N,хайа_хаспаҕа,pluais
129,Höhle::N,көҥүс,uaimh
130,Höhle::N,көҥүс,pluais
131,Abhang::N,эниэ,fána
132,Quelle::N,дьүүктэ,foinse
133,Bach::N,үрүйэ,sruthán
134,Fluss::N,өрүс,abhainn
135,Ufer::N,биэрэк,bruach
136,Küste::N,кытыл,cósta
137,Küste::N,кытыл,cladach
138,Festland::N,кураанах сир,míntír
139,Meer::N,муора,muir
140,Meer::N,муора,farraige
141,Bucht::N,хомо,bá
142,Bucht::N,хомо,cuan
143,Bucht::N,бухта,bá
144,Bucht::N,бухта,cuan
145,Insel::N,арыы,inis
146,Insel::N,арыы,oileán
147,Blume::N,сибэкки,bláth
148,Gras::N,от,féar
149,Wurzel::N,силис,rúta
150,Wurzel::N,силис,fréamh
151,Baum::N,мас,crann
152,Stamm::N,умнас,stoc
153,Stamm::N,умнас,tamhan
154,Rinde::N,хатырык,coirt
155,Rinde::N,хатырык,craiceann
156,Ast::N,мутук,géag
157,Zweig::N,лабаа,géag
158,Zweig::N,лабаа,craobh
159,Blatt::N,сэбирдэх,duille
160,Blatt::N,сэбирдэх,duilleog
161,Birke::N,хатыҥ,beith
162,Birke::N,хатыҥ,crann beithe
163,Kiefer[Baum]::N,бэс,péine
164,Weide[Baum]::N,үөт,saileach
165,Weide[Baum]::N,талах,saileach
166,Tanne::N,харыйа,giúis
167,Horn::N,муос,adharc
168,Feder::N,куорсун,cleite
169,Fell::N,тирии,clúmh
170,Flügel::N,кынат,eite
171,Flügel::N,кынат,sciathán
172,Klaue::N,тыҥырах,crúb
173,Klaue::N,тыҥырах,crobh
174,Kralle::N,баппаҕай,crobh
175,Schwanz::N,кутурук,eireaball
176,Ei::N,сымыыт,ubh
177,Nest::N,уйа,nead
178,Bau::N,хороон,brocais
179,Tier::N,кыыл,ainmhí
180,Tier::N,кыыл,beithíoch
181,Tier::N,харамай,ainmhí
182,Tier::N,харамай,beithíoch
183,Herde::N,үөр,tréad
184,Kuh::N,ынах,bó
185,Bulle::N,оҕус,tarbh
186,Pferd::N,сылгы,each
187,Pferd::N,сылгы,capall
188,Schaf::N,овца,caora
189,Schwein::N,сибиинньэ,muc
190,Hund::N,ыт,madra
191,Katze::N,куоска,cat
192,Bär::N,эһэ,béar
193,Eichhörnchen::N,тииҥ,iora
194,Elch::N,тайах,eilc
195,Fuchs::N,саһыл,sionnach
196,Fuchs::N,саһыл,madra rua
197,Hase::N,куобах,giorria
198,Maus::N,кутуйах,luch
199,Wolf::N,бөрө,mac tíre
200,Vogel::N,көтөр,éan
201,Schwarm::N,бөлөх,saithe
202,Huhn::N,куурусса,cearc
203,Hahn::N,бөтүүк,coileach
204,Gans::N,хаас,gé
205,Adler::N,хотой,iolar
206,Ente::N,кус,lacha
207,Eule::N,мэкчиргэ,ulchabhán
208,Kranich::N,туруйа,grús
209,Krähe::N,тураах,caróg
210,Krähe::N,тураах,préachán
211,Kuckuck::N,кэҕэ,cuach
212,Schwan::N,куба,eala
