,Concept_ID,ja,te
0,Auge::N,目,కన్ను
1,Ohr::N,耳,చెవి
2,Nase::N,鼻,ముక్కు
3,Mund::N,口,నోరు
4,Zahn::N,歯,పల్లు
5,Zunge::N,舌,నాలుక
6,Lippe::N,唇,పెదవి
7,Wange::N,頬,చెంప
8,Gesicht::N,顔,ముఖము
9,Stirn::N,額,నుదురు
10,Haar::N,髪,వెండ్రుక
11,Schnurrbart::N,口髭,మీసము
12,Bart::N,髭,గడ్డము
13,Kinn::N,顎,గడ్డము
14,Kiefer[Anatomie]::N,顎,దౌడ
15,Kehle::N,喉,గొంతు
16,Hals::N,首,మెడ
17,Genick::N,首,మూపు
18,Kopf::N,頭,తల
19,Rücken::N,背中,వెన్ను
20,Bauch::N,腹,కడుపు
21,Bauch::N,お腹,కడుపు
22,Nabel::N,へそ,బొడ్డు
23,Busen::N,乳房,స్తనము
24,Brust::N,胸,ఱొమ్ము
25,Schulter::N,肩,భుజము
26,Arm::N,腕,చేయి
27,Ellenbogen::N,肘,మోచేయి
28,Hand::N,手,చేయి
29,Handfläche::N,手のひら,అరచేయు
30,Finger::N,指,చేతిప్రేలు
31,Fingernagel::N,爪,గోరు
32,Nagel[Anatomie]::N,爪,గోరు
33,Zeh::N,足の指,కాలిప్రేలు
34,Fuß::N,足,అడుగు
35,Ferse::N,かかと,మడమ
36,Knie::N,膝,మోకాలు
37,Oberschenkel::N,上腿,తొడ
38,Bein::N,足,కాలు
39,Körper::N,体,కాయము
40,Haut::N,皮膚,చర్మము
41,Blut::N,血,రక్తము
42,Ader::N,血管,సిర
43,Sehne::N,腱,స్నాయువు
44,Knochen::N,骨,ఎముక
45,Gehirn::N,脳,మెదడు
46,Herz::N,心,హృదయము
47,Herz::N,心臓,హృదయము
48,Magen::N,胃,కడుపు
49,Leber::N,肝臓,కాలేయము
50,Atem::N,息,ఉపిరి
51,Atem::N,呼吸,ఉపిరి
52,Hunger::N,空腹,ఆకలి
53,Träne::N,涙,కన్నీటిచుక్క
54,Geschmack::N,味,రుచి
55,Geruch::N,匂い,వాసన
56,Schlaf::N,睡眠,నిద్ర
57,Traum::N,夢,కల
58,Himmel::N,空,ఆకాశము
59,Sonne::N,太陽,సూర్యుడు
60,Mond::N,月,చంద్రుడు
61,Stern::N,星,నక్షత్రము
62,Luft::N,空気,గాలి
63,Wind::N,風,వీచుచున్నగాలి
64,Welle::N,波,అల
65,Wasser::N,水,నీరు
66,Stein::N,石,ఱాయి
67,Boden::N,土地,నేల
68,Erde::N,土,మన్ను
69,Staub::N,埃,దుమ్ము
70,Rauch::N,煙,పొగ
71,Funke::N,火花,అగ్నికణము
72,Feuer::N,火,అగ్ని
73,Licht::N,光,కాంతి
74,Schatten::N,陰,నీడ
75,Wetter::N,天気,వాతావరణ స్థితి
76,Nebel::N,霧,పొగమంచు
77,Wolke::N,雲,మేఘము
78,Regen::N,雨,వాన
79,Schnee::N,雪,హిమము
80,Eis::N,氷,మంచుగడ్డ
81,Frost::N,霜,పేరిన మంచు
82,Kälte::N,寒さ,చలి
83,Hitze::N,暑さ,వేడిమి
84,Raureif::N,霧氷,మంచు
85,Regenbogen::N,虹,ఇంద్రధనుస్సు
86,Donner::N,雷,ఉరుము
87,Strömung::N,流れ,ప్రవాహము
88,Tropfen::N,滴,చుక్క
89,Schaum::N,泡,నురుగు
90,Schmutz::N,汚れ,మైల
91,See::N,湖,సరస్సు
92,Sumpf::N,沼,చిత్తడినేల
93,Moor::N,湿原,చిత్తడినేల
94,Wiese::N,草原,పచ్చిక బయలు
95,Wald::N,森,అడవి
96,Hügel::N,丘,చివ్నకొండ
97,Anhöhe::N,高み,కొండ
98,Berg::N,山,పర్వతము
99,Gipfel::N,頂上,శిఖరము
100,Höhle::N,洞窟,గుహ
101,Abhang::N,斜面,ఏటవాలు
102,Quelle::N,泉,మూలము
103,Bach::N,小川,కాలువ
104,Fluss::N,川,నది
105,Ufer::N,岸,తీరము
106,Küste::N,海岸,తీరము
107,Festland::N,陸,భూమి
108,Meer::N,海,సముద్రము
109,Bucht::N,湾,మరుగు
110,Insel::N,島,దీవి
111,Blume::N,花,పుష్పము
112,Gras::N,草,పచ్చగడ్డి
113,Wurzel::N,根,వేరు
114,Baum::N,木,చెట్టు
115,Stamm::N,幹,చెట్టుబోదె
116,Rinde::N,皮層,చెట్టుపట్ట
117,Ast::N,枝,కొమ్మ
118,Zweig::N,小枝,చివుకు
119,Blatt::N,葉,ఆకు
120,Birke::N,樺,తరహా చెట్టు
121,Kiefer[Baum]::N,松,దేవదారు చెట్టు
122,Weide[Baum]::N,柳,జాతిచెట్టు
123,Tanne::N,樅,దేవదారుచెట్టు
124,Horn::N,角,కొమ్ము
125,Feder::N,羽根,ఈక
126,Fell::N,毛皮,తోలు
127,Flügel::N,羽,ఱెక్క
128,Klaue::N,鉤爪,వంకరగోరు
129,Kralle::N,爪,వంకరగోరు
130,Schwanz::N,尻尾,తోక
131,Ei::N,卵,గ్రుడ్డు
132,Nest::N,巣,పక్షిగూడు
133,Bau::N,穴,గుహ
134,Tier::N,動物,జంతువు
135,Herde::N,群れ,మంద
136,Kuh::N,牛,ఆవు
137,Bulle::N,雄牛,గిత్త
138,Pferd::N,馬,గుఱ్ఱము
139,Schaf::N,羊,గొఱ్ఱె
140,Schwein::N,豚,పంది
141,Hund::N,犬,కుక్క
142,Katze::N,猫,పిల్లి
143,Bär::N,熊,ఎలుగుబంటి
144,Eichhörnchen::N,栗鼠,ఉడుత
145,Elch::N,ヘラジカ,కణంజు
146,Fuchs::N,狐,గుంటనక్క
147,Hase::N,兎,కుందేలు
148,Maus::N,鼠,చిట్టెలుక
