,Concept_ID,sl,ku
0,Auge::N,okó,çav
1,Ohr::N,uhó,guh
2,Nase::N,nós,bêvil
3,Mund::N,ústa,dev
4,Zahn::N,zób,didan
5,Zunge::N,jêzik,ziman
6,Lippe::N,ústnica,lêv
7,Wange::N,líce,dêm
8,Wange::N,líce,hinarik
9,Gesicht::N,oblíčje,rû
10,Stirn::N,čêlo,enî
11,Haar::N,lás,por
12,Schnurrbart::N,bŕki,simbêl
13,Bart::N,bráda,rih
14,Kinn::N,bráda,zenî
15,Kiefer[Anatomie]::N,čeljúst,arguşk
16,Kehle::N,gŕlo,qirik
17,Hals::N,vrát,stû
18,Hals::N,vrát,qirik
19,Genick::N,zatílnik,stû
20,Kopf::N,gláva,serî
21,Rücken::N,hrbèt,pişt
22,Bauch::N,trébuh,ûr
23,Bauch::N,trébuh,zik
24,Nabel::N,pópek,navik
25,Busen::N,nédrja,sîng
26,Brust::N,pŕsi,sîng
27,Schulter::N,ráma,mil
28,Schulter::N,plêče,mil
29,Arm::N,rôka,çepil
30,Ellenbogen::N,komólec,enîşk
31,Hand::N,rôka,dest
32,Handfläche::N,dlán,kefadest
33,Finger::N,pŕst,tilî
34,Fingernagel::N,nóht na rôki,neynuk
35,Nagel[Anatomie]::N,nóht,bizmar
36,Zeh::N,pŕst na nôgi,tilî linga
37,Fuß::N,nôga,ling
38,Ferse::N,pêta,pahnî
39,Knie::N,koléno,kabok
40,Oberschenkel::N,stêgno,rahn
41,Bein::N,nôga,çip
42,Körper::N,teló,laş
43,Körper::N,teló,gowde
44,Haut::N,kóža,çerm
45,Blut::N,krí,xwîn
46,Ader::N,žíla,reh
47,Sehne::N,kíta,reh
48,Knochen::N,kóst,hestî
49,Gehirn::N,možgáni,mêjî
50,Herz::N,srcé,dil
51,Magen::N,želódec,navêş
52,Leber::N,jétra,kezeb
53,Atem::N,díh,hilm
54,Hunger::N,glád,birçîtî
55,Träne::N,sólza,hêstir
56,Geschmack::N,okús,tam
57,Geruch::N,vónj,bêhn
58,Schlaf::N,sèn,xew
59,Schlaf::N,spánec,xew
60,Traum::N,sánje,xewn
61,Himmel::N,nebó,ezman
62,Sonne::N,sónce,roj
63,Mond::N,lúna,heyv
64,Mond::N,mésec,heyv
65,Stern::N,zvézda,stêrk
66,Luft::N,zràk,ba
67,Wind::N,véter,ba
68,Welle::N,vál,şewl
69,Wasser::N,vôda,av
70,Stein::N,kámen,kevir
71,Boden::N,tlà,herd
72,Erde::N,pŕst,ax
73,Erde::N,zêmlja,ax
74,Staub::N,práh,toz
75,Rauch::N,dìm,dû
76,Funke::N,ískra,çirûşk
77,Feuer::N,ôgenj,agir
78,Licht::N,lúč,ronahî
79,Schatten::N,sénca,sî
80,Wetter::N,vrême,hewa
81,Nebel::N,meglà,mij
82,Wolke::N,oblák,ewr
83,Regen::N,dèž,baran
84,Schnee::N,snég,berf
85,Eis::N,léd,qeşa
86,Frost::N,zmrzál,xûsik
87,Kälte::N,mràz,serma
88,Hitze::N,pripéka,germayî
89,Raureif::N,ívje,şext
90,Raureif::N,slána,şext
91,Regenbogen::N,mávrica,heftreng
92,Donner::N,gròm,gire-gir
93,Strömung::N,strúja,şewl
94,Tropfen::N,káplja,dilop
95,Schaum::N,péna,kef
96,Schmutz::N,nesnága,gemar
97,See::N,jézero,gol
98,Sumpf::N,močvírje,hezek
99,Moor::N,bárje,mafêl
100,Wiese::N,trávnik,sûrik
101,Wald::N,lés,çiya
102,Wald::N,lés,daristan
103,Wald::N,gòzd,çiya
104,Wald::N,gòzd,daristan
105,Hügel::N,brég,gir
106,Hügel::N,goríca,gir
107,Anhöhe::N,gríč,sere gir
108,Anhöhe::N,višína,sere gir
109,Berg::N,gôra,kaş
110,Berg::N,planína,kaş
