,Concept_ID,az,hi
0,Auge::N,göz,आँख
1,Auge::N,göz,चक्षु
2,Ohr::N,qulaq,कान
3,Ohr::N,qulaq,कर्ण
4,Nase::N,burun,नाक
5,Nase::N,burun,नासा
6,Mund::N,ağız,मुख
7,Mund::N,ağız,मुँह
8,Zahn::N,diş,दंत
9,Zahn::N,diş,दाँत
10,Zunge::N,dil,जीभ
11,Zunge::N,dil,ज़बान
12,Zunge::N,dil,जिह्वा
13,Lippe::N,dodaq,ओंठ
14,Lippe::N,dodaq,होंठ
15,Wange::N,yanaq,गाल
16,Wange::N,yanaq,कपोल
17,Gesicht::N,üz,मुँह
18,Gesicht::N,üz,चेहरा
19,Stirn::N,alın,माथा
20,Stirn::N,alın,मस्तक
21,Haar::N,saç,बाल
22,Schnurrbart::N,bığ,मूँछें
23,Bart::N,saqqal,दाढ़ी
24,Kinn::N,çənə,चिबुक
25,Kiefer[Anatomie]::N,çənə,जबड़ा
26,Kehle::N,boğaz,गला
27,Hals::N,boyun,गला
28,Hals::N,boyun,गरदन
29,Genick::N,ənsə,गरदन
30,Genick::N,ənsə,ग्रीवा
31,Kopf::N,baş,सिर
32,Kopf::N,baş,शीर्ष
33,Rücken::N,bel,पीठ
34,Bauch::N,qarın,उदर
35,Nabel::N,göbək,नाभि
36,Nabel::N,göbək,ढोंढी
37,Busen::N,məmə,कुच
38,Busen::N,məmə,स्तन
39,Brust::N,döş,वक्ष
40,Schulter::N,çiyin,कंधा
41,Schulter::N,çiyin,स्कंध
42,Arm::N,qol,बाँह
43,Arm::N,qol,बाज़ू
44,Ellenbogen::N,dirsək,कुहनी
45,Hand::N,əl,हाथ
46,Hand::N,əl,हस्त
47,Handfläche::N,ovuc,हथेली
48,Finger::N,barmaq,उँगली
49,Finger::N,barmaq,अँगुली
50,Fingernagel::N,barmaq dırnağı,नख
51,Fingernagel::N,barmaq dırnağı,नाख़ून
52,Nagel[Anatomie]::N,dırnak,नख
53,Nagel[Anatomie]::N,dırnak,नाख़ून
54,Zeh::N,ayaq barmağı,उँगली
55,Zeh::N,ayaq barmağı,पाँव की उँगली
56,Fuß::N,ayaq,चरण
57,Fuß::N,ayaq,पाँव
58,Ferse::N,daban,एड़ी
59,Knie::N,diz,जानु
60,Knie::N,diz,घुटना
61,Oberschenkel::N,bud,उरु
62,Bein::N,qıç,टाँग
63,Körper::N,əndam,तन
64,Körper::N,əndam,देह
65,Körper::N,əndam,शरीर
66,Haut::N,dəri,चर्म
67,Haut::N,dəri,त्वचा
68,Blut::N,qan,लहू
69,Blut::N,qan,ख़ून
70,Ader::N,damar,रग
71,Ader::N,damar,शिरा
72,Sehne::N,vətər,कंडरा
73,Sehne::N,vətər,स्नायु
74,Knochen::N,sümük,अस्थि
75,Gehirn::N,beyin,दिमाग़
76,Gehirn::N,beyin,मस्तिष्क
77,Herz::N,ürək,दिल
78,Herz::N,ürək,हृदय
79,Magen::N,mədə,मेदा
80,Magen::N,mədə,अमाशय
81,Leber::N,qara ciyər,जिगर
82,Leber::N,qara ciyər,यकृत्
83,Atem::N,nəfəs,दम
84,Atem::N,nəfəs,साँस
85,Atem::N,nəfəs,श्वास
86,Hunger::N,aclıq,भूख
87,Hunger::N,aclıq,क्षुधा
88,Träne::N,göz yaşı,आँसू
89,Träne::N,göz yaşı,अश्रु
90,Geschmack::N,tam,स्वाद
91,Geschmack::N,tam,ज़ायक़ा
92,Geschmack::N,ləzzət,स्वाद
93,Geschmack::N,ləzzət,ज़ायक़ा
94,Geruch::N,qoxu,बू
95,Geruch::N,qoxu,गंध
96,Schlaf::N,yuxu,नींद
97,Schlaf::N,yuxu,निद्रा
98,Traum::N,röya,सपना
99,Traum::N,röya,स्वप्न
100,Himmel::N,göy,आकाश
101,Himmel::N,göy,आसमान
102,Himmel::N,səma,आकाश
103,Himmel::N,səma,आसमान
104,Sonne::N,günəş,रवि
105,Sonne::N,günəş,सूरज
106,Sonne::N,günəş,सूर्य
107,Mond::N,ay,चाँद
108,Mond::N,ay,चंद्र
109,Stern::N,ulduz,तारा
110,Stern::N,ulduz,सितारा
111,Luft::N,hava,हवा
112,Luft::N,hava,वायु
113,Wind::N,yel,पाद
114,Wind::N,külək,पाद
115,Welle::N,dalğa,लहर
116,Welle::N,dalğa,तरंग
117,Wasser::N,su,जल
118,Wasser::N,su,पानी
119,Stein::N,daş,पत्थर
120,Boden::N,yer,मिट्टी
121,Boden::N,zəmin,मिट्टी
122,Erde::N,yer torpaq,भूमि
123,Erde::N,yer torpaq,ज़मीन
124,Staub::N,toz,धूल
125,Rauch::N,tüstü,धूआँ
126,Rauch::N,tüstü,धुम्र
127,Funke::N,qığılcım,चिनगारी
128,Funke::N,qığılcım,स्फुलिंग
129,Feuer::N,od,आग
130,Feuer::N,od,आतिश
131,Feuer::N,od,अग्नि
132,Licht::N,işıq,रोशनी
133,Licht::N,işıq,प्रकाश
134,Schatten::N,kölgə,छाया
135,Schatten::N,kölgə,परछाई
136,Wetter::N,hava,ऋतु
137,Wetter::N,hava,मौसम
138,Nebel::N,duman,धुँध
139,Nebel::N,duman,कुहरा
140,Wolke::N,bulud,मेघ
141,Wolke::N,bulud,अभ्र
142,Regen::N,yağış,मेंह
143,Regen::N,yağış,बारिश
144,Regen::N,yağmur,मेंह
145,Regen::N,yağmur,बारिश
146,Schnee::N,qar,हिम
147,Schnee::N,qar,बर्फ़
148,Eis::N,buz,हिम
149,Eis::N,buz,बर्फ़
150,Frost::N,ayaz,ठंड
151,Kälte::N,soyuq,सर्दी
152,Kälte::N,soyuq,शीतलता
153,Hitze::N,coşğunluq,ताप
154,Hitze::N,coşğunluq,गरमी
155,Raureif::N,qırov,पाला
156,Regenbogen::N,göy qurşağı,इंद्र-धनुष
157,Donner::N,göy gurultusu,गरज
158,Donner::N,göy gurultusu,मेघ-गर्जन
159,Strömung::N,axın,बहाव
160,Strömung::N,axın,प्रवाह
161,Tropfen::N,damcı,बूँद
162,Schaum::N,köpük,झाग
163,Schmutz::N,çamır,गंद
164,Schmutz::N,çamır,कीचड़
165,See::N,göl,झील
166,See::N,göl,सरोवर
167,Sumpf::N,bataqlıq,दलदल
168,Sumpf::N,bataqlıq,धँसान
169,Moor::N,bataqlıq,झाबर
170,Moor::N,bataqlıq,धँसान
171,Wiese::N,çəmən,घास-स्थल
172,Wald::N,meşə,जंगल
173,Hügel::N,təpə,टीला
174,Hügel::N,təpə,पहाड़
175,Anhöhe::N,təpə,टीला
176,Anhöhe::N,təpə,पहाड़ी
177,Berg::N,dağ,पहाड़
178,Gipfel::N,zirvə,शिखर
179,Höhle::N,mağara,गुहा
180,Höhle::N,mağara,गुफ़ा
181,Abhang::N,yamac,ढाल
182,Abhang::N,yamac,ढलान
183,Quelle::N,bulaq,चश्मा
184,Bach::N,kiçik çay,सोता
185,Bach::N,kiçik çay,नदिका
186,Fluss::N,çay,नदी
187,Fluss::N,çay,सरिता
188,Ufer::N,kənar,तट
189,Ufer::N,kənar,किनारा
190,Küste::N,sahil,समुद्र-तट
191,Festland::N,materik,महाद्वीप
192,Meer::N,dəniz,सागर
193,Meer::N,dəniz,समुद्र
194,Bucht::N,körfəz,खाड़ी
195,Insel::N,ada,टापू
196,Insel::N,ada,द्वीप
197,Blume::N,çiçək,फूल
198,Blume::N,çiçək,पुष्प
199,Gras::N,ot,घास
200,Wurzel::N,kök,मूल
201,Baum::N,ağac,पेड़
202,Baum::N,ağac,वृक्ष
203,Stamm::N,gövdə,धड़
204,Rinde::N,qabıq,छाल
205,Rinde::N,qabıq,वल्कल
206,Ast::N,şax,डाल
207,Ast::N,şax,शाखा
