,Concept_ID,ja,br
0,Auge::N,目,lagad
1,Ohr::N,耳,skouarn
2,Nase::N,鼻,fri
3,Mund::N,口,genoù
4,Zahn::N,歯,dant
5,Zunge::N,舌,teod
6,Lippe::N,唇,muzell
7,Wange::N,頬,chot
8,Gesicht::N,顔,dremm
9,Stirn::N,額,tal
10,Haar::N,髪,blev
11,Schnurrbart::N,口髭,mourenn
12,Bart::N,髭,barv
13,Kinn::N,顎,groñj
14,Kiefer[Anatomie]::N,顎,javed
15,Kehle::N,喉,gouzoug
16,Hals::N,首,gouzoug
17,Genick::N,首,choug
18,Kopf::N,頭,penn
19,Rücken::N,背中,kein
20,Bauch::N,腹,kof
21,Bauch::N,お腹,kof
22,Nabel::N,へそ,begel
23,Busen::N,乳房,bronn
24,Brust::N,胸,bruched
25,Schulter::N,肩,skoaz
26,Arm::N,腕,brec'h
27,Ellenbogen::N,肘,ilin
28,Hand::N,手,dorn
29,Handfläche::N,手のひら,palv
30,Finger::N,指,biz
31,Fingernagel::N,爪,ivin
32,Nagel[Anatomie]::N,爪,ivin
33,Zeh::N,足の指,biz-troad
34,Fuß::N,足,troad
35,Ferse::N,かかと,seul
36,Knie::N,膝,glin
37,Oberschenkel::N,上腿,morzhed
38,Bein::N,足,gar
39,Körper::N,体,korf
40,Haut::N,皮膚,kroc'hen
41,Blut::N,血,gwad
42,Ader::N,血管,gwazhi
43,Sehne::N,腱,stir
44,Knochen::N,骨,askorn
45,Gehirn::N,脳,empenn
46,Herz::N,心,kalon
47,Herz::N,心臓,kalon
48,Magen::N,胃,stomog
49,Leber::N,肝臓,avu
50,Atem::N,息,anal
51,Atem::N,呼吸,anal
52,Hunger::N,空腹,naon
53,Träne::N,涙,daer
54,Geschmack::N,味,blaz
55,Geruch::N,匂い,c'hwezh
56,Schlaf::N,睡眠,kousked
57,Traum::N,夢,hune
58,Himmel::N,空,oabl
59,Sonne::N,太陽,heol
60,Mond::N,月,loar
61,Stern::N,星,steredenn
62,Luft::N,空気,aer
63,Wind::N,風,avel
64,Welle::N,波,houlenn
