,Concept_ID,pt,en
0,Auge::N,olho,eye
1,Ohr::N,orelha,ear
2,Nase::N,nariz,nose
3,Mund::N,boca,mouth
4,Zahn::N,dente,tooth
5,Zunge::N,língua,tongue
6,Lippe::N,lábio,lip
7,Wange::N,face,cheek
8,Gesicht::N,cara,face
9,Gesicht::N,rosto,face
10,Stirn::N,testa,forehead
11,Haar::N,cabelo,hair
12,Schnurrbart::N,bigode,moustache
13,Bart::N,barba,beard
14,Kinn::N,queixo,chin
15,Kiefer[Anatomie]::N,maxila,jaw
16,Kiefer[Anatomie]::N,mandíbula,jaw
17,Kehle::N,garganta,throat
18,Hals::N,colo,neck
19,Hals::N,pescoço,neck
20,Genick::N,nuca,nape
21,Kopf::N,cabeça,head
22,Rücken::N,dorso,back
23,Rücken::N,dorso,spine
24,Rücken::N,costas,back
25,Rücken::N,costas,spine
26,Bauch::N,ventre,belly
27,Bauch::N,barriga,belly
28,Nabel::N,umbigo,navel
29,Busen::N,seio,bosom
30,Brust::N,peito,chest
31,Brust::N,peito,breast
32,Schulter::N,ombro,shoulder
33,Arm::N,braço,arm
34,Ellenbogen::N,cotovelo,elbow
35,Hand::N,mão,hand
36,Handfläche::N,palma,palm
37,Handfläche::N,palma da mão,palm
38,Finger::N,dedo,finger
39,Fingernagel::N,unha,fingernail
40,Nagel[Anatomie]::N,unha,nail
41,Zeh::N,dedo do pé,toe
42,Fuß::N,pé,foot
43,Ferse::N,calcanhar,heel
44,Knie::N,joelho,knee
45,Oberschenkel::N,coxa,thigh
46,Bein::N,perna,leg
47,Körper::N,corpo,body
48,Haut::N,pele,skin
49,Blut::N,sangue,blood
50,Ader::N,veia,vein
51,Sehne::N,tendão,sinew
52,Knochen::N,osso,bone
53,Gehirn::N,cérebro,brain
54,Herz::N,coração,heart
55,Magen::N,estômago,stomach
56,Leber::N,fígado,liver
57,Atem::N,fôlego,breath
58,Hunger::N,fome,hunger
59,Träne::N,lágrima,tear
60,Geschmack::N,gosto,flavour
61,Geschmack::N,gosto,flavor
62,Geruch::N,odor,odour
63,Geruch::N,odor,odor
64,Geruch::N,cheiro,odour
65,Geruch::N,cheiro,odor
66,Schlaf::N,sono,sleep
67,Traum::N,sonho,dream
68,Himmel::N,céu,sky
69,Sonne::N,sol,sun
70,Mond::N,lua,moon
71,Stern::N,estrela,star
72,Luft::N,ar,air
73,Wind::N,vento,wind
74,Welle::N,onda,wave
75,Wasser::N,água,water
76,Stein::N,pedra,stone
77,Boden::N,solo,soil
78,Boden::N,solo,ground
79,Erde::N,terra,earth
80,Staub::N,pó,dust
81,Rauch::N,fumo,smoke
82,Funke::N,faísca,spark
83,Funke::N,centelha,spark
84,Feuer::N,fogo,fire
85,Licht::N,luz,light
86,Schatten::N,sombra,shadow
87,Wetter::N,tempo,weather
88,Nebel::N,nevoeiro,fog
89,Wolke::N,nuvem,cloud
90,Regen::N,chuva,rain
91,Schnee::N,neve,snow
92,Eis::N,gelo,ice
93,Frost::N,gelo,frost
94,Frost::N,geada,frost
95,Kälte::N,frio,chill
96,Hitze::N,ardor,heat
97,Raureif::N,geada,hoarfrost
98,Regenbogen::N,arco-iris,rainbow
99,Donner::N,trovão,thunder
100,Strömung::N,corrente,current
101,Tropfen::N,gota,drop
102,Schaum::N,espuma,foam
103,Schmutz::N,sujidade,dirt
104,Schmutz::N,imundície,dirt
105,See::N,lago,lake
106,Sumpf::N,charco,swamp
107,Sumpf::N,pântano,swamp
108,Moor::N,pântano,moor
109,Wiese::N,prado,meadow
110,Wald::N,bosque,forest
111,Wald::N,floresta,forest
112,Hügel::N,colina,hill
113,Anhöhe::N,alto,elevation
114,Anhöhe::N,outeiro,elevation
115,Berg::N,monte,mountain
116,Berg::N,montanha,mountain
117,Gipfel::N,pico,summit
118,Höhle::N,caverna,cave
119,Abhang::N,encosta,slope
120,Quelle::N,fonte,source
121,Bach::N,regato,brook
122,Bach::N,ribeiro,brook
123,Fluss::N,rio,river
124,Ufer::N,beira,shore
125,Küste::N,costa,coast
126,Festland::N,terra firme,land
127,Meer::N,mar,sea
128,Bucht::N,baía,cove
129,Insel::N,ilha,island
130,Blume::N,flor,flower
131,Gras::N,erva,grass
132,Wurzel::N,raiz,root
133,Baum::N,árvore,tree
134,Stamm::N,tronco,trunk
135,Rinde::N,casca,bark
136,Ast::N,ramo,limb
137,Zweig::N,galho,branch
138,Blatt::N,folha,leaf
139,Birke::N,bétula,birch
140,Kiefer[Baum]::N,pinheiro,pine
141,Weide[Baum]::N,salgueiro,willow
142,Tanne::N,abeto,fir
143,Horn::N,corno,horn
144,Horn::N,chifre,horn
145,Feder::N,pena,feather
146,Fell::N,pele,fur
147,Flügel::N,asa,wing
148,Klaue::N,pata,claw
149,Kralle::N,unha,claw
150,Kralle::N,garra,claw
151,Schwanz::N,rabo,tail
152,Schwanz::N,cauda,tail
153,Ei::N,ovo,egg
154,Nest::N,ninho,nest
155,Bau::N,toca,lair
156,Bau::N,covil,lair
157,Tier::N,animal,animal
158,Herde::N,rebanho,flock
159,Kuh::N,vaca,cow
160,Bulle::N,touro,bull
161,Pferd::N,cavalo,horse
162,Schaf::N,ovelha,sheep
163,Schwein::N,porco,pig
164,Hund::N,cão,dog
165,Katze::N,gata,cat
166,Bär::N,urso,bear
167,Eichhörnchen::N,esquilo,squirrel
168,Elch::N,alce,elk
169,Fuchs::N,raposa,fox
170,Hase::N,lebre,hare
171,Maus::N,rato,mouse
172,Wolf::N,lobo,wolf
173,Vogel::N,ave,bird
174,Vogel::N,pássaro,bird
175,Schwarm::N,bando,swarm
176,Schwarm::N,enxame,swarm
177,Huhn::N,galinha,chicken
178,Hahn::N,galo,cock
179,Gans::N,ganso,goose
180,Adler::N,águia,eagle
181,Ente::N,pata,duck
182,Eule::N,mocho,owl
183,Eule::N,coruja,owl
184,Kranich::N,grou,crane
185,Krähe::N,gralha,crow
186,Kuckuck::N,cuco,cuckoo
187,Schwan::N,cisne,swan
188,Fisch::N,peixe,fish
189,Barsch::N,perca,perch
190,Hecht::N,lúcio,pike
191,Schlange[Tier]::N,serpente,snake
192,Wurm::N,verme,worm
193,Spinne::N,aranha,spider
194,Ameise::N,formiga,ant
195,Laus::N,piolho,louse
196,Mücke::N,mosquito,midge
197,Fliege::N,mosca,fly
198,Schmetterling::N,borboleta,butterfly
199,Beere::N,bago,berry
200,Apfel::N,maçã,apple
201,Pilz::N,fungo,mushroom
202,Pilz::N,cogumelo,mushroom
203,Zwiebel::N,cebola,onion
204,Saat::N,sementeira,seed
205,Korn::N,grão,grain
206,Heu::N,feno,hay
207,Schale::N,casca,husk
208,Grube::N,cova,pit
209,Grube::N,fossa,pit
210,Falle::N,armadilha,trap
211,Schlinge::N,laço,noose
212,Spur::N,pista,track
213,Spur::N,vestígio,track
214,Asche::N,cinza,ashes
215,Dreck::N,sujidade,filth
216,Eisen::N,ferro,iron
217,Gold::N,ouro,gold
218,Silber::N,prata,silver
219,Kohle::N,carvão,coal
220,Glas::N,vidro,glass
221,Lehm::N,barro,clay
222,Lehm::N,argila,clay
223,Sand::N,areia,sand
224,Mensch::N,homem,human
225,Mensch::N,pessoa,human
226,Mann::N,homem,man
227,Frau::N,mulher,woman
228,Kind::N,filho,child
229,Kind::N,criança,child
230,Junge::N,rapaz,boy
231,Junge::N,menino,boy
232,Mädchen::N,menina,girl
233,Mädchen::N,rapariga,girl
234,Familie::N,família,family
235,Großvater::N,avô,grandfather
236,Großmutter::N,avó,grandmother
237,Eltern::N,pais,parents
238,Vater::N,pai,father
239,Mutter::N,mãe,mother
240,Sohn::N,filho,son
241,Tochter::N,filha,daughter
242,Bruder::N,irmão,brother
243,Schwester::N,irmã,sister
244,Onkel::N,tio,uncle
245,Tante::N,tia,aunt
246,Ehemann::N,esposo,husband
247,Ehefrau::N,esposa,wife
248,Freude::N,prazer,joy
249,Freude::N,alegria,joy
250,Gelächter::N,risada,laughter
251,Gelächter::N,gargalhada,laughter
252,Glück::N,felicidade,happiness
253,Kummer::N,aflição,grief
254,Kummer::N,desgosto,grief
255,Wunsch::N,desejo,wish
256,Lust::N,vontade,desire
257,Geist::N,mente,spirit
258,Geist::N,espírito,spirit
259,Gedanke::N,ideia,thought
260,Gedanke::N,pensamento,thought
261,Gedächtnis::N,memória,memory
262,Verstand::N,razão,mind
263,Verstand::N,inteligência,mind
264,Sinn::N,sentido,meaning
265,Sinn::N,significado,meaning
266,Grund::N,causa,reason
267,Grund::N,motivo,reason
268,Wahrheit::N,verdade,truth
269,Gespräch::N,conversa,talk
270,Gespräch::N,conversação,talk
271,Märchen::N,conto,fairy tale
272,Erzählung::N,conto,story
273,Erzählung::N,narrativa,story
274,Nachricht::N,mensagem,message
275,Neuigkeit::N,notícia,news
276,Neuigkeit::N,novidade,news
277,Name::N,nome,name
278,Rätsel::N,adivinha,puzzle
279,Rede::N,oração,speech
280,Rede::N,discurso,speech
281,Sprache::N,língua,language
282,Stimme::N,voz,voice
283,Wort::N,palavra,word
284,Zeichen::N,marca,sign
285,Ruf::N,grito,call
286,Ruf::N,chamada,call
287,Lärm::N,ruído,noise
288,Lärm::N,barulho,noise
289,Laut::N,som,sound
290,Ton::N,tom,tone
291,Lied::N,canção,song
292,Ruhe::N,calma,calm
293,Ruhe::N,silêncio,calm
294,Leute::N,gente,people
295,Leute::N,pessoas,people
296,Volk::N,povo,nation
297,Volk::N,nação,nation
298,Arbeit::N,trabalho,work
299,Gast::N,hóspede,guest
300,Gast::N,convidado,guest
301,Geschenk::N,prenda,gift
302,Geschenk::N,presente,gift
303,Spiel::N,jogo,game
304,Gesellschaft::N,companhia,company
305,Hilfe::N,ajuda,help
306,Hilfe::N,socorro,help
307,Freund::N,amigo,friend
308,Kamerad::N,camarada,companion
309,Angelegenheit::N,assunto,matter
310,Anzahl::N,número,count
311,Anzahl::N,quantidade,count
312,Art::N,tipo,sort
313,Art::N,espécie,sort
314,Stück::N,pedaço,piece
315,Teil::N,peça,part
316,Teil::N,parte,part
317,Hälfte::N,metade,half
318,Kreis::N,círculo,circle
319,Kreuz::N,cruz,cross
320,Linie::N,linha,line
321,Strich::N,traço,stroke
322,Abstand::N,distância,gap
323,Entfernung::N,distância,distance
324,Gegend::N,área,area
325,Gegend::N,região,area
326,Platz::N,lugar,space
327,Ort::N,sítio,place
328,Seite::N,lado,side
329,Mitte::N,meio,middle
330,Gegenstand::N,objecto,item
331,Sache::N,coisa,thing
332,Rand::N,bordo,fringe
333,Rand::N,margem,fringe
334,Kante::N,borda,edge
335,Kante::N,aresta,edge
336,Ecke::N,esquina,corner
337,Spitze::N,ponta,tip
338,Ende::N,cabo,end
339,Ende::N,extremo,end
340,Loch::N,furo,hole
341,Loch::N,buraco,hole
342,Winkel::N,canto,angle
343,Winkel::N,ângulo,angle
344,Muster::N,padrão,pattern
345,Muster::N,desenho,pattern
346,Größe::N,tamanho,size
347,Länge::N,comprimento,length
348,Höhe::N,altura,height
349,Höhe::N,altitude,height
350,Gewicht::N,peso,weight
351,Menge::N,quantidade,amount
352,Haufen::N,pilha,heap
353,Reihe::N,fila,row
354,Boot::N,barco,boat
355,Ruder::N,remo,oar
356,Schlitten::N,trenó,sleigh
357,Ski::N,esqui,ski
358,Lagerfeuer::N,fogueira,campfire
359,Last::N,carga,load
360,Gang::N,curso,walk
361,Gang::N,caminhada,walk
362,Schritt::N,passo,step
363,Norden::N,norte,north
364,Süden::N,sul,south
365,Westen::N,oeste,west
366,Westen::N,ocidente,west
367,Osten::N,este,east
368,Osten::N,leste,east
369,Osten::N,oriente,east
370,Holz::N,madeira,wood
371,Brett::N,tábua,board
372,Brett::N,prancha,board
373,Platte::N,laje,slab
374,Platte::N,chapa,slab
375,Stütze::N,apoio,bracket
376,Stütze::N,suporte,bracket
377,Stange::N,vara,pole
378,Stange::N,barra,pole
379,Stock::N,pau,stick
380,Stock::N,bengala,stick
381,Stab::N,bastão,staff
382,Rohr::N,cano,pipe
383,Haus::N,casa,house
384,Heim::N,lar,home
385,Heim::N,casa,home
386,Ofen::N,estufa,stove
387,Ofen::N,aquecedor,stove
388,Fußboden::N,piso,floor
389,Tisch::N,mesa,table
390,Stuhl::N,cadeira,chair
391,Wiege::N,berço,cradle
392,Bett::N,cama,bed
393,Regal::N,estante,shelf
394,Regal::N,prateleira,shelf
395,Kiste::N,caixa,box
396,Fenster::N,janela,window
397,Tür::N,porta,door
398,Tor::N,portão,gate
399,Zaun::N,cerca,fence
400,Zaun::N,vedação,fence
401,Dach::N,telhado,roof
402,Leiter::N,escada,ladder
403,Leiter::N,escada móvel,ladder
404,Besen::N,vassoura,broom
405,Spaten::N,pá,spade
406,Schaufel::N,pá,shovel
407,Gabel::N,garfo,fork
408,Löffel::N,colher,spoon
409,Messer::N,faca,knife
410,Nagel::N,cravo,nail
411,Netz::N,rede,net
412,Haken::N,gancho,hook
413,Griff::N,asa,handle
414,Griff::N,cabo,handle
415,Schloss::N,fechadura,lock
416,Bild::N,imagem,picture
417,Figur::N,figura,figure
418,Puppe::N,boneca,doll
419,Beutel::N,saco,pouch
420,Beutel::N,bolsa,pouch
421,Bündel::N,fardo,bundle
422,Tasche::N,saco,bag
423,Tasche::N,bolso,bag
424,Eimer::N,balde,bucket
425,Deckel::N,tampa,cover
426,Geschirr::N,louça,dishes
427,Sack::N,saca,sack
428,Tasse::N,chávena,cup
429,Topf::N,tacho,pot
430,Topf::N,panela,pot
431,Kessel::N,caldeira,kettle
432,Essen::N,refeição,meal
433,Nahrung::N,comida,food
434,Nahrung::N,alimento,food
435,Speise::N,prato,dish
436,Fleisch::N,carne,meat
437,Getreide::N,cereais,corn
438,Brei::N,puré,mush
439,Brot::N,pão,bread
440,Scheibe::N,fatia,slice
441,Fett::N,banha,fat
442,Fett::N,gordura,fat
443,Butter::N,manteiga,butter
444,Öl::N,azeite,oil
445,Salz::N,sal,salt
446,Suppe::N,sopa,soup
447,Suppe::N,caldo,soup
448,Honig::N,mel,honey
449,Milch::N,leite,milk
450,Tee::N,chá,tea
451,Leder::N,couro,leather
452,Wolle::N,lã,wool
453,Stoff::N,pano,cloth
454,Stoff::N,tecido,cloth
455,Nadel::N,agulha,needle
456,Faden::N,fio,thread
457,Knopf::N,botão,button
458,Knoten::N,nó,knot
459,Farbe::N,corante,paint
460,Kleidung::N,roupa,clothes
461,Kleidung::N,vestuário,clothes
462,Hemd::N,camisa,shirt
463,Kragen::N,gola,collar
464,Ärmel::N,manga,sleeve
465,Hose::N,calça,trousers
466,Gürtel::N,cinto,belt
467,Mütze::N,boné,cap
468,Mütze::N,barrete,cap
469,Schuh::N,sapato,shoe
470,Stiefel::N,bota,boot
471,Ring::N,anel,ring
472,Band::N,fita,ribbon
473,Band::N,faixa,ribbon
474,Kamm::N,pente,comb
475,Spiegel::N,espelho,mirror
476,Riemen::N,correia,strap
477,Schnur::N,corda,string
478,Schnur::N,cordel,string
479,Leine::N,trela,leash
480,Decke::N,cobertor,blanket
481,Kissen::N,almofada,pillow
482,Tuch::N,pano,scarf
483,Handtuch::N,toalha,towel
484,Kraft::N,força,force
485,Stärke::N,força,strength
486,Gesundheit::N,saúde,health
487,Krankheit::N,doença,illness
488,Krankheit::N,enfermidade,illness
489,Schmerz::N,dor,pain
490,Wunde::N,chaga,wound
491,Wunde::N,ferida,wound
492,Fieber::N,febre,fever
493,Arznei::N,remédio,medicine
494,Brücke::N,ponte,bridge
495,Brunnen::N,poço,well
496,Weide::N,pastagem,pasture
497,Pfad::N,senda,path
498,Pfad::N,trilho,path
499,Weg::N,caminho,way
500,Straße::N,via,road
501,Straße::N,estrada,road
502,Dorf::N,aldeia,village
503,Stadt::N,cidade,town
504,Brief::N,carta,letter
505,Buch::N,livro,book
506,Buchstabe::N,letra,character
507,Zeitung::N,jornal,newspaper
508,Leben::N,vida,life
509,Tod::N,morte,death
510,Grab::N,túmulo,grave
511,Grab::N,sepultura,grave
512,Kirche::N,igreja,church
513,Sünde::N,pecado,sin
514,Gott::N,deus,god
515,Arbeiter::N,operário,worker
516,Arbeiter::N,trabalhador,worker
517,Chef::N,chefe,boss
518,Chef::N,patrão,boss
519,Meister::N,mestre,master
520,Arzt::N,médico,doctor
521,Lehrer::N,professor,teacher
522,Geld::N,dinheiro,money
523,Geschäft::N,negócio,business
524,Laden::N,loja,shop
525,Preis::N,preço,price
526,Ware::N,mercadoria,ware
527,Nutzen::N,proveito,profit
528,Reichtum::N,riqueza,wealth
529,Welt::N,mundo,world
530,Land::N,país,country
531,Staat::N,Estado,state
532,König::N,rei,king
533,Macht::N,poder,power
534,Macht::N,potência,power
535,Grenze::N,fronteira,border
536,Krieg::N,guerra,war
537,Feind::N,inimigo,enemy
538,Gewalt::N,violência,violence
539,Kampf::N,luta,fight
540,Kampf::N,combate,fight
541,Bogen[Waffe]::N,arco,bow
542,Pfeil::N,seta,arrow
543,Pfeil::N,flecha,arrow
544,Gewehr::N,espingarda,gun
545,Fehler::N,erro,mistake
546,Fehler::N,falha,mistake
547,Lüge::N,mentira,lie
548,Schaden::N,dano,damage
549,Schaden::N,estrago,damage
550,Unglück::N,desgraça,misfortune
551,Schuld::N,culpa,fault
552,Alter::N,idade,age
