,Concept_ID,hr,et
0,Auge::N,oko,silm
1,Ohr::N,uho,kõrv
2,Nase::N,nos,nina
3,Mund::N,usta,suu
4,Zahn::N,zub,hammas
5,Zunge::N,jezik,keel
6,Lippe::N,usna,huul
7,Wange::N,obraz,põsk
8,Gesicht::N,lice,nägu
9,Stirn::N,čelo,otsmik
10,Haar::N,kosa,juus
11,Schnurrbart::N,brkovi,vurrud
12,Schnurrbart::N,brkovi,vuntsid
13,Bart::N,brada,habe
14,Kinn::N,brada,lõug
15,Kinn::N,podbradak,lõug
16,Kiefer[Anatomie]::N,čeljust,lõualuu
17,Kehle::N,grlo,kõri
18,Hals::N,vrat,kael
19,Genick::N,zatiljak,kukal
20,Kopf::N,glava,pea
21,Rücken::N,leđa,selg
22,Rücken::N,hrbat,selg
23,Bauch::N,trbuh,kõht
24,Nabel::N,pupak,naba
25,Busen::N,sisa,rind
26,Busen::N,njedra,rind
27,Brust::N,prsa,rind
28,Schulter::N,rame,õlg
29,Schulter::N,pleći,õlg
30,Arm::N,ruka,käsivars
31,Ellenbogen::N,lakat,küünarnukk
32,Hand::N,ruka,käsi
33,Handfläche::N,dlan,pihk
34,Finger::N,prst,sõrm
35,Fingernagel::N,nokat,küüs
36,Nagel[Anatomie]::N,nokat,küüs
37,Zeh::N,nozni prst,varvas
38,Fuß::N,noga,jalg
39,Fuß::N,stopalo,jalg
40,Ferse::N,peta,kand
41,Knie::N,koljeno,põlv
42,Oberschenkel::N,bedro,reis
43,Bein::N,noga,jalg
44,Körper::N,tijelo,ihu
45,Körper::N,tijelo,keha
46,Haut::N,put,nahk
47,Haut::N,koža,nahk
48,Blut::N,krv,veri
49,Ader::N,žila,veen
50,Sehne::N,tetiva,kõõlus
51,Knochen::N,kost,luu
52,Herz::N,srce,süda
53,Magen::N,stomak,magu
54,Magen::N,želudac,magu
55,Leber::N,jetra,maks
56,Atem::N,dah,hingeõhk
57,Atem::N,dah,hingamine
58,Hunger::N,glad,nälg
59,Träne::N,suza,pisar
60,Geschmack::N,ukus,maitse
61,Geruch::N,njuh,lõhn
62,Geruch::N,miris,lõhn
63,Schlaf::N,san,uni
64,Traum::N,san,unenägu
65,Himmel::N,nebo,taevas
66,Sonne::N,sunce,päike
67,Mond::N,mjesec,kuu
68,Stern::N,zvijezda,täht
69,Luft::N,zrak,õhk
70,Wind::N,vjetar,tuul
71,Welle::N,val,laine
72,Welle::N,talas,laine
73,Wasser::N,voda,vesi
74,Stein::N,kamen,kivi
75,Boden::N,tlo,maa
76,Boden::N,tlo,pinnas
77,Boden::N,zemlja,maa
78,Boden::N,zemlja,pinnas
79,Erde::N,zemlja,maa
80,Staub::N,prah,põrm
81,Staub::N,prašina,põrm
82,Rauch::N,dim,suits
83,Funke::N,iskra,säde
84,Funke::N,varnica,säde
85,Feuer::N,vatra,tuli
86,Licht::N,svjetlo,valgus
87,Schatten::N,hlad,vari
88,Schatten::N,sjena,vari
89,Wetter::N,vrijeme,ilm
90,Nebel::N,magla,udu
91,Wolke::N,oblak,pilv
92,Regen::N,kiša,sadu
93,Schnee::N,snijeg,lumi
94,Eis::N,led,jää
95,Frost::N,mraz,pakane
96,Kälte::N,studen,külm
97,Kälte::N,studen,külmus
98,Kälte::N,hladnoća,külm
99,Kälte::N,hladnoća,külmus
100,Hitze::N,vrućina,kuumus
101,Hitze::N,vrućina,palavus
102,Raureif::N,inje,härmatis
103,Regenbogen::N,duga,vikerkaar
104,Donner::N,grom,kõu
105,Donner::N,grom,müristamine
106,Donner::N,grmljavina,kõu
107,Donner::N,grmljavina,müristamine
108,Strömung::N,struja,voolus
109,Strömung::N,struja,jõevool
110,Strömung::N,strujanje,voolus
111,Strömung::N,strujanje,jõevool
112,Tropfen::N,kap,tilk
113,Tropfen::N,kaplja,tilk
114,Schaum::N,pjena,vaht
115,Schmutz::N,nečistoća,pori
116,Schmutz::N,nečistoća,mustus
117,Schmutz::N,prljavština,pori
118,Schmutz::N,prljavština,mustus
119,See::N,jezero,järv
120,Sumpf::N,bara,soo
121,Moor::N,močvara,raba
122,Wiese::N,livada,aas
123,Wiese::N,livada,nurm
124,Wald::N,šuma,mets
125,Hügel::N,brijeg,küngas
126,Hügel::N,brežuljak,küngas
127,Anhöhe::N,uzvišica,küngas
128,Berg::N,brdo,mägi
129,Gipfel::N,vrh,mäetipp
130,Höhle::N,pećina,koobas
131,Höhle::N,spilja,koobas
132,Abhang::N,obronak,nõlvak
133,Abhang::N,nizbrdica,nõlvak
134,Quelle::N,izvor,allikas
135,Quelle::N,vrelo,allikas
136,Bach::N,potok,oja
137,Fluss::N,rijeka,jõgi
138,Ufer::N,obala,kallas
139,Küste::N,obala,rannik
140,Küste::N,morska obala,rannik
141,Festland::N,kopno,mander
142,Festland::N,kopno,maismaa
143,Meer::N,more,meri
144,Bucht::N,zaliv,laht
145,Insel::N,ada,saar
146,Insel::N,otok,saar
147,Blume::N,cvijet,lill
148,Gras::N,trava,rohi
149,Wurzel::N,korijen,juur
150,Baum::N,drvo,puu
151,Baum::N,stablo,puu
152,Stamm::N,deblo,tüvi
153,Stamm::N,stablo,tüvi
154,Rinde::N,kora,koor
155,Ast::N,grana,oks
156,Zweig::N,grana,oks
157,Blatt::N,list,leht
158,Birke::N,breza,kask
159,Kiefer[Baum]::N,bor,mänd
160,Weide[Baum]::N,iva,paju
161,Weide[Baum]::N,vŕba,paju
162,Tanne::N,jela,nulg
163,Horn::N,rog,sarv
164,Feder::N,pero,sulg
165,Fell::N,koža,karvkate
166,Fell::N,koža,karusnahk
167,Flügel::N,krilo,tiib
168,Flügel::N,krilo,tiivik
169,Klaue::N,papak,küüs
170,Kralle::N,pandža,küünis
171,Schwanz::N,rep,saba
172,Ei::N,jaje,muna
173,Nest::N,gnijezdo,pesa
174,Bau::N,jazbina,urg
175,Tier::N,životinja,loom
176,Herde::N,krdo,kari
177,Herde::N,stado,kari
178,Kuh::N,krava,lehm
179,Bulle::N,bik,pull
180,Pferd::N,konj,hobune
181,Schaf::N,ovca,lammas
182,Schwein::N,svinja,siga
183,Hund::N,pas,koer
184,Hund::N,pseto,koer
185,Katze::N,mačka,kass
186,Bär::N,medvjed,karu
187,Eichhörnchen::N,vjeverica,orav
188,Elch::N,los,põder
189,Fuchs::N,lisica,rebane
190,Hase::N,zec,jänes
191,Maus::N,miš,hiir
192,Wolf::N,vuk,hunt
193,Wolf::N,kurjak,hunt
194,Vogel::N,ptica,lind
195,Schwarm::N,roj,parv
196,Schwarm::N,jato,parv
197,Huhn::N,kokoš,kana
198,Hahn::N,kokot,kukk
199,Hahn::N,pijevac,kukk
200,Gans::N,guska,hani
201,Adler::N,orao,kotkas
202,Ente::N,patka,part
203,Eule::N,sova,kakk
204,Eule::N,sova,öökull
205,Kranich::N,ždral,kurg
206,Krähe::N,vrana,vares
207,Kuckuck::N,kukavica,kägu
208,Schwan::N,labud,luik
209,Fisch::N,riba,kala
210,Barsch::N,grgeč,ahven
211,Hecht::N,štuka,haug
212,Schlange[Tier]::N,guja,uss
213,Schlange[Tier]::N,zmija,uss
214,Wurm::N,crv,uss
215,Wurm::N,crv,vagel
216,Spinne::N,pauk,ämblik
217,Ameise::N,mrav,sipelgas
218,Laus::N,uš,täi
219,Mücke::N,komarac,sääsk
220,Fliege::N,muha,kärbes
221,Schmetterling::N,leptir,liblikas
222,Beere::N,boba,mari
223,Beere::N,bobica,mari
224,Apfel::N,jabuka,õun
225,Pilz::N,pečurka,seen
226,Zwiebel::N,luk,sibul
227,Zwiebel::N,kapula,sibul
228,Saat::N,sjemenje,seeme
229,Korn::N,zrno,iva
230,Korn::N,zrno,tera
231,Heu::N,sijeno,hein
232,Schale::N,kora,koor
233,Schale::N,ljuska,koor
234,Grube::N,jama,kaevand
235,Falle::N,zamka,lõks
236,Falle::N,zamka,püünis
237,Falle::N,klopka,lõks
238,Falle::N,klopka,püünis
239,Schlinge::N,uzao,aas
240,Schlinge::N,petlja,aas
241,Spur::N,trag,jälg
242,Spur::N,slijed,jälg
243,Asche::N,pepeo,tuhk
244,Dreck::N,blato,saast
245,Dreck::N,blato,mustus
246,Eisen::N,željezo,raud
247,Gold::N,zlato,kuld
248,Silber::N,srebro,hõbe
249,Kohle::N,ugalj,süsi
250,Kohle::N,ugljen,süsi
