,Concept_ID,fr,et
194,Kuckuck::N,coucou,kägu
195,Schwan::N,cygne,luik
196,Fisch::N,poisson,kala
197,Barsch::N,perche,ahven
198,Hecht::N,brochet,haug
199,Schlange[Tier]::N,serpent,uss
200,Wurm::N,ver,uss
201,Wurm::N,ver,vagel
202,Spinne::N,araignée,ämblik
203,Ameise::N,fourmi,sipelgas
204,Laus::N,pou,täi
205,Mücke::N,moucheron,sääsk
206,Fliege::N,mouche,kärbes
207,Schmetterling::N,papillon,liblikas
208,Beere::N,baie,mari
209,Apfel::N,pomme,õun
210,Pilz::N,champignon,seen
211,Zwiebel::N,oignon,sibul
212,Saat::N,semence,seeme
213,Korn::N,grain,iva
214,Korn::N,grain,tera
215,Heu::N,foin,hein
216,Schale::N,pelure,koor
217,Grube::N,fosse,kaevand
218,Falle::N,piège,lõks
219,Falle::N,piège,püünis
220,Schlinge::N,lacs,aas
221,Spur::N,trace,jälg
222,Asche::N,cendre,tuhk
223,Dreck::N,crotte,saast
224,Dreck::N,crotte,mustus
225,Eisen::N,fer,raud
226,Gold::N,or,kuld
227,Silber::N,argent,hõbe
228,Kohle::N,charbon,süsi
229,Glas::N,verre,klaas
230,Lehm::N,glaise,savi
231,Sand::N,sable,liiv
232,Mensch::N,homme,inimene
233,Mann::N,homme,mees
234,Frau::N,femme,naine
235,Kind::N,enfant,laps
236,Junge::N,garçon,poiss
237,Mädchen::N,fille,tüdruk
238,Mädchen::N,jeune fille,tüdruk
239,Familie::N,famille,perekond
240,Großvater::N,grand-père,vanaisa
241,Großmutter::N,grand-mère,vanaema
242,Eltern::N,parents,vanemad
243,Vater::N,père,isa
244,Mutter::N,mère,ema
245,Sohn::N,fils,poeg
246,Tochter::N,fille,tütar
247,Bruder::N,frère,vend
248,Schwester::N,sœur,õde
249,Onkel::N,oncle,onu
250,Tante::N,tante,tädi
251,Ehemann::N,mari,mees
252,Ehemann::N,mari,abikaasa
253,Ehemann::N,époux,mees
254,Ehemann::N,époux,abikaasa
255,Ehefrau::N,femme,naine
256,Ehefrau::N,femme,abikaasa
257,Ehefrau::N,épouse,naine
258,Ehefrau::N,épouse,abikaasa
259,Freude::N,joie,rõõm
260,Freude::N,plaisir,rõõm
261,Gelächter::N,rires,naer
262,Glück::N,bonheur,õnn
263,Kummer::N,peine,mure
264,Kummer::N,peine,kurbus
265,Kummer::N,chagrin,mure
266,Kummer::N,chagrin,kurbus
267,Wunsch::N,désir,soov
268,Lust::N,envie,himu
269,Geist::N,esprit,vaim
