,Concept_ID,he,mrj
0,Auge::N,עין,сӹнзӓ
1,Ohr::N,אזן,пӹлӹш
2,Nase::N,אף,нер
3,Nase::N,חטם,нер
4,Mund::N,פה,ышма
5,Zahn::N,שן,пӱ
6,Zunge::N,לשון,йӹлмӹ
7,Lippe::N,שפה,тӹрвӹ
8,Wange::N,לחי,шӹргӹ
9,Gesicht::N,פנים,лицӓ
10,Stirn::N,מצח,лепкӓ
11,Haar::N,שערה,ӱп
12,Schnurrbart::N,שפם,öрш
13,Bart::N,זקן,пандаш
14,Kinn::N,סנטר,онгылаш
15,Kiefer[Anatomie]::N,לסת,пӱ арата
16,Kehle::N,גרון,логер
17,Hals::N,צואר,шӱ
18,Genick::N,ערף,ланга
19,Kopf::N,ראש,вуй
20,Rücken::N,גב,туп
21,Bauch::N,בטן,мӹшкӹр
22,Nabel::N,טבור,кӹлӹмдӹ
23,Busen::N,שד,цӹзӹ
24,Brust::N,חזה,мел
25,Schulter::N,כתף,ӹнгӹжӓ
26,Arm::N,זרוע,кид
27,Ellenbogen::N,מרפק,кӹнервуй
28,Hand::N,יד,лапа
29,Handfläche::N,כף יד,кид лапа
30,Finger::N,אצבע,парня
31,Fingernagel::N,צפרן,кӹч
32,Nagel[Anatomie]::N,צפרן,кӹч
33,Zeh::N,אצבע,парня
34,Fuß::N,רגל,ял лапа
35,Ferse::N,עקב,ялгавал
36,Ferse::N,עקב,ял кавал
37,Knie::N,ברך,пылвуй
38,Oberschenkel::N,ירך,ӓрдӹ
39,Bein::N,רגל,ял
40,Körper::N,גוף,монгыр
41,Haut::N,עור,кавашты
42,Blut::N,דם,вӹр
43,Ader::N,וריד,вӹршӓр
44,Sehne::N,גיד,кукшышӱн
45,Knochen::N,עצם,лу
46,Gehirn::N,מוח,вим
47,Herz::N,לב,шӱм
48,Magen::N,קבה,шӱм
49,Leber::N,כבד,мокш
50,Atem::N,נשימה,шӱлӹш
51,Hunger::N,רעב,шужымаш
52,Träne::N,דמעה,сӹнзӓвӹд
53,Geschmack::N,טעם,тот
54,Geruch::N,ריח,пыш
55,Schlaf::N,שנה,ом
56,Traum::N,חלום,ом
57,Himmel::N,שמים,пӹлгом
58,Sonne::N,שמש,кечӹ
59,Mond::N,ירח,тӹлзӹ
60,Stern::N,כוכב,шӹдӹр
61,Luft::N,אויר,юж
62,Luft::N,אויר,воздух
63,Wind::N,רוח,мардеж
64,Welle::N,גל,ко
65,Welle::N,גל,коэ
66,Wasser::N,מים,вӹд
67,Stein::N,אבן,кӱ
68,Boden::N,קרקע,рок
69,Erde::N,אדמה,свет
70,Staub::N,אבק,пырак
71,Rauch::N,עשן,шӹкш
72,Funke::N,ניצוץ,ип
73,Funke::N,ניצוץ,тылип
74,Feuer::N,אש,тыл
75,Licht::N,אור,соты
76,Licht::N,אור,валгыды
77,Schatten::N,צל,ӹмӹл
78,Wetter::N,מזג אויר,игечӹ
79,Nebel::N,ערפל,тӹтӹрӓ
80,Wolke::N,ענן,пӹл
81,Regen::N,גשם,юр
82,Schnee::N,שלג,лым
83,Eis::N,קרח,и
84,Frost::N,צנה,ӱштӹ
85,Kälte::N,קר,ӱштӹ
86,Hitze::N,חם,шокшы
87,Raureif::N,כפור,пöрш
88,Regenbogen::N,קשת,шанавӹл
89,Donner::N,רעם,хӹдӹртӹш
90,Strömung::N,זרימה,йогы
91,Tropfen::N,טפה,капльы
92,Tropfen::N,טפה,капльык
93,Schaum::N,קצף,шонг
94,Schmutz::N,לכלוך,лявӹрӓ
95,See::N,אגם,йӓр
96,Sumpf::N,בצה,лӱкӹ
97,Moor::N,בצה,куп
98,Wiese::N,מרעה,алык
99,Wald::N,יער,шӹргӹ
100,Hügel::N,תל,пӱгӹрикӓ
101,Anhöhe::N,מעלה,кӱкшикӓ
102,Berg::N,הר,кырык
103,Gipfel::N,פסגה,неркӓ
104,Höhle::N,מערה,ы́раж
105,Abhang::N,מדרון,полом
106,Abhang::N,שפוע,полом
107,Quelle::N,מעין,вӹдсӹнзӓ
108,Bach::N,נחל,ӓнгӹр
109,Fluss::N,נהר,вӹд
110,Ufer::N,גדה,сир
111,Küste::N,חוף,сир
112,Festland::N,יבשה,мӱлӓндӹ
113,Meer::N,ים,тангыж
114,Bucht::N,מפרץ,вӹдъял
115,Insel::N,אי,острок
116,Blume::N,פרח,пеледӹш
117,Gras::N,דשא,шуды
118,Wurzel::N,שרש,важ
119,Baum::N,עץ,пушӓнгӹ
120,Stamm::N,גזע,пушӓнгӹ тӹнг
121,Rinde::N,קלפת עץ,каргыж
122,Ast::N,ענף,укш
123,Zweig::N,ענף,укш
124,Blatt::N,עלה,листӹ
125,Birke::N,שדר,куги
126,Kiefer[Baum]::N,ארן,йӓктӹ
127,Weide[Baum]::N,ערבה,уа
128,Tanne::N,אשוח,кож
129,Horn::N,קרן,шур
130,Feder::N,נוצה,пын
131,Fell::N,פרוה,кавашты
132,Flügel::N,כנף,шылдыр
133,Klaue::N,טלף,кӹч
134,Kralle::N,טפר,лапа
135,Schwanz::N,זנב,пач
136,Ei::N,ביצה,мыны
137,Nest::N,קן,пӹжӓш
138,Bau::N,מחלה,ыраж
139,Tier::N,חיה,во́льык
140,Herde::N,עדר,кӹтö
141,Kuh::N,פרה,ышкал
142,Bulle::N,פר,ӱшкӱж
143,Pferd::N,סוס,имни
144,Schaf::N,כבשה,шарык
145,Schwein::N,חזיר,сасна
146,Hund::N,כלב,пи
147,Katze::N,חתול,коти
148,Bär::N,דב,мöскӓ
149,Eichhörnchen::N,סנאי,ур
150,Elch::N,דישון,шарды
151,Fuchs::N,שועל,рӹвӹж
152,Hase::N,ארנב,морен
153,Maus::N,עכבר,каля
154,Wolf::N,זאב,пирӹ
155,Vogel::N,צפור,кек
156,Schwarm::N,נחיל,цуца
157,Schwarm::N,להקה,цуца
158,Huhn::N,תרנגלת,цӹвӹ
