,Concept_ID,vep,mrj
0,Auge::N,sil'm,сӹнзӓ
1,Ohr::N,korv,пӹлӹш
2,Nase::N,nena,нер
3,Mund::N,su,ышма
4,Zahn::N,pi,пӱ
5,Zahn::N,hambaz,пӱ
6,Zunge::N,kel',йӹлмӹ
7,Lippe::N,hul',тӹрвӹ
8,Wange::N,modpolišk,шӹргӹ
9,Gesicht::N,mod,лицӓ
10,Stirn::N,oc,лепкӓ
11,Haar::N,tuk,ӱп
12,Haar::N,hibuz,ӱп
13,Schnurrbart::N,habinod,öрш
14,Bart::N,bard,пандаш
15,Kinn::N,löug,онгылаш
16,Kiefer[Anatomie]::N,hambazlu,пӱ арата
17,Kehle::N,kurk,логер
18,Hals::N,kagl,шӱ
19,Genick::N,tagarai,ланга
20,Kopf::N,pä,вуй
21,Rücken::N,sel'g,туп
22,Bauch::N,vac,мӹшкӹр
23,Bauch::N,koht,мӹшкӹр
24,Nabel::N,naba,кӹлӹмдӹ
25,Busen::N,niža,цӹзӹ
26,Brust::N,rind,мел
27,Schulter::N,oug,ӹнгӹжӓ
28,Arm::N,käzi,кид
29,Ellenbogen::N,künambruz,кӹнервуй
30,Hand::N,käzi,лапа
31,Hand::N,käzitera,лапа
32,Handfläche::N,kämen,кид лапа
33,Finger::N,sor'm,парня
34,Fingernagel::N,künz',кӹч
35,Nagel[Anatomie]::N,künz',кӹч
36,Zeh::N,barbaz,парня
37,Fuß::N,jaug,ял лапа
38,Ferse::N,kand,ялгавал
39,Ferse::N,kand,ял кавал
40,Knie::N,komb,пылвуй
41,Knie::N,pol'v,пылвуй
42,Oberschenkel::N,riiže,ӓрдӹ
43,Bein::N,jaug,ял
44,Körper::N,hibj,монгыр
45,Haut::N,nahk,кавашты
46,Blut::N,čak,вӹр
47,Blut::N,veri,вӹр
48,Ader::N,son',вӹршӓр
49,Sehne::N,jände,кукшышӱн
50,Knochen::N,lu,лу
51,Gehirn::N,aivod,вим
52,Herz::N,südäin,шӱм
53,Magen::N,südäikoht,шӱм
54,Leber::N,maks,мокш
55,Atem::N,hengaiduz,шӱлӹш
56,Hunger::N,näl'g,шужымаш
57,Träne::N,kündal',сӹнзӓвӹд
58,Geschmack::N,magu,тот
59,Geruch::N,haju,пыш
60,Schlaf::N,uni,ом
61,Traum::N,unikuva,ом
62,Himmel::N,taivaz,пӹлгом
63,Sonne::N,päiväine,кечӹ
64,Mond::N,kudmaine,тӹлзӹ
65,Stern::N,tähtaz,шӹдӹр
66,Luft::N,il'm,юж
67,Luft::N,il'm,воздух
68,Wind::N,döl,мардеж
69,Wind::N,tullei,мардеж
70,Welle::N,ald,ко
71,Welle::N,ald,коэ
72,Welle::N,laineh,ко
73,Welle::N,laineh,коэ
74,Wasser::N,vezi,вӹд
75,Stein::N,kivi,кӱ
76,Boden::N,ma,рок
77,Boden::N,pohj,рок
78,Erde::N,ma,свет
79,Staub::N,pölü,пырак
80,Rauch::N,savu,шӹкш
81,Funke::N,kibin,ип
82,Funke::N,kibin,тылип
83,Feuer::N,lämoi,тыл
84,Licht::N,vauktuz,соты
85,Licht::N,vauktuz,валгыды
86,Schatten::N,pil'vez,ӹмӹл
87,Schatten::N,kuvahaine,ӹмӹл
88,Wetter::N,sä,игечӹ
89,Nebel::N,sumeg,тӹтӹрӓ
90,Wolke::N,pil'v,пӹл
91,Regen::N,vihm,юр
92,Schnee::N,lumi,лым
93,Eis::N,jä,и
94,Frost::N,hala,ӱштӹ
95,Frost::N,pakaine,ӱштӹ
96,Kälte::N,vilu,ӱштӹ
97,Hitze::N,räk,шокшы
98,Raureif::N,hüde,пöрш
99,Regenbogen::N,jumalanbembel',шанавӹл
100,Donner::N,juru,хӹдӹртӹш
101,Donner::N,jumalanjuru,хӹдӹртӹш
102,Strömung::N,joksmuz,йогы
103,Tropfen::N,tilkuine,капльы
104,Tropfen::N,tilkuine,капльык
105,Schaum::N,vaht,шонг
106,Schmutz::N,redu,лявӹрӓ
107,Schmutz::N,pačak,лявӹрӓ
108,See::N,järv,йӓр
109,Sumpf::N,so,лӱкӹ
110,Moor::N,so,куп
111,Wiese::N,nit,алык
112,Wald::N,mec,шӹргӹ
