,Concept_ID,tr,ar
0,Auge::N,göz,عين
1,Ohr::N,kulak,أذن
2,Nase::N,burun,أنف
3,Mund::N,ağız,فم
4,Zahn::N,diş,سن
5,Zunge::N,dil,لسان
6,Lippe::N,dudak,شفة
7,Wange::N,yanak,خد
8,Wange::N,yanak,وجنة
9,Gesicht::N,yüz,وجه
10,Stirn::N,alın,جبين
11,Haar::N,saç,شعر
12,Schnurrbart::N,bıyık,شارب
13,Bart::N,sakal,لحية
14,Kinn::N,çene,ذقن
15,Kiefer[Anatomie]::N,çene,فك
16,Kehle::N,boğaz,حلق
17,Hals::N,boyun,عنق
18,Hals::N,boyun,رقبة
19,Hals::N,gerdan,عنق
20,Hals::N,gerdan,رقبة
21,Genick::N,ense,قفا
22,Kopf::N,baş,رأس
23,Kopf::N,kafa,رأس
24,Rücken::N,arka,ظهر
25,Bauch::N,karın,بطن
26,Nabel::N,göbek,سرة
27,Busen::N,koyun,ثدي
28,Brust::N,göğüs,صدر
29,Schulter::N,omuz,كتف
30,Arm::N,kol,ذراع
31,Ellenbogen::N,dirsek,كوع
32,Hand::N,el,يد
33,Handfläche::N,avuç,كف
34,Handfläche::N,el ayası,كف
35,Finger::N,parmak,إصبع
36,Fingernagel::N,el tırnağı,ظفر
37,Nagel[Anatomie]::N,tırnak,ظفر
38,Zeh::N,ayak parmağı,إصبع القدم
39,Fuß::N,ayak,قدم
40,Ferse::N,topuk,كعب
41,Knie::N,diz,ركبة
42,Oberschenkel::N,uyluk,فخذ
43,Bein::N,bacak,ساق
44,Körper::N,vücut,جسم
45,Haut::N,cilt,بشرة
46,Blut::N,kan,دم
47,Ader::N,damar,عرق
48,Sehne::N,kiriş,طنب
49,Knochen::N,kemik,عظم
50,Gehirn::N,beyin,دماغ
51,Herz::N,kalp,قلب
52,Herz::N,yürek,قلب
53,Magen::N,mide,معدة
54,Leber::N,karaciğer,كبد
55,Atem::N,nefes,نفس
56,Hunger::N,açlık,جوع
57,Träne::N,gözyaşı,دمعة
58,Geschmack::N,tat,طعم
59,Geschmack::N,tat,مذاق
60,Geschmack::N,lezzet,طعم
61,Geschmack::N,lezzet,مذاق
62,Geruch::N,koku,رائحة
63,Schlaf::N,uyku,نوم
64,Schlaf::N,uyku,منام
65,Traum::N,düş,حلم
66,Traum::N,rüya,حلم
67,Himmel::N,gök,سماء
68,Sonne::N,güneş,شمس
69,Mond::N,ay,قمر
70,Stern::N,yıldız,نجم
71,Stern::N,yıldız,كوكب
72,Luft::N,hava,هواء
73,Wind::N,yel,ريح
74,Wind::N,rüzgâr,ريح
75,Welle::N,dalga,موجة
76,Wasser::N,su,ماء
77,Stein::N,taş,حجر
78,Boden::N,yer,تراب
79,Boden::N,zemin,تراب
80,Erde::N,toprak,أرض
81,Staub::N,toz,غبار
82,Rauch::N,duman,دخان
83,Funke::N,kıvılcım,شرارة
84,Feuer::N,ateş,نار
85,Licht::N,ışık,نور
86,Licht::N,ışık,ضوء
87,Schatten::N,gölge,ظل
88,Schatten::N,gölge,فيء
89,Wetter::N,hava,جو
90,Wetter::N,hava,طقس
91,Nebel::N,pus,ضباب
92,Wolke::N,bulut,غيمة
93,Wolke::N,bulut,سحابة
94,Regen::N,yağmur,مطر
95,Schnee::N,kar,ثلج
96,Eis::N,buz,جليد
97,Frost::N,don,صقيع
98,Kälte::N,soğukluk,برد
99,Hitze::N,sıcaklık,حر
100,Hitze::N,sıcaklık,حرارة
101,Raureif::N,kırç,صقيع
102,Regenbogen::N,gökkuşağı,قوس قزح
103,Donner::N,gök gürlemesi,رعد
104,Strömung::N,akıntı,تيار
105,Strömung::N,cereyan,تيار
106,Tropfen::N,damla,قطرة
107,Schaum::N,köpük,زبد
108,Schaum::N,köpük,رغوة
109,Schmutz::N,çamur,وسخ
110,Schmutz::N,pislik,وسخ
111,See::N,göl,بحيرة
112,Sumpf::N,batak,مستنقع
113,Moor::N,cılgıt,مستنقع
114,Wiese::N,çimen,مرج
115,Wald::N,koru,غابة
116,Wald::N,orman,غابة
117,Hügel::N,tepe,تل
118,Anhöhe::N,tümsek,تل
119,Anhöhe::N,yükseklik,تل
120,Berg::N,dağ,جبل
121,Gipfel::N,zirve,قمة
122,Höhle::N,in,كهف
123,Höhle::N,mağara,كهف
124,Abhang::N,bayır,منحدر
125,Quelle::N,pınar,منبع
126,Quelle::N,kaynak,منبع
127,Bach::N,çay,مجرى
128,Bach::N,dere,مجرى
129,Fluss::N,nehir,نهر
130,Ufer::N,kıyı,ضفة
131,Ufer::N,sahil,ضفة
132,Küste::N,kıyı,ساحل
133,Küste::N,sahil,ساحل
134,Festland::N,kara,بر
135,Meer::N,deniz,بحر
136,Bucht::N,koy,خليج
137,Bucht::N,körfez,خليج
138,Insel::N,ada,جزيرة
139,Blume::N,çiçek,زهرة
140,Gras::N,ot,حشيش
141,Gras::N,çim,حشيش
142,Wurzel::N,kök,أصل
143,Baum::N,ağaç,شجرة
144,Stamm::N,gövde,جذع
145,Rinde::N,kabuk,قشرة
146,Ast::N,dal,فرع
147,Ast::N,budak,فرع
148,Zweig::N,dal,غصن
149,Blatt::N,yaprak,ورقة
150,Birke::N,huş,قضبان
151,Kiefer[Baum]::N,çam,صنوبرة
152,Weide[Baum]::N,söğüt,صفصاف
153,Tanne::N,çam,شوح
154,Tanne::N,çam,تبوب
155,Tanne::N,köknar,شوح
156,Tanne::N,köknar,تبوب
157,Horn::N,boynuz,قرن
158,Feder::N,tüy,ريشة
159,Fell::N,post,فرو
160,Flügel::N,kanat,جناح
161,Klaue::N,pençe,مخلب
162,Kralle::N,tırnak,مخلب
163,Schwanz::N,kuyruk,ذيل
164,Ei::N,yumurta,بيض
165,Nest::N,yuva,عش
166,Bau::N,in,جحر
167,Tier::N,hayvan,حيوان
168,Herde::N,sürü,قطيع
169,Kuh::N,inek,بقرة
170,Bulle::N,boğa,ثور
171,Pferd::N,at,خيل
172,Pferd::N,beygir,خيل
173,Schaf::N,koyun,شاة
174,Schwein::N,domuz,خنزير
175,Hund::N,it,كلب
176,Hund::N,köpek,كلب
177,Katze::N,kedi,قطة
178,Bär::N,ayı,دب
179,Eichhörnchen::N,sincap,سنجاب
180,Elch::N,büyük kuzey geyiği,موظ
181,Fuchs::N,tilki,ثعلب
182,Hase::N,tavşan,أرنب
183,Maus::N,fare,فأرة
184,Maus::N,sıçan,فأرة
185,Wolf::N,kurt,ذئب
186,Vogel::N,kuş,طير
187,Schwarm::N,sürü,سرب
188,Huhn::N,tavuk,دجاجة
189,Hahn::N,horoz,ديك
190,Gans::N,kaz,وزة
191,Adler::N,kartal,نسر
192,Adler::N,karakuş,نسر
193,Ente::N,ördek,بطة
194,Eule::N,baykuş,بوم
195,Kranich::N,turna,كركي
196,Krähe::N,karga,غراب
197,Kuckuck::N,guguk,وقواق
198,Schwan::N,kuğu,إوز عراقي
199,Fisch::N,balık,سمك
200,Barsch::N,hani,فرخ أوربي
201,Barsch::N,levrek,فرخ أوربي
202,Hecht::N,turnabalığı,سمك الكراكي
203,Schlange[Tier]::N,yılan,حية
204,Schlange[Tier]::N,yılan,ثعبان
205,Wurm::N,kurt,دودة
206,Wurm::N,solucan,دودة
207,Spinne::N,örümcek,عنكبوت
208,Ameise::N,karınca,نملة
209,Laus::N,bit,قملة
210,Mücke::N,sivrisinek,ناموسة
211,Fliege::N,sinek,ذبابة
212,Schmetterling::N,kelebek,فراشة
213,Beere::N,tane,حبة
214,Apfel::N,elma,تفاح
215,Pilz::N,mantar,فطر
216,Zwiebel::N,soğan,بصل
217,Saat::N,ekin,زرع
218,Korn::N,tane,حبة
219,Heu::N,kuru ot,دريس
220,Schale::N,kabuk,قشرة
221,Grube::N,çukur,نقرة
222,Falle::N,tuzak,فخ
223,Falle::N,tuzak,مصيدة
