,Concept_ID,ko,no
0,Auge::N,눈,øye
1,Ohr::N,귀,øre
2,Nase::N,코,nese
3,Mund::N,입,munn
4,Zahn::N,이,tann
5,Zunge::N,혀,tunge
6,Lippe::N,입술,leppe
7,Wange::N,뺨,kinn
8,Gesicht::N,얼굴,fjes
9,Gesicht::N,얼굴,ansikt
10,Stirn::N,이마,panne
11,Haar::N,털,hår
12,Schnurrbart::N,윗수몀,bart
13,Schnurrbart::N,코밑수염,bart
14,Bart::N,수엄,skjegg
15,Kinn::N,아래턱,hake
16,Kiefer[Anatomie]::N,턱,kjeve
17,Kehle::N,인후,strupe
18,Hals::N,목,hals
19,Genick::N,먹덜이,nakke
20,Kopf::N,머리,hode
21,Rücken::N,든,rygg
22,Bauch::N,배,buk
23,Bauch::N,배,mage
24,Nabel::N,배꼽,navle
25,Busen::N,가슴속,barm
26,Brust::N,가슴,bryst
27,Schulter::N,어깨,skulder
28,Arm::N,팔,arm
29,Ellenbogen::N,팔쿰치,albue
30,Hand::N,손,hånd
31,Handfläche::N,손바닥,håndflate
32,Finger::N,속가락,finger
33,Fingernagel::N,손톱,fingernegl
34,Nagel[Anatomie]::N,손톱,negl
35,Zeh::N,발가락,tå
36,Fuß::N,발,fot
37,Ferse::N,발꿈치,hæl
38,Knie::N,무릎,kne
39,Oberschenkel::N,허벅다리,lår
40,Bein::N,다리,bein
41,Körper::N,구간,kropp
42,Körper::N,구간,legeme
43,Haut::N,살갗,hud
44,Haut::N,살갗,skinn
45,Blut::N,피,blod
46,Ader::N,정맥,åre
47,Sehne::N,현,sene
48,Knochen::N,뼈,bein
49,Knochen::N,뼈,knokkel
50,Gehirn::N,뇌,hjerne
51,Gehirn::N,뇌수,hjerne
52,Herz::N,염통,hjerte
53,Magen::N,위,mage
54,Leber::N,간,lever
55,Atem::N,기식,pust
56,Hunger::N,공복,sult
57,Träne::N,눈물,tåre
58,Geschmack::N,기호,smak
59,Geruch::N,냄새,lukt
60,Schlaf::N,수면,søvn
61,Traum::N,쿰,drøm
62,Himmel::N,하늘,himmel
63,Sonne::N,해,sol
64,Mond::N,달,måne
65,Stern::N,별,stjerne
66,Luft::N,동준,luft
67,Luft::N,가스채,luft
68,Wind::N,바람,vind
69,Welle::N,물결,bølge
70,Wasser::N,물,vann
71,Stein::N,돌,stein
72,Boden::N,바닥,bakke
73,Erde::N,흙,jord
74,Staub::N,먼지,støv
75,Rauch::N,연기,røyk
76,Funke::N,불티,gnist
77,Feuer::N,불,ild
78,Licht::N,불,lys
79,Schatten::N,어스레함,skygge
80,Wetter::N,기상,vær
81,Nebel::N,안개,tåke
82,Wolke::N,구름,sky
